Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78
Ventilation trimestrielle des crédits par terme et par branche d'activité*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Encours en MDH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2006-12-13 00:00:00,2007-03-14 00:00:00,2007-06-15 00:00:00,2007-09-16 00:00:00,2007-12-17 00:00:00,2008-03-18 00:00:00,2008-06-19 00:00:00,2008-09-20 00:00:00,2008-12-21 00:00:00,2009-03-21 00:00:00,2009-06-21 00:00:00,2009-09-21 00:00:00,2009-12-21 00:00:00,2010-03-22 00:00:00,2010-06-23 00:00:00,2010-09-24 00:00:00,2010-12-25 00:00:00,2011-03-26 00:00:00,2011-06-27 00:00:00,2011-09-28 00:00:00,2011-12-29 00:00:00,2012-03-29 00:00:00,2012-06-01 00:00:00,2012-09-04 00:00:00,2012-12-08 00:00:00,2013-03-13 00:00:00,2013-06-16 00:00:00,2013-09-19 00:00:00,2013-12-23 00:00:00,2014-03-28 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-03 00:00:00,2016-06-06 00:00:00,2016-09-09 00:00:00,2016-12-12 00:00:00,2017-03-16 00:00:00,2017-06-18 00:00:00,2017-09-21 00:00:00,2017-12-24 00:00:00,2018-03-27 00:00:00,2018-06-30 00:00:00,2018-09-03 00:00:00,2018-12-06 00:00:00,2019-03-10 00:00:00,2019-06-12 00:00:00,2019-09-15 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-03 00:00:00,2023-06-06 00:00:00,2023-09-09 00:00:00,2023-12-12 00:00:00,2024-03-15 00:00:00,2024-06-15 00:00:00,2024-09-15 00:00:00,2024-12-15 00:00:00,2025-03-15 00:00:00,2025-06-15 00:00:00,2025-09-15 00:00:00,2025-12-15 00:00:00,2026-03-15 00:00:00
Crédit bancaire,325582.38783240214,339962.70057964616,365914.27859367523,389612.33029767434,424406.1244045051,436559.19642366923,471566.1741986606,490144.88151335507,526189.5434781215,528674.782455587,549606.7750775376,564019.4083558064,577083.8207342295,592473.5624511355,618894.8476173661,620386.3121415084,621485.7010138853,631077.0359748958,660285.9067700492,668689.5110461237,687333.2930701183,685110.0291545131,709629.7523746607,704548.3933485703,719201.0312452267,699607.1210746412,728483.0549144007,725809.4636810095,747008.3956863803,736703.7225825798,755248.0997064551,757163.5798192689,763400.7573963248,758251.5162368462,776676.2433494892,764526.2997862952,784991.0596393633,769496.1132549802,792491.9774160885,794731.8952883498,818098.4041648303,804276.4658777552,842162.5050712557,830205.2088551723,843307.957922975,830105.0197516836,857001.7273879207,854540.4891469006,870615.8373291938,872194.8627499439,900407.903367858,898401.3979768644,917152.4644570135,919447.6705841953,952252.5935711174,946340.9962527568,960054.9302479773,950613.4776322052,988895.4002674257,984651.58592287,984899.1229534576,988475.8388053883,1027623.1264816275,1036462.8906933448,1058955.3635857012,1039850.7776649089,1076630.1841422624,1084842.8591924366,1115457.341796792,1108236.107323082,1110773.2826018783,1136900.6904527822,1164632.2883255158,1164961.020640646,1174332.1560745384,1187860.3947058402,1258117.8203124956,1252354.6358928452
Par terme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Court terme,142306.90542065693,148568.97077056652,160541.6087738911,172030.9070643888,179668.66261180615,183493.03898029047,200587.2673634383,219005.45238660643,219955.74468662165,217123.12107872195,224253.46067516727,217957.81347366245,232723.2319555049,227999.77261559182,250263.0639292436,233514.9564847113,229453.34460693528,245547.66988771755,275919.09286175104,278921.9798724722,283858.49183205527,296125.2124072771,303237.7106992992,303166.9258912869,299791.80504934513,282067.214745672,302492.2219231721,300903.99037117313,301839.7554973706,291001.45842287777,277750.3971386667,275950.33390389476,283679.57856630516,280359.0277347131,289062.9486169961,275959.5655595778,279607.35419850383,263450.66830516147,281550.4313474123,273823.65158481465,282715.3489778489,260923.64942143302,289566.4345269475,264036.9519793545,276432.62972004095,258984.81149829444,277987.86790817295,286115.01760107995,285796.62136228324,268539.4391323329,272451.7629887871,268294.4843037156,274722.07419772213,275373.91886983387,303336.8390132028,289460.8627245588,301038.02972367796,263908.3295611152,283536.75903462444,291041.3149924663,283899.18648482946,286080.768395971,316983.68372870336,334615.64987091714,330407.8700427379,303239.2401853731,323681.62974470394,299258.2928608401,309291.9296363286,307732.29502051725,310952.73299018416,333370.99959620734,341957.05200371845,343683.7988382816,341677.6167497719,347682.09330420854,379063.1375408319,375318.18563240237
Echéances impayées,795.569,1099.355,964.543,936.871,910.489,1851.254,1130.2,2183.828,1666.588,4092.201,4841.941,5972.787,5175.151,6431.432,6295.933,6517.588,6431.859,7056.041,6477.179,7428.467,7395.199,6710.811,6432.245,8158.353,7515.347,8564.645,10034.225,10929.058,10494.754,10787.464,11503.447,11940.236,10527.535,12487.816,11739.255,11734.159,8013.24,8169.693,7528.182,7512.123,6866.021,8084.576,7885.116,7387.193,6264.629105259732,8398.117252221236,8123.820674232909,7704.953617938646,7743.715,8470.493,8154.714,9766.716,9091.511,13225.873,10518.582,10942.662,10200.807,10398.286,10985.438999999998,11944.452,9610.82,10561.172,11791.741,14956.323,13190.487,17184.787,17396.689000000002,16836.266,14491.889000000001,15573.876,16250.251,16633.436999999998,14666.795,14403.307999999999,15677.564,14223.547,13399.612,17056.489999999998
Moyen terme,67513.78856819459,71529.08975686073,80988.45978364405,88815.19227541545,105756.02228524638,113857.8147977682,121492.94293380121,115548.89372016494,143487.3529209721,146830.83964501912,159342.08930093324,168031.75487991012,171132.28837874922,179076.9155834716,172803.77696018363,179815.64893560702,182600.3670957721,177312.25952914995,173502.13033678842,186793.46124613742,189193.322092635,174796.30896868493,181653.62613571214,178221.7097954702,184475.36620994948,182001.99981677538,185886.11466851083,195082.6258535785,196921.89344189907,189650.77039446443,190104.43599537908,192404.2155341237,183677.20938004082,183094.71086180556,182602.08388138708,181646.32207968176,194507.41614733732,190775.43568516715,191836.00925010414,178600.9097710562,187727.05365809574,198306.68930571867,193819.65459505457,199379.36723917854,199899.03108883198,191098.81572376116,192873.12786158916,176589.73418196972,179718.70218456016,191814.85899054908,204073.20950620755,204252.1299058552,209786.4490216857,212746.044219794,215248.19949505775,212961.1220146786,213924.53380686004,237433.23023936158,241736.66873567083,229340.21360459103,232674.6373761486,228865.75016975548,234590.14477332347,223815.39742350887,229918.761174346,225864.39856770856,236646.7820959884,246099.23716177756,246531.4895331077,235717.9219742744,233223.26870101463,231482.33221147125,237965.79367558841,235198.6871156294,232841.2393847298,236596.77101862707,243552.61552465442,230150.03006448946
Long terme,81322.15491630204,84873.50552673936,90756.15270465416,95329.15614053511,106537.45564788514,108165.07304260672,118057.91138338827,124786.41519099627,132416.49917175606,136640.2004333492,136641.49811687996,147854.95987748093,142520.042105562,154772.05744494678,164465.97317738476,174400.29528186517,179751.33602485617,177298.19671572905,178694.93557150985,169850.32192751413,181782.80214542797,180021.101778551,189834.76853964935,187316.9646618132,199623.383985932,198219.21051219385,200995.5013227178,189028.65945625794,204525.23774711083,209723.5557652375,239160.44657240942,236707.4373812504,243511.61444997872,242385.22464032756,249460.73685110605,249663.68014703566,253447.62689685205,255883.48671466167,258777.19809073213,280303.0664656989,286299.5415288857,283080.33615060354,296517.91094925354,303378.32063663914,303350.9781082299,316196.3060543067,322087.7372166352,326228.05144119373,339873.40978235047,344513.7636270618,356205.52487286355,356926.65376729355,362711.87723760586,359367.10349456745,357927.6980628568,364905.8385135196,364872.9647174396,368056.01383172866,380880.1024971304,379740.2273258127,383495.11409247934,387203.72723966144,388819.5759796007,389458.2613989188,409793.9463686172,420137.19791182736,423984.91730157,444600.8671698188,464812.21362735576,469004.86832829047,470570.1119106795,473301.98464510374,487199.15264620894,485548.2276867353,497008.94694003696,500483.86338300456,533900.4552470092,543756.8371959532
Créances en souffrance,34439.53792724859,34991.12852547957,33628.05933148601,33437.07681733488,32443.975859567465,31043.269603003926,31428.048518032865,30804.113215587422,30329.957698771625,28080.62029849675,29369.731984557166,30174.8781247529,30708.25429441329,30624.824807125202,31362.034550553864,32655.40543932486,29680.653286321856,30918.901842299358,32169.747,33123.748,32498.674,34167.41,34903.65,35842.788,35310.486,37318.694,39109.219,40794.196,43721.494,46327.974,48232.03199999999,52101.636,52532.407,52412.631,55550.484,57256.738,57428.665,59386.531,60328.342,62004.267,61356.465,61965.784,62258.504,63410.573,63625.273900612345,63824.901223100096,64052.31072729048,65606.71430471887,65227.106999999996,67326.801,67677.406,68928.132,69932.057,71960.601,75739.85699999999,79013.172,80219.405,81215.908,82741.873,84529.866,84830.22,86325.63100000001,87229.763,88573.621,88834.81700000001,90609.984,92316.9,94884.498,94821.706,95781.072,96027.222,98745.428,97510.34,100530.359,102804.412,103097.724,101601.673,103129.645
Par branche d'activité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secteur primaire,18673.132710835744,18446.980148616367,19688.640374108352,19527.250535604446,20109.835455152934,20290.510520408185,17750.55625233254,19917.127727435676,20594.105336035114,17445.76428602326,18773.504005539126,19228.62733992197,19566.49855325147,18364.95948684108,17545.107579065734,16033.378907882867,25292.894489877224,23648.941404762358,23879.693676300634,25219.95476833813,28400.069274170037,27568.481065604185,28369.327793577355,28146.868603709645,28007.121209387995,28129.530445327884,28970.390412400357,29695.257787185445,29008.04045095593,28715.363366931168,30616.832592661613,31201.604310687595,29854.36326327648,30770.90728727197,30926.500605080964,30327.757629799275,33475.70950875929,31323.717938339094,31168.896864319464,31740.31852821025,31655.90216736419,29436.292169550616,29814.240104369812,30383.30082552551,30532.25585081315,30764.60864447592,30534.72390257204,34831.02148473173,35920.96316073026,34556.44430360798,35111.61889327792,36719.16755488707,38331.288069936054,36186.90576043867,35917.43592500535,36859.65319245737,36026.65433042064,36167.359157631465,37139.11457084026,38307.81862890938,38677.06731477454,38410.070856429,40663.59297505197,41181.55552911602,41848.91579393108,40718.170300019774,39776.32205416561,40221.02858619015,41290.55515841882,40029.778456710905,39424.423637966545,39785.645224064225,40879.23303483739,41375.60627558431,40430.450857148804,41912.01515777679,43582.37992806243,42325.416929431354
