trimestre,Appartement - prix (var. trim. %),Appartement - transactions (var. trim. %),Bureau - prix (var. trim. %),Bureau - transactions (var. trim. %),Foncier - prix (var. trim. %),Foncier - transactions (var. trim. %),Global - prix (var. trim. %),Global - transactions (var. trim. %),Local commercial - prix (var. trim. %),Local commercial - transactions (var. trim. %),Maison - prix (var. trim. %),Maison - transactions (var. trim. %),Professionnel - prix (var. trim. %),Professionnel - transactions (var. trim. %),Résidentiel - prix (var. trim. %),Résidentiel - transactions (var. trim. %),Villa - prix (var. trim. %),Villa - transactions (var. trim. %),Appartement - prix (var. annuelle %),Appartement - transactions (var. annuelle %),Bureau - prix (var. annuelle %),Bureau - transactions (var. annuelle %),Foncier - prix (var. annuelle %),Foncier - transactions (var. annuelle %),Global - prix (var. annuelle %),Global - transactions (var. annuelle %),Local commercial - prix (var. annuelle %),Local commercial - transactions (var. annuelle %),Maison - prix (var. annuelle %),Maison - transactions (var. annuelle %),Professionnel - prix (var. annuelle %),Professionnel - transactions (var. annuelle %),Résidentiel - prix (var. annuelle %),Résidentiel - transactions (var. annuelle %),Villa - prix (var. annuelle %),Villa - transactions (var. annuelle %)
T1-2010,,,,,,,1.4,,,,,,,,,,,,,,,,,,2.2,,,,,,,,,,,
T2-2010,,,,,,,2.2,-5.7,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,
T3-2010,,,,,,,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4-2010,,,,,,,-2.0,,,,,,,,,,,,,,,,,,-0.9,,,,,,,,,,,
T1-2011,1.7,-5.2,,,,,1.2,-5.5,,,0.7,-8.1,,,,,2.8,-8.9,6.7,-9.2,,,,,5.0,-9.7,,,0.7,-18.2,,,,,7.7,8.6
T2-2011,,,,,,,-1.6,-17.5,,,,,,,,,,,,,,,,,1.9,,,,,,,,,,,
T3-2011,,,,,,,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4-2011,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1-2012,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T2-2012,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T3-2012,,,,,,,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T4-2012,,,,,,,0.9,,,,,,,,,,,,,,,,,,0.9,,,,,,,,,,,
