trimestre;categorie;indicateur;variation_trimestrielle;variation_annuelle;confiance;fichier_source
T1-2010;Global;prix (prose, a verifier);1.4;2.2;basse;DERI-IPAI-2010 Q1.pdf
T2-2010;Global;prix;2.2;1.4;haute (lecture manuelle verifiee);DERI-IPAI-2010 Q2.pdf
T2-2010;Global;transactions;-5.7;;haute (lecture manuelle verifiee);DERI-IPAI-2010 Q2.pdf
T3-2010;Global;prix (prose, a verifier);2.4;;basse;DERI-IPAI-2010 Q3.pdf
T4-2010;Global;prix;-2.0;-0.9;haute (lecture manuelle verifiee);DERI-IPAI-2010 Q4.pdf
T1-2011;Appartement;prix;1.7;6.7;haute;DERI-IPAI-2011 Q1.pdf
T1-2011;Global;prix;1.2;5.0;haute;DERI-IPAI-2011 Q1.pdf
T1-2011;Maison;prix;0.7;0.7;haute;DERI-IPAI-2011 Q1.pdf
T1-2011;Villa;prix;2.8;7.7;haute;DERI-IPAI-2011 Q1.pdf
T1-2011;Appartement;transactions;-5.2;-9.2;haute;DERI-IPAI-2011 Q1.pdf
T1-2011;Global;transactions;-5.5;-9.7;haute;DERI-IPAI-2011 Q1.pdf
T1-2011;Maison;transactions;-8.1;-18.2;haute;DERI-IPAI-2011 Q1.pdf
T1-2011;Villa;transactions;-8.9;8.6;haute;DERI-IPAI-2011 Q1.pdf
T2-2011;Global;prix;-1.6;1.9;haute (lecture manuelle verifiee);DERI-IPAI-2011 Q2.pdf
T2-2011;Global;transactions;-17.5;;haute (lecture manuelle verifiee);DERI-IPAI-2011 Q2.pdf
T3-2011;Global;prix (prose, a verifier);1.1;;basse;DERI-IPAI-2011 Q3.pdf
T4-2011;Global;prix (prose, a verifier);-0.4;;basse;DERI-IPAI 2011 Q4.pdf
T1-2012;Global;prix (prose, a verifier);0.6;;basse;DERI-IPAI  2012 Q1.pdf
T2-2012;Global;prix (prose, a verifier);0.8;;basse;DERI-IPAI 2012 Q2.pdf
T3-2012;Global;prix (prose, a verifier);-0.7;;basse;DERI-IPAI 2012 Q3.pdf
T4-2012;Global;prix (prose, a verifier);0.9;0.9;basse;DERI-IPAI 2012 Q4.pdf
T1-2013;Global;prix;0.0;0.0;approximation (texte source qualitatif uniquement, sans chiffre precis);DERIIPAIT12013.pdf
T3-2013;Global;prix (prose, a verifier);-1.9;;basse;DERI-IPAI T3 2013 (1).pdf
T4-2013;Global;prix (prose, a verifier);-1.4;;basse;IPAI-T4-2013 (1).pdf
T1-2014;Global;prix;0.0;0.1;haute (lecture manuelle verifiee);DERI-IPAI T1 2014.pdf
T1-2014;Global;transactions;-2.6;10.1;haute (lecture manuelle verifiee);DERI-IPAI T1 2014.pdf
T2-2014;Global;prix (prose, a verifier);-1.3;;basse;DERI-IPAI+T2+2014.pdf
T3-2014;Global;prix (prose, a verifier);1.4;;basse;DERI-IPAI+T3+2014.pdf
T4-2014;Global;prix (prose, a verifier);-1.4;;basse;DERI-IPAI+T4+2014.pdf
T1-2015;Global;prix (prose, a verifier);0.1;;basse;DERI-IPAI+T1+20151852015.pdf
T2-2015;Global;prix (prose, a verifier);0.8;0.8;basse;DERI-IPAI+T2-2015.pdf
T3-2015;Appartement;prix;-1.5;-1.9;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Bureau;prix;-2.1;-10.0;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Foncier;prix;-2.4;-4.0;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Global;prix;-1.5;-2.2;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Local commercial;prix;-1.1;-2.6;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Maison;prix;-0.8;1.2;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Résidentiel;prix;-1.1;-1.0;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Villa;prix;5.5;5.7;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Appartement;transactions;-7.9;-8.4;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Bureau;transactions;-30.1;-6.1;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Foncier;transactions;-17.0;-9.8;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Global;transactions;-10.4;-8.7;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Local commercial;transactions;-16.2;-9.7;haute;DERI-IPAI+T3+2015.pdf
T3-2015;Maison;transactions;-4.2;-1.6;haute;DERI-IPAI+T3+2015.pdf
