Colonne1,déc-07,janv-08,févr-08,mars-08,avr-08,mai-08,juin-08,juil-08,août-08,sept-08,oct-08,nov-08,déc-08,janv-09,févr-09,mars-09,avr-09,mai-09,juin-09,juil-09,août-09,sept-09,oct-09,nov-09,déc-09,janv-10,févr-10,mars-10,avr-10,mai-10,juin-10,juil-10,août-10,sept-10,oct-10,nov-10,déc-10,janv-11,févr-11,mars-11,avr-11,mai-11,juin-11,juil-11,août-11,sept-11,oct-11,nov-11,déc-11,janv-12,févr-12,mars-12,avr-12,mai-12,juin-12,juil-12,août-12,sept-12,oct-12,nov-12,déc-12,janv-13,févr-13,mars-13,avr-13,mai-13,juin-13,juil-13,août-13,sept-13,oct-13,nov-13,déc-13,janv-14,févr-14,mars-14,avr-14,mai-14,juin-14,juil-14,août-14,sept-14,oct-14,nov-14,déc-14,janv-15,févr-15,mars-15,avr-15,mai-15,juin-15,juil-15,août-15,sept-15,oct-15,nov-15,déc-15,janv-16,févr-16,mars-16,avr-16,mai-16,juin-16,juil-16,août-16,sept-16,oct-16,nov-16,déc-16,janv-17,févr-17,mars-17,avr-17,mai-17,juin-17,juil-17,août-17,sept-17,oct-17,nov-17,déc-17,janv-18,févr-18,mars-18,avr-18,mai-18,juin-18,juil-18,août-18,sept-18,oct-18,nov-18,déc-18,janv-19,févr-19,mars-19,avr-19,mai-19,juin-19,juil-19,août-19,sept-19,oct-19,nov-19,déc-19,janv-20,févr-20,mars-20,avr-20,mai-20,juin-20,juil-20,août-20,sept-20,oct-20,nov-20,déc-20,janv-21,févr-21,mars-21,avr-21,mai-21,juin-21,juil-21,août-21,sept-21,oct-21,nov-21,déc-21,janv-22,févr-22,mars-22,avr-22,mai-22,juin-22,juil-22,août-22,sept-22,oct-22,nov-22,déc-22,janv-23,févr-23,mars-23,avr-23,mai-23,juin-23,juil-23,août-23,sept-23,oct-23,nov-23,déc-23,janv-24,févr-24,mars-24,avr-24,mai-24,juin-24,juil-24,août-24,sept-24,oct-24,nov-24,déc-24,janv-25,févr-25,mars-25,avr-25,mai-25,juin-25,juil-25,août-25,sept-25,oct-25,nov-25,déc-25,janv-26,févr-26,mars-26,avr-26,mai-26
Débarquement de produits de pêche EN QUANTITE,,,,,,,,,,,,,943190,,,,,,,,,,,,1067271,,,,,,,,,823285,955836,,,,119796,167315,219282,249002,314281,391554,,603161,745939,817585,914940,75904,116103,188496,267515,379117,466469,561683,649554,805931,899508,999740,1120937,72861,157109,250087,325248,403916,503360,643567,758847,895565,948027,1058253,1181658,71674,140440,216616,334460,431463,553389,646323,759874,911063,1025119,1167257,1287237,68891,138535,224450,283780,394994,544127,630996,792315,888953,1036628,1154377,1288952,140000,208480,302793,412611,545096,660704,750703,922303,988241,1153381,1289331,1383215,85620,168387,247992,387000,516590,596619,742299,834613,931680,1087598,1219130,1310494,79719,145180,236877,335356,450002,531850,737152,737152,884907,1069598,1178617,1311623,,,281598,386246,475728,590949,724350,783217,947157,1140457,1247845,1395600,104582,,249730,,411340,547240,,743004,905171,1034266,1188264,1296527,72439,145332,246507,343410,414046,531441,600862,709310,865987,1023081,1184803,1332748,47305,115029,193955,310363,473004,645241,719925,893585,1089969,1251122,,1511267,30201,117405,210703,291162,422218,522879,599909,753996,914017,1108330,1251954,1350190,34805,92226,181280,268932,392844,469717,625674,766196,936354,1102649,1233655,1336090,30441,67661,136876,206691,321550,391353,523765,682672,814742,948177,1048347,1132801,24151,55153,89895,195828,264418
Débarquement de produits de pêche EN VALEUR ,,,,,,,,,,,,,4478536,,,,,,,,,,,,4256172,,,,,,,,,3382270,3767172,,4225388,,847304,1254059,1634780,1945581,2283303,2734468,,3675904,4111731,4496078,5028986,449347,778503,1182035,1491912,1945450,2446181,2969004,3363507,3825060,4117906,4538929,5141542,437091,870120,1380394,1714576,2089863,2631922,3216659,3598679,4045533,4236063,4852153,5486351,374062,711426,1129530,1584037,2021436,2812542,3344509,3868822,4340634,4635115,5205582,6037219,408543,942283,1447313,1792400,2309047,3246247,3690838,4364768,4666997,5111858,5528990,6586298,,1103133,1640292,2111929,2665626,3411358,3917569,4688300,4919490,5469671,5962536,6845704,768016,1309121,1854996,,2911477,3436954,4306140,4903105,5256475,5825671,6284307,7285419,699179,1380235,2049292,2480452,3025256,3394566,4583646,5103361,5837267,6447836,6838584,7347461,,,2350092,2819839,3282134,3955228,4683925,5026560,5749447,6390011,6778162,7342204,1013540,,2094113,,2840598,3334182,,4482991,5258977,5743309,6268331,6721375,1068917,1699689,2544161,3276161,3652740,4523884,5054434,6048511,6831828,7414383,8033190,9108909,1189404,2027451,2905714,3480356,4162771,4838411,5409816,6554807,7455350,8160775,,9705171,977338,2052140,2918187,3518495,4412495,4989352,5872560,7029792,7862996,8684886,9378589,9980265,1160328,2021110,2969814,3572336,4375224,4809149,6305968,7416209,8460109,9231794,9958356,10548655,1413761,2295180,3210193,3661470,4420366,4811383,6142434,7367989,8199191,8941051,9576841,10111850,1483113,2360497,3112829,3854049,4396458
Moyenne des precipitations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.12126723350527,1.113745247312619,30.78975108608427,31.64223277540764,18.55283663949997,7.755971438428487,5.747145328562103,6.72910698782412,10.67183549607626,15.98307307607237,20.64225796368915,17.85598667347773,35.95818763604851,23.19322683789378,28.67739098134457,24.44217081414656,13.474963136522,8.73995191350527,2.753353326022075,3.762781131360783,9.622755036254448,2.589804101956065,23.05644593624369,15.97740143358614,12.27627356407078,11.99869067944386,39.62808171400904,19.17246470434179,7.793682417550753,9.645981283497441,5.010564119011526,6.301797170374899,15.99201926776033,12.56437248012739,3.882902085160903,34.76950231893074,8.683402422458022,48.59713969964654,6.059431268564391,10.27230273296485,30.24658608146496,14.0133524808913,3.041453621653107,5.520211193142627,10.66212682004766,17.13951174491977,3.344277434099167,4.492725440506931,8.213450396890023,22.06078993202895,40.10705247491285,16.42455665423542,5.663504912919853,10.74234230018569,2.528651903668434,4.898092941511333,40.91027496972947,31.41430575586237,8.549633256678499,6.666619788043286,12.02918094753444,16.00147474263773,50.83196664098327,29.0295075439783,13.09365375166991,8.011019272977283,4.31889303267929,6.803431742278335,12.36390225809162,11.93901671496852,20.69599447793497,63.01484072254885,59.81611456828183,30.84758912612079,48.20493810772676,23.31744050823122,
Température_moyenne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.14826635114646,16.57364722924639,15.67180075474708,17.42061771128441,21.96085148396286,24.30786898585869,29.01135468227743,28.1647691927347,26.12855308229257,20.60851637627991,17.13286735493127,12.50983351818329,11.96024434361177,13.76936725638986,14.79453654558116,17.96499981427818,21.47610641027474,23.92374471440532,28.15905106432898,27.23181463440831,25.27107920423122,21.58158928496937,14.51312748705518,13.25232094836525,12.35032433247618,14.92417665328122,13.79194546929582,16.73838570752501,22.73724314663937,24.71424755287945,28.94524136166944,27.92991116320616,24.23707626841965,22.52436547791575,18.29890070132287,14.69677341631217,11.47135403257787,11.43946887323949,18.66418016110896,20.48052420040566,20.35427479992145,24.59456987898479,28.43975617235197,29.25870943579915,24.3082283140769,22.8962489139026,17.72236744914824,14.07876816175221,15.08284976782505,15.55904439359012,15.98470062450889,19.58262807401444,21.35121350536579,23.33104018753153,28.18305468568066,28.39307965665517,23.78948737810176,20.64737866205586,18.55207244722374,13.61234672811472,12.22165776898101,13.37441695485664,14.47135506973534,18.13589520998307,20.90517036551345,26.16253575806954,27.8218065855379,28.44084630130445,25.01511093627575,21.93207934000431,17.07027865318673,11.0881649157876,10.86200804876809,14.92042756091629,13.94121364595134,18.14610718316634,
Taux d’Utilisation des Capacités,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,65,65.33333333333333,66.75,67.4,68.66666666666667,69.28571428571428,68.875,69.33333333333334,69.4,69,68.5,62,62,62.33333333333334,62,62.4,63,63,62.625,63.222222222222214,63.99999999999999,65.18181818181819,65,60,60,61.66666666666667,61.25000000000001,61.199999999999996,60.83333333333333,60.57142857142858,60.375,60.22222222222222,60.4,60.45454545454546,61,61,60,60,62,61,60.8,64,59,61,74,74,73,75,75,75,75,75,75,75,69,73,76,75,73,67,72,56.00000000000001,47,56.00000000000001,64,67,63,70,72,70,70,72,71,72,71,74,75,71,71,73,72,73,73,69,71,72.01641409793194,72.49207872367775,73.08172615669517,73.69667895288285,71.3364306251459,68.5493512895916,73.96244378930825,73.96244378930825,75,74.13515645392633,72,73,73,72,73,74,75,75,76,76,76,76,78,79,79,78,78,75,76,77,79,79,78,78,78,78,78,77,78,78,79,79,79,80,79,79,77,78,78,78,77
Utilisation des capacités de production (cumulé),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.722823295145534,0.7289711004203804,0.7271373845847116,0.730750798982577,0.7298653245598764,0.7305324071205556,0.7322019990134297,0.7223124252498848,0.7241167793854919,0.7256843221093109,0.7271308296298414,0.7270906701096281,0.7459828310481055,0.7492527010459582,0.7482643680086679,0.7492583486621412,0.7496846274147317,0.7490831297808143,0.7509051068729659,0.7429826140330782,0.7419908238517172,0.7436723035400483,0.7434635390701666,0.7424883715546708,0.7124277534776183,0.7143172681083023,0.6621166461954052,0.613810768052465,0.6032212020121431,0.6091787317021276,0.6182197156982875,0.6200026472593808,0.6284604186778557,0.637273607027647,0.6433783250054379,0.6485077071680362,0.7151972339747842,0.7149768792912947,0.7159946888282964,0.7141934673169364,0.7186087008081659,0.7243156884985954,0.7229061295841083,0.7214143522130145,0.7223683130782352,0.7219146357332468,0.7227407574293652,0.723112234613757,0.6854284228829463,0.6978957393448326,0.7053185398896615,0.7102191017264405,0.7143387336945428,0.7181100763335904,0.7174321091790002,0.7134397846436147,0.7163491905602223,0.7186767152935083,0.7215242866304621,0.7231765597895289,0.720895662060833,0.7254478310304164,0.7284217002264667,0.7262077070048925,0.7278400533276275,0.7302501745716671,0.7336891001544974,0.7366010341733635,0.7391303848431156,0.7410479392069692,0.7431119834217804,0.7441139923371515,0.7811815026127801,0.785193124834536,0.787960605836024,0.7862082489640975,0.7840185253319539,0.7776287404136819,0.7746248959256794,0.7736969759497233,0.7753640055651252,0.7764331093331936,0.7767390750437942,0.776650265662674,0.7795911118691996,0.7776962974228299,0.7808958695898197,0.7771137449536477,0.778214783656529,0.7792732150865141,0.7812783896126542,0.7829598565278348,0.7843731027223265,0.7858918468999287,0.7864858720278408,0.7867787160255206,0.7742746229739292,0.7749499623898746,0.776922717589443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Création d'entreprises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5235,6249,6914,6344,6219,6232,4923,4287,4503,5671,5850,6314,5882,7010,8376,6521,6789,6557,4186,5923,4685,6057,6954,6005,6910,7098,8361,6527,7027,5627,5008,5594,4971,7806,7389,6114,7298,8410,9141,7581,8047,5661,7062,4575,7422,10246,8134,8124,9244,9742,9701,8337,7969,5623,7025,4551,7385,9741,6957,8294,7884,9504,6522,429,681,6359,9749,6317,9666,6355,6355,6355,7786,10473,6355,6355,7259,8751,6024,6073,8082,10294,6355,10294,6935,8316,9412,7828,7175,8232,5982,6777,8103,8188,8578,7199,6967,8385,9251,6699,9117,8898,6600,6876,6790,8531,8204,7060,7012,9306,8676,6669,9359,6867,6847,6438,7119,10138,8162,8525,8734,10898,9543,9242,10443,7676,8534,6617,8833,11018,8508,8759,7892,9110,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Production du phosphate brut  (Jan 2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5121,7722.1,,13733.2,16681.2,19597,22592.9,25531.7,28384.7,31205,34321.0395,,5534,8290,,14103.9964,17136.1,20245.8,23112.5367,26189.454999999998,,32359.585,35273.655,,5303.2,8295.1,,14501.6,17947.7,20960.600000000002,,27456.2,,34152.8,37441.5,,5606.1,8840.7,,15250.400000000001,18314.800000000003,,25019.200000000004,28364.4,,34762.8,38121.9,,5037.8,7867.2,,13072.7,15779,,21174.7,23786.8,,28554.6,30456.1,,3525.5,5791.8,,10044.6,12102.446199999995,,16685.6636,19583.646199999996,,25470.7032,28689.646199999996,,4920,7649.9,,13128.8,15959.9,,22146.9,,,,,,5588.3,8557.6,,15028.900000000001,18371.2,,25059.6,,,,,,5035.3,8382.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
