Période (à fin),T1-2006,T2-2006,T3-2006,T4-2006,T1-2007,T2-2007,T3-2007,T4-2007,T1-2008,T2-2008,T3-2008,T4-2008,T1-2009,T2-2009,T3-2009,T4-2009,T1-2010,T2-2010,T3-2010,T4-2010,T1-2011,T2-2011,T3-2011,T4-2011,T1-2012,T2-2012,T3-2012,T4-2012,T1-2013,T2-2013,T3-2013,T4-2013,T1-2014,T2-2014,T3-2014,T4-2014,T1-2015,T2-2015,T3-2015,T4-2015,T1-2016,T2-2016,T3-2016,T4-2016,T1-2017,T2-2017,T3-2017,T4-2017,T1-2018,T2-2018,T3-2018,T4-2018,T1-2019,T2-2019,T3-2019,T4-2019,T1-2020,T2-2020,T3-2020,T4-2020,T1-2021,T2-2021,T3-2021,T4-2021,T1-2022,T2-2022,T3-2022,T4-2022,T1-2023,T2-2023,T3-2023,T4-2023,T1-2024,T2-2024,T3-2024,T4-2024,T1-2025,T2-2025,T3-2025,T4-2025,T1-2026,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parc téléphonie mobile global (en milliers),12904,13244,14900,16005,17126,17638,19188,20029,20616,21412,22294,22816,23516,23534,25077,25311,27046,27879,30503,31982,33375,34975,36150,36554,36239,37422,38287,39016,39517,39991,41324,42424,43380,43294,44258,44115,43387,43010,44449,43080,42064,41440,43341,41514,41785,42052,44250,43916,43693,44027,46041,44738,44730,45213,47503,46667,45874,45516,48072,49421,49473,49241,52012,51334,51287,51553,54635,52898,52879,54117,57296,55873,55233,56932,60245,58286,57389,58777,61139,59163,57059,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taux de pénétration du mobile,0.4317,0.4431,0.4985,0.5354,0.5614,0.5782,0.629,0.6566,0.6685,0.6943,0.7229,0.7398,0.7543,0.7549,0.8044,0.8118,0.8582,0.8847,0.9679,1.0149,1.0478,1.0866,1.1231,1.1357,1.1259,1.1507,1.1773,1.1997,1.2151,1.2173,1.2579,1.2913,1.3204,1.3049,1.3339,1.3296,1.2818,1.2727,1.3132,1.2727,1.2427,1.2243,1.2805,1.2265,1.2345,1.2066,1.2696,1.2601,1.2537,1.2501,1.3073,1.2703,1.27,1.2705,1.3349,1.3114,1.2891,1.266,1.3371,1.3747,1.3761,1.356,1.4323,1.4136,1.4124,1.4058,1.4899,1.4425,1.442,1.4617,1.5476,1.5092,1.4919,1.5235,1.6121,1.5826,1.5583,1.596,1.6601,1.6065,1.5493,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parc Internet global  (en milliers),316,342,357,400,433,477,490,526,582,654,690,757,834,963,1048,1187,1362,1500,1647,1867,2173,2346,2882,3182,3445,3759,3877,3957,4061,4900,5220,5776,6390,7798,8498,9969,10318,11256,13898,14471,14480,14885,16923,17058,18256,19243,22564,22192,21126,21471,24021,22782,23095,23569,26365,25385,26371,27207,28748,29803,30599,31314,33860,32846,32551,33449,36581,35574,35640,36614,39539.083,38286.815,38296,39145,42127,40220,39864,41188,43408,41464,41078,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taux de pénétration de l’Internet,,,,,,,,,,,,,,,,,,,,0.0592,0.0682,0.0729,0.0895,0.0989,0.107,0.11560000000000001,0.1192,0.1217,0.1249,0.1491,0.1589,0.17579999999999998,0.1945,0.235,0.2561,0.3005,0.3048,0.3326,0.4106,0.4275,0.4278,0.43979999999999997,0.5,0.504,0.5394,0.5521,0.6474,0.6367,0.6062,0.6096,0.682,0.6469,0.6557999999999999,0.6623,0.7409,0.7132999999999999,0.741,0.7568,0.7996,0.8290000000000001,0.8511,0.8623,0.9324,0.9045,0.8964,0.9122,0.9976,0.9701,0.9719,0.989,1.068,1.0342,1.0344,1.0475,1.1273,1.0921,1.0824,1.1184,1.1787,1.1259,1.1154,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parc liaisons Data Entreprises Nationale (T1-2018),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23464,24184,24409,26454,27387,28212,29416,30255,31667,32790,33221,33782,34047,34380,34415,34635,36236,37090,37184,37367,37508,37570,37751,38152,38311,38466,38730,38914,38375,37979,37162,36484,36545,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parc liaisons Data Entreprises Nationale_VPN IP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19500,20264,20486,22515,23411,24193,25332,26046,27417,28511,28875,29384,29631,29977,30009,30359,31941,32636,32846,32912,32983,32927,33083,33402,33537,33696,33940,34079,33467,33008,32149,31360,30220,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parc liaisons Data Entreprises Internationale global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,62,62,60,62,58,56,56,51,50,50,51,51,51,51,53,53,55,53,53,50,48,49,49,45,49,46,45,41,42,34,28,26,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parc des noms de domaine «.ma»,,,,,,,,,,,,,,,,,,,36669,37969,39448,41116,41744,42187,43354,44646,45397,46806,48104,49466,50104,50945,52454,52857,53425,54450,56483,57129,57703,59138,60689,61391,62331,63586,64564,65543,66208,67082,68546,69159,69805,71581,73013,74328,76006,78336,80763,85138,89715,93506,98354,101599,102909,106234,108651,110344,111854,112319,114556,115781,117125,118896,120332,121065,122018,123891,125767,128009,131100,133977,135993,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouveaux enregistrements durant le trimestre,,,,,,,,,,,,,,,,,,,2023,2897,2978,2988,2520,2935,3445,3273,2693,3182,3579,3718,3098,3793,3800,3564,2980,3460,3709,3872,2742,3966,4764,3942,3167,4018,4518,4115,3299,4070,4689,3965,3531,4741,5131,4780,4537,5797,6227,8387,7768,8177,9315,7966,6985,9448,9174,8526,7353,7901,9701,8455,7459,8992,8727,8486,7314,9272,9240,9510,9563,10223,10302,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
