;92/93;93/94;94/95;95/96;96/97;97/98;98/99;99/2000;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2018/2019;2019/2020;2020/2021
Céréales;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Blé dur;3.1;2.67;3.2;2.58;2.72;2.7;2.83;2.86;2.86;2.91;2.74;2.61;2.79;2.44;3.05;4.03;2.7;2.81;2.9;3.44;2.81;2.95;2.81;3.26;2.89;2.67;2.61;2.92
    Blé tendre;2.73;2.39;2.91;2.32;2.51;2.45;2.47;2.57;2.51;2.5;2.49;2.39;2.52;2.21;2.74;3.16;2.4;2.57;2.47;2.76;2.52;2.9;2.37;2.67;2.36;2.38;2.34;2.4
    Orge;2.01;1.2;1.97;1.44;1.68;1.81;1.91;2.27;2.19;1.64;1.5;1.61;1.95;1.61;2.36;2.99;1.6;1.71;2.25;2.92;2.3;2.37;2.05;2.78;2.19;1.9;2.0;2.49
    Maïs;2.51;2.26;2.5;2.18;1.77;1.97;1.89;2.37;2.24;2.07;1.92;1.97;2.0;1.86;2.47;3.09;2.19;2.16;2.42;2.77;2.64;2.55;2.37;2.53;2.91;3.47;3.04;3.29
    Avoine;2.4;1.8;2.22;1.92;2.77;2.66;2.4;2.92;2.67;2.11;1.93;1.8;2.22;2.27;2.91;3.69;2.84;2.8;3.04;3.75;3.38;3.0;3.5;4.8;2.58;2.99;2.99;2.99
    Sorgho;1.9;1.63;3.44;1.99;2.03;2.5;2.31;2.32;2.76;2.92;2.47;2.57;2.59;2.87;2.8;2.98;2.98;3.43;3.03;3.5;3.5;null;null;;3.2;3.531;3.72;4.63
Légumineuses;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Fèves;4.45;4.27;4.75;3.68;3.49;4.05;4.13;5.15;4.59;4.13;3.3;3.29;3.39;3.14;3.92;5.06;4.47;4.15;4.61;5.61;5.37;4.79;4.5;4.63;4.99;4.36;4.21;4.48
    Petit-pois;5.93;4.86;7.98;4.8;4.11;5.7;5.46;5.08;5.5;4.1;3.34;4.35;4.35;4.74;4.6;6.14;4.76;6.52;7.53;7.9;6.14;8.28;7.6;7.38;7.91;5.48;5.15;6.21
    Lentilles;7.14;8.04;7.14;5.1;4.63;4.88;6.04;8.32;5.65;4.1;3.78;4.31;6.32;4.27;5.89;8.83;7.29;3.4;5.08;4.96;7.29;7.21;7.85;9.93;12.5;8.93;7.04;6.53
    Pois chiches;4.84;7.2;10.59;8.75;4.41;4.08;5.04;7.47;7.75;4.0;3.24;4.89;6.86;7.87;7.45;7.05;5.35;5.33;10.45;9.95;11.58;9.97;9.18;10.19;12.19;11.92;10.63;8.08
    Orobes;2.59;2.33;3.42;3.02;3.04;3.03;2.99;3.34;2.92;3.04;2.76;2.76;3.53;3.81;4.25;3.7;3.32;3.71;4.8;4.49;4.07;5.05;4.91;6.21;4.63;4.42;5.05;3.46
    Haricot-sec;7.32;9.59;10.56;8.02;6.64;6.56;8.09;9.59;9.53;8.41;7.08;6.14;7.98;9.05;9.0;8.99;7.67;9.29;9.95;7.74;12.01;13.05;11.82;11.76;12.83;10.46;8.22;9.33
Cultures Oléagineuses;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Arachides;4.95;7.19;7.7;5.71;6.19;7.27;6.16;6.03;6.92;6.59;6.46;7.69;7.02;6.67;7.53;8.8;6.59;6.27;9.27;9.93;8.45;null;null;10.23;5.46;4.805;5.564;5.194
    Tournesol;4.21;4.35;4.61;3.62;3.67;4.05;4.09;3.98;4.09;4.01;3.87;4.1;4.23;4.07;4.07;4.46;4.48;4.05;4.31;4.06;4.22;10.06;9.91;;8.37;9.6;9.75;11.124
Maraîchage;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Tomates;1.8;1.44;2.0;1.61;1.56;1.63;1.94;1.7;1.52;1.66;2.0;1.46;1.77;1.45;1.84;2.04;2.31;2.01;2.11;2.41;2.31;2.28;1.68;1.95;1.98;2.545;2.824;1.871
    Pommes de terres;2.57;2.06;2.66;1.9;1.77;2.53;2.01;2.0;1.98;1.69;1.96;1.89;1.93;2.34;2.47;2.09;2.01;2.96;2.42;2.22;2.38;1.78;1.97;2.0;2.11;2.15;2.085;1.788
    Oignon;1.52;1.66;1.53;1.9;1.33;1.34;1.17;1.53;1.12;1.3;1.76;1.24;1.33;1.29;1.46;1.46;1.55;2.03;1.81;1.28;1.53;0.99;1.29;1.12;1.67;1.595;2.345;1.333
Plantations fruitières;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Olivier;2.76;3.07;4.12;2.88;2.91;2.35;2.86;3.26;3.13;3.59;2.76;3.22;4.26;4.95;4.72;5.06;3.88;3.29;3.63;3.75;4.64;4.57;4.89;5.89;5.29;5.368;4.498;4.943
    Amandes décortiquées;37.6;42.95;46.82;79.54;39.7;36.11;33.67;34.36;34.56;45.75;42.47;46.17;53.5;57.77;52.3;48.02;34.99;33.8;46.32;52.1;54.2;54.67;69.72;75.74;66.52;59.87;66.72;71.55
    Raisins;3.36;2.84;2.93;3.25;2.94;2.92;2.21;3.21;3.11;3.64;3.81;3.98;3.84;3.53;3.44;4.4;3.87;4.3;4.68;6.65;5.62;3.76;4.35;4.19;4.1;4.2;3.64;5.33
