;79/80;80/81;81/82;82/83;83/84;84/85;85/86;86/87;87/88;88/89;89/90;90/91;91/92;92/93;93/94;94/95;95/96;96/97;97/98;98/99;99/2000;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
Céréales;45056.8;21218.2;49081.0;35731.2;37498.7;53001.3;78052.1;43125.8;79393.3;74088.9;62662.4;86572.4;29420.5;28100.2;96282.3;17658.1;100932.2;40864.0;66195.0;38339.2;19863.0;45930.0;52758.4;79593.9;85891.3;42698.6;92267.6;24960.0;53219.4;104519.4;78253.9;86220.0;53012.0;98640.0;69307.0;116 910;35 513;97775.0;104677.0;53037.0;32 750;104 549;35 308;56 133;32 336
    Blé dur;13309.6;6104.6;14062.0;12385.3;11712.8;13415.9;19812.7;11255.0;17659.1;17665.2;16167.4;22157.4;6818.0;6312.9;23423.3;4386.8;22697.8;8816.2;15444.0;7995.3;4273.7;10387.9;10315.0;17662.2;20247.7;9407.27;20954.99;5138.3;12399.78;20329.95;16328.2;18480.0;11349.0;18972.0;14101.78;24069.47;8749.9;21990.76;24319.79;13436.51;7919.18;24831.48;8137.5;11787.4;6955.59
    Blé tendre;4800.3;2816.6;7771.8;7317.5;8182.0;10165.9;18278.2;13018.6;22534.3;21604.4;19971.5;27231.8;8803.6;9417.3;31808.8;6520.3;36460.1;14348.7;28340.8;13540.1;9533.3;22775.9;23251.8;33806.2;35150.7;21023.5;42312.59;10688.05;25294.74;43384.25;32433.2;41699.0;27431.0;50367.0;37057.0;56677.12;18561.4;48917.41;49101.13;26816.51;17699.8;50607.0;18939.02;29797.3;17461.11
    Orge;22096.7;10390.2;23337.6;12276.5;14046.3;25413.8;35628.6;15433.1;34540.3;29986.2;21376.4;32525.2;10806.9;10268.3;37199.1;6076.9;38311.1;13242.4;19699.8;14739.8;4668.1;11552.4;16689.8;26203.9;27603.4;11021.3;25350.83;7625.5;13532.41;37860.11;25664.5;23176.0;12014.0;27226.0;16381.0;33969.92;6199.2;24664.62;29194.62;11611.83;6450.32;27803.45;6963.8;13481.1;6592.19
    Maïs;3327.2;896.6;2468.9;2583.6;2639.6;3210.0;3068.6;2400.2;3579.9;4028.4;4356.2;3350.4;2156.0;923.2;2026.1;504.9;2350.9;3744.6;2005.2;1363.8;949.8;535.6;1988.8;1285.8;2241.3;501.2;2973.8;948.6;1209.5;2045.2;2791.5;2213.0;902.0;1181.0;974.0;922.84;1288.0;1223.99;1183.62;404.91;298.86;486.37;357.83;109.0;732.27
    Autres céréales;1523.0;1010.2;1440.7;1168.3;918.0;795.7;1264.0;1018.9;1079.7;804.7;790.9;1307.6;836.0;1178.5;1825.0;169.2;1112.3;712.1;705.2;700.2;438.1;678.2;513.0;635.8;648.2;745.28;675.4;559.62;765.0;899.89;1036.5;27.0;2.0;4.0;49.0;129.0;11.0;16.0;0.0;2.0;0.0;;328.1;;
Légumineuses;2310.2;666.8;2216.4;2852.3;2455.5;3884.5;4680.3;3137.1;4502.2;3473.4;3368.4;4485.4;1544.6;773.8;2766.9;874.0;2733.8;2135.0;2448.1;1292.8;799.4;1616.8;2365.0;2321.4;2411.3;1487.3;3322.0;1418.3;1956.1;2757.0;2823.85;3392.0;2820.0;2933.0;3164.0;2693.0;971.0;2229.0;2817.0;2244.0;1495.0;3002.8;1003.3;;
Cultures Oléagineuses;402.1;265.2;470.2;473.4;544.3;530.9;682.2;1382.0;2185.2;1197.3;1733.5;1074.8;1808.8;789.4;909.0;254.5;1296.2;1151.7;1067.2;848.8;574.2;776.5;737.2;1117.4;1007.4;651.8;529.0;839.57;746.8;1034.4;1099.88;890.0;557.0;582.0;662.0;872.0;675.0;605.0;706.0;790.0;689.0;707.5;584.7;;
    Arachides;348.4;178.2;407.4;315.8;353.9;290.4;249.6;346.0;650.1;233.2;147.6;204.8;348.4;343.8;300.7;142.4;186.1;446.0;450.8;424.3;388.2;445.5;403.4;211.1;515.2;470.0;446.0;496.07;410.1;516.86;654.52;364.0;357.0;322.0;397.0;367.0;368.0;0.0;0.0;0.0;0.0;367.9;277.6;;
    Tournesol;53.7;87.0;62.8;157.6;190.4;240.5;432.6;1036.0;1535.1;964.1;1585.9;870.0;1460.4;445.6;608.3;112.1;1110.1;705.7;616.4;424.5;186.0;331.0;333.8;906.3;492.2;181.8;83.0;322.4;323.1;502.48;593.44;481.0;177.0;190.0;274.0;524.0;302.0;238.0;376.0;295.0;224.0;246.0;304.3;;
Cultures Sucrières;25642.5;27287.7;28253.0;33234.8;33004.7;29646.3;34170.8;35983.9;40845.0;38618.1;40026.7;40638.9;37478.4;41082.5;40693.3;37487.2;36487.0;33555.8;41057.9;46057.5;42018.0;41599.3;39359.3;43271.3;40621.9;40885.4;35486.0;34178.8;38383.0;35664.1;30681.92;37991.0;21677.0;26832.0;34951.0;42710.0;46454.0;42945.0;43266.0;42118.0;44241.0;31872.5;24699.3;;
    Betterave à sucre;21890.9;21072.5;23153.5;25885.6;25254.4;22445.6;26248.4;27503.1;29901.8;28770.3;29835.9;30361.7;27540.7;31623.2;31438.9;27174.0;27495.9;26128.4;28226.7;32363.8;28834.0;28359.3;29868.5;34285.1;31900.1;33015.4;25520.0;24840.3;29257.0;27533.7;24359.12;30351.0;16267.0;21422.0;32086.0;38756.0;42189.0;37414.0;37105.0;36929.0;36316.0;25739.9;18980.4;;
    Canne à sucre;3751.6;6215.2;5099.5;7349.2;7750.3;7200.7;7922.4;8480.8;10943.2;9847.8;10190.8;10277.2;9937.7;9459.3;9254.4;10313.2;8991.1;7427.4;12831.2;13693.7;13184.0;13240.0;9490.8;8986.2;8721.8;7870.0;9966.0;9338.5;9126.0;8130.4;6322.8;7639.0;5410.0;5410.0;2865.0;3953.0;4265.0;5531.0;6161.0;5190.0;7925.0;6132.5;5718.9;;
