,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,60/61,61/62,62/63,63/64,64/65,65/66,66/67,67/68,68/69,69/70,70/71,71/72,72/73,73/74,74/75,75/76,76/77,77/78,78/79,79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/2000,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026,2026/2027,2027/2028
Céréales,,,,,,,,,,,,,,,,,,,,,4.8,11.5,7.6,8.4,11.1,15.1,8.5,15,,,,5.9,5.6,15.9,4.4,16.9,8.3,11.2,7.4,3.7,8.9,10.7,14.3,15.1,7.8,16.5,5.2,10,19.2,15.5,16,10.2,18.3,14.5,21.4,9.4,17.6,22.5,14.6,7.4,23.4,9.4,14.8,11.9,16.6,,,
    Blé dur,,,,,,,,,,,,,,,,,,,,,5.2,12.7,9.6,10.4,12,16.6,10.1,16,,,,6.3,5.6,17.5,5.3,18.2,9.1,13.7,7.4,4,10.6,11.7,16.2,18.2,8.9,19.6,6.1,13.4,21,18.1,19.3,11.8,20.1,15.6,24.1,10.44,20.22,24.4,16.41,7.97,25.81,9.75,14.18,11.96,,,,
    Blé tendre,,,,,,,,,,,,,,,,,,,,,5.9,13.4,10.6,11.2,13.1,17.7,11,18.6,,,,7.7,8,18.6,5.7,18.6,9.4,14.5,8.4,5.2,13.2,13.3,17.8,18,11,20.8,6.2,13.1,21.6,16.6,19.6,12.6,22.3,17.8,24.8,11.8,21.3,26,15.9,9.6,27,11.8,35.8,14.6,,,,
    Orge,,,,,,,,,,,,,,,,,,,,,4.7,11.4,5.7,6.6,10.7,14.4,6.7,13.8,,,,4.8,4.8,14.4,3.8,15.8,6.6,8.1,7.1,2.1,5.4,8.3,11.6,11.9,5.1,11.6,3.8,6.2,17.3,13.4,11.4,6.3,13.8,10.3,16.9,5.1,12.3,18.3,11.1,4.3,18.7,6.1,10.9,9.5,,,,
    Maïs,,,,,,,,,,,,,,,,,,,,,2.5,6.2,5.9,6.9,8,8.2,6.5,9,,,,4.8,2.1,6.3,1.3,9.3,11,6.5,4.1,4,2.1,7.5,5.6,9.2,2,12.2,4.2,5.5,9.2,12.1,11.5,7.6,6.6,7.1,7.5,9.3,9.4,8,6.4,4.2,5.3,,,,,,,
    Avoine,,,,,,,,,,,,,,,,,,,,,5.2,10.8,9,8.1,7.7,14.5,7.1,10.5,,,,6.8,6,12.4,4.9,8.9,6.3,7.1,4.7,3,5.3,7.1,7.9,8.7,6.1,9.3,2.9,7.1,9.7,12.5,6.8,11.8,14.4,8.8,11.4,6.1,11.7,17.4,6.5,3.7,3.6,,,,,,,
    Riz,,,,,,,,,,,,,,,,,,,,,3.7,8.2,6.1,7.5,5.7,6.4,6.1,6,,,,30.7,50,65,49.6,58,37.3,54.1,45,45,52.8,41.5,49.7,67.1,68,68,73.7,69.6,64.2,68.3,70.2,76,75.4,75,76.3,71.1,72,,73.4,81.8,67,,,,,,,
    Sorgho,,,,,,,,,,,,,,,,,,,,,37.1,36,23.5,25,28.3,45.6,55.1,44.5,,,,5.6,7.5,4.7,0.9,6.1,5.3,7,6.3,7.2,5.8,5,7.3,8.2,5.5,7.8,6.2,8.7,8.9,6.6,8,9.5,10.6,10,10.4,9.1,8.9,9,7.9,9.5,53.6,,,,,,,
Légumineuses,,,,,,,,,,,,,,,,,,,,,2.2,7.5,6.9,5.5,7.6,9.3,5.9,9.3,,,,3.4,2.4,8,2.8,8.8,5.9,6.4,3.9,2.5,5.2,6.2,6.5,6.6,4.2,8.9,3.8,5.3,7.3,7.1,7.9,7.1,7.3,8.4,6.4,3.4,7.9,8.5,7.2,5.5,11.5,4.5,5.5,,,,,
    Fèves,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,3.1,1.6,9.1,3,10.6,6.1,6.7,4,2.4,5.8,5.8,6.8,7.1,5,10.7,3.9,6,8.5,7.6,8.5,7.9,7.6,8.7,4.7,3,7.1,10.8,5.8,4.6,12.5,,,,,,,
    Petit-pois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,1.3,6.8,1.4,9.2,4.2,5.7,3.9,2,4.7,5.5,6.9,6.7,3.9,6.8,3.2,4.1,7.1,6,7.9,5.7,6.7,5.6,6.9,2.3,6.8,8.6,4.4,3.3,8.6,,,,,,,
    Lentilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.4,2,8.5,1.7,7.4,4.9,4.3,3.1,0.6,3.1,6.8,6.2,6.2,3,6.8,2.6,2.7,6.7,7,7.8,4.5,8.1,6.7,10.9,0.6,6.6,8,9.2,2.2,10,,,,,,,
    Pois chiches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3,2.5,7.1,1.9,6.6,6.8,8.3,4,2.3,5.5,7.2,6.1,5.8,4.2,8.9,4.3,5.9,6.4,7.2,5.2,6.6,4.4,8.6,8.7,5,10,4.2,9.2,9.3,11.4,,,,,,,
    Orobes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,1.5,6.2,4.3,6.8,5.6,4.7,2.7,1.3,3.8,6.3,3.9,4.2,3.7,5.4,2,3.9,5.2,5.4,6.5,3.6,3.7,3.9,4.7,1.6,6.1,,7.7,0,8,,,,,,,
