;80/81;81/82;82/83;83/84;84/85;85/86;86/87;87/88;88/89;89/90;90/91;91/92;92/93;93/94;94/95;95/96;96/97;97/98;98/99;99/2000;2000/2001;2001/2002;2002/2003;2003/2004;2004/2005;2005/2006;2006/2007;2007/2008;2008/2009;2009/2010;2010/2011;2011/2012;2012/2013;2013/2014;2014/2015;2015/2016;2016/2017;2017/2018;2018/2019;2019/2020;2020/2021;2021/2022;2022/2023;2023/2024
Céréales;4382.4;4280.5;4703.0;4477.6;4779.2;5165.7;5055.8;5301.6;5513.1;5593.0;5490.8;5012.5;5020.0;6073.6;3985.6;5981.1;4905.8;5896.9;5163.8;5435.8;5138.4;4941.7;5554.2;5679.5;5451.8;5583.9;4845.1;5309.3;5435.4;5056.2;5375.9;5216.8;5391.3;4763.4;5457.7;3795.4;5559.85;4659.0;3645.07;4436.91;4475.5;3776.14;3783.75;2706.32
    Blé dur;1165.6;1106.7;1285.9;1122.5;1115.5;1191.8;1110.2;1104.6;1169.8;1249.6;1244.8;1088.3;1133.7;1335.8;820.2;1248.9;972.1;1126.7;1077.8;1079.1;976.7;881.7;1092.9;1110.5;1059.1;1069.0;843.1;928.3;968.6;901.1;957.2;963.4;944.9;904.8;998.54;837.8;1087.81;996.64;818.66;993.28;962.23;834.35;831.21;581.69
    Blé tendre;481.4;579.1;689.8;733.3;777.8;1034.4;1178.2;1211.8;1459.7;1469.6;1396.5;1140.0;1176.7;1713.9;1147.7;1963.5;1520.8;1959.8;1613.8;1822.5;1723.9;1744.7;1896.0;1953.2;1906.7;2037.7;1728.8;1929.8;2009.0;1951.3;2131.0;2179.4;2259.3;2081.4;2275.33;1575.8;2296.42;1891.46;1687.31;1852.01;1876.66;1601.97;1603.01;1176.77
    Orge;2228.1;2046.5;2150.8;2126.0;2382.6;2471.8;2314.5;2499.2;2398.9;2414.9;2356.9;2232.9;2150.8;2582.4;1578.5;2430.3;1996.0;2426.0;2069.8;2250.9;2126.0;2002.4;2266.5;2324.1;2179.8;2188.7;1993.4;2181.3;2182.8;1919.6;2025.9;1893.1;1967.1;1585.2;2000.16;1207.6;2001.47;1598.68;1050.13;1495.19;1461.4;1137.33;1239.81;693.74
    Maïs;361.5;400.1;434.8;383.6;401.2;375.0;368.4;396.4;405.5;375.6;385.1;453.6;447.1;323.6;387.4;253.5;341.0;309.5;331.0;237.5;254.2;265.4;246.7;244.9;246.2;243.8;228.3;219.3;223.5;230.1;191.9;118.0;178.1;137.4;125.151;138.8;130.645;148.148;63.137;71.0;91.637;114.949;83.689;101.338
    Avoine;52.2;68.6;49.2;54.7;46.5;53.0;46.7;53.6;54.3;42.6;54.0;42.6;54.0;68.8;20.5;36.0;37.6;34.3;29.9;19.5;27.4;20.0;22.4;19.5;26.3;17.9;22.4;23.1;25.6;29.6;54.2;47.4;32.3;41.8;36.9;24.8;29.8;12.3;13.1;15.0;17.8;;;
    Riz;5.2;1.0;1.7;1.8;0.6;4.5;8.9;7.5;0.7;0.8;6.4;7.2;10.7;10.7;0.7;9.2;8.6;3.7;7.7;5.6;7.5;6.4;3.4;4.4;6.3;5.0;4.5;6.4;7.8;7.4;2.5;9.2;5.0;4.4;8.3;7.5;8.0;0.0;8.8;8.0;7.6;;;
    Sorgho;32.1;34.9;39.3;32.6;37.2;23.4;23.4;23.0;20.2;28.4;32.6;32.1;27.5;29.2;29.2;36.3;22.5;31.8;29.2;16.1;16.8;16.3;19.6;18.0;20.4;15.7;18.8;13.9;12.3;8.7;9.9;6.1;4.6;4.8;5.1;2.0;4.1;3.7;4.3;4.4;4.6;;;
    Autres céréales;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11.5;14.5;15.8;19.5;9.2;1.4;3.4;7.2;5.1;4.6;4.6;5.9;4.8;6.7;4.9;7.0;6.1;5.8;7.2;5.8;8.5;3.2;0.2;0.0;3.5;6.8;1.1;1.4;0.0;0.3;0.1;0.0;;;
Légumineuses;303.9;294.8;411.4;443.5;512.0;501.4;529.6;482.8;489.4;502.4;445.1;450.2;322.3;346.9;316.1;312.3;362.4;382.0;334.2;319.8;313.7;380.5;359.0;365.0;350.9;371.8;371.1;368.5;376.1;398.2;429.1;397.5;400.5;377.1;418.0;283.1;283.5;330.3;310.3;271.9;261.2;223.6;204.744;
