Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Superficies des principales cultures agricoles,
frequence,Année à cheval,
Scenario ,Reel,
Source ,Ministère de l'Agriculture et des Pêches Maritimes,MAPM
Période disponible ,2000/2001 - 2023/2024,
Date de dernière mise à jour ,2025-06-12 12:32:14.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Superficies des cultures,
Unité,Hectare,
Echelle ,Mille,
Axes Fixes ,Valeurs prises ,
Région/Province,Total des régions,
