,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1960.0,1961.0,1962.0,1963.0,1964.0,1965.0,1966.0,1967.0,1968.0,1969.0,1970.0,1971.0,1972.0,1973.0,1974.0,1975.0,1976.0,1977.0,1978.0,1979.0,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014.0,2015.0,2016,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0
   Viande rouge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302000.0,316000.0,330 000,334 000,386 000,398 000,398 000,392 000,334 420,353 970,367 080,422 000,431 000,458 000,470 000,503 000,590000.0,530000.0,550 000,590100.0,603100.0,606000.0,540900.0,490000.0,,,,,,
         Bovins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120000.0,135000.0,140 000,145 000,173 000,173 000,176 000,174 000,151 600,168 500,180 000,189 000,194 000,204 000,229 000,254 000,270000.0,281000.0,290 000,276500.0,281600.0,283000.0,252000.0,229000.0,,,,,,
         Ovins ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115000.0,115000.0,120 000,120 000,116 000,120 000,123 000,120 000,112 500,115 000,121 000,135 000,134 000,143 000,131 000,119 000,125000.0,130000.0,150 000,172600.0,177900.0,179000.0,162000.0,144000.0,,,,,,
    Caprins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22000.0,20000.0,22 000,20 000,22 000,22 000,23 000,22 000,22 400,20 000,19 200,23 000,23 000,25 000,30 000,27 000,28000.0,29000.0,26 000,32000.0,32000.0,32000.0,29700.0,26000.0,,,,,,
    Abats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,41000.0,43 000,44 000,50 000,51 000,50 000,51 000,43 620,46 170,47 880,50 000,50 000,59 000,55 000,61 000,27000.0,28000.0,25 000,,,,,,,,,,,
         Autres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5000.0,5000.0,5 000,5 000,25 000,32 000,26 000,25 000,4 300,4 300,3 700,25 000,30 000,27 000,25 000,26 000,59000.0,62000.0,28000,26000.0,108000.0,112000.0,97200.0,91000.0,,,,,,
Viande blanche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270000.0,264000.0,250 000,280 000,310 500,322 000,342 500,388 000,370 000,420 000,490 000,490 000,560 000,590 000,560 000,560 000,584000.0,660000.0,610 000,690000.0,720000.0,782000.0,635000.0,690000.0,,,,,,
    Secteur moderne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000.0,214000.0,200 000,230 000,260 500,272 000,292 500,338 000,320 000,370 000,440 000,440 000,510 000,510 000,510 000,510 000,534000.0,610000.0,560 000,,,,,,,,,,,
    Secteur traditionnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000.0,50000.0,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,50 000,80 000,50 000,50 000,50000.0,50000.0,50 000,,,,,,,,,,,
