;2008M12;2009M12;2010M09;2010M10;2010M12;2011M02;2011M03;2011M04;2011M05;2011M06;2011M07;2011M09;2011M10;2011M11;2011M12;2012M01;2012M02;2012M03;2012M04;2012M05;2012M06;2012M07;2012M08;2012M09;2012M10;2012M11;2012M12;2013M01;2013M02;2013M03;2013M04;2013M05;2013M06;2013M07;2013M08;2013M09;2013M10;2013M11;2013M12;2014M01;2014M02;2014M03;2014M04;2014M05;2014M06;2014M07;2014M08;2014M09;2014M10;2014M11;2014M12;2015M01;2015M02;2015M03;2015M04;2015M05;2015M06;2015M07;2015M08;2015M09;2015M10;2015M11;2015M12;2016M01;2016M02;2016M03;2016M04;2016M05;2016M06;2016M07;2016M08;2016M09;2016M10;2016M11;2016M12;2017M01;2017M02;2017M03;2017M04;2017M05;2017M06;2017M07;2017M08;2017M09;2017M10;2017M11;2017M12;2018M01;2018M02;2018M03;2018M04;2018M05;2018M06;2018M08;2018M09;2018M10;2018M11;2018M12;2019M03;2019M04;2019M05;2019M06;2019M07;2019M08;2019M09;2019M10;2019M11;2019M12;2020M01;2020M03;2020M05;2020M06;2020M08;2020M09;2020M10;2020M11;2020M12;2021M01;2021M02;2021M03;2021M04;2021M05;2021M06;2021M07;2021M08;2021M09;2021M10;2021M11;2021M12;2022M01;2022M02;2022M03;2022M04;2022M05;2022M06;2022M07;2022M08;2022M09;2022M10;2022M11;2022M12;2023M01;2023M02;2023M03;2023M04;2023M05;2023M06;2023M07;2023M08;2023M09;2023M10;2023M11;2023M12;2024M01;2024M02;2024M03;2024M04;2024M05;2024M06;2024M07;2024M08;2024M09;2024M10;2024M11;2024M12;2025M01;2025M02;2025M03;2025M04;2025M05;2025M06;2025M07;2025M08;2025M09;2025M10;2025M11;2025M12;2026M01;2026M02;2026M03;2026M04;2026M05
MEDITERRANEE;33758.0;38917.0;23124.0;27775.0;32675.0;5572.0;7357.0;9831.0;12120.0;14322.0;16605.0;20096.0;22574.0;24015.0;25771.0;1523.0;2747.0;3842.0;5358.0;7499.0;10488.0;13711.0;15750.0;18355.0;20462.0;23214.0;26859.0;3149.0;5605.0;8481.0;10834.0;13342.0;15864.0;19415.0;21649.0;24648.0;27418.0;30976.0;34134.0;2599.0;4507.0;6601.0;9174.0;12114.0;15068.0;17572.0;20412.0;22899.0;24787.0;27739.0;30970.0;2265.0;3357.0;5626.0;6824.0;8490.0;11158.0;13585.0;16190.0;17433.0;19949.0;22930.0;26334.0;;3354.0;4693.0;5960.0;8224.0;10376.0;20095.0;23010.0;24897.0;27176.0;29571.0;32464.0;2647.0;4892.0;7641.0;;11734.0;13559.0;16126.0;18047.0;19493.0;21584.0;23058.0;24925.0;1613.0;4088.0;5204.0;6574.0;8606.0;10495.0;15792.0;18538.0;21152.0;23438.0;25907.0;7500.0;9763.0;;13470.0;15770.0;17176.0;18947.0;20789.0;21944.0;23521.0;;7182.0;9642.0;11150.0;14692.0;16618.0;17774.0;18697.0;19639.0;2175.0;4168.0;6367.0;7982.0;9354.0;11555.0;12788.0;14522.0;16094.0;17019.0;17862.0;19397.0;1428.0;3610.0;5706.0;6879.0;8519.0;10041.0;11642.0;13377.0;14508.0;15976.0;;;;;;6036.0;7774.0;9002.0;10921.0;12446.0;13783.0;14950.0;16127.0;16981.0;1903.0;3216.0;4363.0;5193.0;6542.0;7223.0;9575.0;10879.0;12023.0;12780.0;13461.0;14105.0;2047.0;3522.0;4648.0;5456.0;7061.0;8158.0;9624.0;11426.0;12571.0;13516.0;14346.0;15069.0;1437.0;2926.0;4460.0;6053.0;7340.0
    AMTAR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.0;16.0;3.0;3.0;5.0;7.0;8.0;10.0;20.0;24.0;27.0;28.0;40.0;46.0;1.0;4.0;6.0;;8.0;10.0;12.0;15.0;16.0;16.0;18.0;27.0;;4.0;5.0;7.0;9.0;12.0;14.0;15.0;16.0;17.0;20.0;34.0;3.0;4.0;5.0;;7.0;8.0;10.0;13.0;14.0;15.0;18.0;24.0;2.0;3.0;4.0;5.0;8.0;11.0;20.0;26.0;34.0;39.0;39.0;17.0;19.0;;26.0;29.0;33.0;35.0;37.0;38.0;38.0;;18.0;24.0;25.0;33.0;37.0;40.0;43.0;44.0;12.0;13.0;15.0;16.0;18.0;21.0;24.0;26.0;30.0;33.0;34.0;37.0;1.0;2.0;3.0;5.0;8.0;14.0;16.0;20.0;22.0;27.0;;;;;;11.0;13.0;15.0;21.0;24.0;26.0;30.0;33.0;35.0;13.0;14.0;16.0;19.0;21.0;22.0;39.0;43.0;46.0;50.0;53.0;55.0;15.0;17.0;20.0;21.0;23.0;23.0;29.0;62.0;76.0;95.0;112.0;120.0;5.0;7.0;7.0;7.0;7.0
    BELYOUNECH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;;1.0;1.0;;;;6.0;6.0;6.0;6.0;6.0;6.0;1.0;;;;;;;;;;;1.0;;1.0;1.0;3.0;3.0;4.0;4.0;4.0;4.0;4.0;4.0;4.0;1.0;1.0;1.0;;7.0;10.0;11.0;11.0;12.0;12.0;13.0;13.0;1.0;2.0;3.0;3.0;3.0;3.0;5.0;5.0;5.0;5.0;5.0;3.0;4.0;;5.0;6.0;9.0;12.0;12.0;12.0;12.0;;3.0;4.0;5.0;9.0;26.0;36.0;36.0;36.0;1.0;2.0;3.0;3.0;4.0;4.0;5.0;8.0;24.0;36.0;36.0;39.0;0.0;0.0;1.0;1.0;1.0;2.0;2.0;13.0;49.0;61.0;;;;;;1.0;1.0;1.0;1.0;12.0;23.0;27.0;27.0;27.0;1.0;1.0;2.0;2.0;2.0;2.0;2.0;2.0;19.0;25.0;25.0;25.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;12.0;15.0;15.0;15.0;0.0;0.0;0.0;0.0;0.0
    CALA IRIS;1030.0;923.0;296.0;352.0;389.0;31.0;38.0;60.0;81.0;124.0;168.0;218.0;242.0;264.0;308.0;11.0;23.0;32.0;40.0;63.0;163.0;281.0;347.0;441.0;493.0;606.0;709.0;57.0;119.0;170.0;205.0;263.0;350.0;451.0;520.0;582.0;659.0;753.0;863.0;81.0;142.0;206.0;288.0;380.0;455.0;529.0;583.0;635.0;658.0;772.0;835.0;63.0;118.0;162.0;205.0;233.0;322.0;403.0;456.0;498.0;587.0;681.0;795.0;;131.0;160.0;194.0;225.0;282.0;395.0;474.0;533.0;590.0;644.0;730.0;67.0;122.0;151.0;;199.0;243.0;291.0;332.0;363.0;488.0;519.0;568.0;48.0;86.0;96.0;100.0;134.0;222.0;406.0;507.0;643.0;736.0;850.0;229.0;271.0;;355.0;409.0;441.0;477.0;546.0;636.0;684.0;;166.0;187.0;215.0;284.0;343.0;382.0;391.0;409.0;61.0;94.0;130.0;145.0;165.0;205.0;232.0;267.0;304.0;331.0;352.0;386.0;38.0;63.0;82.0;82.0;101.0;109.0;153.0;177.0;185.0;216.0;;;;;;140.0;146.0;146.0;189.0;206.0;223.0;232.0;238.0;244.0;50.0;69.0;81.0;85.0;87.0;97.0;167.0;189.0;196.0;215.0;223.0;226.0;96.0;133.0;152.0;156.0;165.0;175.0;225.0;249.0;270.0;273.0;274.0;278.0;33.0;65.0;86.0;88.0;89.0
    CHMAALA;;;;;;;;;;;;;;;;;;;;;;;2.0;16.0;67.0;130.0;244.0;14.0;4.0;66.0;74.0;76.0;100.0;140.0;170.0;192.0;11.0;238.0;248.0;37.0;23.0;35.0;63.0;70.0;91.0;134.0;150.0;157.0;169.0;206.0;230.0;14.0;45.0;57.0;;70.0;91.0;110.0;135.0;138.0;138.0;174.0;207.0;;33.0;38.0;47.0;55.0;65.0;92.0;113.0;116.0;128.0;145.0;197.0;15.0;29.0;42.0;;65.0;77.0;101.0;109.0;112.0;114.0;120.0;148.0;7.0;18.0;20.0;20.0;22.0;26.0;47.0;62.0;82.0;95.0;100.0;87.0;105.0;;140.0;164.0;176.0;184.0;202.0;219.0;228.0;;71.0;72.0;73.0;110.0;127.0;129.0;137.0;141.0;43.0;47.0;50.0;52.0;53.0;69.0;81.0;92.0;96.0;97.0;99.0;126.0;12.0;21.0;28.0;31.0;35.0;47.0;72.0;83.0;89.0;168.0;;;;;;27.0;28.0;29.0;51.0;56.0;121.0;163.0;198.0;204.0;44.0;48.0;51.0;52.0;53.0;54.0;110.0;127.0;138.0;141.0;142.0;144.0;56.0;69.0;70.0;70.0;71.0;91.0;117.0;336.0;346.0;428.0;488.0;496.0;30.0;35.0;40.0;40.0;41.0
    FNIDEQ;86.0;123.0;47.0;101.0;110.0;20.0;23.0;28.0;28.0;29.0;40.0;41.0;55.0;63.0;72.0;9.0;13.0;18.0;19.0;32.0;43.0;54.0;60.0;60.0;89.0;131.0;163.0;12.0;26.0;34.0;35.0;36.0;54.0;64.0;65.0;65.0;101.0;128.0;139.0;4.0;10.0;17.0;17.0;17.0;34.0;39.0;47.0;47.0;47.0;81.0;93.0;8.0;11.0;20.0;20.0;20.0;29.0;32.0;36.0;36.0;36.0;36.0;61.0;;12.0;21.0;21.0;22.0;33.0;41.0;46.0;46.0;47.0;50.0;78.0;14.0;19.0;28.0;;29.0;47.0;55.0;61.0;64.0;90.0;93.0;123.0;8.0;18.0;24.0;25.0;25.0;25.0;50.0;57.0;57.0;61.0;66.0;42.0;43.0;;59.0;72.0;76.0;78.0;78.0;80.0;82.0;;54.0;59.0;59.0;82.0;89.0;89.0;90.0;91.0;38.0;49.0;57.0;61.0;64.0;74.0;76.0;78.0;81.0;84.0;88.0;117.0;9.0;16.0;23.0;25.0;28.0;30.0;51.0;59.0;62.0;66.0;;;;;;19.0;22.0;25.0;36.0;38.0;41.0;41.0;42.0;43.0;29.0;36.0;41.0;41.0;43.0;43.0;65.0;69.0;74.0;75.0;76.0;77.0;40.0;51.0;54.0;54.0;55.0;55.0;69.0;74.0;76.0;76.0;77.0;78.0;33.0;39.0;43.0;44.0;44.0
    AL HOCEIMA;10546.0;11134.0;6616.0;8601.0;10785.0;1684.0;2222.0;3460.0;4608.0;5541.0;6350.0;7188.0;8001.0;8475.0;8972.0;322.0;563.0;740.0;1003.0;1383.0;2168.0;3276.0;3822.0;4572.0;5017.0;5742.0;6592.0;653.0;1066.0;1643.0;2074.0;2678.0;3258.0;4350.0;5085.0;5950.0;6923.0;7859.0;8819.0;726.0;1160.0;1793.0;2484.0;3171.0;3886.0;4367.0;5304.0;6306.0;6762.0;7788.0;8565.0;513.0;803.0;1400.0;1595.0;1986.0;2621.0;3269.0;4045.0;4419.0;5262.0;5996.0;6924.0;;617.0;752.0;838.0;1224.0;1526.0;2142.0;2696.0;3017.0;3407.0;3986.0;4576.0;364.0;593.0;825.0;;1242.0;1524.0;2117.0;2739.0;3144.0;3640.0;4208.0;4671.0;192.0;341.0;423.0;575.0;749.0;972.0;2244.0;3048.0;3764.0;4265.0;4775.0;923.0;1146.0;;1719.0;2350.0;2886.0;3305.0;3584.0;3680.0;3863.0;;771.0;1127.0;1247.0;1864.0;2148.0;2226.0;2293.0;2395.0;319.0;510.0;771.0;1012.0;1135.0;1331.0;1496.0;1837.0;2088.0;2161.0;2224.0;2542.0;233.0;494.0;699.0;810.0;916.0;966.0;1297.0;1565.0;1761.0;1948.0;;;;;;1054.0;1164.0;1212.0;1543.0;1827.0;2033.0;2106.0;2178.0;2293.0;498.0;728.0;981.0;1093.0;1226.0;1261.0;1684.0;1908.0;2110.0;2185.0;2265.0;2385.0;585.0;811.0;995.0;1073.0;1186.0;1269.0;1531.0;1749.0;1925.0;2025.0;2151.0;2270.0;268.0;550.0;816.0;917.0;996.0
    INOUAREN;;;;;;;;;;;;;;;;;;;;;;;3.0;3.0;3.0;6.0;12.0;2.0;4.0;5.0;5.0;5.0;9.0;11.0;11.0;11.0;133.0;14.0;17.0;2.0;52.0;7.0;4.0;4.0;8.0;13.0;14.0;14.0;14.0;17.0;21.0;2.0;2.0;4.0;;4.0;8.0;10.0;11.0;11.0;11.0;11.0;15.0;;3.0;5.0;5.0;5.0;8.0;11.0;15.0;15.0;15.0;15.0;24.0;6.0;10.0;17.0;;17.0;26.0;34.0;40.0;43.0;43.0;43.0;51.0;4.0;8.0;10.0;10.0;10.0;10.0;20.0;25.0;25.0;25.0;25.0;18.0;18.0;;24.0;28.0;32.0;35.0;35.0;35.0;35.0;;25.0;25.0;25.0;34.0;38.0;38.0;38.0;38.0;7.0;10.0;15.0;17.0;17.0;20.0;23.0;25.0;25.0;25.0;25.0;30.0;4.0;7.0;9.0;9.0;9.0;9.0;12.0;13.0;13.0;13.0;;;;;;7.0;7.0;7.0;8.0;9.0;9.0;9.0;9.0;9.0;6.0;8.0;9.0;9.0;9.0;9.0;12.0;13.0;16.0;16.0;16.0;16.0;8.0;14.0;17.0;17.0;17.0;17.0;22.0;27.0;31.0;31.0;31.0;31.0;7.0;14.0;24.0;24.0;24.0
    JEBHA;1880.0;2412.0;686.0;782.0;868.0;65.0;102.0;151.0;218.0;265.0;305.0;352.0;402.0;429.0;466.0;21.0;32.0;39.0;43.0;69.0;163.0;265.0;311.0;341.0;393.0;522.0;803.0;163.0;288.0;349.0;443.0;579.0;664.0;775.0;827.0;890.0;1014.0;1362.0;1629.0;145.0;245.0;357.0;430.0;642.0;795.0;897.0;959.0;1028.0;1130.0;1324.0;1533.0;217.0;288.0;409.0;472.0;550.0;648.0;698.0;817.0;890.0;1171.0;1606.0;1925.0;;359.0;412.0;500.0;584.0;696.0;827.0;1050.0;1244.0;1573.0;1948.0;2165.0;129.0;204.0;282.0;;515.0;569.0;618.0;641.0;679.0;985.0;1103.0;1203.0;85.0;140.0;161.0;180.0;192.0;252.0;657.0;818.0;1008.0;1201.0;1465.0;308.0;395.0;;491.0;512.0;522.0;531.0;635.0;794.0;872.0;;104.0;151.0;176.0;220.0;281.0;334.0;358.0;379.0;55.0;80.0;105.0;128.0;175.0;242.0;284.0;331.0;362.0;391.0;439.0;501.0;45.0;89.0;139.0;176.0;209.0;231.0;288.0;330.0;345.0;363.0;;;;;;173.0;196.0;206.0;252.0;296.0;314.0;336.0;349.0;359.0;62.0;104.0;140.0;155.0;184.0;196.0;332.0;455.0;512.0;544.0;589.0;618.0;105.0;180.0;232.0;251.0;268.0;321.0;429.0;504.0;565.0;607.0;643.0;672.0;45.0;73.0;99.0;111.0;134.0
    KAA ASRAS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.0;;;110.0;138.0;51.0;49.0;151.0;260.0;261.0;397.0;456.0;535.0;648.0;701.0;754.0;780.0;30.0;58.0;249.0;0.0;261.0;397.0;406.0;425.0;425.0;426.0;442.0;474.0;;45.0;58.0;78.0;78.0;103.0;119.0;200.0;283.0;312.0;325.0;367.0;39.0;113.0;188.0;;208.0;220.0;222.0;236.0;260.0;332.0;402.0;429.0;23.0;33.0;35.0;36.0;38.0;81.0;103.0;117.0;119.0;127.0;148.0;58.0;67.0;;92.0;127.0;141.0;172.0;221.0;242.0;266.0;;137.0;137.0;137.0;176.0;248.0;321.0;413.0;487.0;28.0;33.0;37.0;41.0;46.0;99.0;118.0;137.0;190.0;205.0;244.0;283.0;12.0;19.0;27.0;32.0;36.0;38.0;60.0;74.0;92.0;263.0;;;;;;33.0;38.0;41.0;57.0;65.0;101.0;181.0;288.0;301.0;26.0;29.0;34.0;35.0;36.0;37.0;73.0;85.0;98.0;101.0;105.0;106.0;32.0;37.0;39.0;43.0;46.0;20.0;20.0;158.0;166.0;259.0;308.0;312.0;23.0;27.0;32.0;32.0;33.0
