Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Débarquements des produits de la pêche côtière et artisanale par port en quantité (mensuel),
frequence,Mensuelle,
Scenario ,Reel,
Source ,Office National des Pêches,ONP
Période disponible ,2008M05 - 2026M05,
Date de dernière mise à jour ,2026-06-22 12:46:19.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Débarquements des produits de la pêche côtière et artisanale (en Quantité),
Unité,Tonnes,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
Espece  de la pêche maritime,TOTAL GENERAL,
Région/Province,Total des régions,
