;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MEDITERRANEE;330611.0;364799.0;374078.0;393599.0;326638.0;403637.0;489790.0;404826.0;602181.0;641131.0;628834.0;558013.0;483117.0;682124.0;
    AMTAR;;;;;;501.0;1474.0;754.0;1184.0;893.0;1192.0;1636.0;1550.0;1694.0;
    BELYOUNECH;;;;;;191.0;431.0;65.0;291.0;1093.0;477.0;610.0;1599.0;1685.0;
    CALA IRIS;4163.0;5383.0;3246.0;3141.0;5466.0;7341.0;9452.0;8703.0;10599.0;14192.0;13304.0;11361.0;9741.0;16572.0;
    CHMAALA;;;;;3664.0;3270.0;4314.0;3565.0;4460.0;3790.0;3620.0;6347.0;5445.0;7357.0;
    FNIDEQ;4543.0;3537.0;2933.0;4073.0;4575.0;2804.0;3800.0;2886.0;3756.0;6870.0;5767.0;5184.0;4518.0;8005.0;
    AL HOCEIMA;110917.0;111592.0;117221.0;123661.0;80969.0;98906.0;139402.0;108209.0;86894.0;131831.0;114429.0;98863.0;88290.0;141273.0;
    INOUAREN;;;;;333.0;493.0;932.0;636.0;1288.0;3044.0;2093.0;1886.0;1837.0;2110.0;
    JEBHA;16224.0;18945.0;7310.0;7974.0;8894.0;10002.0;13120.0;13033.0;14336.0;17555.0;17543.0;9903.0;6456.0;14857.0;
    KAA ASRAS;16224.0;18945.0;7310.0;7974.0;8894.0;10002.0;13120.0;13033.0;14336.0;17555.0;17543.0;9903.0;6456.0;14857.0;
    KSAR SGHIR;;;;;;2160.0;7699.0;4700.0;5477.0;5843.0;4536.0;5941.0;6576.0;8435.0;
    MARTIL;1028.0;3138.0;4018.0;1043.0;4666.0;3124.0;4002.0;2993.0;7190.0;8504.0;8394.0;6730.0;8335.0;13859.0;
    M'DIQ;65009.0;68258.0;68715.0;77603.0;72011.0;82228.0;78517.0;64898.0;73723.0;69945.0;82364.0;75731.0;68977.0;77406.0;
    NADOR;116718.0;135744.0;151848.0;154105.0;119937.0;168623.0;184252.0;152506.0;128430.0;136220.0;141999.0;111471.0;107325.0;140838.0;
    OUED LAOU;;367.0;27.0;3883.0;1364.0;1506.0;3339.0;3803.0;5553.0;6033.0;4265.0;8599.0;6655.0;9711.0;
    RAS KEBDANA;8615.0;12396.0;13315.0;13257.0;13005.0;13598.0;28700.0;26329.0;22871.0;23154.0;22179.0;19620.0;18075.0;25035.0;
    SIDI H'SAINE;3393.0;5441.0;5445.0;4859.0;4845.0;3293.0;2852.0;6108.0;5692.0;9800.0;9377.0;5885.0;5366.0;8194.0;
    TANGER;223091.0;194978.0;183708.0;185317.0;132288.0;176241.0;226146.0;251429.0;222942.0;193836.0;187552.0;175712.0;134127.0;193676.0;
    TARGHA;;;;;;427.0;1820.0;1168.0;1768.0;1623.0;1496.0;3475.0;3411.0;3221.0;
ATLANTIQUE;4147925.0;3891373.0;3851310.0;4635387.0;4814905.0;5082714.0;5547429.0;6181472.0;6243524.0;6644289.0;6718628.0;6769465.0;6238258.0;8426785.0;
    AGADIR;8360.0;5879.0;4577.0;340958.0;435718.0;439764.0;320827.0;349835.0;287618.0;260211.0;281131.0;276843.0;302440.0;350856.0;
    AGLOU;3030.0;1795.0;3307.0;1913.0;1484.0;1331.0;2585.0;2874.0;2830.0;1833.0;1560.0;1425.0;1176.0;2278.0;
    AINBIDA;229565.0;252619.0;438131.0;2209.0;6708.0;3545.0;9493.0;3221.0;1346.0;2482.0;887.0;1578.0;254.0;393.0;
    AMEGRIOU;9462.0;11747.0;7784.0;20794.0;15363.0;12143.0;16737.0;8446.0;23721.0;34500.0;39825.0;32887.0;23464.0;46569.0;
    ASILAH;2175.0;2037.0;1052.0;934.0;1950.0;1823.0;1564.0;3730.0;7701.0;4441.0;6520.0;4268.0;4678.0;4366.0;
    BHIBEH;;;;;;6764.0;10941.0;12274.0;27438.0;23230.0;31454.0;19240.0;13178.0;29513.0;
    BOUJDOUR;92665.0;67837.0;74144.0;96114.0;124606.0;104617.0;189793.0;222305.0;219995.0;319973.0;269507.0;291929.0;311208.0;455063.0;
    BOUZNIKA;26142.0;24984.0;30308.0;;22516.0;;2968.0;1344.0;1275.0;1755.0;1337.0;1227.0;1172.0;3550.0;
    CASABLANCA;354866.0;318787.0;316425.0;299808.0;248819.0;215724.0;141117.0;156495.0;175584.0;152218.0;136744.0;165179.0;126549.0;239794.0;
    DAKHLA;18486.0;17040.0;20620.0;472647.0;641688.0;680182.0;541665.0;648947.0;585271.0;676822.0;604134.0;647384.0;596183.0;701224.0;
    DAKHLA (STOCK C);;34915.0;28634.0;297694.0;344291.0;597488.0;622095.0;730502.0;836267.0;770608.0;766923.0;797289.0;702286.0;726428.0;
    EL JADIDA;13410.0;22596.0;44838.0;43698.0;33911.0;33023.0;39741.0;50531.0;75074.0;70764.0;46843.0;50101.0;61102.0;71419.0;
