Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Trimestres,"Alimentation, boissons et tabacs",Energie et  lubrifiants,Produits bruts d'origine animale et végétale,Produits bruts d'origine minérale,Demi  produits,Produits finis d'équipement agricole,Produits finis d'équipement industriel,Produits finis de consommation,Exportation
,,المواد الغذائية والمشروبات والتبغ,الطاقة وزيوت التشحيم,الموادالخام من أصل حيواني ونباتي,الموادالخام من أصل معدني,انصاف المنتجات,مواد التجهيز الفلاحية,موادالتجهيز الصناعية,مواد الإستهلاك,الصادرات
,2020T1,98.3,92.9,99.6,93.1,89.5,94.6,100.6,100.6,97.4
,2020T2,97,70,106.8,94.3,93.5,91.5,102.3,102.5,98.4
,2020T3,97,69.4,105.8,93.6,90.8,104.6,106.2,97.1,97.3
,2020T4,93.6,70.6,110.4,96.2,92.6,102.2,105.5,97.7,97.3
,2021T1,99,78.2,109.6,97.5,102,108.4,100.4,96.2,99.2
,2021T2,93.2,85.6,129.6,110.7,127.7,99,101.9,98.5,106
,2021T3,102.3,99.6,129.6,115.4,153.4,97.1,100.7,101.6,115.6
,2021T4,97.6,131,135.2,143.5,172.1,98.5,99.8,109.7,121.2
,2022T1,97.5,123,166.5,151.1,194.4,104.3,104.5,102,124.2
,2022T2,95.9,137.7,179.8,143.9,245.9,94.4,110.1,105.3,135.7
,2022T3,104.3,129.9,155.9,186.1,239.8,95.6,120.5,105.6,142
,2022T4,98,144.7,161.4,202.1,186,99.6,137.3,109.8,134.2
,2023T1,106.4,120.9,165.2,158,164.1,98.9,122.6,111.8,129.3
,2023T2,102.3,98.1,181.8,145.9,146.2,108.1,124.9,112.6,125
,2023T3,103.1,94.8,207.5,138.9,117.3,107.9,125.1,110.1,116.3
,2023T4,102.5,102.3,221.8,119.4,145,98.4,128.1,108.7,122.6
,2024T1,96.9,97,214.8,124.9,121,85.8,124.6,111,117.2
,2024T2,95.8,97.7,201.6,130.8,121,88.9,126,113.5,118.1
,2024T3,98.1,97.9,184.2,121.5,125.8,96,122.3,109.5,116.9
,2024T4,94.8,97.4,171.5,115.3,128.1,90.2,116.4,109.1,115.1
,2025T1,100.7,89.5,164.7,121.3,131.1,73.8,117.4,108.2,117
,2025T2,94.9,85.9,151.3,116.4,132.9,77.9,118.7,111.1,117.1
,2025T3,95.2,76.1,152.4,126.5,139.2,82.2,117.2,107.7,117.4
,2025T4,99.8,77.7,149.6,125.6,127,87.9,119,109.9,116.7
,Source : Haut Commissariat au Plan,,,,,,,,,
