Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Années,"Alimentation, boissons et tabacs",Energie et  lubrifiants,Produits bruts d'origine animale et végétale,Produits bruts d'origine minérale,Demi  produits,Produits finis d'équipement agricole,Produits finis d'équipement industriel,Produits finis de consommation,Exportation
,,المواد الغذائية والمشروبات والتبغ,الطاقة وزيوت التشحيم,الموادالخام من أصل حيواني ونباتي,الموادالخام من أصل معدني,انصاف المنتجات,مواد التجهيز الفلاحية,موادالتجهيز الصناعية,مواد الإستهلاك,الصادرات
,2020,96.6,77.8,105.5,94.3,91.6,98.7,103.7,99.2,97.6
,2021,97.7,100.4,126.5,116.9,139.1,100.6,100.6,101.7,110.5
,2022,98.4,132.7,166.2,169.8,216.3,98.5,118.2,105.8,133.9
,2023,103.7,103.3,193.2,138.9,142.2,102.9,125.2,110.8,123.3
,2024,96.2,97.5,193.1,122.7,124.1,90,122.3,110.8,116.8
,2025,97.7,82.4,154.4,122.4,132.5,80,118.1,109.3,117
,Source : Haut Commissariat au Plan,,,,,,,,,
