Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Trimestres,"Alimentation, boissons et tabacs",Energie et  lubrifiants,Produits bruts d'origine animale et végétale,Produits bruts d'origine minérale,Demi  produits,Produits finis d'équipement agricole,Produits finis d'équipement industriel,Produits finis de consommation,Importation
,,المواد الغذائية والمشروبات والتبغ,الطاقة وزيوت التشحيم,الموادالخام من أصل حيواني ونباتي,الموادالخام من أصل معدني,انصاف المنتجات,مواد التجهيز الفلاحية,موادالتجهيز الصناعية,مواد الإستهلاك,الواردات
,2013T1,99.7,97.3,98.2,89.1,100.4,99.7,101.4,103.9,99.9
,2013T2,100,90.3,95.7,86.2,99.3,98.3,100.1,105.3,97.6
,2013T3,97.3,94.5,95.1,74.9,98.1,99.3,102.1,105,98.2
,2013T4,93.1,91.3,91.4,62.8,98.9,104,100.9,105.7,96.6
,2014T1,93,86.4,91.9,75.3,97.3,98.8,100.4,107.3,95.2
,2014T2,96.4,85.9,92.2,87.8,97.7,102,100.4,106.5,95.8
,2014T3,93.2,74.3,92.6,87.9,96.9,99.7,103.2,107.1,91.9
,2014T4,92.2,61,90.9,90.2,97.7,99.8,102.8,106.9,88.1
,2015T1,95.5,55.5,90,91.4,96.3,97.2,101.4,108,86.9
,2015T2,94.6,59.4,91.3,117,97.2,101.6,103.2,108.3,89.2
,2015T3,90.9,58.7,88.9,94.3,96.8,100.1,103.2,107.9,87.9
,2015T4,88.8,58.5,88.3,83.1,95.7,100.6,102.5,107.3,87.2
,2016T1,85.9,44.1,87.7,86.3,93.4,103.6,104.2,107.8,83.1
,2016T2,86.3,46.8,88.4,71.5,92.4,102.9,103.1,108.4,83.1
,2016T3,89.7,49.6,90.2,63.6,92.7,102.6,105.4,107.7,84.4
,2016T4,89.5,72.7,92.3,63.5,91.6,100.2,101.5,106.2,89.7
,2017T1,92.5,67,94.3,65.8,93.1,102.7,101.3,107.4,88
,2017T2,91.4,60,90.5,68.6,93.4,111.8,102.5,108.2,87
,2017T3,87,61.4,90.1,68.9,95.2,105.7,102.9,108.1,87.3
,2017T4,86.5,68.6,92.2,78.2,95.5,102.3,101.7,107.7,88.6
,2018T1,86.5,70.1,91.3,93.6,96.5,107.4,103.8,108.2,90
,2018T2,88.1,77.1,91.4,90.9,95.9,108.2,104.3,108.5,91.7
,2018T3,87.3,80.8,92.6,97.4,96.2,107.5,104.8,106.5,92.7
,2018T4,88.2,81.6,90,101.6,95.7,100.3,102.7,108,92.3
,2019T1,89.9,71.4,88.6,94.5,95.2,105.5,101.9,107.1,89.9
,2019T2,87.9,75.5,87.8,80,94.2,106.5,103.9,108.2,90.6
,2019T3,86.4,67.8,85.6,69.9,93.1,103.2,104.4,108.1,88.4
,2019T4,85.8,71.2,86.6,62.6,93.1,101.9,106.3,108,89.4
,2020T1,88.5,66.9,87.5,52.4,90.6,107.6,107.5,109.7,88.6
,2020T2,91.8,47,89.7,45.4,90.7,110.4,105.2,110.5,84.8
,2020T3,84.9,48.8,83.9,47.3,90.6,107.8,104.7,110.9,84
,2020T4,86.8,49.6,86.2,44.5,89.4,100.5,104.2,102.3,82.5
,2021T1,94.9,60.9,93,65,93.3,103.7,106.5,110.5,89.2
,2021T2,98.6,66.6,106.2,63.7,99.3,111.1,107.2,113.1,93
,2021T3,100.5,73.5,107.2,60.8,101,111.6,106.8,118.9,95.9
,2021T4,112.9,89.5,112.2,64.7,105.5,110.7,109,113,100.8
,Source : Haut Commissariat au Plan,,,,,,,,,
