Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Années,"Alimentation, boissons et tabacs",Energie et  lubrifiants,Produits bruts d'origine animale et végétale,Produits bruts d'origine minérale,Demi  produits,Produits finis d'équipement agricole,Produits finis d'équipement industriel,Produits finis de consommation,Importation
,,المواد الغذائية والمشروبات والتبغ,الطاقة وزيوت التشحيم,الموادالخام من أصل حيواني ونباتي,الموادالخام من أصل معدني,انصاف المنتجات,مواد التجهيز الفلاحية,موادالتجهيز الصناعية,مواد الإستهلاك,الواردات
,2013,97.6,93.3,95.1,78.3,99.2,100.3,101.1,105,98
,2014,93.7,76.5,91.9,85.5,97.4,100.1,101.7,106.9,92.8
,2015,92.6,58.1,89.7,97.1,96.5,99.9,102.6,107.9,87.8
,2016,87.8,53.5,89.7,70.8,92.5,102.4,103.5,107.5,85.1
,2017,89.4,64.2,91.8,70.6,94.3,105.6,102.1,107.9,87.7
,2018,87.5,77.4,91.3,95.9,96.1,105.9,103.9,107.8,91.7
,2019,87.5,71.4,87.2,76.9,93.9,104.4,104.1,107.8,89.5
,2020,88.2,53.4,86.9,47.3,90.3,106.2,105.4,107.8,85
,2021,101.6,72.8,104.6,63.5,99.8,109.4,107.4,113.9,94.8
,Source : Haut Commissariat au Plan,,,,,,,,,
