PIB trimestriel SCN93 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"aux prix chaînés 1998, CVS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4,T1,T2,T3,T4
Primaire,17265.98452365915,17440.75478830531,16626.37824260146,17583.88244543409,15069.08453785754,14264.87584859483,14815.21773563828,14650.821877909351,13375.02525632489,11995.819507703605,13443.943549195857,12834.32725777683,15149.23338628876,15087.701946693465,15297.701844564921,15956.37437484226,16198.32060116895,15742.78606982926,15770.250491815663,16411.346613439156,17166.314018950183,21967.735608988096,19337.18355495541,18675.77507444331,18673.494056986037,22151.938745909825,20017.715790421236,19745.658274614114,17301.388372366408,17139.93944315102,18378.2941090964,18826.709231805376,20904.783732168748,22095.537288791587,20939.73531150186,22798.181472262582,17899.826967141256,16820.670706090572,17719.385650114196,16917.73607461425,19747.645059473052,19443.165718635766,20478.727881171817,21187.305667561817,24786.68318463436,26220.314992159223,25592.35174039947,27605.666681655006,24365,24849.153352334288,25584.990101281543,26975.233945716565,25906.55741902537,26537.576684902167,26771.762799115888,27774.744810373642,24048,24707.590589806674,25023.346870200534,25533.44168422357,28148,29599.9481235816,29633.35510301532,30539.631780732176,27352.481387254276,29189.5544657987,29260.134959127074,
 Agriculture  ,16089.8788089313,16267.3119079225,15452.0710011579,16376.7382819883,13846.67460691398,12996.48602486157,13554.32686294002,13329.51250528443,12045.14495239318,10654.76762080381,12090.19774011903,11420.88968668397,13764.4456859722,13754.02815560986,13945.38635424161,14774.92886667634,15188.92752462824,14970.81922717481,14966.34762907032,15686.90561912664,16670,21617,18958,18226,18449.357393690698,21947,19678.1512930088,19327,16800.8337808476,16220.95153095047,17616.864080205,18055.3506079969,20628.878376029403,21534.2495651103,20901.240478910702,23020.6315799496,17680.4230335358,15943.49721444781,17682.406402648296,16879.67334936815,19529.289301269077,19123.449365963723,20054.996310296323,20610.650022470876,24741.878039856125,26124.04547238017,25320.026800687767,27264.52469707592,24623.815039609373,25164.152148515626,25262.168554453125,26451.864257421876,26083.546875,26695.578125,26783.015625,27595.859375,24245.9330263019,24329.264705935602,24640.7114180112,24450.0908497511,28066.1721265092,29239.4603375102,29255.3712958643,29636.896240116002,27560,28668,28797,29236
 Pêche  ,1176.10571472785,1173.44288038281,1174.30724144356,1207.14416344579,1222.40993094356,1268.38982373326,1260.89087269826,1321.30937262492,1373.18094079324,1389.5732545645,1390.79923464846,1458.6935549938,1436,1401,1397.83406737113,1247.98393646882,1154.84153532395,961.447170751248,964.395844916397,887.299516008403,873.236549143137,897.637506276037,811.617183227482,780.644044353344,762.911601353261,817.079439898804,808.814466545598,791.677859202337,865.75,1044.75,986.75,956.75,871,1015,683,543,738,981,580,497,803.43560371663,819.057751770619,843.134830752563,862.3718137601891,905.078524040136,953.558435977639,937.698289230522,938.664750751703,719.181154344911,668.863011337878,966.664226606449,1027.071607710762,814.189695029249,804.248940240554,835.5356779818619,876.025686748336,739.541143211962,952.49171969305,933.388291765755,1161.578845329231,1024,1095,1068,1194,834,1173,1105,1352.802
Secondaire,24431.70446146707,23520.98269661246,23330.625645313594,23144.687196606857,23471.783534727496,24134.956030383324,24099.533788174893,24602.726646714294,24657.68622806544,24753.632923400466,25305.036373896102,25476.12339412452,26087.149793133933,25949.204335730014,26186.834583941767,26714.952921648815,26410.29614073499,26962.856155831596,27240.316204924242,27178.749129254207,27412.445371766367,28076.53509690962,28610.726396197548,28481.359148306594,29117.732763046566,28768.077193748704,29310.9878066477,29646.996865469308,29635.140492068094,30354.98194159533,31022.27129088301,31540.3471198643,31562.299186903412,32017.988039436124,31993.736439823697,32802.77794813561,33506.06118027535,34370.27275202638,34216.85410963074,34717.97697481427,35767.358344561275,35936.06394604511,35922.71820402221,34074.32364138789,31398,33200,34100,36400,34069,35597,35899,38246,35607.1645013917,36244.05867219883,37189.33998656737,40527.84818270877,36674,36687.36143114719,38060.84909752733,40117.36833365547,36155.53314494224,36856.62967290619,38087.298911737846,40834.53827041373,36791.657101310986,37634.01864295286,39861.374934645726,
 Industrie d’extraction  ,2105.9633376573,2102.35317297708,2050.95261274908,2140.73087661654,2160.29502030739,2264.15729632306,2088.39347759441,2134.15420577514,2091.74807293376,2142.6807097959,2320.94350057297,2239.62771669736,2296,2172,2293,2368,2294,2306,2290,2184,2312,2363,2272,2277.1534211971,2683.32740896677,2521,2648.20506346841,2824,2790.86161209523,2881.51648356696,2927.53804534304,2866.08385899477,2799.98021032841,2872.20090969072,2913.64181988664,3062.17706009423,3128.25301856347,3163.2128924006,3186.09598144972,3229.43810758621,3350.12897609609,3108.95068790051,3032.83837728772,2468.08195871568,1782,2144,2369,2814,3085.414641883186,3225.045395107928,3082.6247205433538,3227.915242465522,3411.37276174111,3320.487407997416,3105.887012024855,3533.24,3242.288719766356,3153.403484251693,3252.965822658055,3404.341973323886,3129.382840523252,3206.9596649172554,3158.3122516514068,3179.345242908064,3330.0648623752945,3424.2022220976255,3363,3091
 Industries de transformation  ,15940.92459922332,15054.884940542592,15089.307400265785,14822.883059968284,15099.642458565699,15645.44030648516,15763.83271464885,16033.084520300292,15998.03291961123,16016.332275546021,16102.123262227298,16299.142732870707,16509.290188642262,16314.348955672247,16612.27332764528,16878.34917243459,16742.63351094045,17228.289030484455,17426.587306635814,17481.732872821278,17375.890257602194,17655.878826862976,17918.152298980003,17740.17592326932,17865.78880764993,17530.867973200373,17855.701593462978,18043.819029647097,17827.462780532707,18230.866814449575,18754.224658625248,19149.76484338822,19019.834588750557,19142.970345567755,18931.20771393593,19194.66031443739,19647.798495941704,20042.044161784514,19751.345687816513,20174.78289276475,20450.67364144336,20635.933924959983,20460.33398251779,19660.300331185903,20096.372209380486,20405.737066522437,20391.32993390397,20428.74618272733,20463.307377255467,20794.928235360865,21163.204635221344,21195.621275010337,21372.290084688488,20971.012446913304,21837.981296734513,21928.481362115454,22027,21144.88370072191,22218.73265129167,21959.250712717287,22170,21371.169864398245,22055.473293129693,22471.56682971567,22365.99829442784,21640.035241693065,22707.11452107751,22827.842997919724
 Industrie (hors raffinage de pétrole)  ,15396.32447976615,14573.937411274921,14620.58006252787,14342.15804643104,14529.10077746547,15044.935692517041,15142.120767075958,15370.84276294153,15306.066047861708,15347.497977102537,15499.62518828094,15702.660954426046,16276.22042950468,16060.423637704987,16283.66625339993,16517.069262547884,16589.74460663684,17035.42803753283,17163.099672901473,17333.53683165628,17540.847024854906,17809.7905497498,17961.792230614756,17717.97238711284,17783.98976133948,17494.91271748786,17669.92781650728,17936.35665301343,17754.70773911737,18114.847897651758,18596.693449497678,18932.089750965915,19094.99739766858,19037.991749246525,18891.681465687274,19194.73942351921,19664.198041002994,19797.886242415316,19564.62588755257,20060.213469723967,20448.409620020702,20425.028250891966,20302.004483853005,19557.80324475746,20245.841791036648,20413.274166275998,20355.803356281536,20463.18673157998,20777.610770891748,20828.319598919865,21128.6781496651,21246.41469129776,21281.181916592002,21540.0383221119,21342.03720337131,21739.50867522314,21899,21590.088673524926,21949.44956647253,21759.965920112358,22039,21814.317361137095,21770.457628531996,22254.66937818334,22228.92237756886,22088.310066229573,22424.854674085705,0
 Raffinage de pétrole et autres produits d’énergie  ,544.600119457169,480.947529267671,468.727337737915,480.725013537245,570.541681100229,600.50461396812,621.71194757289,662.241757358762,750.307223379449,704.92602088392,580.776070736856,545.220085131614,368.2633682622356,357.3852733331256,351.8568138205746,347.8601994132466,304.3236214971945,315.1872234781215,301.9573446895195,172.88424017644252,50.102702748210405,35.102702748210405,52.730609761330506,70.1027027482104,164.77568853212355,119.61091460949356,155.50784538575456,109.51886729213057,158.83748158997798,173.752523998196,139.70961473810098,181.439856598272,98.66105087107445,174.66105087107445,85.66105087107445,80.66105087107445,124.0617457962237,231.2617457962237,142,126.26174579622369,144,207,120,116,42,63,39,28,10,59,40,26,35.8236263453353,27.1409884965002,69.1586046655392,41.5,42.4453125,42.3671875,42.4609375,42.7265625,43.1640625,43.7734375,44.5546875,45.5078125,50.93359375,45,29,40.046875
 Electricité et eau  ,2676.3266471536,2674.82656537652,2531.36890615201,2578.47788131787,2619.92945696983,2600.67572996172,2531.30301391576,2581.09179915269,2631.79885652618,2644.49515959458,2863.77132119655,2829.93466268268,2903.29742341794,3073.48230950647,2955.9697829389,3066.25048413669,3075.58826430666,3022.45327176403,3045.39442491306,3106.56403901625,3218,3316.25274207774,3476.76991563893,3489.49463118309,3525.26448302259,3534.74283483514,3660.80792862776,3493.18475351451,3776.7085502195,3891.39246217619,3800.87544903935,3846.02353856496,3974.42265370172,4177.61931658996,3999.85658427326,4214.10144543505,4273,4415,4365,4258,4647,4739,4543,4402,4896.78468582357,4662.55381985587,4683.64369646601,4735.01779785455,5112.49943651672,5030.95291550631,5128.24772742514,5061.29992055184,5211.65888184995,5329.863947753,5341.97054877239,5675.50662162464,5829.0660052816,5798.17449377941,5815.36856556091,5603.39093537807,5548.8091459864,5734.33263517071,5915.19565687762,5929.66256196526,5762.13502591995,6023,6038.823246106363,6107.5524388242175
