"Valeurs ajoutées en volume (prix chaînés, base 2007)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007:1,2007:2,2007:3,2007:4,2008:1,2008:2,2008:3,2008:4,2009:1,2009:2,2009:3,2009:4,2010:1,2010:2,2010:3,2010:4,2011:1,2011:2,2011:3,2011:4,2012:1,2012:2,2012:3,2012:4,2013:1,2013:2,2013:3,2013:4,2014:1,2014:2,2014:3,2014:4,2015:1,2015:2,2015:3,2015:4,2016:1,2016:2,2016:3,2016:4,2017:1,2017:2,2017:3,2017:4,2018:1,2018:2,2018:3,2018:4,2019:1,2019:2,2019:3,2019:4,2020:1,2020:2,2020:3,2020:4,2021:1,2021:2,2021:3,2021:4
Primaire,17615.037631242252,17407.74502302225,17411.59532754025,17907.62201819525,19079.871928788747,20469.555769269744,21578.373237217744,22313.199064723747,24273.505120574027,25498.251558574568,26599.041373084703,27051.198565526953,25421.633388198323,26116.49708594263,26584.95709964979,26443.246281072417,27454.928021103304,28071.059703562267,28183.46006545797,27821.24812577168,24582.259701807307,25355.343476130478,25980.462959392084,26872.116107144753,29045.55853501318,30166.174932207818,30851.215237370026,31048.349531478172,28146.741932833498,29356.52410367182,29961.911129833745,30851.740881197875,31671.62229722567,32596.06411610569,33692.8393766095,33949.597697893696,28416.37464464388,28530.008539541894,29133.414974546587,29367.86071568287,32033.142505601776,32912.17714766203,32917.73822759589,32682.05550321959,32889.00064538783,33739.64769597963,33652.20893190371,33461.85097900337,31713.813874392792,32087.865791700326,31889.75009801557,31849.95765108341,30340.45032191856,30125.339824852847,29270.31772162987,28997.009124170258,36016.415976960365,36696.40348713445,33594.77315050406,35006.98319122594
Agriculture,16232.783654094252,16041.89934075225,16127.57220157025,16523.74480358325,17446.652736323747,18748.04339368675,19942.26855306075,21074.03531692875,22718.03120648004,24114.742570252038,24992.641364413037,25438.637433106036,24002.99674120466,24708.25182804366,25188.57766763066,25553.23713156466,25737.077549461457,26483.31807678946,26601.76099631046,26282.892012333457,23022.59371707865,23620.120813331647,24110.693368425647,24763.84939466465,26463.802013320892,27940.029466437893,28632.901052699894,28891.77207901889,26141.820397559477,27112.86398373748,27759.67313409448,28470.964175336478,29359.882467316,30307.547080498,31322.151938792,31481.575751495,25941.817471580143,26136.53606066614,26769.04198546614,26897.70020819014,29814.41718316524,30759.776852841238,30710.92188926124,30535.675453870237,31020.11701014504,32014.11324582704,31769.00587708404,31544.80262246904,29246.974320304154,30046.142769825154,29932.474200879155,29769.63372005815,27510.558887202846,27777.30739881956,26845.11174963116,26585.458111091244,33160,32942.95615892725,31596.69504939793,31610.108199081173
Pêche,1382.253977148,1365.84568227,1284.02312597,1383.877214612,1633.219192465,1721.512375583,1636.104684157,1239.163747795,1587.2118558531135,1429.8818940061135,1631.2725445991136,1605.4999203641137,1461.3079469368283,1455.7095761318283,1430.5985478798284,914.8454234648284,1760.7882149945992,1637.4266782895993,1616.1887568505992,1554.5370000095993,1595.4721196219389,1736.4533469059388,1841.699796122939,2033.1547833199388,2666.5464631855257,2236.5335258425257,2184.3886134415256,2053.065158049526,2017.592535332887,2265.000836065887,2176.3871927228874,2311.7444733588873,2320.8025360807246,2330.494386423725,2351.0963961057246,2405.7098830727246,2438.1610651844057,2386.7782547194056,2312.383749716406,2378.9192493234054,2232.082239213943,2202.723711952943,2192.275886993943,2102.2653867129434,1980.859608050163,1892.6492127681631,1957.881259250163,1939.247164427163,2357.505907389141,2069.617819532141,1971.487294151141,2017.808339375141,2631.080271059181,2287.686313105181,2312.175987951181,2250.8463276291814,2658,3613.1717629183227,1927.0563223812026,3166.573354105664
Secondaire,38952.93690116421,39578.93408441747,40209.09384698562,40979.035167432696,43088.044800833166,42452.43317092364,42746.34469098752,40856.17733725566,37853.22155138055,39009.99927684209,39957.42318421536,41198.29645314366,41787.5131043762,43051.22762133477,43905.12654685635,45456.81753054006,44650.55843762558,45771.10199606582,46285.64857788834,48470.80352835775,45910.27877006168,46123.81521689682,46703.543334347,47855.78447319853,45414.97187314921,46485.369167118224,46917.61137886846,48881.34768303406,47237.587432751585,48552.55954762205,49006.98848594654,49433.253218943755,48190.13508937165,49155.27476484489,49885.74372737893,50488.65996546018,49093.28383714869,48825.56800434477,49573.082761820006,51502.570289283714,49716.32285664021,51066.17853331237,51346.16034099547,53947.325382505674,51854.73847249714,52190.75755251018,52799.2028952297,55385.69696808656,54336.64290880504,54278.199692375056,54374.78715473666,56873.04183295238,55337.7428151251,45815.70404930688,52891.060584274484,57383.284399274795,56161.167329506316,54728.8422163768,56557.79613176548,60351.75538768874
Industrie d’extraction,2959,3028,3098,2952,3141.1225227449604,3073.3802919628592,3129.3775534824754,2516.119631809706,1633.075326546261,2077.7281080602247,2210.048171252925,2516.9953289080922,2847.332336896656,3058.3522098335734,3006.571552921167,3079.5243752746374,3153.4499323484433,3132.227042944272,3090.713934108932,3210.4217974677313,2982.63091934988,3037.7949825822893,3146.1305614996454,3150.226359457655,2969.02691492291,3032.5204011683777,3042.6233345190353,3125.1940654821396,3255.6082577236757,3167.7939930473613,3113.4996246131886,3002.484154385671,3009.8652592791996,3032.411366001203,3121.426338828191,3109.8752704861536,3217.124780490141,2897.352586072061,2989.5786852527867,3187.9119968100867,3297.0634297004503,3673.2227171948903,3582.6963621931104,3843.2361023718004,3835.273179156251,3625.3171212196307,3719.4102599024895,3846.563448048501,4041.9757344987006,3585.8905076797555,3803.1146609835096,3961.580735695752,4023.013199293471,3866.3812255192215,3963.8539591385656,4311.3667889054395,4232.209885656732,3823.0028111909987,4183.264998383097,4224.011660426291
industrie de transformation,23979.831639170072,24366.29345187648,24484.290523438787,25067.584385514667,26914.878890426065,26249.833021979037,26370.456075787504,24997.832011807393,25120.444044972304,25112.04370047594,25787.82509578668,25384.744029138674,26772.937629955784,27137.703283417315,27980.11414631581,28051.043433139104,28697.260577909685,29179.099848402693,29601.173415206376,29933.620388036903,30278.163177622544,29654.229874133132,29875.365345980645,29688.126023322973,29486.872482738985,29577.952839974885,29570.182855630952,30004.069303483655,30606.17235583058,30863.459119202296,31227.549750323855,30837.495680472068,31477.50932041942,31568.775770507633,32077.315873893935,31267.12571934034,31730.013471943945,31307.94071924159,31644.30665625111,31873.366392787448,32191.85456019416,32303.52361847314,32359.766614484928,32838.580811613385,33376.844969741935,33357.90172718806,33377.413447406136,34066.38456345126,34382.316470036094,34405.33466223405,34178.10039258526,34963.528081960074,34936.28645213081,27234.221563427698,33112.98113438344,35279.2818677466,35496.694626637305,33446.376425883915,34446.86463763793,37214.04067542864
Industrie alimentaire et tabac,6612.722917824893,6582.048189566262,6530.9471764834425,6870.281716125402,7022.7564245569665,6915.546566034406,6816.590080368386,6787.1069290402465,6830.581871118845,6915.359794722915,6916.669362682085,7138.841275303755,7458.6449257538225,7566.131391852523,7706.625203915963,7713.472151715883,7594.267582431805,7724.623690019465,7867.773289928035,7954.7849595660555,8062.624001013732,8051.592404099682,8277.196275541002,8224.555614606623,8406.612740158467,8372.009259239207,8403.496473255036,8469.451995895586,8844.169700420762,8950.03202943444,9019.859335832018,9020.923644552957,8985.256303429238,9163.150634501877,9286.559281746768,9328.075738697167,9354.968719269753,8898.919104590563,9510.994248039304,9555.016304041743,9435.814993209573,9678.251477353302,9685.637557869233,9771.107645995522,9873.706243345126,9890.299671099885,9492.493088942996,10237.065236844075,9837.531562867758,10190.395045303756,9676.544156600905,10241.838801533358,10427.400444151022,10032.127537069122,9438.895514287406,10502.715027818149,10740.222457475553,10493.9906506754,10127.934886830386,11342.932230043602
Industrie du textile et du cuir,3865.545224327335,3939.002555919845,3911.2699780517746,4000.182241701045,4062.2365540750025,3880.8119393671627,3613.2259344996623,3714.7255720581725,3193.5184004469816,3218.7561545449616,3312.3889592404016,3192.7195922528417,3092.442149704247,3197.8016541766074,3442.8332188297773,3356.5150115720976,3346.84969975205,3399.91244792558,3332.5901480743705,3484.3742366487704,3377.6906543179675,3443.5870950959875,3523.4016350849274,3417.562322240847,3184.1186435672603,3184.0211922689505,3267.8702295198304,3310.0753228740205,3424.1083030214645,3390.4475642527527,3294.4590749630784,3405.7615353982223,3281.9920651571356,3182.3306086553257,3422.4083392452158,3308.4392640932156,3271.5530220530377,3369.0970441337977,3337.251331845998,3453.2334267628576,3552.6216422970388,3559.4619820220887,3200.5859499309686,3591.0784421667186,3600.4144982319185,3601.717032748398,3466.2430816825085,3664.8933266919485,3906.5355534783093,3736.86968270152,3514.587715656244,3617.464149986254,4122.185731272977,2117.5514009445774,3570.0958214077864,3394.895840503137,4027.3754594536986,3184.7973070206444,3955.6661701198277,3673.2772994243946
Industrie chimique et parachimique,3148.4749007648447,3080.0579764293047,3106.492875045345,3286.974247760505,3514.0642956399556,3591.7379329665855,3716.4867608465056,3392.7110105469555,3446.394881793544,3416.267706990504,3414.458850738664,3394.755059997444,4285.141743289459,4350.782805610199,4430.236491070069,4547.1105752347385,4664.351694177049,4898.508052993318,4631.997669612989,4574.6811299947785,4536.577154206756,4454.634145651496,4436.9015412207955,4222.2861793795255,4282.896273674942,4057.182818609432,4066.482797918182,4038.981588380802,4025.3094522021293,4262.7330064544485,4296.043111287538,4259.785277874298,4252.915708923243,4107.743650684233,4189.133377458103,4280.078010307893,4104.345551372983,4204.237955677313,4161.422959962633,4300.672731616943,4369.795951310239,4336.861960005699,4356.261471871239,4486.360987648519,4551.069505803968,4488.425402911279,4758.8099386040585,4548.777058411559,4938.176320802569,4637.937971148519,4931.413435470811,4858.401405873125,5387.543800105493,4786.345420335162,5572.490616191907,5324.801374946836,5667.696077710979,4891.6450195825355,5377.45344462519,5191.6813405731655
"Industrie mécanique, métallurgique et électrique",5440.238548518336,5624.472657774875,5815.115440477865,5827.173353228925,6184.3322579643145,6454.180760723714,6670.153772628254,5517.3332086837145,5874.914398492104,5843.714351245234,6482.4587392974045,5731.2156224264645,5883.673494846821,5984.801511223301,6200.023042027781,6221.906755448091,7120.961381767924,7205.951632153404,7495.189478968344,7798.823042395973,8177.8923839549225,7769.742912618272,7528.570311156732,7902.255209514632,7460.931779438374,7935.212520481674,7614.826823908554,8279.772769982363,8496.352766204458,8619.524231329407,8797.440918022816,8911.14810713883,8620.02660115801,8944.59982509501,9495.934128387009,8748.744741527009,8985.001801891509,9240.24828989951,9418.981701944509,8936.75175945551,9389.074052676593,9311.385249120593,9195.748314471592,9492.360250703592,9899.445291221831,9913.17886107683,9962.28017646183,10124.82880472183,10076.541494881,10300.362513862,10624.245475745,10785.283030521,9303.399249730664,5187.07332508746,9007.483600631018,10702.92555020663,8856.836085743593,7987.79663405605,9124.58088743922,11452.130338721094
 Autres industries manufacturières (y compris raffinage de pétrole),4912.850047734665,5140.712072186196,5120.465053380355,5082.972826698786,6131.489358189824,5407.555822887174,5553.999527444694,5585.955291478304,5703.667094299843,5733.528092394372,5691.872041093712,5916.580402192462,5981.068298779132,6092.270644831063,6203.365322560603,6340.871962437803,6032.780121883115,6169.481526551114,6405.619002483115,6361.414492443115,6233.882808785665,6128.518884543665,6159.664077763665,6101.768501847665,6087.069587730063,6085.807548415063,6164.564364867063,6031.421668921063,5667.296564618887,5628.6220511798865,5743.856119386887,5271.994676006887,6252.443418491118,6209.431790512118,5629.995925315117,5549.665297897118,5866.427112589936,5727.046395661935,5020.0048664009355,5558.884674717935,5293.301318122089,5359.4947076070885,5682.033520048089,5475.423129882088,5281.86947602678,5484.23208681578,5659.15476440578,5472.36885040378,5485.026437780183,5567.068014866183,5441.628207892183,5558.945368411183,5304.501703742178,4390.462789580178,5260.556346253178,5385.939051353178,5675.81682300413,6717.408068057672,5444.675818372039,5547.517222893774
Electricité et eau,3266.2436475363875,3308.4201789205576,3549.7731710144476,3639.5630025286073,3697.226646104425,3669.898307752905,3661.6924349392048,3702.182611203465,3308.2098250379377,3140.6068523913577,3135.2682387212776,3152.5874127096276,3826.624614655907,3723.392163775157,3751.493993271927,3753.977863087177,3959.8514849502853,4030.364943545685,4019.052422943715,4293.533388684045,3818.808384648056,3813.461517135296,3844.896574490476,3740.732843778496,4156.909751805652,4329.531128364342,4478.917064796202,4512.9230391217125,4247.266975872639,4468.17311489956,4475.782088662239,4519.4309992811395,4627.270363792992,4712.701719803202,4716.652067120482,4751.1491364149115,4729.000724001587,4653.287629220046,4942.300310193857,4955.719340102906,4718.102726462378,4905.758106065348,5003.014453914919,5294.051437769118,5024.557410174654,5007.804508602684,5326.736318094564,5613.130863592624,6117.58214627699,5966.6893956119375,5843.041961277779,5806.041151483548,5959.676169792652,5282.878416440749,5934.035071495802,5815.490679912243,5997.818097279325,6103.90345474256,6159.528404212643,6216.759536826187
Bâtiment et travaux publics,8747.861614457745,8876.220453620435,9077.030152532396,9319.887779389424,9334.816741557705,9459.321549228845,9584.818626778355,9640.043082435095,9755.652016052798,9923.98663250427,9999.829389054059,10065.75346881813,10064.994034353089,10161.931575887089,10184.614114510088,10306.319061286089,10576.279702587128,10597.569246831128,10707.278667474127,10817.525583906126,10896.656078986649,10890.364177500649,10888.146334351648,10976.652606898648,10909.13952454482,10992.53969944282,11202.19258509882,11241.10384386582,11098.053740541063,11542.657882687063,11635.723643125064,11223.352876559064,11305.406841322047,11469.013450429047,11489.593723807047,11532.164788506047,11628.672235584683,11651.541903022682,11599.759244610683,11662.918727595683,11745.935022099235,11731.798484085235,11905.868147973235,11990.829989141235,11804.905231747576,11816.445945693577,11892.417811348576,11889.232543765576,12038.710278488174,12025.130612247172,12101.116951251173,12161.705701465173,12742.050624650545,10535.563461904361,11287.904416434087,11925.381030808552,12772.631546149705,12843.8246940818,13273.2071733301,12688.6054167803
Tertiaire,84599.81594338514,85884.3760187255,87541.89536914657,88530.91266874279,90578.24242238533,89975.67748078039,91018.35877321212,90330.72132362211,92292.51542575244,93134.09737534384,94364.34466125896,95402.61364026717,94407.42014025798,95478.01568493593,97631.27332430902,98666.5116820304,100956.70285645785,102260.17789787152,102969.64734285128,103906.99288937263,106922.57486230553,108316.87682101746,109605.61128155307,111100.65427801329,110043.03393932222,110872.07999208859,111494.48495994105,112016.17940622795,113654.98387351494,113843.58726474836,113736.61377806545,113670.59557537486,115097.11562173773,115983.63013041545,115285.7587185395,116157.14908718308,117115.28822214865,118100.77416987049,120074.6881817294,120775.69464884908,120766.53162190854,121794.1424455569,122577.7883384575,124126.80403603622,124804.01163520133,125439.48719833375,126314.2865516048,127756.99492818456,129724.04381419139,130347.15941879636,131474.5217689527,133053.36219663956,131629.13993163884,111298.85782222162,121026.97933825532,123577.68160639187,127844.08971520416,124221.00019400148,129058.6032970788,129912.51760030267
Commerce,14768.221163171374,14796.503968757776,15302.476330646374,15714.798537424474,16808.25017944575,16863.85487310285,17349.31368692115,16345.581260530249,16258.25887297772,16373.42613351932,16909.81784180412,16972.04150665312,15625.515706085913,15849.472317609512,16317.206027976912,16526.33543192001,16837.62769226294,17078.73864651794,17301.30567549384,17829.20171535994,17909.150023944694,18126.857758959293,17795.444637556895,18056.023998086996,17696.766688768035,17593.889310921935,17589.906507844833,17551.139622890336,18349.819488478515,18068.511753033214,17624.706452976112,17524.569749070415,17825.503404721454,18189.832495145252,17647.773324017555,18268.101031056955,18150.350504134698,18542.691489798097,19241.927655063897,19775.6010449709,19331.379526119483,19651.203445664585,19326.287090131984,19835.734142958783,20058.240024599017,19890.296329118515,19745.421180035515,20238.435523555017,20658.025565338903,20384.256691330836,20163.5230238333,20642.700465112255,20774.804887883456,15182.96859683209,18004.290840829544,19149.747705817448,20670.93086344404,19768.225113075383,20164.80574172909,21409.41793510391
Hôtels et restaurants,3646.516574775625,3635.880846170975,3641.649656007455,3656.952923045945,3682.706269285978,3658.629457559838,3688.5840880799783,3720.080185074208,3643.7333811582776,3684.8695384509374,3694.5415090181673,3780.7532571217075,3878.412587197571,3983.031976877321,4026.569513795241,4061.536776709141,4044.1517060610936,3843.1679271507137,3970.747389067714,3922.456278072974,3960.5542444949183,4013.3279443009983,4109.387712239639,4109.005785006839,4150.553599044065,4239.124237154855,4255.050772536685,4309.183093969915,4352.44435469625,4384.2147677763005,4315.6037871708,4268.60541801428,4260.9658798042265,4267.550388673387,4280.730850337436,4285.603591842007,4290.322774767044,4264.172606536834,4561.824901048664,4600.161363237494,4717.125033737057,4840.469661872817,5045.445947248257,5149.437826045437,5029.117312929847,5132.930222761454,5333.337535838303,5448.5103814317645,5177.187110108093,5351.257751769874,5561.084208561334,5627.185074083371,4783.697126001582,504.0388887780425,1904.170418180399,2382.975510382821,2377.497471622786,917.8548164648154,3240.898051743039,3431.4847349512625
