"Valeurs ajoutées en volume (prix chaînés, base 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014:1,2014:2,2014:3,2014:4,2015:1,2015:2,2015:3,2015:4,2016:1,2016:2,2016:3,2016:4,2017:1,2017:2,2017:3,2017:4,2018:1,2018:2,2018:3,2018:4,2019:1,2019:2,2019:3,2019:4,2020:1,2020:2,2020:3,2020:4,2021:1,2021:2,2021:3,2021:4,2022:1,2022:2,2022:3,2022:4,2023:1,2023:2,2023:3,2023:4
Secteur primaire,,,,,0.5420837424225604,0.3630399429114728,0.36016949784668,0.09513492356224242,-2.628533163110885,0.029162003700033783,0.19530561068917018,0.10507684604555835,1.5660193677396261,0.34112554952092666,0.004030463005728668,-0.10436494793845257,0.2587649552542211,0.3957266049966243,-0.10611382718645655,-0.04756935756063879,-0.5705367744417583,0.19473310313653097,0.055124107717021045,-0.20391753758655365,-0.5619838578801739,-0.026130227547030285,-0.00205164284337604,-0.4834397425463782,2.5184691571753546,0.08361604823275667,0.043458324554974725,-0.1848670708344477,-1.1839277294051054,-0.097681097436167,-0.06435712220775021,0.04813777055396604,0.30195812701897196,-0.12104827953587992,0.11336484305863109,-0.29249673651958025
Agriculture,,,,,0.551013845810639,0.3568671414350052,0.3710444493215036,0.05859391537847983,-2.6506592580967174,0.07140080895652204,0.23255353586204958,0.04725980600376025,1.6281498505110774,0.3417612773247401,-0.016962066752740194,-0.05881859621926875,0.34611710473728946,0.34306201929220376,-0.08121998177020272,-0.07566172787875147,-0.6843509158949992,0.26493666126297366,-0.03977851415993205,-0.05907986169216311,-0.7185730493988031,0.09341603606739238,-0.3594354137641204,-0.09527929068866677,2.299712262149865,0.08476754175062964,-0.024965792469690683,-0.10684106906660029,-1.0984181023629997,-0.06417696430547126,0.020571842140426354,-0.08659396739047784,0.34209638852803637,-0.12605405827069532,-0.040305464083294336,-0.08266775425943274
Pêche,,,,,-0.009366969709596724,0.0059290153082864,-0.01270308521424725,0.0384280006799772,0.031662256524437736,-0.0431735665642178,-0.04807412810609121,0.06657985923879428,-0.068645973230156,-0.014109849843270014,0.013433935532872691,-0.044268647374154174,-0.08020166626056267,0.041108703607175924,-0.03629859070809081,0.03616710372116435,0.10701409217292498,-0.050234431030781734,0.05690361795464724,-0.09197415022917244,0.151100590156516,-0.0907720603036963,0.2533475586987749,-0.2566563165492053,0.14599904102290429,0.06287497441707358,-0.06035140090901061,0.07311464432287672,-0.15938853520427287,0.01708974018786305,-0.16130348373512093,0.22698599192577873,-0.1006236834871908,0.058717913119173286,0.04669827768530633,-0.08082019887383826
Secteur secondaire,,,,,0.5643637565140144,0.48719773512274595,0.24017378526177827,0.05539728251992063,0.09042613072716583,-0.2589033642362709,0.5587050370719848,0.1086191236349843,0.21152588278941553,0.49185830937956415,-0.12825462162843196,0.17757579334726417,0.49950599548948954,-0.03373494756708101,0.2637144827184017,-0.015544968516778505,0.5306513205707142,0.7462462909387788,-0.25117029884584663,-0.2286479813170036,0.03616246571744192,-3.7046311063542707,3.352723594866702,0.31105143323880374,1.138033057518277,-0.17671883172912609,0.23602319781673078,0.3766588345011231,-0.8176718905147335,0.43551683405611025,-0.2715086352036768,-0.4689727076194272,-0.11594546416924305,0.04023658604524514,0.6369790891943279,1.4471709787427993
Industrie d’extraction,,,,,0.020152074901313315,0.05773817582627674,0.056732439114281136,-0.020140069226714394,0.03485600986321732,-0.032036933484235385,0.04104438148707722,0.047543489611739376,0.032243467445647545,0.18052629999897327,-0.05691766688946352,0.022728399885274257,-0.04328953218265618,0.01423718755982931,-0.020914233231613715,-0.005610258483005493,0.06988824005567251,-0.03869606724398319,0.017615826087359225,0.0034889861205712135,0.00824090144216273,0.031819068671230195,-0.018064712876517383,0.04012089007151968,0.07445706384035956,-0.021966774219074538,0.0409090829502152,-0.0276161202879214,-0.2600862768378162,-0.1901244674920426,-0.11928102971763647,-0.5368318404964456,0.18101920431487253,2.6938030514961877e-05,0.11086417160511974,0.19005740733479687
Industrie de transformation,,,,,0.46426823138758005,0.29383129242880823,0.09432765695935838,-0.09932043304689511,-0.04809032944806444,-0.1481162365553192,0.33939616905040226,0.17141591094142083,0.14226206222692514,0.2194835006335057,-0.167316068217718,0.040880731054394395,0.34488558217733695,-0.056116382498408335,0.29380857634256163,0.03823018964479282,0.0794546691015846,0.5539512003624585,-0.2582861311936484,-0.10068682449392946,-0.023957429157954617,-2.939419682588345,2.7862927311901693,-0.13491976655778973,1.0730712523663877,-0.33858406141182745,0.1848942966855274,0.2440955311439789,-0.13956626063412125,0.4289837749127587,0.08287892158972726,-0.06078831086607279,0.12054758626271626,-0.2728048320233505,0.5020873682176639,0.9031978609339174
Fabrication de produits alimentaires et de boissons,,,,,-0.04928708277203243,0.23015090574890504,-0.024017760253628003,0.04918527989114066,-0.11707307346704726,0.022359828014965197,0.09550702885932713,0.10375540454438795,0.1767112927174939,-0.0379832737833065,-0.027101602586053673,-0.09803921519716935,0.10209903608390512,0.028913023775844003,0.1301789164310617,0.034820606744130345,-0.16886959054896739,0.19475048298343048,-0.008114805078391525,-0.033366802303120675,0.10956334221558055,-0.09100192377640329,-0.17119845106777526,0.08691039200479644,0.2023347133811906,-0.03056338761649936,-0.029286301292982573,0.11887655654130172,-0.03907548626960508,0.270277395671135,0.040178842831155755,0.019661907139767176,-0.07490929198515421,0.06912927305808807,0.11271074650915998,-0.11369384725148315
"Fabrication de textiles, d’articles d’habillement, de cuir et d’articles de cuir",,,,,0.07665590428059905,-0.056617200300549037,0.07328828650404574,-0.08722876809026026,0.08174434861544683,0.017531737944589756,-0.08420293826775382,0.11760874390626465,-0.04877360112741127,0.021860888204802677,-0.09854345540869798,0.10891479653355378,-0.04156649273922706,-0.014158557814203773,0.06200613604015927,0.03320622051443057,-0.08584439999850826,0.13218159913562771,-0.10132309131710156,0.04633388082709683,-0.14491689623608633,-0.7164226705023987,0.7820511515232357,-0.1783061720056863,0.3028456216313763,-0.16523002063321532,0.14004414262276338,-0.12235442062133195,0.23940141864015704,-0.03550200435419733,0.006707038211658265,0.01828004754705816,0.011488920435403142,-0.029421924332860803,-0.062965237695584,0.02901128407491383
Fabrication d’articles en bois et en papier; imprimerie et reproduction de supports,,,,,0.038000025054478456,0.01891778876215723,-0.011548149827188159,0.0040157098186578005,0.0014477162695757586,0.011301047088875936,0.026825742213409973,0.00814228293809284,-0.007057306887848753,-0.018519838876537142,0.0017596696299276827,-0.0023986499322924894,0.02663133461103408,0.009506147369407058,-0.011076737191109378,-0.007379413740490303,-0.005320678250203538,0.030070345675180205,-0.005324988115296525,-0.016090052767922112,0.01644927886338074,-0.12901952287200782,0.08236020475916306,0.03769418225912583,0.03534804132821589,-0.05585142074166306,0.043365205807377134,0.013230906602966556,-0.015328296677146906,-0.0016822655844884087,-0.005475383046058021,-0.008779819679143732,-0.0023211498092667346,0.01684772495471144,0.0008327661749596406,-0.011189085593981456
Cokéfaction et fabrication de produits pétroliers raffinés ,,,,,0.0028564666951827007,-0.018853188287225008,-0.02299897861145672,-0.02303936498886947,-0.04381611668206914,0,0,0,-8.972593813944922e-05,0,0,0,8.674768111366201e-05,0,0,0,0,0,0,0,-2.9405843845914785e-10,0,0,0,0,0,0,0,5.065074332771601e-05,0,0,0,6.902975863013137e-07,-7.808741195398025e-05,0,0
