"Valeurs ajoutées en volume (prix chaînés, base 2014)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014:1,2014:2,2014:3,2014:4,2015:1,2015:2,2015:3,2015:4,2016:1,2016:2,2016:3,2016:4,2017:1,2017:2,2017:3,2017:4,2018:1,2018:2,2018:3,2018:4,2019:1,2019:2,2019:3,2019:4,2020:1,2020:2,2020:3,2020:4,2021:1,2021:2,2021:3,2021:4,2022:1,2022:2,2022:3,2022:4,2023:1,2023:2,2023:3,2023:4
Secteur primaire,,,,,5.014301114692277,3.1352732050156096,3.099919909974891,0.7906236430341274,-22.004767796977987,0.2870869920988284,1.8937503897937136,1.0044655522059687,15.129123408729273,2.9686952389618604,0.03562582294831529,-0.9486133458690538,2.3867459850182238,3.467586711462145,-0.9370871482931253,-0.4172852391611692,-5.1450764101745206,1.9052441355383865,0.5003293190758429,-1.7851957886174885,-5.256303600169343,-0.2567393321962763,-0.018390074083096675,-4.622603880022114,23.07961305453743,0.6877679555386873,0.35649284395704584,-1.539035225437524,-10.229117178434544,-1.022230203203911,-0.6646000375932437,0.4923618338614766,2.9756305538265027,-1.1159988877189386,1.011704978440009,-2.6477242980118887
Agriculture,,,,,5.35274886544046,3.2277534293162047,3.34769704588489,0.5089810336611933,-23.343021270375797,0.7505973291937362,2.420006703764699,0.48062318701525,16.93095615010929,3.1708138511250095,-0.1588274317259275,-0.5706322852271017,3.41865927613596,3.204360045956367,-0.7656228578342694,-0.7057295260747276,-6.520037086261443,2.732482480986742,-0.37831334896056834,-0.5440261293743198,-7.072228608716157,0.9696222919731268,-3.3559611657248523,-0.9672287489862375,21.906869549523368,0.7395847340282646,-0.21756544854341087,-0.9423728085076521,-10.116201388274638,-0.7122491382336893,0.2231918460804394,-0.9155448221575435,3.5697279542722837,-1.21972316861223,-0.3778231772565199,-0.785117515129441
Pêche,,,,,-1.8127796465953527,1.1336460288421613,-2.3739737250063397,7.377335665900531,5.3661596761593655,-6.689777612095938,-6.833158597876398,10.602834614766543,-9.344457847166709,-1.9805768794684098,2.1197142868899066,-6.376703331658229,-11.17957522289541,5.822260463486084,-5.073595811832665,5.329223685022821,18.050316548067457,-9.56705242817989,11.315887312453432,-16.33784032273945,28.449018459903353,-16.702742444595597,56.81784572657402,-42.25359600032955,35.22989609071641,9.032582851815917,-8.435495969232587,10.840986443214007,-22.258312186462692,3.1344713102960498,-34.57923193847734,71.21808753750942,-17.827170052300623,11.468657391144266,8.687812838479614,-15.609840539029761
Secteur secondaire,,,,,2.208686049468933,1.9142284301357115,0.932503905875981,0.21600933143881562,0.3527495699566563,-1.0006507145875698,2.174157766007201,0.42569436349639833,0.8243692982081052,1.9468090837702068,-0.5031816825919022,0.6980393038252153,1.9644517001509154,-0.13349763876713272,1.0447067182310477,-0.061590858124360714,2.104599785383332,2.957149141329496,-0.9913529237548069,-0.9087713027414179,0.1431192645465984,-14.37903221125133,13.011344582585993,1.171592664193244,4.361876584954816,-0.6868897154607922,0.9046675820893579,1.442178764500901,-3.1593809009865526,1.659881124233853,-1.0142116719100258,-1.7731815155666242,-0.46511533776236735,0.15722611699828803,2.548655605220418,5.738154880473867
Industrie d’extraction,,,,,0.8949844103886662,2.5090619524752222,2.3988927969685436,-0.8755613220839176,1.6267305198903959,-1.6194267016144792,2.2079238593701644,2.619155230328274,1.868153634552705,10.021319333914525,-3.0695764420462623,1.2655804382258218,-2.4138694626331003,0.8200802165055032,-1.1701442275882545,-0.3253881430389738,4.087008012868232,-2.230153567763571,1.0990029744027074,0.21560446796646815,0.5071904694923468,2.4005034970663086,-1.1003083307954964,2.8629518749375915,5.195545480486663,-1.1919877864568607,2.2597609974886357,-1.424319628856452,-12.944448985784419,-6.663157289678545,-4.123539590605374,-19.488478039308145,10.227464224301762,0.0015926466810256557,7.608505982716585,12.047651313770125
Industrie de transformation,,,,,3.090438027710074,1.9684123460570024,0.622633100741421,-0.6623256107777142,-0.3235096226110845,-0.9944148553694854,2.3084732587207224,1.1746915717966155,0.9579709481603471,1.5037398301410487,-1.1395484019463553,0.28121874728448404,2.368455123165858,-0.38213689343559176,1.9961012817584889,0.25521106552677253,0.526426376964384,3.7642597560972213,-1.735448076105539,-0.6856630650571516,-0.16222930724848483,-19.248754523533307,19.316580328738464,-0.855109022888012,7.067505268395813,-2.235463205467725,1.1988395533199858,1.586245776459494,-0.9307504877867023,2.687451495597659,0.5047790292648457,-0.37472186327162094,0.7723989715394453,-1.6861434305643574,3.2227877370677227,5.76806489783388
Fabrication de produits alimentaires et de boissons,,,,,-1.2228236057639785,6.047603535970403,-0.6025096981997158,1.247105885888411,-2.9364918862874623,0.5763526265198271,2.4052199285290454,2.5789160147190016,4.213378106265897,-0.8798828020984528,-0.6277332688432447,-2.2724957196676554,2.3901301614721593,0.695520535343519,3.123959822470268,0.8207938585086838,-3.9265568119740024,4.922383077343939,-0.2015053285578272,-0.8191731180774986,2.6447954939371687,-2.1326125396928464,-3.6095745826312475,2.0364462762168856,4.82491962530851,-0.7727304122182033,-0.744983949694622,3.215193692928242,-1.033996762862932,6.653650598669603,0.9621722874137539,0.46643137259374523,-1.811989320785956,1.43977965639297,2.3771139802543084,-2.394197773840012
"Fabrication de textiles, d’articles d’habillement, de cuir et d’articles de cuir",,,,,3.3269491848000543,-2.485336514785119,3.319583868837772,-3.9132950584642168,3.8356502006252846,0.7863047107274479,-3.7917693042654244,5.5660427367025145,-2.2285482257177747,1.0409968453090501,-4.722579215594402,5.410707727446029,-1.983956349410032,-0.696792740849328,3.0713650135985704,1.599006672610992,-4.0625538310337,6.499057625339355,-4.9293010233818375,2.2966443602018716,-6.955078394480285,-35.5338138913476,47.189551484805705,-8.796062081154377,16.637734626457146,-8.30005202375579,7.51916320125372,-6.446424994231437,13.748296318147935,-1.8043794201570762,0.35121898783678773,0.9996758735746347,0.6139936848967409,-1.6089652498489593,-3.5352731080178112,1.7300454305116064
Fabrication d’articles en bois et en papier; imprimerie et reproduction de supports,,,,,6.275404944411367,3.113973367064582,-1.8652424341098928,0.6641881604569466,0.24032390842854134,1.8579498851696297,4.349175665919702,1.2816574200402941,-1.112727296829219,-3.045470362462721,0.301425448735837,-0.40786189145235463,4.631955803412491,1.6361198084633877,-1.8833036092364641,-1.2659409787532439,-0.9056845764622068,5.085815885287359,-0.7984269347038664,-2.515920597134369,2.6795375661758936,-20.37803286965919,13.51707642263591,6.179103338918535,5.785966266381304,-9.415495040791944,7.729293877668919,2.354569910562576,-2.7835869956150616,-0.36681588557905265,-1.1497659740202337,-1.9263791177275502,-0.5280055754756763,3.42379128113226,0.16200160201265135,-2.2709903375090046
Cokéfaction et fabrication de produits pétroliers raffinés ,,,,,2.1657119511151235,-17.591222315028666,-21.398553622126826,-27.29060517691443,-71.0127132715904,0,0,0,-0.7462694708513906,0,0,0,0.7352930283432091,0,0,0,0,0,0,0,-1.928765869241289e-06,0,0,0,0,0,0,0,0.7352941176470562,0,0,0,0.7230188285226369,-0.9571050549408988,0,0
