Valeurs ajoutées (cvs) aux prix de l'année précédente chainés (base 2014 )  (en millions de dhs),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1998:1,1998:2,1998:3,1998:4,1999:1,1999:2,1999:3,1999:4,2000:1,2000:2,2000:3,2000:4,2001:1,2001:2,2001:3,2001:4,2002:1,2002:2,2002:3,2002:4,2003:1,2003:2,2003:3,2003:4,2004:1,2004:2,2004:3,2004:4,2005:1,2005:2,2005:3,2005:4,2006:1,2006:2,2006:3,2006:4,2007:1,2007:2,2007:3,2007:4,2008:1,2008:2,2008:3,2008:4,2009:1,2009:2,2009:3,2009:4,2010:1,2010:2,2010:3,2010:4,2011:1,2011:2,2011:3,2011:4,2012:1,2012:2,2012:3,2012:4,2013:1,2013:2,2013:3,2013:4,2014:1,2014:2,2014:3,2014:4,2015:1,2015:2,2015:3,2015:4,2016:1,2016:2,2016:3,2016:4,2017:1,2017:2,2017:3,2017:4,2018:1,2018:2,2018:3,2018:4,2019:1,2019:2,2019:3,2019:4,2020:1,2020:2,2020:3,2020:4,2021:1,2021:2,2021:3,2021:4,2022:1,2022:2,2022:3,2022:4,2023:1,2023:2,2023:3,2023:4,2024:1,2024:2,2024:3,2024:4,2025:1,2025:2,2025:3,2025:4,2026:1
Agriculture,14054.64331309158,14209.6326046749,13497.512874322572,14305.21745492785,12095.185736550906,11352.538920406032,11839.817544301985,11643.440328163028,10521.432816007531,9306.93836691326,10560.78642122398,9976.145908779949,12023.50402656756,12014.404116471935,12181.559127596745,12906.180225025522,13267.664785766145,13077.14522650733,13073.239245350276,13702.653129594,14560.959206312544,18882.078893992697,16559.48798040031,15920.098529949155,16115.654153819507,19170.8716009172,17189.01498071237,16882.28165265989,14675.759930089218,14169.224790332544,15388.573646673934,15771.597673837883,17974.08180727021,18762.937872144532,18211.39275695699,20058.032614795247,14677.589888807957,14504.993387361086,14582.45829679887,14940.675291581652,15775.163351704106,16951.873320920175,18031.684861423695,19055.021878895008,20541.513534294714,21804.4119396038,22598.20299473957,23001.47008236846,21703.3720018154,22341.059606861974,22775.367476460004,23105.090472512242,23271.31792409265,23946.06432938745,24053.159737975846,23764.840231303013,20816.897209783092,21357.177783536674,21800.75067453361,22391.330607761607,23928.41801671924,25263.214414007874,25889.704928849205,26123.77462628195,23637.28408623715,24515.296128151058,25100.137252604407,25743.282533007376,27121.255796720063,27996.663060772313,28933.906523004134,29081.174619503487,22292.74984239766,22460.07862731854,23003.61403577047,23114.17473867788,27027.62552814307,27884.621222019632,27840.332794286194,27681.46686704733,28627.801901868148,29545.139748047146,29318.93540475702,29112.023020874873,27213.90832335286,27957.52360068027,27851.756556860095,27700.23572370105,25741.21172816765,25990.804255307965,25118.562957840266,24875.608995579827,30325.076207891,30549.355842107,30482.890999042,30195.62852302,27140.977931176,26947.666549753,27007.811544201,26760.54292403,27715.821505504133,27377.76520923029,27274.325666854944,27060.19015891102,26088.12894478633,25915.36588421594,25626.49279961421,25515.16812786371,28208.793474839207,28075.61736315131,27683.115231990538,27642.05994678544,33405.69103407079
Pêche,1064.6696507191018,1062.2591200358863,1063.0415828511927,1092.7672051664404,1106.5865405767559,1148.209836666121,1141.4214115447953,1196.1152561612837,1243.0719912068741,1257.9111325864196,1259.0209510079217,1320.4822817591084,1300.0738245351386,1268.3867884218168,1265.5205306634355,1129.8546303923652,1045.420253052594,870.3500123603716,873.0192995288791,803.22785090921,790.4973508498354,812.5863163090629,734.7164223429278,706.6779896278346,690.6256962702573,739.6611299228755,732.1792631291498,716.6663500247265,783.6733648605848,945.7034339452451,893.2020707781486,866.0461932779261,891.1796944293761,1038.5159470101225,698.824031337846,555.5804524398981,738.5070343940641,729.7404535846405,686.024512521239,739.3742934546092,872.5920722843049,919.7651228956141,874.1337252275827,662.0571614493789,848.011392985615,763.9535530619474,871.5520223613439,857.782292190906,780.7437823079928,777.7526994180238,764.3364450164752,488.7812166082503,940.7493155018418,874.8400367900689,863.4930957518006,830.5539565902891,852.424665076041,927.7477459193776,983.9785431366319,1086.2686122211435,1424.6754599066503,1194.929274069301,1167.0694268540612,1096.9062750807293,992.0595094911176,1259.7770584129237,1157.9582171852333,1276.2052149107183,1253.0704265260283,1267.2758096549362,1237.1910149103667,1328.4627489086658,1399.7501812534008,1306.1100070026384,1216.8614387614136,1345.883244604155,1220.11775214004,1195.9523820388647,1221.3031555453426,1143.4242765360357,1015.5942994238419,1074.7248447886147,1020.1976500746945,1074.5662648765212,1268.5288772054785,1147.1680544566286,1276.980298783405,1068.3492966153312,1372.2841852256745,1143.075092159513,1792.5457345615987,1035.130701758801,1399.8061723915303,1526.2448246776285,1397.498504011326,1549.0011273753125,1204.2196206722888,1241.9655391952176,812.5033948009426,1391.1527737555136,1143.1496030908213,1274.2535145375332,1384.9582749683027,1168.7684967136533,1341.3576015278177,1184.4653394376135,1665.8424994100644,1215.8435747728404,1327.6392889189751,1084.313559843711,1249.0851475960637,1042.2143802046935,1302.4141424295146
Industrie d’extraction,3553.009368951703,3546.9185939116446,3460.199766098333,3611.6663215437598,3644.0716756241627,3819.270699200446,3522.7852898430347,3599.9763085936156,3529.274358083885,3615.2097781247103,3915.981321615411,3778.78233735285,3876.198368568484,3666.8566448304646,3871.133649445789,3997.75162751314,3873.881499707484,3894.1459190607925,3867.1266932563813,3688.1243223021556,3912.832439328662,3999.14491960797,3845.136376364498,3853.858034510492,4538.000623782662,4263.4750922777785,4478.602271853019,4775.903871714577,4718.790957598875,4872.070283922021,4949.8835759256,4845.976790440416,4888.274084179697,5014.358751396936,5086.70730821469,5346.023771458195,5222.117261489203,5343.890188506017,5467.427940552061,5209.763486284598,5543.545392064714,5423.991911237061,5522.817524952389,4440.52191208804,2882.0475965584724,3666.7698071227483,3900.2879516332637,4441.987592556391,5024.851593638432,5397.250533894254,5305.870222212922,5434.614275343999,5564.829086315863,5527.377484170385,5454.120143649283,5665.366180266606,5263.388241392646,5360.735144048705,5551.912741148906,5559.140512668155,5239.381530916926,5351.427197291988,5369.255638704717,5514.966531599614,5642.909601488839,5608.07571797026,5519.717682596153,5357.296997944738,5405.243970894564,5540.86489080674,5673.784299562062,5624.106838736627,5715.595901153598,5623.036014973934,5747.188368769521,5897.716153526966,6007.894552204682,6609.964850525968,6407.066926646685,6488.153512334361,6331.537956011365,6383.461646189152,6308.765938215959,6288.237961880923,6545.238751251218,6399.269875721545,6469.598041995781,6483.546784433795,6516.430715809521,6672.857863026431,6599.435852057409,6788.37452451919,7141.067610326355,7055.946956588638,7215.394493917115,7112.624213840826,6191.934200929651,5779.3558858483075,5541.04185781337,4461.17713220454,4917.44242738349,4917.520744867101,5291.670604941643,5929.1926280982825,5781.306510097139,5822.019603568657,5952.2424229850585,5918.6295375981235,6321.128001913265,6621.5496615598,6421.373199306819,5861.396909071797,6118.85190585204
Industrie de transformation,24732.41048560884,23054.310167337266,23197.409349629168,22428.529179749192,23307.79305900542,23998.738639832987,24173.429095196225,24263.820730772713,24141.220639267965,24508.94328118391,24733.21170279356,24773.64625814889,24869.9171750647,24951.912266925166,24904.373721573495,26007.245594820495,25682.7667650552,25524.158541312154,26498.954719077046,27634.558075314184,26654.297761847658,26554.767516022628,26651.818322349518,26642.639252631318,26811.130142256334,26490.53357908754,26694.162586842922,27112.80956485248,27172.871486649925,27839.308730821875,28052.132089252213,28052.44583894135,28484.73901063195,29003.613065660622,29274.24798805028,29379.63801287561,30224.985257824643,31360.629888871146,31400.127832842976,32354.065951711436,33962.76668320622,33308.77823168949,33381.93041822164,33086.92166511606,31277.04537350619,31733.62242787637,32313.924218071257,32984.35952604462,33294.77901812527,34065.28679068908,35151.56464057085,35326.96135266074,35728.73838480974,36421.9523856677,36783.17353172891,37362.19638655989,37564.889667634954,36976.211582121396,36920.02326704265,36699.09141041941,36556.50112708751,36541.839591118835,36887.15822317678,37660.22394066815,38419.15858623781,38940.981470931256,39067.31121979229,37248.54864334832,38399.69195539244,39155.55623269024,39399.351686574395,39138.39968987383,39011.783200741105,38623.8442332484,39515.46534886288,39979.65018987218,40362.64362386729,40969.59277253727,40502.72443281389,40616.62568707993,41578.612239022674,41419.72502187884,42246.504683941406,42354.32243869311,42577.28676379493,44180.006434682575,43413.28536298857,43115.6164999267,43045.67033396295,34759.914918369024,41474.34180577692,41119.69096681231,44025.82729223985,43041.646122219056,43557.64640033224,44248.57772668267,43836.73387365289,45014.82483376154,45242.05022958267,45072.5183759801,45420.6580443631,44654.80060262897,46093.93004046255,48752.65783915857,45624.10618780719,45264.6683562625,48514.88531580888,49324.14983625851,46072.48795917463,47227.43787679186,48708.68412240146,50346.68606627579,45476.22092904671
Fabrication de produits alimentaires et de boissons,5962.4774665275845,5497.4705363493795,5484.766205055345,5858.357610298613,5550.721594566783,6159.492190700196,6143.773758695691,6330.284880839081,6425.2264644971165,6338.429412058209,6341.344733108021,6425.152404990068,6581.428359181391,6796.610821008878,6908.255009441693,6800.568498784388,6757.154292551423,6973.682126588759,7011.397060544992,7269.26437097075,7340.432439337984,7030.66589728439,7336.729072915369,7242.395929351352,7175.4012870822025,7026.835139114853,7257.786835983194,7060.608808694608,7083.831337376375,7295.495048803226,7426.0384411748055,7305.515565181531,7447.191756072608,7581.687665730124,7439.227023539321,7653.851919746953,7537.426855963475,7502.462662929959,7444.215832817186,7831.001927446812,7951.445180376556,7830.057898616768,7718.015415089267,7684.633414154322,7670.211749757541,7765.41075886355,7766.8813017451175,8016.363065789577,8230.08412654228,8348.687796144857,8503.712724137908,8511.26784399739,8584.260492256739,8731.609893913033,8893.420554604028,8991.775113477734,9106.380385469614,9093.920680323266,9348.73036381104,9289.275044779579,9508.841662584035,9469.70116316937,9505.316807867994,9579.920056637384,9945.3819674674,10315.128251597,10235.7320088427,10094.7576985627,9971.31661848,10574.342314882,10510.630876914,10641.709573224,10329.216635044,10388.749346419,10638.621616024,10912.982732625,11372.787957822,11272.720752462,11201.958133995,10947.394114881,11209.051083516,11287.012335619,11639.614066141,11735.15130355,11274.363920645,11829.331302353,11805.494569446,11708.787131477,12018.460605925,11762.153407965,11337.589708181,11568.473631606,12126.643186206,12032.936926325,11943.293477547,12327.293496165,12199.829680466042,13011.563721037044,13136.757381320043,13198.031339088046,12958.884420669787,13145.46380225407,13457.94646006672,13135.736605515222,12988.596148694174,12171.586562521932,13951.556177613831,13228.005501397072,12656.206309378831,12727.62742303046,14411.829338020047,14181.020921850051,12225.89529485995
" Fabrication de textiles, d’articles d’habillement, de cuir et d’articles de cuir",6082.022670514609,5900.278272036634,5830.726427596366,5678.055493687775,5671.6768439978905,5630.242616570684,5639.238883573172,5688.869731656151,5936.788903175187,6039.077858250277,6037.451310828823,6107.721685763879,6198.045262877291,6342.500921445235,6210.996919872847,6353.2461093584425,6304.444145316037,6342.055759975094,6443.893351908248,6366.18549795228,6240.555426901372,6188.431403685066,6246.519484145914,6204.486451528036,6122.614015208866,6119.244569693605,6165.297108143435,6112.589323438396,6115.270699150693,6198.620016701978,6026.432236923095,6182.874482240312,6590.475285777965,6250.344980038527,6481.397501656973,6426.6204860777925,6649.469187853574,6775.829697096184,6728.12441586627,6881.070332482992,6986.452711204719,6674.428909923781,6214.220119937971,6388.784650724736,5530.9565205233785,5574.666592953853,5736.832238090781,5529.573039097561,5340.997018559457,5522.96478772778,5946.161986870439,5797.080689535659,5803.653340894235,5895.66757019684,5778.926358161801,6042.129761892379,5865.78336130762,5980.220793696808,6118.828750603413,5935.025512299341,5540.16046769121,5539.990908736015,5685.8828095826675,5759.31694188439,5905.85246855903,6015.22659499158,5899.10884269148,5690.8123441879,5880.14277908136,5734.00144347135,5924.34643042775,5692.50927431952,5910.85401772057,5957.33134130613,5731.4430801531,6050.4576514242,5915.62028478558,5977.20170533066,5694.92361992056,6003.05929229575,5883.9612163074,5842.96220167778,6022.4208984979,6118.7198105176,5870.1435244452,6251.64753478902,5943.48500887844,6079.98572213429,5657.117948786642,3646.928185250776,5367.897238843581,4895.733665262328,5710.272840506798,5236.317224046336,5630.0444618577385,5267.107868482199,5991.245465637617,5883.140665444557,5903.803372542747,5962.822270481342,5999.433622663713,5902.9048204873,5694.221013776725,5792.733624228801,5661.196779920347,5701.450748969032,6096.192637104381,5736.387835932658,5819.873482774905,5403.161588651709,6091.232375256977,5749.447304959312,5600.60509013021
Fabrication d’articles en bois et en papier; imprimerie et reproduction de supports,1364.1897285989037,1328.493228198674,1425.5733912298479,1317.3888826824084,1394.8006139647746,1461.0495858085606,1410.1521306505108,1499.5156888845136,1352.5396578495224,1393.3890409694275,1454.9774212859058,1511.0404114220034,1549.6920437922968,1524.0799868428098,1467.2042565398704,1444.3241906408089,1593.229205601801,1532.5076849235622,1611.7352914172407,1400.105974089732,1473.3931249553711,1384.3060959322663,1401.2542877445212,1395.951459962799,1331.2462280967727,1308.2237652747142,1320.7082100190617,1353.913661963436,1322.1561556899364,1439.852458477569,1388.1006378562095,1422.580759752271,1310.740268412614,1389.1784956798374,1352.4012666445044,1240.4307327711945,1411.3700185823272,1492.7796770754464,1448.958783213959,1601.7517791839693,1459.3798973132434,1453.2556615808805,1463.122100855414,1427.8748903148135,1348.5713755042366,1354.7489262282547,1392.4574480871158,1389.9360959290407,1532.7797101756921,1479.8363475257106,1578.908395351342,1546.3053259508704,1569.9051456142759,1597.777963670105,1596.025403404886,1573.0960710466911,1670.6296994266963,1734.2689084563535,1774.1044115486122,1730.2238164326566,1689.5464233702928,1600.4310890552938,1733.3216380856993,1660.102773042071,1653.59504078112,1623.78529638077,1743.71268217128,1545.90689766682,1642.918815559,1694.078869918,1662.480191969,1673.522188574,1677.544062506,1708.711990489,1783.02687658,1805.879172845,1785.784662341,1731.399119712,1736.617997278,1729.534994267,1809.646290806,1839.254272233,1804.615530141,1781.770162636,1765.632945085,1855.429785882,1840.615534717,1794.307109365,1842.386242413,1466.944168348,1665.232132661,1768.128546971,1870.431868245,1694.321448449,1825.280532432,1868.258038632,1816.2534508241067,1809.5911446441062,1788.785081394105,1754.326299125103,1745.0633584536865,1804.8106855706576,1807.7345077945774,1766.6810317947466,1813.8488064544044,1809.1667928827494,1861.3731109611442,1901.7011761274443,1804.5146145966046,1877.9534032507463,1823.7651777962346,1892.4226475703413,1759.4017492316893
Cokéfaction et fabrication de produits pétroliers raffinés ,2123.5723080873,2117.6408182526975,2113.8694505241424,2122.086269973864,2641.307325394144,2687.075048041704,2613.369404722699,2595.691016265402,2794.0250111105593,2727.1712283354545,2849.3626693959195,2708.690436646661,1426.4433431088505,1533.3497828761551,1498.4484106355164,1659.7662226051978,1234.5242710757168,1215.437173938611,1160.4116284256193,1086.847344642055,224.9428502372413,206.2092237535492,207.34431709755827,254.4551730717803,582.17687143359,566.8941391767745,593.9238927515019,615.2174738042371,673.0124469807927,711.5626195887446,718.0762199653387,703.3537401653467,239.53837187218886,194.529098147251,220.81306663302325,207.34203219881843,525.3182595204568,496.32478716216866,488.62807776801117,498.37624784231156,1068.5083456396228,1069.6022408901633,1003.4255326842839,997.9821644384907,608.641773199443,589.3573698862971,641.0248471849746,596.4372755970276,774.6853962905204,818.193037831,842.1592573371807,792.9502751850148,362.6334990963982,387.81984372880703,358.95267598589453,355.3876215737276,339.28178959280524,317.322793940015,316.34371595052204,331.6928815162812,458.86168654747456,430.0641405674608,435.09123091523236,427.63752355010166,450.064187705451,403.930740590063,357.683239717305,311.321685087177,318.064016027523,262.112667864013,206.024348080745,149.799056677717,43.42268207562263,43.42268207562263,43.42268207562263,43.42268207562263,43.0986318558674,43.0986318558674,43.0986318558674,43.0986318558674,43.4155330912149,43.4155330912149,43.4155330912149,43.4155330912149,43.4155330912149,43.4155330912149,43.4155330912149,43.4155330912149,43.41553225383091,43.41553225383091,43.41553225383091,43.41553225383091,43.41553225383091,43.41553225383091,43.41553225383091,43.41553225383091,43.73476410863849,43.73476410863849,43.73476410863849,43.73476410863849,44.05097468775391,43.62936058226668,43.62936058226668,43.62936058226668,42.98502529534754,43.98467704640213,43.98467704640213,43.98467704640213,42.98502529534754,43.98467704640213,43.98467704640213,43.98467704640213,43
Fabrication de produits chimiques,2814.44245818892,2727.38158399737,2763.14190786285,2554.13334995084,2712.27392474594,2769.9062547437,2720.44127278791,2602.24864772243,2525.16726142847,2430.68348778006,2438.9191467961,2421.12120399535,2441.71081829962,2442.330833764,2460.58024704824,2500.65210088812,2426.11270534022,2481.05454455463,2482.08850557091,2545.92094453422,2588.57858419948,2567.46236838311,2551.47868911033,2465.48555830706,2511.58293423545,2376.17977559496,2406.46863055166,2791.53575961791,2801.37643680527,2845.94879286206,2833.3892724414,2865.09629789126,2781.62664922863,2787.42642689637,2918.36167929356,3003.74894458143,3089.45935647698,3065.98788891772,3134.71431613005,3345.82203847522,3489.13694670956,3576.75378522975,3711.94502834827,3450.7140397124,3234.14239795177,3361.11526099747,3487.51703803357,3643.49770301718,4165.58846263119,4309.06330686009,4481.00305032171,4631.09118018698,4680.80271454834,4791.40273281205,4632.85024515916,4581.28780748043,4527.77744009661,4436.11084936306,4348.9651564267,4283.07925411361,4188.74313959777,4047.92868663054,4070.12914531285,4137.77292845882,4197.27179936,4307.636660799,4291.525691283,4034.565864818,4246.461856763,4138.782852684,4166.000927827,4163.754607727,4035.424331499,3772.123969301,4046.210528744,4212.169788108,4375.208334825,4547.347708718,4479.389934645,4482.463523767,4574.762231662,4733.746003972,4765.393646382,4822.441921668,4875.368692295,5036.010632303,4957.944606906,5058.865792273,5216.378191207,5282.896170726,5409.484294814,5450.970026587,5378.988033679,5306.435217841,5159.528292903,5212.047637425,5077.22235148,5050.198508616,5056.901077763,4774.730475232,4849.993517748971,4662.056625765973,4937.610038053971,5820.203811318966,5086.57592012989,5301.678148516403,5518.460360534129,5827.304511319159,5143.355436725227,5421.093137852358,5391.968900832555,5544.769908768857,5102.208593231426
Fabrication de produits pharmaceutiques de base et de préparations pharmaceutiques,1004.62364654445,976.46882550997,987.510838559338,911.339789386237,974.606196796143,985.1338927404,971.789526445721,927.723184017734,897.818976744572,870.658438368849,869.558507416283,861.724777470295,867.078388558828,873.134758135707,875.952718241056,890.793735064407,870.482216192687,877.495799866772,885.043007041469,906.054676899071,915.571813791861,921.914617672531,910.712474474474,875.588694061131,889.452941034518,849.90271420467,860.015692734306,985.830252026504,1002.58056172266,1010.05608248543,1012.29467085974,1012.64438493214,980.379921043882,1000.5141978871,1040.97322409329,1062.06535697571,1101.31412992201,1095.97280586535,1121.06790100021,1190.50036321241,1252.04177942676,1271.71536624255,1325.95041974056,1228.20213459011,1146.53025414257,1199.85296407323,1241.91478779274,1295.59609399145,1491.46145145966,1537.71123726915,1606.79032277681,1655.88378849436,1664.96515718703,1728.53305545382,1671.68670072109,1639.70578663803,1599.46401278156,1600.28702113121,1584.42904526358,1520.92942082363,1425.25393754807,1453.53981828525,1514.73018488775,1481.18475927892,1480.89390448561,1533.9850612798,1584.20739134413,1417.91369237044,1523.72487641983,1475.28246089312,1511.15080357405,1449.84180421298,1539.412818798,1586.834894054,1530.552689443,1481.187626846,1509.333413615,1559.308946702,1594.021613828,1627.25120822,1676.694818822,1623.191419808,1608.121100958,1645.77031844,1595.839647822,1741.852274428,1717.025042887,1694.466281703,1875.733577055,1572.943900847,1666.952516466,1830.609812875,1884.014091248,1864.277287293,1783.797606039,1819.683370496,2074.460967792962,1860.2287415049664,2153.927992411961,2096.288958279962,2095.2306440259713,2382.0035030279673,2415.3833478739666,2270.309353620969,2297.171674585334,2330.133224293817,2308.196094105678,2460.0886818112963,2549.0323431817064,2501.8257092339436,1932.0006993959676,3145.5487500234485,2663.738798624883
