Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
"Evolution des prix moyens payés 
aux producteurs des produits agricoles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(En Dh/Kg),1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99, 2000-99,2000-01,2001-02,2002-03,2004-03,2004-05,2005-06,2006-07, 2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023
Céréales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Blé dur ,3.1,2.67,3.2,2.58,2.72,2.7,2.83,2.86,2.86,2.91,2.74,2.61,2.79,2.44,3.05,4.03,2.7,2.81,2.9,3.44,2.81,2.95,2.81,3.26,2.89,,2.666,2.614,2.917,2.95,3.5
 Blé tendre,2.73,2.39,2.91,2.32,2.51,2.45,2.47,2.57,2.51,2.5,2.49,2.39,2.52,2.21,2.74,3.16,2.4,2.57,2.47,2.76,2.52,2.9,2.37,2.67,2.36,,2.383,2.34,2.401,2.54,3
 Orge,2.01,1.2,1.97,1.44,1.68,1.81,1.91,2.27,2.19,1.64,1.5,1.61,1.95,1.61,2.36,2.99,1.6,1.71,2.24526093364071,2.92,2.3,2.37,2.05,2.78,2.19,,1.895,1.995,2.486,2.64,3.769645373614672
 Maïs,2.51,2.26,2.5,2.18,1.77,1.97,1.89,2.37,2.24,2.07,1.92,1.97,2,1.86,2.47,3.09,2.19,2.16,2.417290730199958,2.77,2.64,2.55,2.37,2.53,2.91,,3.469,3.039,3.289,3.62,4.2
 Avoine,2.4,1.8,2.22,1.92,2.77,2.66,2.4,2.92,2.67,2.11,1.93,1.8,2.22,2.27,2.91,3.69,2.84,2.8,3.036042537052511,3.75,3.38,3,3.5,4.8,2.58,,2.986,2.986,2.986,2.99,3.5
 Sorgho,1.9,1.63,3.44,1.99,2.03,2.5,2.31,2.32,2.76,2.92,2.47,2.57,2.59,2.87,2.8,2.98,2.98,3.43,3.0312684365781712,3.5,3.5,,,,3.2,,3.531,3.7173324538258576,4.632224802110817,3.96,4.103
Légumineuses, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
 Fèves,4.45,4.27,4.75,3.68,3.49,4.05,4.13,5.15,4.59,4.13,3.3,3.29,3.39,3.14,3.92,5.06,4.47,4.15,4.6136913286441565,5.61,5.37,4.79,4.5,4.63,4.99,,4.355,4.207,4.479,5.01,6.297635979172327
 Petits-pois,5.93,4.86,7.98,4.8,4.11,5.7,5.46,5.08,5.5,4.1,3.34,4.35,4.35,4.74,4.6,6.14,4.76,6.52,7.531466865858855,7.9,6.14,8.28,7.6,7.38,7.91,,5.484,5.154,6.212,5.91,5.72
 Lentilles,7.14,8.04,7.14,5.1,4.63,4.88,6.04,8.32,5.65,4.1,3.78,4.31,6.32,4.27,5.89,8.83,7.29,3.4,5.076892604463928,4.96,7.29,7.21,7.85,9.93,12.5,,8.934,7.038,6.529,8.86,8.124
 Pois chiches,4.84,7.2,10.59,8.75,4.41,4.08,5.04,7.47,7.75,4,3.24,4.89,6.86,7.87,7.45,7.05,5.35,5.33,10.44881170458928,9.95,11.58,9.97,9.18,10.19,12.19,,11.916,10.628,8.083,7.62,9.265815399112745
 Orobes,2.59,2.33,3.42,3.02,3.04,3.03,2.99,3.34,2.92,3.04,2.76,2.76,3.53,3.81,4.25,3.7,3.32,3.71,4.802978235967927,4.49,4.07,5.05,4.91,6.21,4.63,,4.42,5.048,3.458,2.33,2.89
 Haricot sec,7.32,9.59,10.56,8.02,6.64,6.56,8.09,9.59,9.53,8.41,7.08,6.14,7.98,9.05,9,8.99,7.67,9.29,9.950333333333335,7.74,12.01,13.05,11.82,11.76,12.83,,10.455,8.221,9.326,10.35,12.046
Oléagineuses, , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,
