,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Précipitations par Province,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,5,6,,,,
,79/80,,,,,,,,,,,90/91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Hauteur en mm),1980,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991,91-92,92-93,93-94,94-95,95-96,96-97,97-98,98-99,99-00,2000-2001,2001-2002,2002-2003,2003-2004,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2024-2025,2025-2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2022-2024,2023-2025,,
 Ifrane,933.3,674.0,1045.5,652.9,623.9,853.7,1002.2,821.8,772.3,1274.1,830.9,979.5,736.5,463.6,864.1,483.1,1603,1170.8,1058.9,525.4,608.9,848.1,770.3,1127.8,1052,531.1,959.6,469,500.5,1407.9,1742.0999999999997,1066.9,585.8,,,,,790.2,1144.7,997.2,704.6,655.9,508.1,2022-2025,2023-2026,,
 Larache,474.7,453.5,622.7,560.5,644.4,506.2,482.9,747.8,460.5,460.5,1037.6,,520.9,337.4,643,371,1280.4,964.6,923.5,349.2,560,772.9,635.8,1002.7,877.2,296.4,601.4,402.9,432.5,885.9749999999999,1001.5,1023.3,436.7,,,,,650.1,705.3,546.6,491.2,613,314,2022-2026,2023-2027,,
 Tanger,556.8,492.4,633.3,546.5,775.4,637.5,367.6,860.3,548.9,966.3,543.1,790.3,527.8,521.2,739,337,1323.3,1074.6,866.1,419,602.8,715.7,650.1,846.5,698.1,373.5,551.1,440.8,466.1,905.9,893,1040.6,498.8,,,,,672.1,660.2,553.7,557.1,529.4,485.1,2022-2027,2023-2028,,
 Tétouan,514.7,558.9,437.6,445.8,507.4,423.7,556.3,603.0,567.2,863.1,711.4,877.8,535,586.1,673,290,1238,793.5,804.4,437.4,639.9,634.2,794.2,736.5,653.6,593.1,640.2,414.6,705.5,1134.4999999999998,1182,1182.4,401.8,,,,,557.4,497.1,345,462.5,583.5,479.6,2022-2028,2023-2029,,
 Kénitra,551,357.8,500.9,546.4,708.4,531.7,701.5,650.7,411.8,706.4,487.6,468.9,328.6,307.4,547,244,922,731.6,722,348.4,387.1,574.6,468.7,766.8,670.9,348.9,557.7,296.7,346.1,904.8,904.5999999999999,695,333.6,,,,,657.8,551.9,449.6,332.4,462.3,298.7,2022-2029,2023-2030,,
 Taza,562.5,365.2,527.1,411.8,451.7,503.5,500.1,733.8,386.7,565.0,537.5,496.1,375.5,329.4,444,220,724.4,619.5,630.4,269.6,357.7,683.4,423.7,535.9,664.7,340.7,490,290.2,387,1005.8000000000001,1141.1,814.7,472.6,,,,,431.7,773.5,540.9,514.7,522.5,,2022-2030,2023-2031,,
