,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,Précipitations par province,,,,,,,,,,,,,,,,,,
,,,(Nombre de jours),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1980,1981,1982,1983.0,1984.0,1985.0,1986.0,1987.0,1988,1989.0,1990,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0
,,,,,,,,,,,,,,,,,,,,
 Agadir,40,26,24,37.0,22.0,30.0,25.0,43.0,46,50.0,27,36.0,,,,,,,,
 Al Hoceïma,68,38,60,50.0,56.0,63.0,58.0,61.0,55,66.0,64,69.0,,,,,,,,
 Beni Mellal,58,41,63,54.0,42.0,62.0,61.0,60.0,50,72.0,61,56.0,,,,,,,,
 Casablanca ,62,47,65,68.0,79.0,71.0,70.0,83.0,71,75.0,59,73.0,,,,,,,,
 Ed-Dakhla,n.d,15,8,7.0,3.0,5.0,8.0,14.0,17,17.0,13,12.0,,,,,,,,
Errachidia,44,20,36,17.0,24.0,38.0,21.0,32.0,30,54.0,47,44.0,,,,,,,,
Essaouira,39,31,35,51.0,50.0,47.0,43.0,53.0,47,53.0,38,44.0,,,,,,,,
 Fès ,81,61,77,71.0,75.0,83.0,83.0,73.0,72,73.0,70,81.0,,,,,,,,
 Ifrane,95,84,87,89.0,85.0,114.0,114.0,93.0,72,113.0,92,98.0,,,,,,,,
 Kenitra,66,59,75,74.0,85.0,89.0,81.0,97.0,73,85.0,68,79.0,,,,,,,,
 Laâyoune,21,22,24,27.0,17.0,21.0,18.0,32.0,27,37.0,18,22.0,,,,,,,,
 Larache,82,71,64,73.0,106.0,82.0,80.0,102.0,83,83.0,91,80.0,,,,,,,,
 Marrakech,51,29,49,30.0,41.0,54.0,42.0,46.0,54,52.0,39,49.0,,,,,,,,
 Meknès,79,58,73,68.0,73.0,82.0,88.0,80.0,68,82.0,76,80.0,,,,,,,,
 Midelt,53,39,67,55.0,41.0,71.0,59.0,61.0,50,91.0,72,74.0,,,,,,,,
 Nador,61,38,59,39.0,52.0,70.0,69.0,73.0,n.d,67.0,76,76.0,,,,,,,,
Ourzazate,33,32,34,26.0,15.0,38.0,25.0,33.0,35,57.0,n.d,53.0,,,,,,,,
 Oujda ,60,49,75,44.0,56.0,68.0,70.0,71.0,63,65.0,78,75.0,,,,,,,,
 Rabat,63,62,66,66.0,79.0,77.0,76.0,86.0,64,74.0,63,64.0,,,,,,,,
 Safi,53,47,51,52.0,54.0,15.0,58.0,68.0,58,74.0,49,55.0,,,,,,,,
 Tanger,80,71,67,69.0,100.0,78.0,80.0,92.0,92,92.0,83,80.0,,,,,,,,
 Taza,76,60,76,63.0,72.0,80.0,75.0,75.0,74,83.0,82,85.0,,,,,,,,
 Tétouan,79,73,79,69.0,86.0,81.0,74.0,95.0,78,110.0,78,95.0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Moyenne,61.09090909090909,46.65217391304348,57.130434782608695,52.130434782608695,57.08695652173913,61.69565217391305,59.91304347826087,66.21739130434783,58.13636363636363,70.65217391304348,61.09090909090909,64.34782608695652,,,,,,,,
