,,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1991M09-1992M08,1992M09-1993M08,1993M09-1994M08,1994M09-1995M08,1995M09-1996M08,1996M09-1997M08,1997M09-1998M08,1998M09-1999M08,1999M09-2000M08,2000M09-2001M08,2001M09-2002M08,2002M09-2003M08,2003M09-2004M08,2004M09-2005M08,2005M09-2006M08,2006M09-2007M08,2007M09-2008M08,2008M09-2009M08,2009M09-2010M08,2010M09-2011M08,2011M09-2012M08,2012M09-2013M08,2013M09-2014M08
vl,"Précipitations en mm, Ifrane, Maroc, A",3351.0,933.3,674.0,1045.5,652.9,623.9,853.7,1002.2,821.8,772.3,1274.1,830.9,979.5,736.5,463.6,864.1,483.1,1603,1170.8,1058.9,525.4,608.9,848.1,770.3,1127.8,1052,531.1,959.6,469,500.5,1407.9,1742.0999999999997,,,,
vl,"Précipitations en mm, Larache, Maroc, A",3352.0,474.7,453.5,622.7,560.5,644.4,506.2,482.9,747.8,460.5,460.5,1037.6,,520.9,337.4,643,371,1280.4,964.6,923.5,349.2,560,772.9,635.8,1002.7,877.2,296.4,601.4,402.9,432.5,885.9749999999999,1001.5,,,,
vl,"Précipitations en mm, Tanger, Maroc, A",3372.0,556.8,492.4,633.3,546.5,775.4,637.5,367.6,860.3,548.9,966.3,543.1,790.3,527.8,521.2,739,337,1323.3,1074.6,866.1,419,602.8,715.7,650.1,846.5,698.1,373.5,551.1,440.8,466.1,905.9,893,,,,
vl,"Précipitations en mm, Tétouan, Maroc, A",3373.0,514.7,558.9,437.6,445.8,507.4,423.7,556.3,603.0,567.2,863.1,711.4,877.8,535,586.1,673,290,1238,793.5,804.4,437.4,639.9,634.2,794.2,736.5,653.6,593.1,640.2,414.6,705.5,1134.4999999999998,1182,,,,
vl,"Précipitations en mm, Kenitra, Maroc, A",3374.0,551.0,357.8,500.9,546.4,708.4,531.7,701.5,650.7,411.8,706.4,487.6,468.9,328.6,307.4,547,244,922,731.6,722,348.4,387.1,574.6,468.7,766.8,670.9,348.9,557.7,296.7,346.1,904.8,904.5999999999999,,,,
vl,"Précipitations en mm, Taza, Maroc, A",3376.0,562.5,365.2,527.1,411.8,451.7,503.5,500.1,733.8,386.7,565.0,537.5,496.1,375.5,329.4,444,220,724.4,619.5,630.4,269.6,357.7,683.4,423.7,535.9,664.7,340.7,490,290.2,387,1005.8000000000001,1141.1,,,,
vl,"Précipitations en mm, Meknès, Maroc, A",3391.0,539.2,374.0,618.0,469.4,413.4,478.9,496.3,553.3,445.6,683.9,498.6,443.7,376.7,285.7,449,279,720.6,591.3,562.8,287.3,316.9,375.5,335.8,534.3,439.1,290.9,561.4,342.8,304.8,715.9,782.4999999999999,,,,
vl,"Précipitations en mm, Rabat, Maroc, A",3375.0,491.5,286.6,477.9,444.9,564.1,349.1,586.7,649.5,309.9,578.6,447.0,327.7,291.2,313.4,359,175,853.8,728.1,508.5,290.4,419.3,574.4,336.4,711.5,735.1,373.2,635.8,322,350,812.4,881.7000000000002,,,,
vl,"Précipitations en mm, Fés, Maroc, A",2986.0,410.3,319.8,640.8,279.9,385.6,417.4,386.1,493.7,366.6,667.0,481.6,482.3,345.1,275.9,373.7,181.6,586.7,514.4,474.4,251.9,277.6,433.9,327.7,523.1,578.5,291.7,599.7,402.6,390.1,870.8999999999999,756.0999999999999,,,,
vl,"Précipitations en mm, Al Hoceïma, Maroc, A",2988.0,237.2,100.2,255.3,212.2,153.3,319.1,29.3,192.2,152.0,252.8,428.0,262.5,210.2,216.5,364.9,209.3,307.9,324.2,402.1,280.6,236.3,261.1,314.2,394.1,464.4,281.4,383.3,272.8,347.1,643.46,601.2,,,,
vl,"Précipitations en mm, Beni Mellal, Maroc, A",2990.0,379.2,124.6,515.2,237.0,293.0,383.1,337.4,340.0,356.1,441.2,339.1,392.9,211.2,187.7,334.7,192.2,544.8,478.8,388.7,244.9,283.4,290.3,363.6,396.9,415.1,213.3,346.4,180.3,265.4,460.3,480.8,,,,
vl,"Précipitations en mm, Casablanca, Maroc, A",2996.0,344.1,148.5,317.9,297.9,401.9,286.9,416.8,467.7,365.2,444.3,281.5,463.4,261.5,152.4,422.9,148,694.9,678.8,365.2,323.1,264.2,337.5,368.2,484.9,485.1,248.6,523,307.2,274.1,526.625,612.0999999999999,,,,
vl,"Précipitations en mm, Essaouira, Maroc, A",3032.0,122.6,129.6,228.0,257.6,311.4,237.3,178.4,359.3,456.0,442.9,220.5,161.7,103.8,143.9,360.1,164.3,623.5,519.1,352.6,198.2,267.2,199.2,288.1,225.2,308.9,227.5,354.8,178.4,156,442.70000000000005,408.70000000000005,,,,
vl,"Précipitations en mm, Safi, Maroc, A",3055.0,298.1,136.6,395.1,323.3,352.0,331.9,240.7,475.3,457.3,551.4,317.9,329.1,194.8,253,379,185,876.9,514.2,339.4,245.3,360.5,246.9,320.6,427.5,483,212.5,445.2,209.7,258.7,502.8,432.69999999999993,,,,
vl,"Précipitations en mm, Agadir, Maroc, A",3057.0,290.4,292.1,356.4,196.7,164.7,213.1,205.5,451.7,404.6,338.9,192.7,204.5,92.7,119,174.5,115.4,634.6,395.5,324.6,174.4,150.7,125.4,276.4,179.2,228.1,215.3,249,90,92.2,338.40000000000003,601.1999999999999,,,,
vl,"Précipitations en mm, Nador, Maroc, A",3059.0,265.1,116.5,296.0,116.3,167.9,430.6,412.6,166.6,,339.1,396.8,340.4,292.3,324.8,347,242,211.5,224,283.4,218.5,178.5,282.1,380.9,283.2,641.9,268,315.1,330.3,405.7,672.8000000000001,571,,,,
vl,"Précipitations en mm, Marrakech, Maroc, A",3072.0,270.2,80.9,314.4,136.5,186.3,237.9,198.7,215.7,283.3,205.2,152.3,363.2,156,94.3,224,254,336.4,314.2,266.5,216.8,185,99.3,191.1,215.9,187.9,133.5,239.4,95.2,142,306.4,318.09999999999997,,,,
vl,"Précipitations en mm, Oujda, Maroc, A",3011.0,394.9,250.7,252.0,109.0,242.9,238.1,419.8,188.9,175.0,206.6,245.9,350.2,208.1,223.4,246,217,271.2,172.3,237.3,203.5,146.2,261.6,297.5,274.4,353.8,211.4,230.1,249.4,257.9,373.83333333333337,357.8,,,,
vl,"Précipitations en mm, Midelt, Maroc, A",2994.0,97.7,52.3,254.3,124.7,68.6,192.1,154.3,164.5,178.3,204.6,124.7,182.1,67.5,77.3,216,130,185.7,176.3,124.8,97.5,107.7,126.9,208.9,77.2,161.9,78.6,167.8,182.7,213.1,214.23333333333335,199.1,,,,
vl,"Précipitations en mm, ouarzazate, Maroc, A",2989.0,125.9,90.3,98.0,41.2,30.3,146.0,50.7,222.1,240.1,284.4,,136.9,167.4,73.4,90,154,136,67.7,88.4,36.3,85.3,10.7,87.8,67.3,128.6,59.3,114.3,120.3,93.6,108.5,121.1,,,,
vl,"Précipitations en mm, Jadida, Maroc, A",38077.0,,,,,,,,,,,,,,,,,751.3,655,340.8,359.9,274.9,300.7,326.4,492.7,511.7,246.6,386.1,281.3,332,542.9000000000001,465.8,,,,
vl,"Précipitations en mm moyennes, Maroc, A",8056.0,392.97,270.225,439.32,320.525,372.33,385.89,386.195,467.895,386.1789473684211,523.815,435.5105263157895,423.85263157894735,300.14,264.29,412.3,225.4,706,557.5476190476192,479.27619047619044,275.12380952380954,319.528571428571,388.3,389,490.8,511.4,228.39142857142852,375.3514285714286,223.11714285714288,267.2,543.6,604.7857142857142,690.8,400.2,450,274
