,,,
,,,
,,,
,"Région, Province ou Préfecture",,Code Géographique
,Tanger-Tetouan-Al Hoceima,,01.
,Al Hoceima,Tanger-Tetouan-Al Hoceima,01.051.
,Chefchaouen,Tanger-Tetouan-Al Hoceima,01.151.
,Fahs-Anjra        ,Tanger-Tetouan-Al Hoceima,01.227.
,Larache,Tanger-Tetouan-Al Hoceima,01.331.
,Ouezzane,Tanger-Tetouan-Al Hoceima,01.405.
,Tanger-Assilah,Tanger-Tetouan-Al Hoceima,01.511.
,Tétouan,Tanger-Tetouan-Al Hoceima,01.571.
,M'Diq-Fnideq,Tanger-Tetouan-Al Hoceima,01.573.
,L'oriental,,02.
,Berkane,L'oriental,02.113.
,Driouch,L'oriental,02.167.
,Figuig,L'oriental,02.251.
,Guercif,L'oriental,02.265.
,Jerada,L'oriental,02.275.
,Nador,L'oriental,02.381.
,Oujda-Angad,L'oriental,02.411.
,Taourirt,L'oriental,02.533.
,Fès-Meknès,,03.
,Meknès,Fès-Meknès,03.061.
,Boulemane,Fès-Meknès,03.131.
,El  Hajeb,Fès-Meknès,03.171.
,Fès,Fès-Meknès,03.231.
,Ifrane,Fès-Meknès,03.271.
,Sefrou,Fès-Meknès,03.451.
,Taounate,Fès-Meknès,03.531.
,Taza,Fès-Meknès,03.561.
,Moulay Yacoub,Fès-Meknès,03.591.
,Rabat-Salé-Kénitra,,04.
,Kénitra,Rabat-Salé-Kénitra,04.281.
,Khémisset,Rabat-Salé-Kénitra,04.291.
,Rabat,Rabat-Salé-Kénitra,04.421.
,Salé,Rabat-Salé-Kénitra,04.441.
,Sidi Kacem,Rabat-Salé-Kénitra,04.481.
,Sidi Slimane,Rabat-Salé-Kénitra,04.491.
,Skhirate- Témara,Rabat-Salé-Kénitra,04.501.
,Béni Mellal-Khénifra,,05.
,Azilal,Béni Mellal-Khénifra,05.081.
,Béni Mellal,Béni Mellal-Khénifra,05.091.
,Fquih Ben Salah,Béni Mellal-Khénifra,05.255.
,Khénifra,Béni Mellal-Khénifra,05.301.
,Khouribga,Béni Mellal-Khénifra,05.311.
,Casablanca-Settat,,06.
,Benslimane,Casablanca-Settat,06.111.
,Berrechid,Casablanca-Settat,06.117.
,Casablanca,Casablanca-Settat,06.141.
,El Jadida,Casablanca-Settat,06.181.
,Médiouna,Casablanca-Settat,06.355.
,Mohammadia,Casablanca-Settat,06.371.
,Nouaceur,Casablanca-Settat,06.385.
,Settat,Casablanca-Settat,06.461.
,Sidi Bennour,Casablanca-Settat,06.467.
,Marrakech-Safi,,07.
,Al  Haouz,Marrakech-Safi,07.041.
,Chichaoua,Marrakech-Safi,07.161.
,El Kelâa des  Sraghna,Marrakech-Safi,07.191.
,Essaouira,Marrakech-Safi,07.211.
,Marrakech,Marrakech-Safi,07.351.
,Rehamna,Marrakech-Safi,07.427.
,Safi,Marrakech-Safi,07.431.
,Youssoufia,Marrakech-Safi,07.585.
,Drâa-Tafilalet,,08.
,Errachidia,Drâa-Tafilalet,08.201.
,Midelt,Drâa-Tafilalet,08.363.
,Ouarzazate,Drâa-Tafilalet,08.401.
,Tinghir,Drâa-Tafilalet,08.577.
,Zagora,Drâa-Tafilalet,08.587.
,Souss-Massa,,09.
,Agadir-Ida -Ou-Tanane,Souss-Massa,09.001.
,Chtouka- Ait Baha,Souss-Massa,09.163.
,Inezgane- Ait Melloul,Souss-Massa,09.273.
,Taroudannt,Souss-Massa,09.541.
,Tata,Souss-Massa,09.551.
,Tiznit,Souss-Massa,09.581.
,Guelmim-Oued Noun,,10.
,Assa-Zag,Guelmim-Oued Noun,10.071.
,Guelmim,Guelmim-Oued Noun,10.261.
,Sidi Ifni,Guelmim-Oued Noun,10.473.
,Tan-Tan,Guelmim-Oued Noun,10.521.
,Laâyoune-Sakia El Hamra,,11.
,Boujdour,Laâyoune-Sakia El Hamra,11.121.
,Es-Semara,Laâyoune-Sakia El Hamra,11.221.
,Laâyoune,Laâyoune-Sakia El Hamra,11.321.
,Tarfaya,Laâyoune-Sakia El Hamra,11.537.
,Dakhla-Oued Ed-Dahab,,12.
,Aousserd,Dakhla-Oued Ed-Dahab,12.066.
,Oued Ed-Dahab,Dakhla-Oued Ed-Dahab,12.391.
,Total 12 régions,,
,,,
,,,
,,,Source: Ministère de l'Education Nationale
