Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03,2023M04,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10,2023M11,2023M12,2024M01,2024M02,2024M03,2024M04,2024M05,2024M06,2024M07,2024M08,2024M09,2024M10,2024M11,2024M12,2025M01,2025M02,2025M03,2025M04,2025M05,2025M06,2025M07,2025M08,2025M09,2025M10,2025M11,2025M12,2026M01,2026M02,2026M03,2026M04,2026M05,2026M06,2026M07
Evolution de la production au cours des trois prochains mois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.7638727,23.76799519,37.01038949,-5.432723056,-5.367703934,46.19959705,40.69005386,88.12023824,38.22703007,22.58047646,26.75139681,66.5799126,62.7956647,60.42392708,34.75318484,41.51345707,5.604140675,-17.71598174,37.272311,66.65007696,46.44652782,17.87868898,-56.30342767,25.46056411,0.650912376,-20.59164462,22.69843585,52.33867974,0.771770136,-24.20822988,-63.27203346,73.81125606,73.3442067,-23.55539728,-20.45360287,54.23722581,41.34733221,-3.648267984,51.92796863,31.86780587,-19.48511265,-46.19209938,-41.8456747,92.40144522,8.338477936,-32.77465645,-71.23775301,46.34770107,-21.67744475,33.31285352,69.15041141,43.02634494,13.79700502,-42.06948895,-47.26999013,88.41134888,-1.953598208,24.60626212,-58.62810754,-47.50291783,3.604293763,36.37291326,17.49619833,-43.6207998,-55.56481954,-57.35389074,9.975709649,39.15545424,60.8924357,33.55457855,-7.596212794,28.37721206,16.76214134,55.83942921,33.12502588,13.76325867,-41.95031771,-19.42116145,2.621155111,78.9693419,75.8331721,19.75198709,45.44425148,76.35671739,75.85632972,68.07428413,48.43726878,47.17021172,47.47940299,18.23391167,18.6735806,63.34953262,73.68668486,50.15810276,67.39877717,28.15867008,35.41516675,29.86550903,43.64341262,-18.5730379,11.25375338,29.86550903,-37.22063161,80.12957892,60.23065814,-42.13205589,-38.20720543,41.31835515,0.248514973,-1.865152194,29.91100853,4.111191338,8.028058456,18.72659581,-62.60058885,91.52482592,72.66757973,-3.264338037,31.38822148,-5.59668593,7.683556697,-45.77418508,-50.08026357,-28.86558738,32.65920862,11.99761404,-23.7393135,19.7289215,30.92071823,-28.63683634,17.18712992,-2.502798737,25.73151299,0.708652166,9.638653348,21.89300581,12.58438409,10.86951268,24.69060455,-7.891871477,-26.99956794,25.07215661,-37.24890596,-5.803006369,-0.924519595,46.62661603,31.89463868,-3.617164793,79.21349728,-52.79033437,-80.92414184,2.318497905,-15.78337981,6.492658924,14.49300355,40.56678548,39.49128186,52.75949377,8.356778353,78.60836998,45.69148644,9.332572805,7.581505033,12.09222093,18.93532552,44.37302273,56.09884201,59.9227295,81.40560367,51.26891949,81.33024385,84.35093626,71.94264002,6.022484169,1.356442956,13.76473919,21.81270769,1.380083933,,,,,,,,,,,,,,,,,,,,,
Evolution de la production par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38548628,23.75330831,28.36369206,8.936348777,2.975030029,22.25846142,24.53846484,-68.81156176,50.61498205,65.48048289,-1.114732162,-17.84658726,34.11973499,8.454252931,30.85070265,-32.99818399,0.663081567,12.47349442,-29.29956271,-46.20137751,11.7775268,42.89463221,-40.60829537,-0.46775885,51.96709012,40.38581635,40.2712094,-21.43881747,70.69973078,16.65894907,-3.834761275,-67.83895058,80.03376409,14.87614707,20.87363657,-59.72329834,-1.331502988,1.544168703,50.67697169,24.64061049,-17.25656285,-55.4050745,28.31015375,-80.79554624,85.41512367,-7.60648855,23.86671534,-46.54855865,51.00418272,24.97234622,22.55562605,28.70856913,16.04903755,55.58472768,30.16925032,-80.55726458,70.95254364,8.67895171,75.87289629,24.0833262,-18.77022314,13.91434251,51.23891406,-37.00667218,-24.91499498,31.03886797,-46.92342266,10.19791623,21.45697059,40.61856853,22.10021417,3.004570398,70.18779707,69.02550924,51.70554581,21.81016874,64.22954531,-2.874467697,-58.7385725,-56.84038411,45.77642093,41.1178945,26.4480597,-16.1025541,42.96570528,18.08206773,20.34287113,8.176456839,-23.87235709,-4.988346344,-68.88550264,-61.1012529,54.42484879,44.13442418,24.60736325,11.47105633,-53.83678775,34.82309632,52.03047716,10.82379741,4.569452085,22.2768077,41.19709494,-51.51747764,87.06184284,64.81601562,47.40809338,-45.79625135,49.4396485,47.95149339,18.9082988,60.38757748,70.36993532,64.78295192,82.95643875,-93.73172465,80.7686632,90.06369116,-20.73025635,-31.17710769,47.8696725,21.38743411,-79.75488394,-82.73180302,-33.72920998,62.47326441,21.01090639,-67.00550337,-23.02794287,15.26761919,-23.46632871,46.28974634,2.748053427,-0.644419884,-9.093695636,16.43008009,9.862223487,17.11225957,-15.16176334,-18.60598543,29.94919255,3.116865505,60.53231826,-33.08232217,-24.66391864,61.13744266,-16.93208984,-11.93835639,-46.16485572,17.22946538,-32.83108554,7.324106876,31.50247169,68.99008835,-8.312074093,46.90595153,18.49228972,15.52180019,19.12857323,-57.03705971,73.01463443,59.05874688,42.96944754,-5.431208472,47.08519615,33.82784662,-6.874538608,-4.582181361,-11.98427746,32.21838998,82.9944933,50.61437739,82.9944933,71.08312349,4.542831034,-21.99239032,58.66689478,71.80540358,,,,,,,,,,,,,,,,,,,,,
Evolution des nouvelles commandes par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.80566023,38.83118049,2.55385223,9.163457765,0.389684892,52.00799419,50.62339877,-59.30391227,48.46295085,60.53449784,14.94761899,3.972131418,72.36429178,37.14808939,48.40493237,-32.80760472,25.55436089,13.38749579,-24.68158933,3.714294446,20.84060569,36.96799242,-39.94227818,-15.72517826,-14.78455064,44.0081411,59.99351637,-4.341276705,42.6534955,0.621191099,-35.95444619,7.805563829,70.64638321,39.74108612,-13.73864632,-74.9736505,27.87864375,54.32213969,-33.71365002,-53.63388622,22.22365931,-40.03760875,-42.13309689,-15.37248348,73.01196386,-83.77277324,-43.40906588,-48.33346007,19.02431612,36.20579262,11.15915889,-2.925769352,13.56011636,-26.94995132,-45.35554823,-46.80208892,16.59426241,-8.583191098,39.89254505,17.21206322,-15.26998056,32.253284,65.71046329,6.298222776,-21.50962736,54.36223032,-47.02312007,-34.02681677,8.06089308,25.59884619,24.91666118,-13.29506689,9.67369463,44.29977501,71.70612632,6.889792247,2.310906073,-65.06624091,-59.66361678,3.260996357,66.2963351,42.72459996,-1.689855492,0.673726119,52.38143639,61.86417264,3.928234052,-25.29713932,48.25185411,-31.42992416,-59.75087703,-65.61581616,44.26002801,25.89916558,40.44922365,70.38277801,65.28745048,39.47409361,57.10883818,-17.40071735,56.83124479,70.8208689,39.81977152,31.46811487,44.33259227,69.47010171,42.52210555,-41.31835515,45.02904769,48.78907146,-19.29455709,6.146452941,12.06782417,6.145676557,77.18938513,-58.98240355,74.04679784,85.46490816,-66.77727936,-8.951162443,20.19620371,32.27012237,-42.70259338,-58.06237458,-66.78157728,21.51606405,-10.67499304,-95.24204675,-38.3049308,-6.964333811,-35.79411363,25.99233303,-8.767877588,12.33591928,71.86319003,7.410363488,-8.931129529,6.242746885,10.17503756,8.47968403,-8.40400491,53.08910267,47.00980695,8.493892787,-9.059718148,50.70189719,57.45290122,-18.92678951,-6.443210405,6.861786365,-25.05287398,6.600665745,26.58635014,2.354020504,53.53062633,-7.772466316,68.67785243,17.09830448,1.841038556,11.64010769,66.91588929,2.442542168,60.97400346,15.86684454,38.5439912,20.29157427,10.08117312,21.5427612,33.41613137,-13.69190227,48.24944784,-0.326474607,56.27847436,69.42997572,0,23.17858878,20.42162901,11.0890562,,,,,,,,,,,,,,,,,,,,,
Evolution des prix des produits finis au cours des trois prochains mois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.919727323,15.00680651,34.42144383,13.8115516,6.381068279,-4.954404214,-3.172506203,14.07880081,7.307963889,2.522552874,51.75349715,35.29653292,25.70981041,51.29773804,49.36176249,-0.795686148,-1.4342238,21.15970945,-7.535082364,-26.96596737,-30.64934091,-13.47769674,-30.61977191,37.12663901,0.155117737,27.94147921,56.89744033,21.67850925,6.190506816,1.977644612,0,2.619179778,2.154027756,6.538487584,9.909837948,31.27157874,1.977644612,-7.960166404,2.021055263,1.984618823,1.977644612,-19.41679799,-11.41637148,42.05525458,32.14541663,-28.19012741,-44.88400545,-30.27415939,7.049108117,0,-42.9235931,-25.10547045,32.06563605,-31.7400322,8.176305985,0,0,-8.546270343,-2.373874795,2.253713455,0,6.669174555,7.196194889,6.494438295,0.329540049,7.700920174,-21.96344148,-19.31191034,-24.95796004,-21.84270338,1.019636496,25.89281614,-31.89836838,-16.98980818,0.742534732,0,1.044089303,2.431276651,-12.99849464,0,0,4.90875107,25.22168724,22.64683158,-4.238825637,8.09428749,10.44057744,23.20492337,0.843311899,0,0,-5.808243386,-15.07925533,-0.874030106,25.40532624,-10.74562767,3.649882471,0.939799703,7.544057937,3.878142027,0.998573723,-6.604258234,-7.477453666,0,0,-50.98069392,-49.99711808,0,0.850805005,0.850805005,0.797649639,-7.605812839,1.169536523,10.69853736,0,0,-6.020746492,-12.9202457,-1.222833126,-1.293692342,6.27930239,-29.32779235,-8.658816734,-19.13180917,21.34925392,16.86352792,1.184768947,-22.32070287,-22.32070287,-21.6247626,7.481697398,7.031266684,6.652062443,15.48297297,7.481697398,10.58208489,14.02386103,10.86951268,3.493525795,1.013254897,8.357257723,2.201212124,1.163958674,1.377229222,4.597278214,44.59144823,6.854861315,4.01436469,4.81877478,0,0,1.055798376,2.383210391,12.05849653,13.09977851,33.68842322,40.28023725,24.0726175,8.00864024,9.462109686,45.37400832,1.380083933,0,0,0,2.572700564,0,13.41665184,0,37.46719588,0,12.40829624,0,0,0,0,59.87982081,-9.332572805,,,,,,,,,,,,,,,,,,,,,
Evolution des prix des produits finis par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.19945628,27.23978074,11.6400314,36.85544571,5.950904878,-1.153133733,20.42333641,-2.915169884,0.524080174,34.27571276,9.226229826,28.74453136,55.79369406,13.37792493,18.92292743,40.56548472,-1.84168677,1.944374522,29.68452593,-7.173002419,-12.14009067,-34.43543042,-5.207080376,-0.012227694,-34.33609093,-10.76259165,6.783883715,15.06005736,17.10821621,40.27425251,35.77760241,6.001879173,-5.523779697,-32.49810361,-9.909837948,9.98014937,1.506533532,0,-8.106310402,-9.944785227,-30.16777202,-59.97601057,-51.49398145,11.88748256,1.977644612,-28.19012741,-6.690073642,-6.367283444,-15.7305981,-7.2659772,-6.966015227,4.265175236,4.516094621,-4.540941771,-34.31920344,-3.490268843,-2.436652003,-8.546270343,8.146497578,-13.63535668,-14.02649402,14.21952831,6.314232725,-3.573752652,6.035565132,-15.81400299,-5.668701622,0,-14.71699943,-26.57984737,15.58163291,-18.61353163,-34.56407666,0.742534732,3.292358462,0.742534732,0,-1.032610621,-27.19078709,-32.80320873,-6.468237366,-5.49612077,3.171838345,-1.298265946,8.6077515,0,-6.690982777,-15.98040891,7.19946372,0,0,-2.596252474,-8.538378701,-7.911647442,21.94950958,-6.22657287,-15.08543834,-11.68542737,-1.054600509,0.998573723,-6.018707413,19.22948531,58.08104419,0,-46.24354986,-0.983575843,0,0,-56.68486626,-33.94707318,7.807937755,0,-15.98137296,10.69853736,0,0,-6.020746492,1.293692342,1.089718997,0,-7.880360641,-8.119328387,2.526108693,-26.61350657,-25.13798654,-6.149955865,1.194207676,-22.32070287,-11.32489613,-8.049484973,13.57527763,25.11948768,37.45462478,21.8108775,15.00022722,22.47598565,21.55475136,-4.343569743,0.934084549,-36.27275835,-18.80926877,2.201212124,7.948016081,-1.377229222,8.694109825,18.34247213,17.09928144,13.40319645,18.33822792,0,0,1.055798376,1.057677338,10.73296348,1.149010478,23.53654076,32.1687059,19.00346383,0,54.19312446,38.0706768,0,0,33.68829867,0,0,0,0,22.18318274,32.29966001,0,-12.40829624,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
Evolution des ventes au cours des trois prochains mois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.61776674,18.32780325,12.14276476,7.948890171,3.065433727,11.02808687,16.7095337,40.9732397,36.18779574,-1.620351714,19.9675131,55.30667116,64.48432687,58.35872389,32.71395051,45.22769259,12.25995463,-10.57913318,36.40963815,40.57766902,47.96826539,-14.4970579,-58.75559004,26.05942807,22.26069918,38.84384933,20.65920152,56.02205328,-0.02229011,-20.98541118,-63.27203346,63.45948948,73.3442067,27.1947874,-57.67626395,54.23722581,41.34733221,20.02322231,48.40338893,31.86780587,-20.15461266,-44.88663944,-41.8456747,92.40144522,18.24831588,-31.47378407,-70.70005529,38.62504006,7.712212387,72.75515708,76.9059376,43.02634494,49.89517505,-37.03441162,-44.18116392,85.32252267,2.365999648,21.67461025,-58.62810754,-47.50291783,6.195180314,55.9446033,0.113027273,-34.53955117,-25.03390299,-45.81781967,-21.08192843,46.94776594,54.88850206,33.55457855,-6.853678062,10.31273946,16.76214134,53.59913777,33.12502588,13.76325867,-40.90622841,-23.53151467,2.621155111,84.28671032,82.58393017,26.31840506,-6.065065474,28.15472229,76.69964162,70.95098282,46.11898151,59.1689119,38.87165149,11.62965344,18.6735806,63.34953262,76.89867578,50.15810276,67.39877717,8.631057742,29.86550903,23.2612508,37.63163442,4.596149979,9.136408901,19.15092618,-27.04015998,80.12957892,60.23065814,-50.15005123,-37.70338502,41.31835515,11.02605,-7.302691284,32.15880151,-9.222603007,8.028058456,16.09133883,-51.74309149,83.27589714,55.38986484,-13.81036684,42.57944736,-4.302993588,21.20309626,-21.64968083,-67.35438269,-52.86167931,42.8677669,0.269500813,-26.11829012,19.7289215,6.221038737,-55.68982303,-39.06046944,-5.531374618,23.4267108,0.708652166,9.638653348,21.89300581,12.58438409,10.86951268,17.39064329,20.12095136,1.013254897,25.07215661,-44.40944371,25.1459407,38.58254561,53.8114575,31.89463868,4.117170025,69.13886661,43.97032088,-94.65642755,1.12429023,-15.78337981,10.03490109,15.78237088,45.97172207,38.30440443,57.82864743,8.356778353,78.60836998,56.41111869,60.53813372,34.64580039,12.09222093,37.53211361,45.65426934,68.30575425,85.54629359,85.58902487,51.0880043,81.33024385,84.35093626,71.94264002,9.100404952,1.356442956,13.76473919,12.48013489,1.380083933,,,,,,,,,,,,,,,,,,,,,
Evolution des ventes par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39769355,21.82339502,29.01974499,-9.29766917,-14.8166637,43.10922509,30.02395058,-82.64455359,46.53651339,63.50283828,-3.153966492,-36.65336879,25.09298227,24.30427706,52.88554758,-30.20659254,-0.478013838,-7.678229668,-57.39285472,-46.20137751,9.935840025,41.95557355,-57.32072196,-2.312526985,4.820091581,69.8320336,40.2712094,-28.91762158,63.91584706,-1.342986061,-29.66622406,-65.67664649,76.94429991,14.6963089,27.28941401,-54.87501437,-2.160886571,64.23739912,-13.23173166,-28.4498726,-39.67798352,-64.02551084,21.53383531,-78.81790162,91.17002849,-68.36803548,33.7372278,-62.58009112,38.97484115,20.48704352,26.62332097,35.8879417,20.6905421,50.10933103,28.24854942,-84.53405296,65.01783042,-14.60016936,69.47414149,41.40317052,-27.59211409,40.12232111,59.33213784,-14.54516731,-26.29499115,10.65612532,-37.99642417,-19.05980933,7.152511581,51.732304,21.10855228,-7.074263125,25.9840311,72.13972295,60.56069101,7.059797427,28.22766999,-37.85935356,-72.29465704,-75.03804747,62.15798658,87.96733258,-5.653558673,-10.33268297,39.26543032,51.27625834,-14.65965824,-46.79115667,49.6673363,27.96393161,-57.75372958,-61.1012529,38.06790358,41.06221779,40.08240469,43.58099278,-5.388662939,51.58969283,53.71569727,-31.21676489,23.67049338,5.082847468,56.76286643,-78.42491689,80.12957892,67.22537588,32.93349471,-34.99177061,30.78168457,61.17191823,-14.63738514,-23.14216302,12.17447171,-6.587346019,76.76309941,-77.48211888,66.07242944,84.46700523,-34.34820122,-16.10303369,10.35567186,13.46139918,-77.24843144,-97.69519782,-40.22177979,48.61295131,27.15745633,-56.52202853,-5.76866581,12.09524702,-11.92863544,30.36831321,2.748053427,-9.261249997,-7.091173064,22.41934806,-19.53360178,6.242746885,16.70162686,9.455548613,46.46906359,15.80690858,79.48480791,-20.47808127,-24.66391864,60.80839298,-5.237911274,-22.82830837,13.4745482,55.78421491,56.83331389,48.0014976,80.94723044,69.20713529,-5.733339432,7.412905093,22.71034888,26.82229176,0.033830727,-55.76973318,70.37418136,68.39131968,78.09533076,34.5738695,67.11903804,67.11903804,-3.050651112,-19.26022748,8.797191905,-34.42651605,18.4732659,-15.42898864,28.02164867,81.248029,16.95112727,16.95112727,84.58154459,72.5101877,,,,,,,,,,,,,,,,,,,,,
Niveau des carnets de commandes par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.00732825,-15.73731163,-14.12593957,-15.30272379,-12.09808721,-0.693821977,17.91020775,21.48639944,-3.32763326,35.73386844,39.44151334,6.505622673,32.06757284,0.756774341,21.79069806,-17.79714969,-9.966695907,-11.01376601,-54.41971191,4.357034756,15.52996517,5.531304193,-16.82339746,23.66131819,2.396208798,-8.087575739,7.657763011,-29.77883809,-8.993509223,-36.37240773,-29.03068857,-58.27786237,-49.63179596,11.3259458,0.851839499,-37.67730363,25.54317234,-4.640908443,-2.887583986,-22.05426689,-24.90893788,-6.965795228,-23.71241621,-44.48711238,25.28715853,-69.12173889,-28.36581621,-75.0316641,19.35576409,35.09112332,-1.076316468,-2.925769352,-15.0494772,-2.829947249,-23.56912414,-15.96356758,-2.400502075,-21.19975639,-23.20572128,-40.23021281,-33.88441943,-40.14789873,20.65711595,-17.80765282,-19.85414984,0.474306821,-61.32723136,-35.50515593,-26.8302775,-32.83421113,-50.3933962,-66.47508994,-26.49108658,-6.258368644,1.567817464,-8.113066138,7.236602063,-18.5343534,-36.55078382,-70.82579152,-2.706470279,-27.22478026,-1.764507889,-13.52761995,-1.414897751,22.87685581,-23.88443417,-44.07201185,-5.387587575,-10.36894151,-8.137835178,-75.44068709,39.08991833,20.12878695,51.95642132,26.48461883,-5.886897349,-9.651580626,8.567242264,-22.66612808,-5.896727094,26.37364217,39.81707614,-9.969718238,41.93070607,42.30327871,36.66561678,2.267073385,38.90344898,55.07741556,-23.68070003,-65.7517488,-63.05216544,-72.91067447,4.721978608,-66.14258917,-18.75756261,-12.47480549,-20.30502879,-21.10431632,-22.47900674,-27.23299383,-45.09316187,-47.9658222,-21.82970273,9.456745145,-77.22123145,-90.75488052,-74.76101346,-20.84115206,-40.60489606,-6.316709547,-6.721364941,-24.53617412,-52.77810886,4.151109854,-32.46337405,-67.67465801,-45.32099268,-43.05488301,-67.23473134,46.01209416,54.08681546,-52.8458037,-73.27160443,-58.12912089,-13.51045186,-23.14180205,-9.004860583,-23.64182868,-12.19358055,-10.03927998,-8.898114709,-36.9141068,-55.9669028,-2.456634841,33.63446337,5.813504539,-21.32385304,-11.52478391,1.328643336,-6.890030636,23.26016939,23.26016939,28.70212742,-12.86759303,-3.978705517,-6.396588061,-7.507075093,-29.21367756,-62.37219223,0,16.3746768,69.42997572,0,23.17858878,11.0890562,7.393624505,,,,,,,,,,,,,,,,,,,,,
