Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03,2023M04,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10,2023M11,2023M12,2024M01,2024M02,2024M03,2024M04,2024M05,2024M06,2024M07,2024M08,2024M09,2024M10,2024M11,2024M12,2025M01,2025M02,2025M03,2025M04,2025M05,2025M06,2025M07,2025M08,2025M09,2025M10,2025M11,2025M12,2026M01,2026M02,2026M03,2026M04,2026M05,2026M06,2026M07
Evolution de la production au cours des trois prochains mois,,,,,,,,,,,,,,,,,,,,,,,,,66.7282032,59.58116741,6.395803532,15.14846967,-17.39500969,-32.58494329,-24.17513926,24.07479106,53.62489648,33.34282681,69.94407253,59.12681321,50.65053751,75.34275916,73.23790268,82.61265827,81.04447281,72.00950748,5.129595412,74.78082844,43.36878323,33.87469773,-6.049591901,56.3213955,66.05471049,58.16449631,0.273092988,38.2176883,-8.291110263,11.80790388,9.187328862,69.45964489,63.66459186,33.4238497,12.84073047,46.0072327,58.86822905,51.42727293,32.83769273,52.8402334,32.31002882,-12.90998422,30.28691504,72.83374983,-14.76775982,-5.101597991,-14.24993102,9.9026225,32.7822678,58.12566337,30.55689778,25.43421712,-35.09449446,5.076409703,38.92028008,79.20649698,28.48697777,21.57500844,1.867955349,2.448257192,42.11015101,23.23697104,32.54197182,-2.802822271,-7.001249682,-11.19925938,-13.0247074,56.60834561,60.95613578,39.30382817,-14.92412029,39.46151599,14.11334614,22.19767608,-11.65074735,14.66846893,5.346631233,2.923208802,22.44454211,18.77356331,52.55556653,19.03012234,10.78105869,40.09031688,33.31804696,27.07886596,58.32727529,14.64901254,4.425981946,45.1590708,-12.78080241,58.94659062,74.13162891,64.76072132,47.66866035,41.68785572,42.35173813,53.16270394,48.87091096,-17.48664858,23.44466118,11.91905083,23.61975796,43.23356602,41.29862294,38.9860613,11.51120386,-20.57692042,53.33032781,51.82460914,30.69328117,23.99232946,-38.21566032,28.92541992,27.55549081,52.14473431,50.1658262,44.13976158,32.40773832,48.39769968,48.26617169,37.61868082,-24.13616648,18.78063441,22.40722425,39.3047561,33.82771419,62.91241764,44.43880987,37.76531184,34.3454983,52.31780637,36.70594029,59.78984273,0.66020334,37.56335419,37.45134014,47.68237198,53.02029925,24.11152053,9.012763432,69.92498221,-19.58483485,1.238764579,70.52699452,30.31111442,-10.99786908,-12.08481458,36.30871873,5.196340931,36.48219567,52.31588368,27.41525625,29.78437088,22.65975509,17.4843642,47.01989815,49.47889782,47.95424145,50.12990395,-16.33852365,32.20145897,60.5603282,-4.751349664,30.1680976,35.98374658,49.65629322,32.69796496,24.68859413,40.18263783,8.734335757,-0.469289532,41.85401122,14.95266967,28.723937,34.50904253,42.57029953,32.49299664,,,,,,,,,,,,,,,,,,,,,
Evolution de la production par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,-32.44448378,6.475577308,59.70308245,5.750589576,5.786963693,51.69560982,2.673120197,-7.276819738,8.798801583,23.19537088,-44.17115673,-29.91542989,31.89202664,-7.214460916,17.15928412,-58.5515194,25.94251027,17.4971818,-21.40447385,-64.98966577,29.38339268,38.83648042,4.816866788,20.71983733,-3.817529032,23.65212003,66.76935963,-23.60904846,3.632793885,-4.124592336,-34.87131776,-54.19408551,14.34842354,42.78472209,0.779799256,1.627017314,-60.39377883,5.93623859,58.29314856,7.004314373,11.96270587,22.77850417,-61.03841708,-61.35984762,76.17271738,-8.29401245,-2.239868942,14.73237593,19.52208352,-1.12781545,27.50347431,-44.20938567,-13.42332397,-0.484164844,-10.81555923,-67.20447589,-24.29235208,4.828226831,44.03364254,16.33057416,-15.29235532,55.12760471,5.562873113,17.97585711,-20.6666527,-23.66842389,-18.79860362,-32.31196574,9.510239344,28.80848826,37.70827607,-31.09781292,41.320015,50.7349273,72.32552602,-25.79925268,-19.90609849,-8.971215584,-67.47131442,-1.439312337,18.14650005,69.64210896,19.96856949,-18.31561012,60.52191347,43.53022398,8.24350254,4.94280964,10.35786039,-61.64247058,-24.79208374,38.56264281,14.49831869,-5.992347596,29.08188747,31.47504126,-7.12024791,-19.55311924,59.68649248,40.07727976,2.946006651,-25.12873975,41.84889124,-67.64580802,63.83297056,62.10000921,41.16223142,60.39507308,4.312807035,-6.699155047,22.57774871,-21.41882023,42.82521051,19.41955449,-25.43829515,-57.18555387,66.3128944,33.06027746,-17.07906781,-57.19618704,-52.56694386,27.9929775,-60.08491215,-91.94240126,-4.58918765,57.6444001,52.52129535,-12.05379981,29.66898477,46.56276913,-30.80573988,-30.30994759,39.66915674,69.84273776,53.06066647,-43.35664688,37.22206804,60.29374116,-46.34962065,16.8008102,-11.33058449,62.60146221,54.5779975,-45.0582955,-32.05988786,41.99394249,51.99825366,7.892649699,62.78560845,57.52785731,-109.6323253,-50.48838541,44.65261298,-43.82244855,29.14043041,-59.22326537,-29.33521215,-26.03396465,45.36371515,-54.94185463,44.27733761,65.8856824,61.72335174,-73.28447376,59.0249783,65.26403178,49.31435876,-25.75883766,17.55183725,54.36249082,23.22878143,-12.87654144,43.95236981,-36.86493528,37.51542751,50.69696865,39.000471,29.17746501,,,,,,,,,,,,,,,,,,,,,
Evolution des nouvelles commandes par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,1.03723192,43.40991683,52.64645682,6.207817684,-43.93775639,15.95938404,8.497444672,40.2078859,-1.246413809,24.98787258,28.43165328,14.70695002,51.51576668,-33.45811121,18.7579993,-36.30180074,5.789470154,11.0105012,-7.119807311,-61.21893982,1.697498643,62.11932373,15.45521506,34.23410598,28.0360771,15.80633633,60.19612125,9.567099049,10.97254979,-5.698168694,-47.38843615,-59.04346146,70.11915553,50.10023521,18.83245728,3.791429521,-6.310187775,4.013389543,58.27488771,0.383642193,39.46568047,44.9421883,-66.51393718,-9.549867749,56.88695358,-10.24195047,2.633837996,-7.158398497,13.92537402,1.176881813,-12.15127219,-28.55346384,14.78689461,-23.38151517,-41.88643863,1.704576236,21.01838884,-18.70783745,-41.42742815,6.542828599,41.22874003,48.62974176,12.14607073,-19.13508762,-17.62429169,25.73667471,-7.053240509,23.5390392,17.86388257,57.97233744,39.00263575,16.67776553,37.74571296,32.7347429,45.72903039,34.78955195,-9.750117629,-18.27351244,3.779478832,-16.41207988,10.98752066,24.16814804,-2.957989086,32.8675714,-19.94338371,25.44997695,-19.76951149,2.640867913,8.695260028,18.98650942,9.414245746,53.6562183,36.01479648,-1.019769098,21.51787127,17.08259081,13.98461667,-7.637546228,52.37400942,47.21671221,41.64402512,7.033549845,26.85267626,10.27740065,57.11197473,58.5712001,51.75424447,18.65426211,50.85628958,20.62910427,59.87314299,59.89948489,0.680039222,64.08107896,-10.74272783,16.05325974,69.49997736,31.17566991,5.472726894,7.431030367,12.36010256,-22.44081015,-77.60029715,-88.56865186,11.95955623,34.39704456,16.7892893,-24.38087476,-2.481108601,29.8744483,-30.91400989,-11.69611902,-32.17360905,-23.65517923,35.55452081,0.781840709,-2.200592054,66.87011612,-15.35045631,57.23562895,10.35349452,38.02220896,56.07380253,-56.15980882,-46.49515819,33.71210907,38.72889432,-59.35036746,51.54768099,57.36202752,11.07564297,-47.54556682,30.93264029,-13.07980994,25.76010405,-39.12425458,56.7406976,51.72975863,56.76404962,58.87162026,23.55009285,14.04523397,67.75149518,0.144482013,-17.6820644,-4.785476438,22.41181434,0.991809132,16.56628873,39.49520617,-4.312878526,6.925196227,65.68130633,57.94822157,62.93228525,69.56226627,50.14552316,37.76480486,,,,,,,,,,,,,,,,,,,,,
Evolution des prix des produits finis au cours des trois prochains mois,,,,,,,,,,,,,,,,,,,,,,,,,34.87364281,43.33200917,22.99965749,28.83580238,-22.67476822,-22.20057621,30.39573743,31.89661553,13.04849105,13.38192948,33.1224562,33.80021683,40.81811445,16.06601669,9.298717454,38.10020978,35.90997326,46.31106949,23.50867968,35.02221252,9.975961905,35.64800538,38.08434473,-19.92218928,-21.35711702,17.48696952,16.36828178,10.21845991,15.64168125,15.44787425,2.104777999,7.513612476,7.005537988,16.05242696,25.20988236,20.75870476,-7.45188458,-1.418591089,13.28312444,9.875921466,4.854899666,1.029895217,0.959050183,22.63749018,-17.74062662,5.918894306,-25.5845204,12.78159433,13.85312981,37.93651443,8.548193727,-1.013479073,4.10928436,21.47199207,13.6769649,33.63105365,28.01899813,-21.14844256,28.78761755,29.2004002,0.483108993,2.451785443,1.823406414,4.505027613,3.603860694,1.022253356,-6.975330387,-27.4177783,-3.924565592,-5.916251461,-5.795563842,1.179756285,-6.642671824,-12.52604052,-0.039033872,30.59273612,10.16356972,7.223871954,2.253949152,-16.46559946,3.307260652,7.267453205,5.898425571,11.99999319,8.255879147,11.27547646,-2.451900631,1.662282645,0.933148219,-0.103251656,18.78632541,25.19253296,5.750121285,8.04946731,7.068627124,2.20527128,15.52017973,7.08313475,13.94807904,-5.172592473,2.744651276,-0.596016287,4.113415531,3.110923354,-14.43659669,13.19901548,1.157460825,-8.266849495,7.734903823,4.649513259,-3.336969785,-3.516556569,-7.73946386,-0.105070297,4.127288721,6.268669676,6.487842569,6.919789549,6.38163004,6.806907935,6.598037675,6.060208286,-18.84974339,-17.30570059,-10.86926499,6.929480137,6.329895466,-36.69354358,0,32.92124206,34.69658235,16.68736879,18.75719388,10.36089198,21.72835012,8.959640264,8.151177574,26.4816731,-5.76528099,0.266175276,8.912379074,5.011849488,6.104935468,7.747026525,23.39563302,20.79227509,13.04449514,52.37558265,6.099266555,7.4900458,82.14971608,1.381884916,0.924911751,4.829044491,29.29216494,-0.905682662,10.53750291,10.40050086,1.198605938,-1.333683842,-18.37532048,15.38306311,16.04216143,7.909213995,5.399365959,-4.172945412,-6.572452147,11.52069651,8.934810199,4.695418852,6.654246123,42.78563756,7.598632962,-1.799161523,9.814525257,0.80557479,3.646398219,0.810913265,,,,,,,,,,,,,,,,,,,,,
Evolution des prix des produits finis par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,-27.87291812,-21.24809498,7.200140072,38.6081054,-25.86301602,-19.97176972,-32.82060152,-28.70529002,7.326318495,8.982788392,-9.596504422,-26.24735865,35.53998455,33.41102126,42.05790659,-1.483174114,25.5870148,20.6305336,-8.677531771,0.165068527,2.836726902,-9.117838021,0.557823834,-0.348728108,8.062598676,-14.44696244,-18.63671076,-14.56052574,4.259219564,-19.23225506,-12.74293881,-19.05844669,-13.54386839,-34.05204757,24.73626213,24.37960654,14.82338647,-6.618820319,-22.47695538,4.04066685,-29.5198182,-16.14040097,-29.07360209,-9.130646765,15.39310877,4.118719648,-33.43324329,-31.71093011,-17.84408727,-29.52744361,22.0835787,-16.52814331,-25.71572307,-32.0021705,-30.23519765,-21.10476024,-27.17502329,-49.18268994,-21.67782074,-23.36787195,-28.8036327,-25.81881896,-18.47918618,22.32726249,-17.51837307,-18.57071961,-28.17132601,-2.992425545,-11.39459012,-16.02052114,-39.24973969,-17.52677074,-34.21090801,-4.146463247,53.037399,19.73325755,27.99203546,27.6630837,24.87391981,46.77998347,34.31025153,50.80879053,33.19242962,18.13884299,55.88321434,3.737129077,6.373347073,44.45053517,5.003568788,9.110264711,6.683896346,15.76833066,24.76708741,22.04474136,15.188303,5.251872827,9.169571141,4.749894798,14.08287109,6.922811696,1.097536715,-24.61337132,10.88545917,-9.904412018,-14.47681812,-14.78318429,25.66881704,29.51654671,25.83562684,-8.953217204,0.623341873,3.671504304,-2.490680072,-1.842913873,-0.842358644,-0.621404218,-1.33508414,1.398554569,-6.458622199,-39.48653695,0.132835278,-0.082629771,-17.26525049,-18.46177659,-19.92422475,25.19613432,-6.178980208,18.93048138,-30.83033764,2.291985461,9.731723827,9.744732513,9.919313448,-0.724262208,21.70593416,5.228166869,8.625037672,27.32332256,27.06249712,37.26971686,21.62970482,69.37597129,17.20411237,-48.64213632,46.66971902,10.50722295,40.45450017,41.45383315,62.12460159,38.97386517,43.81479578,39.33991102,19.65270002,-19.25481529,56.12824015,-10.03874858,-60.14778004,-15.61644035,5.982450577,10.60617405,-19.54166864,12.61363882,14.03162349,-14.51993123,16.03193978,6.024965454,5.603535009,28.28434733,-10.01448504,8.849949581,10.44616552,8.509434985,19.25905856,0.828903577,11.60970319,17.7888755,0.092056976,2.760472602,,,,,,,,,,,,,,,,,,,,,
Evolution des ventes au cours des trois prochains mois,,,,,,,,,,,,,,,,,,,,,,,,,68.16752722,75.17689431,8.840689237,69.26791209,35.51888887,20.93877455,28.02575997,76.04991224,57.08948029,-2.258213078,77.68165935,54.06129848,16.66362849,83.61113024,80.76772615,84.47732043,39.21786048,29.58881654,12.85706118,93.13731052,49.39975553,43.45184213,7.843990189,61.52239787,76.13178864,58.68033931,7.58227809,58.40641747,3.61378591,40.64225134,26.86447131,72.47855542,40.32747685,33.2300026,3.239738035,-24.2255337,70.91168851,67.32326765,31.52316805,29.33136679,0.752863347,-41.49792486,21.61674983,65.86491194,-8.958735037,24.5357222,-18.13460791,-17.5845431,16.24092485,41.40330911,64.13078722,52.67269007,-24.1373898,30.93992814,73.43008773,67.02469538,48.66403083,52.81357416,30.96321779,20.03625789,56.4793918,21.1215203,13.18044567,-9.288750882,-2.357192841,-6.486096701,38.49316263,12.80524376,61.13350508,72.39218822,28.21110214,28.17490996,46.94520803,8.940478431,6.458112584,6.167203033,-7.412280672,17.93167653,29.07929867,61.58184696,46.27276886,31.69560291,27.28396149,15.60633608,34.5280463,31.88164235,25.17654769,-14.11117328,-2.306066406,43.09434486,-8.635622844,62.04415985,74.76359443,64.51351395,46.36098048,30.65090399,54.84562158,60.57415292,30.29810784,-6.660351688,-12.81540597,-12.36830728,-7.14091054,9.210819421,10.56438845,0.132095099,8.901408309,4.952148649,3.090560954,63.22845735,12.53856547,1.093137916,9.725735969,-7.020274599,-6.50678027,11.61603166,17.34879001,19.18612681,0.754971129,5.158629678,17.15945321,1.219899647,-16.97867029,-15.39816334,-10.93818028,42.03224235,7.042248884,-7.127831737,0.218453627,-5.854397064,2.669515531,20.44299853,3.996742183,6.161320065,0.173723163,0.86881402,-0.061321623,19.73026586,29.55499798,24.02526408,8.924623185,63.18453044,12.6487698,-0.508181279,34.69570216,26.5409575,7.395977943,5.950398153,1.415659068,-2.372230799,30.70494939,17.76802074,39.29138123,47.60626759,37.18065448,23.81046796,9.870324722,58.24963005,43.23823747,44.6364694,19.36926201,27.39595864,63.13658331,7.401270804,55.47926292,22.12817066,23.14385166,-7.069965349,9.360683661,50.91951241,44.8295671,37.46048214,22.96108814,6.018697436,30.21010203,20.96872483,51.47699519,55.61840666,,,,,,,,,,,,,,,,,,,,,
Evolution des ventes par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,-11.94220269,44.42943535,57.15218152,-11.78381834,-56.77423216,24.44677066,-4.690032114,-13.43016241,15.64843073,16.37324919,-7.268458137,10.81496493,44.79245983,-4.650552311,14.47967302,-36.42541036,14.67089078,36.51840303,-11.07113884,-55.63540009,-3.609278559,62.94335064,35.47731738,38.19144739,-12.34558893,40.46506505,71.3848159,-3.484650945,37.31361702,-5.396743185,14.08119555,-57.24904838,57.54003669,48.66620605,7.504788335,69.51788967,-83.54414682,-5.187974497,56.20809417,3.504658676,42.87719894,44.04732214,-59.19716678,-26.01929479,76.40809702,-7.583973221,-1.467107324,12.45819006,23.58745647,-28.1768801,-18.3939864,-20.57694556,20.43251011,-20.17868108,-35.4304462,-65.36908178,-17.95723731,-60.97591417,-13.28210888,16.60351631,-10.66587749,44.58343019,15.38615953,0.1727599,27.66532325,18.63168062,-21.90488412,-9.97013179,15.8330643,61.73119346,40.27556874,17.32179548,35.17900538,-2.798580363,64.22035188,35.59323028,-50.85082509,-11.65703143,-39.63558759,-39.6639071,18.56520259,67.88373372,17.64156122,39.09440527,6.599152022,-17.44228232,-0.409716862,30.53576086,4.471217152,13.86655688,11.99247137,32.68678089,21.55226956,29.39099248,48.46003357,50.92477455,35.45490638,13.33868434,50.94825422,47.24033394,32.77287239,-27.01988473,24.66323292,-6.006204936,59.04908744,66.95131527,57.9219303,54.33176335,-19.35657117,25.49246279,47.2288644,22.97868932,-6.838424262,52.85672301,-34.80696042,-53.86553654,67.94348198,24.2552065,-16.26177345,-4.907862341,0.460146803,-0.720196066,-65.79196017,-91.94240126,-14.62573343,49.37287135,52.16234009,59.53316742,41.08988732,22.01833545,9.261600812,26.208766,22.31863403,22.32393724,48.25566367,-28.30916189,49.8760112,54.62763611,-26.76644296,59.12211667,-21.2537442,53.48769857,43.17148105,40.82023275,-64.9969055,28.92963865,37.68191467,39.91339963,43.10851835,59.91271875,-64.36259531,-49.71295218,33.41932731,44.09601425,6.327476296,-20.90544431,-36.0666528,32.02101241,45.38389827,-54.8331911,8.301391143,65.67514716,61.1899249,-49.56627543,45.4238721,52.62699644,35.69172356,-12.48787277,2.050118147,0.52275498,11.47407368,-13.46963094,26.99902995,39.23132748,25.79179697,64.25192779,46.26880525,39.96393312,,,,,,,,,,,,,,,,,,,,,
Niveau des carnets de commandes par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,-27.51631429,-24.38252397,-36.09942947,-35.53967297,-40.68358471,-48.70284678,-47.57561268,-38.04617699,-27.78451452,-13.48828537,-30.00668231,-32.56525995,-37.06047036,-27.17280037,-30.49575635,-36.66347815,-27.91549079,-33.05845691,-31.21772388,-40.54146594,-39.45709887,-9.923797586,-6.976463571,-13.66190844,-10.52845435,-12.83583958,-10.29310661,-13.12118699,-28.14470304,-41.39838455,-42.44204102,-42.97209854,-24.98555964,-5.213611388,-16.37462256,-18.3430293,-26.32641237,-27.60194051,-19.92228016,-43.97463921,-16.70002293,-19.06738974,-50.27491112,-3.478501947,-16.92617556,-38.83005543,-23.42055325,-13.76602927,-17.66094853,-21.30711401,-21.14646076,-49.98692428,-31.10268516,-43.39854821,-42.62103349,-27.42031796,-29.67338898,-22.91584003,-66.45935161,-45.75462709,-21.90433132,-12.22703983,-27.91957625,-13.71355479,-34.19086515,-10.74946549,-21.68107444,-10.78322859,-32.67062877,-11.75960495,-24.53821365,-26.6730003,-1.73763837,-24.71390621,0.323211897,-1.336865668,-19.39597024,-32.61910177,-37.36602189,-29.45508549,-23.23228796,-16.95167535,-31.38837051,-4.030894618,-31.6581922,-30.69580108,-39.92851393,-9.705529845,-31.52155632,-18.28528012,-34.56782218,-28.82104704,-8.901284948,-5.765367506,-25.96560842,-24.81386004,-10.61798795,-29.30326681,-14.98819477,-14.4981675,-18.63503803,-14.55274312,-22.17202148,-32.60319976,-20.91522025,-19.57179775,-19.15050094,-15.70160115,-14.29388777,10.64488372,-32.90075135,-15.04356877,-6.760864895,-14.68457333,-14.53831965,-31.17107651,-7.409167745,-0.773685402,-21.39274057,-22.90535005,-10.87866571,-19.59899814,-45.28562606,-94.45308909,-48.51374585,-30.51245544,-29.03934038,-85.68460478,-23.5084114,-15.53463609,-10.57137351,-17.344128,-22.45252312,-32.80757382,-8.165960369,-30.10978412,-20.47809912,-11.58910152,-3.017251018,-9.53489641,-15.10831462,-11.16821123,-6.599207554,-67.74190322,-15.79750256,-20.77019866,4.983214501,-1.711159173,-8.42353423,-6.608719078,-20.76170382,-16.03655711,-27.03141776,-11.2362575,-17.13500553,-5.728004384,-10.16369587,-6.776943574,-5.349312033,-4.744236225,-17.17387045,-1.344975414,9.130377331,-18.67058472,-35.0091114,-28.46748845,-22.24337544,-3.202283918,-4.489264218,-12.16308725,-32.26870989,6.925196227,-20.95446093,-13.981287,-14.93847895,-16.21529104,-7.47491609,-10.87441439,,,,,,,,,,,,,,,,,,,,,
