Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222,Unnamed: 223,Unnamed: 224,Unnamed: 225,Unnamed: 226,Unnamed: 227,Unnamed: 228,Unnamed: 229,Unnamed: 230,Unnamed: 231,Unnamed: 232,Unnamed: 233,Unnamed: 234,Unnamed: 235
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02,2013M03,2013M04,2013M05,2013M06,2013M07,2013M08,2013M09,2013M10,2013M11,2013M12,2014M01,2014M02,2014M03,2014M04,2014M05,2014M06,2014M07,2014M08,2014M09,2014M10,2014M11,2014M12,2015M01,2015M02,2015M03,2015M04,2015M05,2015M06,2015M07,2015M08,2015M09,2015M10,2015M11,2015M12,2016M01,2016M02,2016M03,2016M04,2016M05,2016M06,2016M07,2016M08,2016M09,2016M10,2016M11,2016M12,2017M01,2017M02,2017M03,2017M04,2017M05,2017M06,2017M07,2017M08,2017M09,2017M10,2017M11,2017M12,2018M01,2018M02,2018M03,2018M04,2018M05,2018M06,2018M07,2018M08,2018M09,2018M10,2018M11,2018M12,2019M01,2019M02,2019M03,2019M04,2019M05,2019M06,2019M07,2019M08,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08,2020M09,2020M10,2020M11,2020M12,2021M01,2021M02,2021M03,2021M04,2021M05,2021M06,2021M07,2021M08,2021M09,2021M10,2021M11,2021M12,2022M01,2022M02,2022M03,2022M04,2022M05,2022M06,2022M07,2022M08,2022M09,2022M10,2022M11,2022M12,2023M01,2023M02,2023M03,2023M04,2023M05,2023M06,2023M07,2023M08,2023M09,2023M10,2023M11,2023M12,2024M01,2024M02,2024M03,2024M04,2024M05,2024M06,2024M07,2024M08,2024M09,2024M10,2024M11,2024M12,2025M01,2025M02,2025M03,2025M04,2025M05,2025M06,2025M07,2025M08,2025M09,2025M10,2025M11,2025M12,2026M01,2026M02,2026M03,2026M04,2026M05,2026M06,2026M07
Evolution de la production au cours des trois prochains mois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.01647589,6.274321911,0.68679852,36.41234212,21.68731072,2.810410691,-24.2986455,24.49602265,37.42013688,2.856241403,30.87412586,7.511689743,10.71613018,35.18109952,39.40884294,42.16620184,33.73612319,-4.283953534,12.2118641,46.19075269,44.9087569,2.363177697,17.58994504,14.3112797,10.26980178,5.21893821,7.707597664,16.93708042,6.804443199,-13.20134937,6.266439628,19.87043335,20.37292144,17.37568003,11.99324236,8.757430469,-2.206512569,-0.257058453,2.483091163,7.605376962,5.273984656,-1.018602203,-9.287182996,58.62273975,24.87949878,34.87742085,24.55948463,15.1824447,18.57869589,36.6843969,30.7390351,9.952180384,6.353565291,-3.391180816,-22.02357393,51.22146536,38.70631803,38.20243743,15.13406413,29.32560523,4.44351549,0.033954536,24.53282177,16.23579533,20.15265248,11.33804642,-18.30328482,47.70523671,51.57461378,42.50202686,27.78273913,30.12675654,2.70568708,25.47469133,4.417585311,10.19191043,29.23092927,9.474843344,7.137323759,45.87896326,57.44111225,42.96029505,14.06700462,7.253055715,5.619814978,10.41211776,22.61012574,12.33484321,8.526452706,-9.921062989,-25.75806617,41.39815643,42.59756459,27.15586556,7.669211119,11.79406886,15.68838862,26.06908355,21.77163427,16.60734989,-10.11586078,13.33190315,-18.08192217,27.21111767,37.99829985,27.53226722,33.55992889,30.46412366,13.49108726,6.567189498,14.38200802,4.681380571,-1.559881698,-1.01219163,-3.456863862,20.99142223,20.61541156,23.10660192,19.45177091,14.77806599,-5.862208534,-4.32599851,-14.11347839,-24.13003245,32.52909828,20.56476557,5.960760273,15.2376524,13.74165779,7.950839363,8.82279908,5.989232246,0.756077216,-1.284063592,-5.246659324,6.864842778,2.759455579,-0.726197344,6.409095236,23.64786219,11.07033976,16.96514607,17.03797676,19.01827377,12.42382343,12.16489589,17.07651715,9.251133226,-19.95755192,-15.47714741,27.95213472,48.4781044,38.72146788,-1.689804631,9.595001625,4.556843302,-7.338910997,-2.522161362,1.29167384,-4.00767312,-2.437585101,-12.24057096,2.983268007,37.98632775,37.24593919,16.59371886,12.44074012,11.76547401,5.429357918,82.86450894,4.077256692,37.72009882,-14.20105068,6.524882518,-1.937059139,28.62405147,16.58418873,-3.657928449,,,,,,,,,,,,,,,,,,,,,
Evolution de la production par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.24631195,10.12830653,14.60150974,1.320010244,22.45276985,39.1167739,35.3355727,-26.17109568,11.08655528,49.35796533,-5.416308235,44.76035489,2.925491535,-6.301035782,26.95010713,-7.968509488,28.51414978,33.78991235,-10.05829445,-40.25981954,10.18610465,20.07593175,-12.96272598,17.20522354,20.85835474,18.90536468,-1.427074598,-10.59896731,32.48599796,17.01466664,-41.66231037,-49.40667734,50.87119123,-7.628867544,-0.140827023,20.307421,-15.6905884,-14.21390748,9.510835003,-7.206669776,1.678986527,5.653572608,14.7406705,-63.4131241,58.08712462,-2.363382731,-4.267261988,-9.412643952,-4.345084994,3.059491544,-14.47202926,11.4032442,-14.00496259,4.167448174,-14.35097061,-37.43086796,22.75792415,-6.726416668,-5.665169832,7.784113669,-3.075307178,-29.63695768,-3.836253139,13.75145498,-5.201652129,40.45781865,0.887386337,-28.52840683,46.79040703,40.73129074,18.86902719,-6.726989924,28.94151144,15.07883341,-3.964448326,-10.39206911,0.20402084,6.160469827,-15.12420157,2.158544735,31.20273188,22.13163318,22.27737559,-12.44435169,-17.04418146,-27.82824533,27.39567884,-2.104976543,-8.648864751,-2.013572375,21.0743967,-30.18155936,33.33362159,14.67611213,47.05681088,-12.13064269,8.847623784,33.77727199,19.10316737,26.241137,-6.510612621,-17.08746454,-3.544069475,-39.54101925,37.20495565,16.84669952,21.1503602,16.43398866,23.62799726,4.920267953,13.42039785,0.034487319,-3.996503073,-14.34162966,16.12048223,-39.4536692,41.4311194,28.09051868,-13.46491193,-8.475159713,23.94625296,13.88642503,-53.62666521,-78.43174633,-12.98402739,-2.746763062,27.12352569,-13.28741287,41.62876826,8.849168421,21.49350569,30.77515628,2.42060289,15.02313292,3.040723647,0.950931998,-21.80637375,22.73403795,-15.91024614,-14.68634357,16.78747089,0.412341713,0.420677176,8.533587333,5.206697406,33.96588939,33.07093522,-22.89880332,12.44422768,9.925191061,-30.78966658,-34.07690412,43.49619761,-18.54925809,25.38672319,9.472106147,26.93089147,5.830666107,15.11109387,-46.50710791,-25.56051585,4.954350208,9.478304304,14.43875095,34.17227371,28.37238619,-4.76888702,16.02961259,23.90241802,-61.23430454,-7.068956921,-33.25679231,9.193918102,-45.24897232,31.04692693,-24.11801825,0.189293741,16.65418662,,,,,,,,,,,,,,,,,,,,,
Evolution des nouvelles commandes par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.514168382,-8.37966685,2.797853519,15.26801917,34.82999302,23.45166472,11.82016991,-35.50948128,12.952336,41.92047136,10.79983076,44.9316693,2.25463685,3.990785078,15.99413377,-10.91517323,18.80071417,25.63489702,5.382603813,-13.36854751,20.39692954,-1.391586881,-15.60584785,15.50488202,0.99349339,-4.636525487,-4.727725024,-9.351042157,24.63740205,7.205774607,-16.69397606,-14.2282533,46.69827549,-2.066694687,-7.599538559,-9.305195241,-20.6028119,-21.73772997,-0.06233262,-13.8383995,-14.51284558,-7.414323104,-2.729820032,-13.46901273,29.52169387,6.836345701,2.436190203,-8.710194787,6.383480846,-10.22983478,14.9928726,-1.349494519,6.148056713,2.411822543,4.079193757,-20.85830932,25.68882151,-3.501888021,-8.058103818,-7.633523321,-6.597375164,-18.5668997,6.203518052,-1.700224198,13.73809843,32.96660268,20.43275853,18.34419795,35.70187466,37.03867781,21.1412745,39.60295045,22.80482378,5.792167252,1.53248956,-25.21606472,33.36206257,12.84976121,-2.896989925,7.044815341,19.07896754,-5.82865004,10.57614863,1.612369847,6.239610095,-0.035174428,-1.808739919,-28.78869621,-7.120172196,6.521608517,9.095652446,-2.064524758,30.71648309,14.48598428,29.55594147,-7.846908427,9.177654045,2.627371526,20.62554339,-6.398108536,5.514961021,-2.311588165,-29.5270808,-35.0297196,14.77622674,-10.1462621,-3.639526696,-6.962116967,36.07542769,8.262149525,7.445516003,-17.11960553,2.934324947,-38.62910971,-2.898934455,-39.86170246,-18.84116775,-31.46799748,0.475983191,-21.92710722,-7.624831213,5.82174594,-48.53322176,-88.90875278,-35.64705624,18.51951111,8.122898561,-48.36090389,1.363407122,7.274826851,-30.17269724,26.4705878,-21.28560566,-8.752004982,-28.19035931,-11.08058464,-6.287634763,9.014139293,-2.724429878,-26.32821345,6.666200764,-9.874844983,4.857310843,2.640894205,-1.69358936,22.70293971,21.98410255,-21.26155722,-2.377589046,17.66664814,0.838480342,-28.36569354,24.27613574,-40.37890444,11.51848314,-10.27272857,-4.72782222,-6.134697563,6.218949383,-58.08438712,-34.29220739,-2.733632406,6.939216913,-5.23597251,35.71643748,-13.35968436,-2.298274044,-11.24905845,-5.250398974,82.81667117,-19.38258162,12.31039777,15.90720499,27.1626081,49.63297408,-37.26679148,26.50446137,0.837633196,,,,,,,,,,,,,,,,,,,,,
Evolution des prix des produits finis au cours des trois prochains mois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.288213588,-2.094464313,-1.125673017,-4.010508146,-6.301405798,-1.343468865,-0.036435015,0.635693114,0.083365046,6.641591541,21.94004816,3.498677504,13.03987222,11.08057938,14.50318436,16.81700093,12.02801122,11.11796163,9.515122827,2.354347583,11.03952875,10.06964939,7.59539285,9.608736192,12.49321186,10.12931123,-5.834820804,11.57861507,13.4614292,9.46770599,9.009954827,8.406478204,-0.717812895,11.34465528,11.62569561,-1.311449629,0.875317787,0.733655225,0.086588795,-1.41408565,1.186817122,2.968981918,0.673941358,6.41976914,3.768747254,1.585670655,-2.831781296,-1.868846019,0.461600176,7.227679855,5.536106087,5.839495517,-0.477148425,0.233905127,1.762107209,7.384659312,0.889416516,2.792863982,-0.066999174,-1.410787931,2.030143781,3.297331027,9.907961506,11.53430612,8.741156305,10.18561553,4.947767458,10.40617863,-0.04846657,-5.071499491,1.126613139,3.247703809,4.710610122,3.182207807,-11.65111464,2.30539841,10.10737891,15.02435291,11.06568794,14.61661029,15.85632522,-3.062128019,3.148943963,5.543331919,14.06978004,7.983176922,0.672610033,7.60187558,12.93901813,7.239639789,9.630447166,3.251535213,2.403074236,7.293173952,7.478822583,7.414827901,3.212360143,6.464192986,4.258749322,13.50433653,4.1040995,8.724346696,7.055126176,-0.574796756,4.038884029,-4.984209138,-2.748655405,-1.138323595,-0.671428627,0.186618068,-1.898748952,1.662418357,16.07384568,18.31309649,1.422267481,4.013143817,-6.634639252,-4.689912943,8.118348204,-2.050825343,-0.334600155,0.402574665,-1.336890548,-2.720709166,-4.836429205,-2.411464391,-3.154662357,-3.978193729,-6.1734575,-1.948067405,-0.801001317,0.39362422,0.401761452,0.480899042,-1.711499084,-3.781368695,-9.63276244,1.523829736,-7.143052142,0.073883547,7.861719945,10.25208681,7.199944607,14.28563642,16.99033409,17.72982905,35.44539296,32.20116949,33.29302193,26.0236007,-5.850016211,0.631895839,1.138209241,-5.745250143,3.206113638,-0.732180792,-1.527109223,4.714770694,9.700678405,7.985642268,8.397391626,8.195697242,11.06366245,5.574884302,9.714710939,4.521446194,11.19440516,3.050275334,7.870710285,0,9.269340185,7.567125598,12.04094254,8.946178196,1.029002247,2.049714589,-7.128339734,-9.182644192,,,,,,,,,,,,,,,,,,,,,
Evolution des prix des produits finis par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.514495169,-3.178948232,-8.763689342,1.674998078,-8.243787315,-3.675372972,-7.732407716,3.978364448,-1.628207198,-1.532831463,7.883929243,15.61572399,11.1797552,6.867608215,10.39302648,5.502418352,11.61072824,3.893168828,5.763455861,-0.020545589,4.735561437,4.099675809,-1.980385876,3.599973702,1.331408395,3.808377738,3.226438147,-0.36040896,2.381462292,6.061637286,-8.184514866,-13.59875917,-5.18354537,-9.088976695,-2.720978716,4.438491355,10.42961445,10.78350113,7.199107305,3.021138775,8.775479964,11.42632745,13.7402027,-7.253125149,9.341793527,-6.691080161,-9.502378654,-8.989459341,4.883683994,5.232844059,0.222593069,-8.744913484,6.051700947,-10.14821989,6.113806702,0.32756188,-0.691141555,-5.816000832,-16.76350314,-6.134993947,9.713178883,12.99004975,-7.200257275,13.61699253,17.86799992,0.327892315,10.75860317,2.708303808,-3.907167539,-5.121215086,-0.241226482,-4.842214752,-9.180538763,4.175198355,-2.86052258,-10.02543569,0.53068839,2.683197042,19.1309323,18.71925757,14.04415903,5.048654731,-9.130734221,-3.393019363,3.658677464,-3.339724947,1.868011089,-4.288775383,-1.14055953,3.517397002,3.712895946,4.889210397,-1.649744402,4.643113738,-5.966502668,8.984644051,10.64574275,1.421720213,-0.211936782,8.90870926,14.42381729,12.0328558,-5.580268722,-1.359674954,12.32056337,11.67172744,3.966673244,10.99393579,2.862348069,-8.945235404,-6.048079167,-1.316648766,-19.41860079,14.30517783,22.71508532,-1.216821603,-1.716892141,-26.72268971,-19.38333219,-16.10115011,-17.30700278,-23.1010558,-14.87152729,-29.07653469,-20.66045756,-9.76943477,-11.36472423,9.035299059,4.473837743,-5.198451205,-7.288987234,-3.182432609,-1.163449903,-10.99212234,-2.477588752,0.811076194,-1.508507478,-8.072588646,4.650494595,4.254212,12.8294589,11.24036112,13.18582972,17.19876447,5.342323795,13.89098138,38.33735729,25.35221853,40.10454335,40.25943684,30.57236482,13.86016426,5.028544603,5.325328921,-1.302903185,10.02981745,23.20116222,16.92355293,15.44356906,10.28877163,1.573225592,1.140308693,8.353566419,8.398460739,5.100675561,9.267096981,-0.620300868,-5.338726865,-1.373548093,0,8.012402595,11.33761735,3.832892606,-8.317795761,9.145104036,8.771354026,-19.03939444,-0.735339905,,,,,,,,,,,,,,,,,,,,,
Evolution des ventes au cours des trois prochains mois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.79507609,10.90531093,7.876579953,31.74928812,16.7250076,-6.595028644,-20.79756475,39.27852416,44.10245315,14.9108132,38.46725329,7.48349419,21.59419135,43.21056487,34.97495105,40.8378892,33.62876651,-4.643031011,13.54741654,42.98171716,39.81870617,4.01647079,16.87840258,17.0836711,9.694422719,6.273386351,8.279174426,13.67762814,2.302478554,-13.6361385,5.946880534,31.44823258,23.14101694,26.09366067,18.2365881,4.537152002,2.019988533,0.270645258,15.11312414,8.93567725,18.53186347,-0.616878243,-4.226973192,60.77612918,26.70820191,37.6054088,20.24052395,8.014925527,11.70571575,32.54349041,30.83217228,14.04016458,5.360507192,-1.18566804,-19.47237477,35.20491931,25.68412321,33.30186966,16.0957509,22.86034813,17.3925642,7.873865986,18.3643483,30.35155716,37.11413586,22.22163443,-3.688308602,46.2949151,53.25628731,39.27138855,32.94472828,22.65827995,-10.75282255,10.74207267,2.312215582,21.15184123,26.64490828,-10.67339109,-20.86194159,31.12262159,34.01781244,41.63629058,13.13017803,-1.454194461,14.26778355,19.07676389,24.51548113,18.81505541,3.342957905,-6.396311009,-21.91425517,32.32068486,42.71663882,27.52457753,11.28630901,13.20849312,21.4575965,27.4443532,14.90568566,17.18630069,-8.270844294,15.49065027,-18.57918506,29.45581278,22.71523988,15.35000237,19.46622487,15.4383198,12.49632896,11.22052778,7.321673833,9.670237235,7.68778712,20.98071257,-9.315339101,16.57134002,19.87853891,25.48966072,17.0651098,11.56652664,0.537241349,-2.946018178,-13.72759141,-17.90079216,32.48953757,11.51538599,6.816777656,31.80513629,-8.45420047,-1.691676488,-3.924364204,6.040196747,-1.246862868,-1.122449256,-15.44236618,-3.548723714,1.415805493,8.772247764,20.82779413,29.33412313,7.633082385,14.74519177,11.86158788,27.22303109,8.541688202,7.778422044,-7.246135349,7.123107021,-11.95195188,-0.884978655,32.03255055,31.89294601,35.08633674,8.290918463,8.650751486,-7.819339445,-2.490863878,-2.522161362,-13.00538117,-14.68648483,-16.01268011,-9.319221672,4.402633145,24.46101436,35.6488797,31.37317207,23.7865131,11.76547401,5.925871354,13.76473919,-8.627724521,37.72009882,-5.433302411,7.210291392,-1.093265435,28.26802771,13.40404232,15.07503043,,,,,,,,,,,,,,,,,,,,,
Evolution des ventes par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.988767399,11.0402176,16.02553204,13.79217322,13.99172383,21.597141,19.27447947,-48.55771322,7.729847153,52.13380053,3.626019057,54.49455942,-14.42550785,5.697521981,30.25261456,3.988087008,-5.260348536,10.97220354,-6.305501564,-31.37779436,15.58355362,-2.749602529,-14.96786502,14.69719231,17.37332185,2.750361016,2.312437284,-13.79813528,28.16715348,18.47757515,-42.82201829,-50.57886505,51.17928994,22.56969282,15.22431339,15.35055853,-4.473303936,-3.692590127,7.911632977,-25.08734703,-10.79495859,10.6442475,16.83678582,-57.22577002,58.92734284,-1.580980987,-7.704249145,-9.291821896,-3.810657735,3.026359197,-13.30803656,1.600857589,-15.40768983,9.549584558,3.278563722,-29.54211438,31.2684713,-16.28407513,-0.919942637,1.319859661,16.03406466,-6.731032971,2.692670611,-4.486209782,-8.052224123,28.50757914,2.988645734,-38.70122019,43.86291013,49.21284403,24.06398544,-2.568259096,19.52840388,-1.421144243,1.442954152,-11.74731338,11.04144964,11.41482073,-19.53990269,-26.0752376,6.996071502,7.84762668,25.4303683,-2.009160346,-25.51338887,-18.68008598,21.85901003,-13.37940443,6.353572588,18.30058638,20.78262354,-31.66358027,19.14657728,4.454758818,44.84622882,4.151821678,2.969959904,32.52550963,21.33706083,14.55512187,10.81423571,6.1650118,-8.620909744,-38.84231762,33.30553983,6.275372854,13.84752739,12.60246848,-4.555366343,14.78455276,16.86297387,-2.522873699,-5.228496405,-7.887550705,33.36607753,-42.93679099,34.78004003,11.19433761,-10.81417292,-10.19322383,26.4652956,0.04861375,-61.39509716,-78.08020959,-18.28428247,8.755108564,31.5331825,-11.10506259,38.14463602,15.87746866,-16.15406839,35.91121375,-37.4004503,16.45763205,1.755763901,7.933448286,-20.31904105,29.92332121,-12.81563415,-18.73675597,18.67828455,-32.88831554,-8.256759167,1.601178955,-22.16688372,26.52498595,24.78800978,-28.63234136,-17.48434711,-2.557505521,-22.80395329,-25.25243815,42.49273261,-24.97814441,25.84559092,28.89719862,30.26075383,0.442537968,13.60188514,-27.12765853,-18.37107568,-2.841138368,-10.94335798,-3.991609712,44.32017613,14.59579785,11.76792814,8.26390878,11.28077562,-52.14864248,-27.38692018,-21.22355703,-7.392326289,-15.55457709,19.31180635,-25.75302858,2.326821728,15.88654328,,,,,,,,,,,,,,,,,,,,,
Niveau des carnets de commandes par rapport au mois précédent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-45.35769747,-46.56083738,-31.79891512,-22.49299215,-31.30401143,-15.93121874,-21.64752991,-18.85535573,-3.950915334,6.547895602,-2.676459862,8.784695315,-8.594993037,-0.821645483,9.845116658,-10.66527832,1.253274392,-8.70032441,-15.67301799,-15.06222875,-14.79883956,-17.96369789,-22.78352496,-17.12260639,-39.57204676,-22.73966304,-24.85115198,-24.5434759,-25.06353417,-21.10675145,-30.40982102,-17.27959937,-5.739299053,-15.42789911,-9.270458102,-33.97426802,-40.3546989,-43.94683274,-43.43094645,-34.84570071,-45.0517878,-51.27392696,-53.33029697,-45.03351751,-38.6576378,-27.07704901,-21.5635667,-33.85285671,-34.23762945,-31.80329529,-28.57873262,-25.21549706,-34.80452014,-32.89206729,-33.01356512,-36.50101163,-21.78433236,-41.78736023,-40.5321415,-26.93082386,-16.97090416,-41.21308894,-25.58164595,-39.44235126,-34.75324869,-41.8876324,-30.9977061,-30.14770226,-35.40204031,-19.83958241,-24.3843579,-18.84715565,-6.091550021,-19.19061872,-21.65360933,-35.73379385,-40.75212508,-31.27848752,-31.5287776,-35.42987089,-31.39846564,-38.71729637,-14.84518311,-16.90957575,-34.62287998,-30.02161675,-13.82300691,-20.2354016,-25.7061231,-14.28205524,-12.97501617,-7.931404892,-13.13394977,-25.81843958,-7.654750001,-9.045529798,-19.99859981,-8.337593849,0.632634239,-12.21999696,-22.49343202,-22.61831303,-25.06575162,-29.1629953,-13.27471147,-14.51701,-13.43115056,-9.850339182,-8.954270738,-31.80768411,-23.62964425,-3.205186227,-35.3453521,-45.15644489,-20.81935018,-29.80739581,-27.98278154,-41.65942866,-26.54747813,-30.52163169,-30.7793542,-29.49907695,-69.12764382,-88.90875278,-74.13241085,-82.16643013,-59.02432538,-52.54723034,-49.80186056,-38.43343617,-54.73159337,-50.51031241,-49.38237636,-48.72204307,-55.25002791,-57.63121756,-36.51726811,-28.89179595,-28.50631039,-22.11426427,-30.66888101,-30.27743624,-35.05761401,-18.03659539,-32.16575587,-10.172951,-0.427352837,-14.44350429,-24.17117857,-14.44085989,-44.83704453,-21.38509697,-22.37812395,-26.02904175,-16.7995894,-28.91807329,-19.54042479,-39.69729635,-25.78286367,-30.54788607,-33.84184731,-22.08796431,-21.74165455,-15.1363549,-17.26269502,-15.4045884,-17.14697811,-31.26332854,-27.77778304,12.2304741,-20.75305395,-5.432237864,-33.94224238,-2.68052726,15.68441468,-20.70914328,-19.87052713,-8.300983575,,,,,,,,,,,,,,,,,,,,,
