,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SECTEUR ET BRANCHE,1er trimestre 2016,2e trimestre 2016,3e trimestre 2016,4e trimestre 2016,1er trimestre 2017,2ème trimestre 2017,3ème trimestre 2017,4ème trimestre 2017,1er trimestre 2018,2ème trimestre 2018,3ème trimestre 2018,4ème trimestre 2018,1ertrimestre 2019,2ème trimestre 2019,3ème trimestre 2019,4ème trimestre 2019,1ertrimestre 2020,2ème trimestre 2020,3ème trimestre 2020,4ème trimestre 2020,1er trimestre 2021,2e trimestre 2021,3e trimestre 2021,4e trimestre 2021,1er trimestre 2022,2e trimestre 2022,3e trimestre 2022,4e trimestre 2022,1er trimestre 2023,2e trimestre 2023,3e trimestre 2023,4e trimestre 2023,1er trimestre 2024,2e trimestre 2024,3e trimestre 2024,4e trimestre 2024,1er trimestre 2025,2e trimestre 2025,3e trimestre 2025,4e trimestre 2025,1er trimestre 2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industries extractives,91.4,101.7,106.6,109.8,97.4,135.5,127.8,131.6,116.7,133.2,131.4,132.2,124.7,131.6,135,137,124.2,141.6,140.1,149,132,139.8,148.2,146.2,118.7,118,120.1,104,90,96,112.8,137.6,115.7,123.8,138.1,150.2,128.2,144.6,148.3,143.6,125.8
Extraction de minerais métalliques,101.5,95.1,97.5,110.3,104.2,96,100,109,105.8,97.6,101.5,111,108.2,96,103.4,112.2,99.9,88.1,96.8,107.2,103.5,87.9,102.6,108.2,104.7,87.9,104.6,117.1,103.3,89.2,105.1,117.3,103.5,89.7,105.3,117.5,103.7,89.8,108.7,118.3,104.4
Autres industries extractives,90.9,102,107,109.8,97.1,137.5,129.2,132.8,117.2,135,132.9,133.2,125.6,133.4,136.6,138.4,125.4,144.4,142.3,151.2,133.5,142.5,150.5,148.1,119.4,119.5,120.9,103.3,89.3,96.3,113.2,138.7,116.3,125.6,139.8,151.9,129.5,147.4,150.3,144.9,126.9
Industries manufacturières hors raffinage de pétrole,104.7,109.1,100.9,106.1,107.6,110.7,102.8,108.9,110.1,112.9,105.2,114.3,113.1,115.5,106.9,117.1,113.7,90.8,104.1,115.7,114.7,108.9,107.5,121.6,112.1,110.9,110.8,122.6,114.2,107,111.9,132.4,116.5,113.2,122.2,139,120.2,121.1,124.9,144.6,118.5
Industries alimentaires,108.2,107.6,109,109.7,121.9,114.9,114.2,106.9,120.2,111.2,117.8,112.4,120.2,114.4,118.4,113.2,129.2,113.2,113.7,114.1,134.1,117.3,123.8,126.9,132.4,127,134.4,131.6,133.3,120,134.1,123,136.8,111.7,146.2,126,137.7,121.8,162.7,138.5,132.9
Fabrication de boissons,99.8,89.3,98.9,113.4,88.4,83.6,119.5,123.7,89.3,73.8,94,125.8,84.6,69.5,99.4,125.7,82.2,62.3,99.5,123.5,80.5,74.8,100.5,117.9,81.2,76.9,103.9,150.9,85,86,104.9,150.4,82.1,74.5,97.6,153.2,77.6,78,96.8,156.2,79.2
Fabrication de produits à base de tabac,96.5,94.5,96.9,102.8,95.4,95.3,97.2,101.9,95.7,97.1,97.5,105.9,95.2,98.2,95.9,100.9,91.1,88.7,101.1,101.2,92.4,89,103.7,101.8,92.8,89,123.2,121.7,87.2,64.4,97.6,131.1,62.3,81,107.6,138.4,45.3,96.5,77,144.9,44.8
Fabrication de textiles,106.6,101,77.6,94.3,107.9,97.5,77.7,99.1,112.6,100.3,75.3,98.6,106.3,100.7,75.7,92.4,103.8,55.8,72.8,91.6,105.3,80.5,81.2,96.4,102.9,88.3,80.6,88.4,94.9,78,79.8,88.7,89.8,71.1,75.6,86.7,91,76.3,78.4,89.2,93.9
Industrie d’habillement,103.8,110,84.1,106,104.6,99.1,80,101.4,97.1,99.8,87.1,103.7,102.9,103.4,92.3,102.6,109.5,64.8,90.7,83.5,107.5,96.5,96.9,91.2,105.8,98.6,90.4,96.7,108.8,103.4,81.6,92.8,99.7,96.9,91.2,90.1,99.2,85.7,89.5,85.9,91.2
