Taux de remplissage des barrages hydroélectriques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Taux de remplissage des barrages hydroélectriques,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Capacité,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,normale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(En %),(hm3),1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005,2006,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,,,,
,,1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005,2006,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
Allal Al Fassi,81,,,,,,,,,,,,,n.d,83.2,60.5,81.0,60.9,70.6,83.4,96.0,90.2,64.6,95.8,90.6,89.2,92.2,90.1,95.5,92.5,80.9,83.3,84.4,78.9,81.6,87.1,87.1,92.2,91.1,93.8,93.6,84.6,84.0,84.24277005315474,84.37490615333793,97.47717039639898,97.0
Al Massira,2760,,,,,,,,,,,,,19.7,17.0,14.2,112.2,83.3,80.5,66.9,56.2,31.2,19.7,25.2,27.5,30.4,19.4,18.1,15.5,18.2,71.9,93.6,91.2,94.9,90.0,86.2,86.2,42.8,18.1,30.34,17.8,12.0,7.5,7.5188968327351,1.1898214778763925,1.9085002503143118,5.0
Al wahda,3730,,,,,,,,,,,,,,,,,47.2,79.4,51.5,40.0,62.0,75.1,75.6,80.2,65.7,57.8,74.6,66.7,82.8,78.7,50.6,49.6,56.6,49.6,59.4,59.4,50.3,43.5,57.73,58.5,51.7,59.0,56.01387994601046,38.81293054908227,40.5954692513316,50.0
Bine El ouuidane,1300,,,,,,,,,,,,,16,26.6,43.7,27.0,79.8,81.6,49.7,37.3,23.4,20.1,42.7,51.9,63.2,46.2,65,45.7,53.4,71.6,76.7,79.0,90.0,69.4,65.7,65.7,44.3,17.8,72.08,42.2,19.7,14.0,13.976596274416606,5.10481234661312,5.465144652721386,16.0
El Kansera,266,,,,,,,,,,,,,25.5,32.4,28.4,31.6,85.0,82.5,26.4,36.9,49.5,62.0,92.8,97.1,59.4,50.2,67.5,50.0,94.6,90.7,72.1,71.3,86.4,61.2,87.2,87.2,60.5,44.9,95.85,53.7,22.0,25.8,25.280041309773477,27.369083801767445,23.499365410520507,38.0
Hassan 1er,263,,,,,,,,,,,,,27.2,20.5,41.7,34.6,91.8,98.1,56.9,56.3,22.9,18.2,39.8,58.9,89.9,57.1,57.5,38.2,42.3,79.8,68.9,44.0,56.3,40.9,57.6,57.6,50.9,19.1,79.3,29.7,18.1,15.1,14.967928892805393,17.331955024191018,15.375069394363658,20.0
Idriss 1 er,,,,,,,,,,,,,,22.6,13.2,9.5,7.2,74.5,53.9,54.4,42.3,42.2,48.5,62.8,93.0,71.6,51.4,67.7,44.2,77.1,81.3,60.2,59.5,69.8,59.3,60.5,60.5,50.3,39.4,77.21,82.5,57.2,45.2,45.02673607422359,15.822709727681577,24.028456060904876,39.0
Lalla Takerkoust,69,,,,,,,,,,,,,43.6,90.6,33.5,92.8,86.9,67.3,19.2,97.6,10.7,20.1,95.3,84.7,38.8,29.1,40.9,20.7,81.6,93.7,92.7,61.5,27.6,18.1,95.0,95.0,57.4,11.4,36.92,7.2,9.0,10.5,11.273283810519242,30.94553734741871,30.470768988905434,26.0
