Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Commercialisation officielle
 des céréales principales",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(En Milliers de Qx) ,1980/81,1981/82,1982/83,1983/84,1984/85,1985/86,1986/87,1987/88,1988/89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blé dur ,1564,39,514,578,437,407,470,411,516,653,874,1039,331,193,1968,458,795,223,231,134,100,186,184,244,206,149,133,99,189,232,192,92,104,148,204,184,117,161,191,152,53,292,93,,
Blé tendre ,2133,485,4793,3562,3073,3232,9223,5404,9313,10148,5997,10947,1290,890,16814,502,17364,4322,10889,8113,4167,10924,10131,15065,18599,16505,24791,5183,13884,26621,18411,22579,19100,22049,15767,14649,2751,16636,18366,11171,3996,15574,1954,,
Orge,1270,224,1754,330,273,2491,4977,866,924,908,416,469,139,163,708,142,1038,65,97,90,6,176,103,140,76,32,46,8,49,241,104,76,69,263,164,186,5,64,20,39,49,825,232,,
Maïs ,412,84,687,570,567,842,1367,682,784,1146,668,273,249,132,156,91,252,640,406,359,29,55,42,67,17,19,20,3,6,1,10,8,38,27,6,9,0,9,1,3,3,21,7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total des céréales principales,5379,831,7747,5040,4350,6972,16036,7363,11537,12856,7955,12728,2009,1378,19646,1193,19449,5250,11623,8696,4303,11341,10460,15516,18898,16705,24990,5293,14128,27095,18717,22755,19312,22487,16141,15027,2873,16870,18578,11365,4101,16712,2286,,
Total des céreales,,,,,,,,,,,,,,,,,19446,5255,11625,8702,4307.3,11352,10463,15540,18899,17230,25408.08,5706.8,14549,27610,18718,22995,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Direction de la Statistique / Office National Interprofessionnel des Céréales et des Légumineuses (ONICL).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
