,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
en tonnes,,,,,,,,,,,,,,,,,,,
Activité / Année ,,,,,,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
Congelé ,,,,,,196205.0,258244.0,218426.0,278438.0,319746.0,336143.0,357585.0,348678.0,389173.0,433448.0,451886.0,428616.0,446094.0,
Conserve ,,,,,,124094.0,130448.0,145122.0,149539.0,152544.0,163802.0,174600.0,185242.0,187245.0,161334.0,166401.0,146044.0,118287.0,
Farine  ,,,,,,96260.0,92537.0,136977.0,110876.0,139272.0,139080.0,116938.0,155678.0,164271.0,137925.0,202342.0,182243.0,141783.0,
Huile  ,,,,,,25610.0,17134.0,39686.0,52577.0,35409.0,34505.0,30762.0,35796.0,46050.0,30021.0,45831.0,36900.0,21117.0,
Frais ou vivants ,,,,,,22570.0,21830.0,21145.0,25521.0,21835.0,16707.0,15635.0,17331.0,19486.0,19279.0,16594.0,16729.0,16758.0,
Semi-conserve ,,,,,,18613.0,17820.0,17839.0,19011.0,17726.0,20705.0,22127.0,24679.0,28299.0,28516.0,26375.0,28977.0,30830.0,
PSSFS ,,,,,,1663.0,1958.0,2127.0,2633.0,2514.0,2713.0,2149.0,2187.0,3930.0,4767.0,3225.0,2899.0,6820.0,
Algues ,,,,,,3691.0,4309.0,3272.0,2425.0,2507.0,1958.0,1803.0,2468.0,1657.0,1805.0,2037.0,3079.0,3523.0,
Agar-agar ,,,,,,1871.0,1066.0,925.0,905.0,936.0,1016.0,1054.0,932.0,871.0,765.0,814.0,946.0,887.0,
Corail ,,,,,,3.0,7.0,4.0,4.0,3.0,1.0,3.0,2.0,0.1,2.0,2.0,3.0,1.0,
Coquilles et carapaces ,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,129.0,,,,
Autres (1),,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,27642.0,40656.0,37381.0,
Total ,,,,,,490580.0,545353.0,585523.0,641930.0,692493.0,716631.0,722654.0,772992.0,840982.0,817990.0,915507.0,846673.0,823481.0,
,,,,,,,,,,,,,,,,,,,
en millions de dirhams,,,,,,,,,,,,,,,,,,,
Activité / Année ,,,,,,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
Congelé ,,,,,,6013.0,6484.0,6569.0,8066.0,9588.0,10876.0,11080.0,9932.0,10102.0,13792.0,14105.0,15073.081,14797.0,
Conserve ,,,,,,4456.0,4579.0,4848.0,4933.0,5063.0,5337.0,5916.0,6289.0,6293.0,5676.0,7014.0,6526.622,5659.0,
Farine  ,,,,,,948.0,985.0,1452.0,1461.0,1740.0,1481.0,1360.0,1682.0,1820.0,1659.0,2863.0,2587.29,1994.0,
Huile  ,,,,,,405.0,299.0,652.0,989.0,813.0,713.0,629.0,618.0,827.0,587.0,1620.0,2274.564,1268.0,
Frais ou vivants ,,,,,,1747.0,1743.0,1808.0,2122.0,2186.0,1620.0,1481.0,1530.0,1535.0,1735.0,1737.0,1760.579,1653.0,
Semi-conserve ,,,,,,1246.0,1315.0,1287.0,1416.0,1368.0,1431.0,1532.0,1569.0,1617.0,1633.0,1734.0,2097.702,2426.0,
PSSFS ,,,,,,53.0,57.0,94.0,125.0,146.0,139.0,121.0,115.0,147.0,192.0,193.0,159.881,340.0,
Algues ,,,,,,129.0,115.0,95.0,85.0,103.0,86.0,81.0,100.0,51.0,48.0,56.0,84.189,95.0,
Agar-agar ,,,,,,413.0,240.0,216.0,237.0,260.0,298.0,319.0,281.0,259.0,214.0,233.0,295.059,286.0,
Corail ,,,,,,5.0,15.0,10.0,9.0,6.0,5.0,7.0,3.0,0.1,3.0,5.0,6.36,2.0,
Coquilles et carapaces ,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,
Autres (1),,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,181.0,217.0,284.0,
Total ,,,,,,15416.0,15832.0,17030.0,19442.0,21273.0,21986.0,22526.0,22119.0,22651.0,25540.0,29561.0,30837.0,28785.0,
"PSSFS : Produits salés, séchés fumés ou en saumure",,,,,,,,,,,,,,,,,,,
(1) Autres produits de la mer,,,,,,,,,,,,,,,,,,,
