"Débarquements des produits de 
la pêche côtière et artisanale par port ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,﻿3842,﻿5358,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 154,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 169,Unnamed: 170,Unnamed: 171,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185,Unnamed: 186,Unnamed: 187,Unnamed: 188,Unnamed: 189,Unnamed: 190,Unnamed: 191,Unnamed: 192,Unnamed: 193,Unnamed: 194,Unnamed: 195,Unnamed: 196,Unnamed: 197,Unnamed: 198,Unnamed: 199,Unnamed: 200,Unnamed: 201,Unnamed: 202,Unnamed: 203,Unnamed: 204,Unnamed: 205,Unnamed: 206,Unnamed: 207,Unnamed: 208,Unnamed: 209,Unnamed: 210,Unnamed: 211,Unnamed: 212,Unnamed: 213,Unnamed: 214,Unnamed: 215,Unnamed: 216,Unnamed: 217,Unnamed: 218,Unnamed: 219,Unnamed: 220,Unnamed: 221,Unnamed: 222
,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poids (en tonne),2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01 00:00:00,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01 00:00:00,2010-01-01 00:00:00,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01,2019-02-01,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01,2020-03-01 00:00:00,2020-04-01,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00
MEDITERRANEE,,,,,,,,,,,,,33758,,,,,,,,,,,,38917,,,,,,,,,23124,27775,,32675,,5572,7357,9831,12120,14322,16605,,20096,22574,24015,25771,1523,2747,3842,5358,7499,10488,13711,15750,18355,20462,23214,26859,3149,5605,8481,10834,13342,15864,19415,21649,24648,27418,30976,34134,2599,4507,6601,9174,12114,15068,17572,20412,22899,24787,27739,30970,2265,3357,5626,6824,8490,11158,13585,16190,17433,19949,22930,26334,,3354,4693,5960,8224,10376,20095,23010,24897,27176,29571,32464,2647,4892,7641,,11734,13559,16126,18047,19493,21584,23058,24925,1613,4088,5204,6574,8606,10498,15795,15795,18541,21161,23449,25907,,,7500,9763,,13487,15770,17176,18947,20789,21944,23521,,,7182,,9642,11150,,14692,16618,17774,18697,19639,2175,4168,6367,7982,9354,11555,12788,14522,16094,17019,17862,19397,1428,3610,5706,6879,8519,10041,11642,13377,14508,15976,,18318,1512,2838,4974,6036,7774,9002,10921,12446,13783,14950,16127,16981,1903,3216,4363,5193,6542,7223,9575,10879,12023,12780,13461,14105,2047,3522,4648,5456,7061,8158,9624,11426,12571,13516,14346,15069,1437,2926,4460,6053,7340
RASKABDANA,,,,,,,,,,,,,1593,,,,,,,,,,,,2083,,,,,,,,,1321,1559,,1764,,204,277,325,365,482,644,,984,1164,1248,1325,98,165,201,228,503,764,1003,1185,1455,1629,1698,1851,70,137,220,296,425,601,909,1098,1406,1607,1829,2034,155,238,327,540,857,1231,1621,1960,2253,2624,2775,3028,255,289,439,590,697,863,1188,1481,1607,1809,2062,2417,,234,325,376,657,947,1098,1305,1486,1619,1678,1813,82,143,226,,432,593,882,991,1128,1233,1285,1373,118,184,221,272,543,742,1048,1048,1121,1244,1355,1443,,,331,403,,612,741,798,850,991,996,1114,,,289,,456,515,,727,827,874,890,950,63,110,146,206,332,465,535,653,730,783,821,870,95,149,192,238,332,411,467,526,544,565,,643,56,84,132,170,180,236,341,443,484,525,552,591,83,122,190,204,237,267,393,474,557,587,627,654,61,135,192,205,231,279,343,429,522,558,564,566,56,117,183,231,256
SIDIHSAINE,,,,,,,,,,,,,578,,,,,,,,,,,,1278,,,,,,,,,660,831,,959,,208,222,243,250,291,333,,388,417,434,465,14,37,44,45,135,234,362,500,649,672,749,815,31,60,60,78,97,146,267,364,494,570,681,723,10,19,22,38,38,48,57,57,57,57,61,74,12,23,34,34,34,54,66,76,76,76,76,109,,26,36,36,36,36,64,72,72,72,72,97,26,40,57,,57,75,94,109,114,114,114,139,15,32,44,44,44,44,85,85,107,107,107,107,,,64,64,,73,86,86,86,86,86,86,,,58,,58,58,,91,100,100,100,100,32,58,78,86,86,95,109,124,131,131,131,131,26,48,68,73,76,76,97,105,137,137,,157,26,47,75,82,89,89,114,142,167,167,167,167,30,51,74,74,77,77,100,117,129,129,129,129,38,62,84,84,86,86,86,124,140,140,140,140,32,59,92,92,93
NADOR,,,,,,,,,,,,,11598,,,,,,,,,,,,13606,,,,,,,,,8788,9987,,11359,,2139,2849,3529,4115,4646,5382,,6750,7417,7982,8727,681,1320,1911,2381,3135,3999,4728,5439,6180,6955,7962,9239,1318,2544,3759,4509,5388,6285,7336,8049,9078,9807,10930,11965,972,1752,2394,3109,3820,4782,5696,6612,7210,7847,8705,10102,759,1111,1768,2289,3043,3902,4695,5639,6091,6901,8083,9251,,1338,2027,2718,3457,4231,4843,5594,6060,6617,7287,8079,771,1346,1848,,2794,3352,3952,4439,4852,5238,5433,5962,427,800,1087,1363,1827,2148,3250,3250,4065,4838,5554,6255,,,2048,2472,,3346,3804,4136,4686,5212,5393,5733,,,1417,,2083,2453,,3594,4175,4569,4836,5039,581,922,1296,1604,1842,2186,2533,3028,3387,3654,3854,4251,589,1168,1536,1790,2027,2250,2541,2914,3183,3554,,4141,493,778,1348,1575,1875,2147,2543,2961,3363,3737,4005,4281,560,903,1205,1426,1691,1869,2321,2678,3043,3310,3555,3762,491,825,1089,1245,1498,1699,2061,2400,2684,2890,3092,3273,322,592,827,1053,1256
HOCEIMA,,,,,,,,,,,,,10546,,,,,,,,,,,,11134,,,,,,,,,6616,8601,,10785,,1684,2222,3460,4608,5541,6350,,7188,8001,8475,8972,322,563,740,1003,1383,2168,3276,3822,4572,5017,5742,6592,653,1066,1643,2074,2678,3258,4350,5085,5950,6923,7859,8819,726,1160,1793,2484,3171,3886,4367,5304,6306,6762,7788,8565,513,803,1400,1595,1986,2621,3269,4045,4419,5262,5996,6924,,617,752,838,1224,1526,2142,2696,3017,3407,3986,4576,364,593,825,,1242,1524,2117,2739,3144,3640,4208,4671,192,341,423,575,749,972,2244,2244,3048,3764,4265,4775,,,923,1146,,1719,2350,2886,3305,3584,3680,3863,,,771,,1127,1247,,1864,2148,2226,2293,2395,319,510,771,1012,1135,1331,1496,1837,2088,2161,2224,2542,233,494,699,810,916,966,1297,1565,1761,1948,,2391,270,490,900,1054,1164,1212,1543,1827,2033,2106,2178,2293,498,728,981,1093,1226,1261,1684,1908,2110,2185,2265,2385,585,811,995,1073,1186,1269,1531,1749,1925,2025,2151,2270,268,550,816,917,996
CALAIRIS,,,,,,,,,,,,,1030,,,,,,,,,,,,923,,,,,,,,,296,352,,389,,31,38,60,81,124,168,,218,242,264,308,11,23,32,40,63,163,281,347,441,493,606,709,57,119,170,205,263,350,451,520,582,659,753,863,81,142,206,288,380,455,529,583,635,658,772,835,63,118,162,205,233,322,403,456,498,587,681,795,,131,160,194,225,282,395,474,533,590,644,730,67,122,151,,199,243,291,332,363,488,519,568,48,86,96,100,134,222,406,406,507,643,736,850,,,229,271,,355,409,441,477,546,636,684,,,166,,187,215,,284,343,382,391,409,61,94,130,145,165,205,232,267,304,331,352,386,38,63,82,82,101,109,153,177,185,216,,252,42,73,139,140,146,146,189,206,223,232,238,244,50,69,81,85,87,97,167,189,196,215,223,226,96,133,152,156,165,175,225,249,270,273,274,278,33,65,86,88,89
JEBHA,,,,,,,,,,,,,1880,,,,,,,,,,,,2412,,,,,,,,,686,782,,868,,65,102,151,218,265,305,,352,402,429,466,21,32,39,43,69,163,265,311,341,393,522,803,163,288,349,443,579,664,775,827,890,1014,1362,1629,145,245,357,430,642,795,897,959,1028,1130,1324,1533,217,288,409,472,550,648,698,817,890,1171,1606,1925,,359,412,500,584,696,827,1050,1244,1573,1948,2165,129,204,282,,515,569,618,641,679,985,1103,1203,85,140,161,180,192,252,657,657,818,1008,1201,1465,,,308,395,,491,512,522,531,635,794,872,,,104,,151,176,,220,281,334,358,379,55,80,105,128,175,242,284,331,362,391,439,501,45,89,139,176,209,231,288,330,345,363,,438,65,101,152,173,196,206,252,296,314,336,349,359,62,104,140,155,184,196,332,455,512,544,589,618,105,180,232,251,268,321,429,504,565,607,643,672,45,73,99,111,134
MDIQ,,,,,,,,,,,,,6099,,,,,,,,,,,,6297,,,,,,,,,4076,4664,,5298,,877,1230,1643,2061,2551,2988,,3509,3870,4071,4382,360,582,830,1208,1760,2510,3204,3515,4064,4565,5050,5760,466,937,1784,2687,3365,3921,4526,4854,5355,5903,6403,6876,451,837,1220,1753,2612,3121,3388,3755,4061,4262,4636,5038,298,548,877,1075,1370,1889,2242,2581,2749,3009,3260,3601,,511,788,1063,1779,2286,2528,2833,2945,3186,3357,3627,325,646,985,,1497,1745,2007,2165,2291,2486,2619,2757,84,241,451,695,985,1210,2103,2103,2540,2982,3407,3794,,,1072,1618,,2251,2581,2758,3027,3249,3463,3617,,,594,,1069,1433,,1965,2227,2379,2515,2696,275,408,601,819,1036,1282,1484,1642,1828,2011,2151,2335,94,189,317,478,739,1106,1413,1647,1810,1949,,2301,197,315,592,810,1147,1409,1680,1811,1971,2115,2277,2408,186,308,441,574,816,911,1207,1347,1489,1658,1776,1877,247,393,579,734,1133,1329,1578,1837,2095,2293,2447,2610,238,459,587,684,791
