Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectif du cheptel ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(En milliers de têtes),1980.0,1981.0,1982.0,1983.0,1984.0,1985.0,1986.0,1987.0,1988.0,1989.0,1990.0,1991.0,1992.0,1993.0,1994.0,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Effectif du cheptel (passage octobre-novembre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   Bovins ,3376.202,3247.873,2536.53,2430.912,2362.88,2501.005,2851.339,3177.54,3136.926,3324.24,3346.258,3438.174,3004.833,2348.258,2343.2,2370.8,2408.4,2547.2,2568.6,2565.5,2575.2,2566.0,2551.2,2617.7,2698.7,2664.4,2670.4,2592.8,2651.2,2789.6,2895.777230836764,3037.9354687893383,3178.7996995071417,3345.36,3238.7106212791164,,,,,,,,,,,
   Ovins ,16509.808,15675.495,10155.047,12610.673,11493.179,12861.757,14544.943,16135.626,12733.345,13761.368,13514.426,16268.419,13153.7,11868.072,13308.9,13388.6,14536.1,15286.7,14783.9,14587.9,14499.8,14757.0,15047.0,15658.0,16367.8,16121.7,16298.0,15566.1,16114.0,17093.0,18283.7402481802,18737.353631167076,19097.505748324027,19499.89,20220.53858050824,,,,,,,,,,,
