 STATISTIQUES MENSUELLES ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131
 RELATIVES A L'ACTIVITE DE L'OFFICE NATIONAL ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 DE L'ELECTRICITE ET DE L'EAU POTABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00,2016-09-01 00:00:00,2016-10-01 00:00:00,2016-11-01 00:00:00,2016-12-01 00:00:00,2017-01-01 00:00:00,2017-02-01 00:00:00,2017-03-01 00:00:00,2017-04-01 00:00:00,2017-05-01 00:00:00,2017-06-01 00:00:00,2017-07-01 00:00:00,2017-08-01 00:00:00,2017-09-01 00:00:00,2017-10-01 00:00:00,2017-11-01 00:00:00,2017-12-01 00:00:00,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00
I- ENERGIE NETTE APPELEE (en GWh) y compris l’énergie éolienne via réseau clients,19933,23118.6,25972.3,28856.77700001,31592.742000010996,34413.14768401101,2794.0939999999996,5437.298,8258.567,,13944.382000000001,17018.198999999997,20334.043999999998,23771.019000000004,26734.567,29778.184999999998,32595.785,35414.527000001995,2918.936,5516.124999999999,8443.163,11422.172999999999,14613.017999999996,17844.108,21344.619000000002,24908.031,28016.559000000005,31271.887000002003,34260.098000002,37216.651784001995,3017.5370000000003,5756.308,8742.043,11667.136000000002,14795.232999999997,17864.375999999997,21369.200999999997,24846.155,28181.993,31455.404,34377.895,37446.115999999995,3131.851,5966.436,9100.829,12158.198,15570.09542,18813.059000000005,22465.468999999997,25989.14902,29409.2117,32742.464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
- Eolien Loi 13-09_Via réseau client,,96,"107,5",114.61099999999999,125.207,139.815,8.691,17.035,29.682000000000002,,51.648,68.142,78.67699999999999,94.696,108.072,118.22800000000001,129.366,141.84,7.555,15.572,26.438,36.375,49.701,57.608000000000004,66.598,81.037,95.649,109.989,120.956,136.693,10.355,21.214,31.841,45.745000000000005,61.06700000000001,72.965,87.254,102.016,114.49300000000001,126.36300000000001,137.9,151.104,12.826,24.467,37.36,50.421,62.469,71.916,88.27799999999999,98.948,112.256,125.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
II- ENERGIE NETTE APPELEE (en GWh) dont :,19852.5,23022.8,25864.8,28742.16600001,31467.535000010997,34273.33268401101,2785.403,5420.263,8228.884999999998,,13892.734000000002,16950.056999999997,20255.367,23676.323000000004,26626.495,29659.957,32466.418999999998,35272.687000002,2911.3810000000003,5500.552999999999,8416.725,11385.797999999999,14563.316999999997,17786.5,21278.021,24826.994,27920.910000000003,31161.898000002002,34139.142000002,37079.958784001996,3007.1820000000002,5735.094,8710.202,11621.391000000001,14734.165999999997,17791.410999999996,21281.946999999996,24744.139,28067.5,31329.040999999997,34239.994999999995,37295.011999999995,3151.8520000000003,5965.674,9100.663,12158.193000000001,15573.281,18814.045000000002,22466.473,25979.825,29385.666999999998,32735.800999999996,35757.435,38852.57000000001,3169.6668700000005,6190.131832,9267.253626,11938.425083750002,14873.94571475,18068.151854749995,21802.60472275,25349.85276475,28809.586896750003,32092.291384750002,35199.40216575,38371.51867974999,3208.8324331199997,6080.01570426,9273.69984412,12480.110049290002,15793.327859400002,19312.623862940003,23104.34774118,26906.867095390004,30487.521350910003,33912.2618571,37161.09015694,40511.57841435,3322.8699534,6391.9068238,9725.48091468,13062.958779339999,16642.84053057,20393.451852445112,24396.232865785114,28476.304855355116,32152.626492285024,35725.04857672598,39071.89728846331,42317.37892707548,3349.3731684821664,6518.824181577831,10062.436483251155,13502.305898514152,17188.18297360749,20923.555363056323,25134.492526775823,29466.662791399485,33199.25731353765,36960.350404672485,40426.06598816532,43991.35134653985,3544.7419120995,6878.929863717332,10478.407994117633,13908.166101826133,17751.8146191063,21475.947956531814,25934.419783463713,30430.210225790215,34398.090460245556,38292.189983471195,41940.57252454886,45698.200142169524,3792.1512869135004,7250.683669261665,10918.331810626667,14600.956224732498,18681.158638246165,22940.462971429333,27711.161774493834,32459.593350320167,36832.713618789996,41152.39639245319,45035.271264704694,49035.27192982738,3976.868289587568,7480.343830435399,11301.310264282734,15257.099384280065,19449.72467168423
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
