Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,
Production du phosphate brut ,5121,7722,,13733,16681,19597,22593,25532,28385,31205,34321,,5534,8290,,14104,17136,20246,23113,26189,,32360,35274,,5303,8295,,14502,17948,20961,,27456,,34153,37442,,5606,8841,,15250,18315,,25019,28364,,34763,38122,,5038,7867,,13073,15779,,21175,23787,,28555,30456,,3526,5792,,10045,12102,,16686,19584,,25471,28690,,4920,7650,,13129,15960,,22147,,,,,,5588,8558,,15029,18371,,25060,,,,,,5035,8382,,
,,,,,,,,,,,,,0.081,0.074,,0.027,0.027,0.033,0.023,0.026,,0.037,0.028,,-0.042,0.001,,0.028,0.047,0.035,,0.048,,0.055,0.061,,0.057,0.066,,0.052,0.02,,,0.033,,0.018,0.018,,-0.101,-0.11,,-0.143,-0.138,,-0.154,-0.161,,-0.179,-0.201,,-0.3,-0.264,,-0.232,,,-0.212,-0.177,,-0.108,-0.058,,0.396,0.321,,0.307,0.319,0.347,0.327,,,0.245,0.231,,0.136,0.119,,0.145,0.151,,0.132,,,0.08,0.075,,-0.099,-0.02,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-01-01 00:00:00,2018-02-01 00:00:00,2018-03-01 00:00:00,2018-04-01 00:00:00,2018-05-01 00:00:00,2018-06-01 00:00:00,2018-07-01 00:00:00,2018-08-01 00:00:00,2018-09-01 00:00:00,2018-10-01 00:00:00,2018-11-01 00:00:00,2018-12-01 00:00:00,2019-01-01 00:00:00,2019-02-01 00:00:00,2019-03-01 00:00:00,2019-04-01 00:00:00,2019-05-01 00:00:00,2019-06-01 00:00:00,2019-07-01 00:00:00,2019-08-01 00:00:00,2019-09-01 00:00:00,2019-10-01 00:00:00,2019-11-01 00:00:00,2019-12-01 00:00:00,2020-01-01 00:00:00,2020-02-01 00:00:00,2020-03-01 00:00:00,2020-04-01 00:00:00,2020-05-01 00:00:00,2020-06-01 00:00:00,2020-07-01 00:00:00,2020-08-01 00:00:00,2020-09-01 00:00:00,2020-10-01 00:00:00,2020-11-01 00:00:00,2020-12-01 00:00:00,2021-01-01 00:00:00,2021-02-01 00:00:00,2021-03-01 00:00:00,2021-04-01 00:00:00,2021-05-01 00:00:00,2021-06-01 00:00:00,2021-07-01 00:00:00,2021-08-01 00:00:00,2021-09-01 00:00:00,2021-10-01 00:00:00,2021-11-01 00:00:00,2021-12-01 00:00:00,2022-01-01 00:00:00,2022-02-01 00:00:00,2022-03-01 00:00:00,2022-04-01 00:00:00,2022-05-01 00:00:00,2022-06-01 00:00:00,2022-07-01 00:00:00,2022-08-01 00:00:00,2022-09-01 00:00:00,2022-10-01 00:00:00,2022-11-01 00:00:00,2022-12-01 00:00:00,2023-01-01 00:00:00,2023-02-01 00:00:00,2023-03-01 00:00:00,2023-04-01 00:00:00,2023-05-01 00:00:00,2023-06-01 00:00:00,2023-07-01 00:00:00,2023-08-01 00:00:00,2023-09-01 00:00:00,2023-10-01 00:00:00,2023-11-01 00:00:00,2023-12-01 00:00:00,2024-01-01 00:00:00,2024-02-01 00:00:00,2024-03-01 00:00:00,2024-04-01 00:00:00,2024-05-01 00:00:00,2024-06-01 00:00:00,2024-07-01 00:00:00,2024-08-01 00:00:00,2024-09-01 00:00:00,2024-10-01 00:00:00,2024-11-01 00:00:00,2024-12-01 00:00:00,2025-01-01 00:00:00,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-04-01 00:00:00,2025-05-01 00:00:00,2025-06-01 00:00:00,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00
Trafic portuaire géré par l’ANP ,6580783,13675829,20627854,27905206,36397739,43666546,50447739,57628781,64238545,70769965,76700574,85313180,7608913,13482479,21798028,29268060,37191518,44075247,51459268,58595463,65961546,74288326,80495285,87962485.0241546,8092565,14910000,23393000,31294799,39506886,47340173,54724241,62497020,70472648,77335332,84695318,92511450,7473687,13677232,22938149,30393274,38512864,46326729,53413822,61019499,68636704,75458508,83233143,91041172,7600636,13744129,21691710,29562509,37463854,45182741,52818104,60286914,67148156,74037576,79998407,87201314,6618790,12471402,19632024,0,,,,,63443167,,,88396298,,,22017429,,,,,65479718,,,,99900000,,,23166273,,,,,69397229,,,,102400000,,,24543259,
,,,,,,,,,,,,,0.15623216872521106,-0.014138082598137203,0.05672785933039859,0.04883870056361528,0.021808470026118965,0.009359590749403512,0.02005102746031895,0.016774291998298496,0.02682191821125457,0.04971545485432971,0.04947434943576834,0.031053877304240807,0.06356387568105992,0.1058797124772084,0.07317047211793648,0.06924746635069079,0.062255270139820684,0.07407618158101315,0.06344771557963091,0.06658462618513661,0.06838987673211894,0.041015946435513984,0.05217737908499864,0.0517148301869399,-0.07647488775190558,-0.08268061703554663,-0.01944389347240627,-0.028807502486275727,-0.025160727676689087,-0.021407695320420528,-0.023945859751622667,-0.02364146322496652,-0.02605186625029332,-0.024268648643029023,-0.017263941319637044,-0.015892930010285244,0.01698612746292416,0.004891121244415597,-0.05433912736376423,-0.02733384366554259,-0.027237911987018193,-0.024693908348245364,-0.011152880990242586,-0.01200575245627633,-0.021687346758375803,-0.01883064001212431,-0.03886355703280364,-0.042177159142898546,-0.12917945287736443,-0.09260150279439316,-0.09495268007916391,,,-0.004,,,-0.05517633276481937,,,0.01370373845513373,,,0.1215058111175904,,,,,,,,,0.13013782545508867,,,0.05217884431465625,,,,,0.05982785387072065,,,,0.025025025025025016,,,0.059439254644025,
Trafic portuaire global (millions tonnes),,,,,,,,,,,,137.5,,,,,,,,,,,,,,,,,,,,,,,,172.1,,,47.5,,,99,,,144.6,,,192.1,,,48.4,,,101.3,,,151,,,195,,,48.7,,,100.9,,,155.2,,,209.4,,,55.2,,,116.4,,,177,,,241.2,,,60.7,,,130,,,196.8,,,262.6,,,63.3,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,,,,,,,,,,,,0.116,,,0.018,,,0.022,,,0.044,,,0.015,,,0.004,,,-0.004,,,0.028,,,0.074,,,0.133,,,0.153,,,0.14,,,0.152,,,0.102,,,0.116,,,0.112,,,0.089,,,0.043,
Trafic aérien ,1692287,3254092,5117035,7129896,9561486,10466062,12562287,14855087,16849052,18810195,20628920,22529630,1866604,3553565,5619906,7937633,9568771,11669833,14074699,16695591,18877607,21039600,23036821,25075677,2020647,3972792,4914582,,4932703,4966136,5206017,5490460,5753073,6157426,6532157,7155091,645387,1065771,1466634,,1808420,2473988,,5934695.972499569,,8550750,9732216,9942343,126703,925699,2382748,3788440,5565496,7439275,9821737,12299218,14356220,16553642,18474374,20599410,1988075,3892616,6035569,8067299,10421530,12667160,15308729,18053347,20285552,22628796,24749062,27091249,2291878,4558498,6873487,9531555,12359125,15104579,18163899,21418349,24285348,27231934,29880671,32710637,2731787,5476589,8019064,11246245,,,,23920571,26985011,30234044,33196881,36359003,3133378,5909802,8913041,12336962
,,,,,,,,,,,,,0.10300675949174098,0.09202966603279816,0.0982739027581403,0.11328874923280785,0.0007619108577892053,0.11501661274316932,0.12039304626617753,0.12389722120106073,0.12039579437466275,0.11852109986100623,0.11672453041652209,0.11300882437927307,0.08252580622349459,0.11797364055532955,-0.12550459029030026,,-0.4844998380669785,-0.5744466951669317,-0.6301152159630554,-0.6711431179644973,-0.6952435231859632,-0.7073411091465618,-0.7164471174212796,-0.7146601066842582,-0.680603786806899,-0.7317324944270931,-0.7015750271335386,,-0.6333815354380752,-0.5018283832742398,,,,0.3886890398682825,0.489893154741994,0.3895480854121911,,,,,,2.0069972045135223,,,,0.9359286612285471,0.8982700342861276,1.0718868781734847,14.690828157186491,3.2050558550889656,1.533028671097405,1.129451436475172,0.8725249285957621,0.7027411945384463,0.5586580051980623,0.4678451101525316,0.41301484652645337,0.3669980297991222,0.3396427938505522,0.31514684158429773,0.15281264539818662,0.17106285336133853,0.13882999266514884,0.18150511094233646,0.18592231658883107,0.19242032152431965,0.18650601235412823,0.18639214102515167,0.19717461965047822,,,0.21,0.21,,0.164,0.17989614496270545,,,,0.11682609149752854,0.11116427073641266,0.11024226189737396,0.1109817781535094,0.11153454455808975,0.14700670293840634,0.07910270425624422,0.11148146466969222,0.09698499365788305
