Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Productions des principales 
cultures agricoles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(En Milliers de QX),79/80,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,2000/01,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25,2025/26,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Céréales ,45056.8,21218.2,49081,35731.2,37498.7,53001.3,78052.1,43125.8,79393.3,74088.9,62662.4,86572.4,29420.5,28100.2,96282.3,17658.100000000002,100932.20000000001,40864,66195,38339.2,19862.999999999996,45930,52758.40000000001,79593.89999999998,85891.29999999999,42698.6,92267.6,24960,53219.4,104519.39999999998,78253.9,86220.00791212436,53011.91283925401,98640.45852084199,69306.70622356725,116902.49466495398,35512.471000000005,97775.09233,104677.1821,53036.50000000001,33120.5,104548.99999999999,35308.107922397234,56132.62380426645,32336.158141622,43500,90000,,,,, 
Blé dur ,13309.6,6104.6,14062,12385.3,11712.8,13415.9,19812.7,11255,17659.1,17665.2,16167.4,22157.4,6818,6312.9,23423.3,4386.8,22697.8,8816.2,15444,7995.3,4273.7,10387.9,10315,17662.2,20247.7,9407.27425,20954.98789887355,5138.3,12399.782108545425,20329.9522,16328.2,18479.57925119949,11348.756557295004,18972.34,14101.783718505802,24069.465697639327,8749.856999999998,21990.76,24319.7925,13436.5,7919.2,24831.5,8137.49,11787.44,6955.6,10000,,,,,, 
Blé tendre,4800.3,2816.6,7771.8,7317.5,8182,10165.9,18278.2,13018.6,22534.3,21604.4,19971.5,27231.8,8803.6,9417.3,31808.8,6520.3,36460.1,14348.7,28340.8,13540.1,9533.3,22775.9,23251.8,33806.2,35150.7,21023.5,42312.58829247435,10688.045000000002,25294.7356740068,43384.253,32433.2,41698.64719633592,27430.913593662997,50367.486,37057.05824607231,56677.12315129542,18561.373,48917.41,49101.128600000004,26816.5,17700,50607,18939.02,29797.27,17461.1,24000,,,,,, 
Orge,22096.7,10390.2,23337.6,12276.5,14046.3,25413.8,35628.6,15433.1,34540.3,29986.2,21376.4,32525.2,10806.9,10268.3,37199.1,6076.9,38311.1,13242.4,19699.8,14739.8,4668.1,11552.4,16689.8,26203.9,27603.4,11021.3,25350.833012157884,7625.495000000001,13532.40708428444,37860.105800000005,25664.5,23176.11446458896,12013.884688295997,27226.2152,16380.86225898912,33969.922916019226,6199.185999999999,24664.62,29194.621,11611.8,6450.3,27803.5,6963.797922397228,13481.15,6592.3,9500,,,,,, 
Maïs ,3327.2,896.6,2468.9,2583.6,2639.6,3210,3068.6,2400.2,3579.9,4028.4,4356.2,3350.4,2156,923.2,2026.1,504.9,2350.9,3744.6,2005.2,1363.8,949.8,535.6,1988.8,1285.8,2241.3,501.2,2973.8,948.6,1209.5,2045.2,2791.5,2212.9869999999996,902.214,1181.3585,973.789,950.3164999999999,1287.627,1223.9873300000002,1183.8,404.9,298.9,486.4,357.8,108.3,732.3,,,,,,, 
Autres,1523,1010.2000000000007,1440.7000000000044,1168.2999999999956,918,795.7000000000044,1264,1018.9000000000087,1079.7000000000116,804.6999999999971,790.9000000000015,1307.6000000000058,836,1178.5,1825,169.20000000000073,1112.3000000000175,712.0999999999985,705.1999999999971,700.1999999999971,438.09999999999854,678.1999999999971,513,635.7999999999884,648.1999999999971,745.28,675.4000000000087,559.619999999999,765,899.888999999981,1036.5,652.68,1316.144,893.0588208419958,793.2130000000001,1235.6664,714.428,978.3149999999999,877.84,766.8,752.1,820.5999999999999,910,958.3799999999931,595,,,,,,, 
Légumineuses,2310.2,666.8,2216.4,2852.3,2455.5,3884.5,4680.3,3137.1,4502.2,3473.4,3368.4,4485.4,1544.6,773.8,2766.9,874,2733.8,2135,2448.1,1292.8,799.4,1616.8,2365,2321.4,2411.3,1487.3,3322,1418.3,1956.1,2757,2823.85,3391.8,2703.2995,2933.3763999999996,3163.8128,2692.92240472973,971.4957,2229.0242,2817.0342176,2244,1495.3,3002.8,1003.3,1243.8,1252,,,,,,, 
Oléagineuses ,402.09999999999997,265.2,470.2,473.4,544.3,530.9,682.2,1382,2185.2,1197.3,1733.5,1074.8,1808.8000000000002,789.4000000000001,909,254.5,1296.1999999999998,1151.7,1067.2,848.8,574.2,776.5,737.2,1117.4,1007.4,651.8,529,839.57,746.8,1034.4,1099.875,889.7,556.7399999999999,581.54,662.422,871.702,675.1144999999999,605.2,705.5415,790,688.8,707.5,584.7,575.2,735,,,,,,, 
Tournesol ,53.7,87,62.8,157.6,190.4,240.5,432.6,1036,1535.1,964.1,1585.9,870,1460.4,445.6,608.3,112.1,1110.1,705.7,616.4,424.5,186,331,333.8,906.3,492.2,181.8,83,322.4,323.1,502.48,593.435,487.2,177.16,189.89,273.682,523.7819999999999,301.5668,237.8,376.0215,294.6,224,246,304.3,326.0369,454.9,,,,,,, 
Arachides,348.4,178.2,407.4,315.8,353.9,290.4,249.6,346,650.1,233.2,147.6,204.8,348.4,343.8,300.7,142.4,186.1,446,450.8,424.3,388.2,445.5,403.4,211.1,515.2,470,446,496.07,410.1,516.86,654.52,397.1,363.47999999999996,387.9,383.76,337.1,364.12,357.3,321.52,396.7,367.3,367.9,277.6,222.24,245,,,,,,, 
Cultures industrielles,25850.3,27475.100000000002,28452.5,33474.399999999994,33120.100000000006,29895.399999999998,34435.8,36321.09999999999,41136.6,38912.6,40315,40850.700000000004,37537.8,41089.6,40724.5,37494.899999999994,36517.4,33601.8,41077.9,46063.5,42022.6,41603.5,39366,43272.9,40621.9,40885.4,35482.9,35482.9,38383,35422.2,30681.919999999995,37990.6,21676.55,26832.21,34950.7855,42794.3697,46454.255099999995,42945.450000000004,43266.2801,42118,44240,31872.5,24699.3,18549.989999999998,15150,,,,,,, 
Betterave,21890.9,21072.5,23153.5,25885.6,25254.4,22445.6,26248.4,27503.1,29901.8,28770.3,29835.9,30361.7,27540.7,31623.2,31438.9,27174,27495.9,26128.4,28226.7,32363.8,28834,28359.3,29868.5,34285.1,31900.1,33015.4,25520,24840.3,29257,27533.7,24359.119999999995,30351.4,16266.7,21422.21,32086.1655,38756.375,42189.225099999996,37414.3,37105.1442,36928.8,36315.5,25739.9,18980.4,14696.889999999998,11485.1,,,,,,, 
Canne à sucre,3751.6,6215.2,5099.5,7349.2,7750.3,7200.7,7922.4,8480.8,10943.2,9847.8,10190.8,10277.2,9937.7,9459.3,9254.4,10313.2,8991.1,7427.4,12831.2,13693.7,13184,13240,9490.8,8986.2,8721.8,7870,9966,9338.5,9126,8130.4,6322.8,7639.1,5409.849999999999,5410,2864.62,4037.9946999999997,4265.03,5531.15,6161.1359,5189.6,7924.9,6132.5,5718.9,3853.1,3664.6,,,,,,, 
Coton  ,207.8,187.4,199.5,239.6,115.4,249.1,265,337.2,291.6,294.5,288.3,211.8,59.4,7.1,31.2,7.7,30.4,46,20,6,4.6,4.1,6.7,1.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Autres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Cultures sucrières,25642.5,27287.7,28253,33234.799999999996,33004.700000000004,29646.3,34170.8,35983.899999999994,40845,38618.1,40026.7,40638.9,37478.4,41082.5,40693.3,37487.2,36487,33555.8,41057.9,46057.5,42018,41599.3,39359.3,43271.3,40621.899999999994,40885.4,35486,34178.8,38383,35664.1,30681.919999999995,37990.5,21676.55,26832.21,34950.7855,42794.3697,46454.255099999995,42945.450000000004,43266.2801,42118.4,44240,31872.5,24699.3,18549.989999999998,15150,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Trois principales céréales,40206.600000000006,19311.4,45171.399999999994,31979.3,33941.1,48995.6,73719.5,39706.7,74733.7,69255.8,57515.3,81914.4,26428.5,25998.5,92431.2,16984,97469,36407.3,63484.600000000006,36275.2,18475.1,44716.200000000004,50256.600000000006,77672.29999999999,83001.79999999999,41452.074250000005,88618.40920350578,23451.840000000004,51226.92486683666,101574.311,74425.9,83354.34091212437,50793.554839254,96566.0412,67539.70422356723,114716.51176495396,33510.416,95572.79,102615.5421,51864.8,32069.5,103242,34040.30792239723,55065.86,31008.999999999996,43500,90000,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
Source : Ministère de l'Agriculture et de la Pêche Maritime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,
