Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superficies cultivées des principales cultures agricoles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(En milliers ha),,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,80/81,81/82,82/83,83/84,84/85,85/86,86/87,87/88,88/89,89/90,90/91,91/92,92/93,93/94,94/95,95/96,96/97,97/98,98/99,99/00,2000/2001,2001/2002,2002/2003,2003/2004,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019,2019/2020,2020/2021,2021/2022,2022/2023,2023/2024,2024/2025,2025/2026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Céréales ,4382.4,4280.5,4703,4477.6,4779.2,5165.7,5055.8,5301.6,5513.1,5593.3,5490.8,5012.5,5020,6073.6,3985.6,5981.1,4905.7,5896.9,5163.8,5435.8,5138.4,4941.7,5554.2,5679.5,5451.79255,5583.87121927374,4845.08,5309.4,5435.400000000001,5056.2,5375.8756923491665,5216.799999999999,5391.300000000001,4763.299999999999,5457.700000000001,3795.4,5559.7660000000005,4659.031,3645.2000000000003,4436.900000000001,4475.499000000002,3776.1869500000003,3783.7259999999997,2706.1708,2620,3900
Blé dur ,1165.6,1106.7,1285.9,1122.5,1115.5,1191.8,1110.2,1104.6,1169.8,1249.6,1244.8,1088.3,1133.7,1335.8,820.2,1248.9,972.1,1126.7,1077.8,1079.1,976.7,881.7,1092.9,1110.5,1059.14075,1068.9761571736938,843.1,928.3,968.6,901.1,957.1999999999999,963.4,944.9,904.8,998.5,837.8,1087.805,996.638,818.7,993.3,987.91,834.381944146524,831.2,581.6891700000001,,
Blé tendre,481.4,579.1,689.8,733.3,777.8,1034.4,1178.2,1211.8,1459.7,1469.6,1396.5,1140,1176.7,1713.9,1147.7,1963.5,1520.8,1959.8,1613.8,1822.5,1723.9,1744.7,1896,1953.2,1906.7,2037.7287519367128,1728.8,1929.8,2009,1951.3,2131.0000000000005,2179.4,2259.3,2081.4,2275.3,1575.8,2296.42,1891.46,1687.3,1852,1876.657,1601.9683112405173,1603,1176.7665,,
Orge,2228.1,2046.5,2150.8,2126,2382.6,2471.8,2314.5,2499.2,2398.9,2414.9,2356.9,2232.9,2150.8,2582.4,1578.5,2430.3,1996,2426,2069.8,2250.9,2126,2002.4,2266.5,2324.1,2179.7518,2188.666310163334,1993.4,2181.3,2182.8,1919.5,2025.8976923491673,1893.1,1967.1,1585.2,2000.2,1207.6,2001.473,1598.68,1050.2,1495.2,1489.257,1137.3276946129588,1239.809,693.74313,,
Maïs ,361.5,400.1,434.8,383.6,401.2,375,368.4,396.4,405.5,375.6,385.1,453.6,447.1,323.6,387.4,253.5,341,309.5,331,237.5,254.2,265.4,246.7,244.9,246.2,243.8,228.3,219.27,223.5,230.1,191.888,118,178.1,137.4,126.6,138.8,130.742,148.178,63.3,71.1,91.658,114.959,83.7,101.33800000000001,,
Autres,145.79999999999927,148.09999999999945,141.69999999999982,112.19999999999982,102.10000000000036,92.69999999999982,84.50000000000091,89.60000000000127,79.20000000000073,83.59999999999945,107.49999999999909,97.69999999999891,111.69999999999891,117.89999999999964,51.79999999999973,84.89999999999964,75.80000000000018,74.89999999999964,71.40000000000055,45.80000000000018,57.599999999999454,47.5,52.100000000000364,46.80000000000109,60,44.69999999999982,51.47999999999956,50.72999999999956,51.50000000000091,54.19999999999982,69.88999999999942,62.899999999999636,41.900000000000546,54.5,57.100000000000364,35.40000000000009,43.32600000000002,24.074999999999818,25.700000000000273,25.300000000000182,30.017000000000735,87.55000000000018,26.016999999999825,152.63399999999956,,
Légumineuses,303.9,294.8,411.4,443.5,512,501.4,529.6,482.8,489.4,502.4,445.1,450.2,322.3,346.8,316.1,312.3,362.4,382,334.1,320.5,314.2,382,359.3,365,350.92268,373.1,371.1,372.9,376.09999999999997,398.2,429.0903,397.6,400.4,377.20000000000005,418,283.1,305.5,330.3,310.3,271.9,261.1825,223.574,200.68499999999997,171.12199999999999,,
Oléagineuses ,46.7,49.5,42.900000000000006,54.3,58.7,69.1,109.1,141.8,136.20000000000002,185,155.39999999999998,219.3,251.10000000000002,97.7,71.8,108.9,135.3,129.1,104.19999999999999,58.1,78.1,70.19999999999999,125,84.2,71.5,49.4,58.3,47.9,67.2,86.10000000000001,55.553,28.599999999999998,33.9,37.7,51.599999999999994,54.5,36.5,35.300000000000004,48.5,42.3,37.139500000000005,37.403,37.7056,36.178999999999995,,
Tournesol ,14.9,12.8,19.6,29.3,34.7,48.5,88.5,108.2,112.4,160.8,137.7,196.3,229.8,67.7,63.2,95.7,99.4,101.5,78.8,39.9,56.4,49.8,103.5,62.6,52,29,36.1,25.5,43,62,36.522999999999996,11.7,17,20.9,36.9,37.9,18.918,21.7,22.2,18.5,16.286,26.551,24.805,23.520000000000003,,
Arachides,31.8,36.7,23.3,25,24,20.6,20.6,33.6,23.8,24.2,17.7,23,21.3,30,8.6,13.2,35.9,27.6,25.4,18.2,21.7,20.4,21.5,21.6,19.5,20,19.7,20.8,22.7,22.9,17.84,15.5,16.3,16.1,13.9,15.4,14.06,12.9,15.3,14,13.438,10.452,8.25,8.825,,
Cultures industrielles,75.5,81.5,97.9,85.8,96.9,91.2,112.8,126.3,125.5,131.4,144.3,144.3,145.7,151,157,153.8,163,169.7,165.5,154.1,185.4,232.7,229,218,190.4,170.64,167.58,172.2,138.10000000000002,137,194.2,150.39999999999998,151.2,60.865,69.4,70.2,68.4,62.7,68.5,69.4,54.7,59.829,58.0965,63.205,,
Betterave,56.9,57,66.3,53.1,56.3,55.2,60.7,61.3,63.1,64.3,69.2,52.1,62.4,62.9,58.1,56.7,62.9,49.8,64.2,54.1,52.9,59.5,64.9,60.5,69.5,49.292,50.55,57.53,57.1,51.1,51.7,31.1,37.2,53,60.9,59.8,57.79,54,56.2,57.6,45.2,38.794,31.322000000000003,22,,
Canne à sucre,7.2,7.6,9.4,11.3,12.8,12.4,13,15,15.2,15,14.8,15.1,15.3,15,14.9,14.3,11.1,22.7,21.9,17.4,17.9,13.8,12.6,17.7,13.3,14.34,19.23,16.9,14.8,14.9,15,15.7,15.5,7.9,8.5,10.4,10.6,8.7,0,11.8,9.5,9.31724,6.753,6.5,,
Coton  ,11.4,10.5,10.6,9.6,12.6,14.1,15.5,17.7,14.9,17.8,12.1,4.4,0.6,1.8,0.6,1.6,2.3,1.2,0.3,0.2,0.2,0.4,0.2,,,,,,,,,,,,,,,,,,,,,,,
