,Libellé Série ,Code Série ,1995M01,1995M02,1995M03,1995M04,1995M05,1995M06,1995M07,1995M08,1995M09,1995M10,1995M11,1995M12,1996M01,1996M02,1996M03,1996M04,1996M05,1996M06,1996M07,1996M08,1996M09,1996M10,1996M11,1996M12,1997M01,1997M02,1997M03,1997M04,1997M05,1997M06,1997M07,1997M08,1997M09,1997M10,1997M11,1997M12,1998M01,1998M02,1998M03,1998M04,1998M05,1998M06,1998M07,1998M08,1998M09,1998M10,1998M11,1998M12,1999M01,1999M02,1999M03,1999M04,1999M05,1999M06,1999M07,1999M08,1999M09,1999M10,1999M11,1999M12,2000M01,2000M02,2000M03,2000M04,2000M05,2000M06,2000M07,2000M08,2000M09,2000M10,2000M11,2000M12,2001M01,2001M02,2001M03,2001M04,2001M05,2001M06,2001M07,2001M08,2001M09,2001M10,2001M11,2001M12,2002M01,2002M02,2002M03,2002M04,2002M05,2002M06,2002M07,2002M08,2002M09,2002M10,2002M11,2002M12,2003M01,2003M02,2003M03,2003M04,2003M05,2003M06,2003M07,2003M08,2003M09,2003M10,2003M11,2003M12,2004M01,2004M02,2004M03,2004M04,2004M05,2004M06,2004M07,2004M08,2004M09,2004M10,2004M11,2004M12,2005M01,2005M02,2005M03,2005M04,2005M05,2005M06,2005M07,2005M08,2005M09,2005M10,2005M11,2005M12,2006M01,2006M02,2006M03,2006M04,2006M05,2006M06,2006M07,2006M08,2006M09,2006M10,2006M11,2006M12,2007M01,2007M02,2007M03,2007M04,2007M05,2007M06,2007M07,2007M08,2007M09,2007M10,2007M11,2007M12,2008M01,2008M02,2008M03,2008M04,2008M05,2008M06,2008M07,2008M08,2008M09,2008M10,2008M11,2008M12,2009M01,2009M02,2009M03,2009M04,2009M05,2009M06,2009M07,2009M08,2009M09,2009M10,2009M11,2009M12,2010M01,2010M02,2010M03,2010M04,2010M05,2010M06,2010M07,2010M08,2010M09,2010M10,2010M11,2010M12,2011M01,2011M02,2011M03,2011M04,2011M05,2011M06,2011M07,2011M08,2011M09,2011M10,2011M11,2011M12,2012M01,2012M02,2012M03,2012M04,2012M05,2012M06,2012M07,2012M08,2012M09,2012M10,2012M11,2012M12,2013M01,2013M02
v,"Vente ciment, Cumul, Maroc, M",26438,544,963,1439.4,1980.8000000000002,2382.2000000000003,2921.1000000000004,3492.6000000000004,4049.1000000000004,4654.953,5275.0380000000005,5831.316000000001,6362.652000000001,396.506,782.5219999999999,1300.163,1852.6570000000002,2349.206,2857.527,3428.596,4063.013,4710.892,5448.161,6070.393,6526.657999999999,461.534,915.91,1560.8750000000002,2028.4770000000003,2684.368,3325.932,3956.0599999999995,4605.804999999999,5282.794000000001,6019.616,6583.328,7183.328,446.371,940.0840000000001,1586.409,2034.46,2645.67,3283.3230000000003,3895.84,4534.426,5199.668,5929.185,6573.377,7152.801,387.528,946.592,1445.187,2052.312,2706.054,3282.407,3935.3300000000004,4625.591,5323.757,5990.165999999999,6638.227,7234.334999999999,501.63700000000006,1166.863,1647.163,2234.455,2934.5960000000005,3561.449,4245.5070000000005,5620.614,5620.59,6320.801,6986.441,7480.114,623.892,1247.834,1753.87,2458.089,3178.201,3835.611,4544.025,5284.894,5978.216,6776.254,7449.354,8057.665,659.375,1134.288,1773.348,2511.681,3256.473,3980.485,4786.299,5612.051,6389.955,7234.387,7857.107,8486.072,761.873,1212.972,1999.117,2860.557,3658.493,4446.7,5334.957,6170.221,7050.4,7932.8,8497.46,9277.4,790.4000000000001,1323.7,2210.767,3120.15,3894.998,4757.7,5620,6443.2,7340.7,8201.8,8874.8,9796.4,547.2,1257.5,2183.4,3062,3987.5,4917.5,5838.8,6789.7,7736.9,8593.6,9335.9,10288.699999999999,491.49099999999993,1322.2999999999997,2369.068,3330.4410000000003,4410.60535,5440.69335,6468.542000000001,7517.149000000001,8535.626349999999,9340.37235,10406.74135,11357.361350000003,812.2119999999999,1817.218,3006.423,4004.433,5288.739,6447.5869999999995,7580.829999999999,8749.283,9832.08,10782.139,11967.839,12787.072,1110.155,2296.616,3522.0890000000004,4849.501,6208.022999999999,7461.602,8767.734,9975.708,11008.47,12067.79,13280.103,14047.538999999999,1115.141,2212.92469,3436.88,4768.88,6159.539060000001,7528.756417999999,8849.836,10081.641,10989.916,12487,13596.057,14520,1078.492,2082.247,3364.8500699999995,4847.36607,6245.377,7613.072,8940,10061.374,11053.331,12499.155999999999,13357,14571.119999999999,1262.584,2321.584,3750.1553,5213.6042800000005,6675.54553,8158.8,9600,10660,12015.683601,13680.040810999997,14592.675323000001,16129.623249,1578.07048,2923.346,4565.726009999999,5979.4021999999995,7493.536960000001,8898.36114,10136.520816000004,10951.364275999998,12308.12612,13548.48928,14783.193,15871.055,1177.8721400000002,2385.11696
v,"Vente ciment, Oued Ed-Dahab-Lagouira, Cumul, Maroc, M",26376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.012,3.125,10.812,,,,19.837,22.628,22.908,23.352,23.901,24.622,25.087,0.295,0.447,0.63,0.738,0.841,0.869,0.869,0.869,0.869,0.869,0.869,0.869,,,,,,,,0.9554211761615921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.616,2.1,4.268,6.296,8.741,11.271,14.166,16.369,18.749,20.571,23.219,25.112,1.827,4.258,6.949,9.41,12.443,15.027,18.348,21.495,24.324,27.965,31.161,33.282,3.154,6.284,10.588000000000001,15.402000000000001,19.745,23.059,28.37,33.051,37.192,41.696,46.727,50.586,,8.809,,,,,,,,,,,,11.3,18.681,26.687,34.761,41.252,47.328,52.397,57.532,64.088,67.121,72.486,6.111,12.61782,19.32364,25.246560000000002,31.41226,37.02694,41.5196,46.09124,50.259660000000004,55.124900000000004,57.11016,61.567980000000006,4.7831,9.332,14.315479999999999,18.38882,22.24082,26.30982,30.17982,32.996,36.3649,38.593900000000005,58.262,44.256,3.46332,6.576
v,"Vente ciment, Laayoune-Boujdour-S.Elhamra, Cumul, Maroc, M",26378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.893,,,,,,99.647,8.81,6.292,,,,37.943,40.978,50.817,59.918,70.253,79.057,88.386,9.022,15.115,24.037,36.464,48.768,59.561,72.428,83.465,94.419,107.476,119.233,133.685,12.703,18.415,29.65,42.851,56.075,69.387,82.521,91.76551032028458,103.18,113.854,121.585,131.886,8.506,14.014,24.407,34.809,44.414,55.8,86.93002269183751,77.2,87.9,98.4,107,118.4,5.6,13.1,24.2,34,44.9,56.1,67.008,78.223,88.014,96.786,106.092,117.808,4.705,13.8,25.057,34.364,44.935,55.005,64.873,73.90100000000001,83.113,91.167,101.229,108.922,5.835,14.76,31.827,51.037,70.774,87.271,102.851,118.264,132.473,145.708,158.995,170.886,14.179,29.997,45.04,59.929,76.227,93.225,106.43,120.25200000000001,133.872,150.52700000000002,170.59300000000002,186.35,,28.857,,,,,,,,,,,,27.812,44.6434,57.836400000000005,74.624,90.344,104.872,120.332,134.222,152.472,160.8,178.221,20.72,36.1791,57.62302,79.1418,102.75014,125.84052,142.28358,157.67195999999998,175.98870000000002,197.59666,206.98616,227.1263,23.52094,45.065,72.0148,98.10269999999998,127.08877999999999,158.50269999999998,184.85252,205.01646,232.0984,258.61024,197.488,308.761,28.69232,57.473
v,"Vente ciment, Guelmim-Es-Smara, Cumul, Maroc, M",26380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.03,,,,,,196.632,26.843,37.064,,,,118.212,130.351,151.538,170.736,194.573,214.249,234.48,15.665,28.353,45.465,67.033,88.603,107.401,128.871,150.278,170.643,193.565,212.171,229.091,23.649,36.148,60.428,85.973,108.442,127.67,153.914,165.22299598528392,199.181,224.255,240.952,265.931,24.529,38.832,65.951,91.986,116.4,142.1,162.13748636821506,191.4,214.4,238.4,257.5,283.6,16.1,31.3,54.9,103.8,101,172.4,148.942,170.491,191.365,210.503,229.072,251.659,10.157,28.7,49.468,70.367,93.017,116.683,138.622,160.627,182.491,199.629,223.921,248.312,19.435,44.503,64.735,80.567,100.633,117.369,132.779,157.512,174.034,200.222,214.912,226.478,16.604,31.72,47.682,64.81,82.623,99.64,115.018,131.195,145.269,161.63,175.212,187.322,,32.563,,,,,,,,,,,,30.947,48.626,72.533,94.437,115.224,134.81,148.876,164.475,189.944,210.313,234.305,25.638,41.33326,62.57638,87.23178,117.82442,153.05668,177.34786,191.01632,211.13472,241.00628,259.53928,282.26313999999996,41.5388,71.387,103.23074000000001,126.83616,152.3647,174.57998,190.50158000000002,201.38714000000002,218.77456,234.81189999999998,259.224,273.382,18.09056,30.376
v,"Vente ciment, Souss-Massa-Draa, Cumul, Maroc, M",26381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,384.817,,,,,,783.309,50.46,134.96,,,,395.131,491.7,570.95,642.654,718.038,790.659,858.313,65.82,113.157,178.52,257.232,333.251,405.125,485.745,567.59,641.644,723.666,785.798,843.119,86.012,135.172,217.826,309.48,389.168,468.833,560.268,624.0362547497791,729.41,816.267,872.842,954.068,82.946,136.856,232.158,326.56,402.561,486.4,590.2026145285494,645.7,725,802.6,862.8,952.1,57.2,129.7,234.8,306.5,433.2,485.5,628.299,725.775,819.74,908.685,987.806,1093.896,49.684,149.8,271.971,376.916,492.12,603.245,710.578,822.371,923.666,999.292,1117.292,1213.039,75.94,175.912,290.404,392.374,517.272,631.586,792.702,944.325,1043.024,1128.505,1236.879,1317.141,103.97,212.893,319.477,443.503,569.077,683.735,813.779,927.62,1023.087,1128.077,1234.009,1313.473,,228.50112,,,,,,,,,,,,223.187,351.224,504.765,645.3,779,901.529,997.729,1084.614,1216.26,1297.532,1413.728,127.97,224.07232000000002,365.3626,520.0293800000001,676.0510400000001,835.5997199999999,969.3903,1063.20874,1178.3947,1333.97166,1419.9772,1558.83518,139.3605,260.901,417.5375,552.87334,690.9695,813.28676,911.8101800000001,976.80214,1095.2417599999999,1196.5841399999997,1438.964,1399.88,98.02667,198.66
v,"Vente ciment, Gharb-Cherarda-B.Hssen, Cumul, Maroc, M",26396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.701,,,,,,305.422,24.248,48.139,,,,157.301,184.586,223.607,257.628,296.546,327.582,356.935,24.299,40.889,66.753,96.524,130.351,163.212,202.005,242.751,285.36,325.951,354.364,384.891,29.239,50.193,80.376,116.32,153.029,190.067,232.044,266.8923428474139,312.565,354.179,380.97,413.47,30.841,52.157,85.934,123.434,155.814,193.6,244.44190188563812,272.9,318.5,361.1,396.8,437.6,23.8,53.5,88,120.6,152.8,188.2,225.406,266.543,307.965,344.457,374.805,414.411,20.418,48.5,85.8,123.319,167.466,207.193,250.831,293.58299999999997,335.76,369.012,406.183,441.032,30.706,65.056,107.77,145.691,193.556,234.335,274.379,322.721,365.631,407.751,454.857,489.748,42.913,82.699,126.20400000000001,172.193,219,257.619,299.629,346.548,387.973,430.967,477.012,508.09,,80.16734,,,,,,,,,,,,87.619,138.489,199.436,269.878,339.523,405.759,466.087,523.698,593.516,639.425,699.841,55.487,100.828,160.63768,227.93278,298.95804,369.10774,439.70228000000003,494.6753,563.77582,642.84925,694.60277,764.0194500000001,71.34755,130.595,201.65312,266.84292,335.80091999999996,404.8484,468.08089,515.38329,584.05637,649.0750899999999,696.622,769.057,57.36156,114.819
v,"Vente ciment, Chaouia-Ourdigha, Cumul, Maroc, M",26398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.824,,,,,,278.322,23.701,50.185,,,,154.716,182.183,213.443,241.357,271.518,295.729,319.553,26.151,47.479,74.548,102.048,130.115,158.105,192.478,232.769,271.322,314.694,343.723,372.545,38.314,63.342,102.14,141.071,174.925,209.116,246.893,255.91764298499152,325.536,364.21,389.842,421.415,34.436,62.348,106.21,147.748,182.239,219.4,260.0842705790749,299.3,345.3,387.5,423.8,469.1,31.8,66,108.9,147.2,184.9,225.3,263.853,304.337,348.46238,387.48638,421.84738,458.72038,22.144,56,99.275,137.509,176.0254,217.15439999999998,258.746,304.705,347.16240000000005,382.55240000000003,429.0804,467.4134,37.554,77.372,130.098,170.692,221.574,271.487,327.093,391.955,446.338,495.746,556.743,602.587,66.478,138.552,208.523,279.394,345.511,416.36800000000005,490.1120000000001,558.951,615.5260000000001,670.9830000000001,735.7120000000001,773.5580000000001,,110.72846000000001,,,,,,,,,,,,95.562,158.911,231.611,290.529,349.257,410.261,463.726,514.568,581.194,623.163,681.421,61.651,117.62971,178.48257,246.43381,305.78416,367.07446000000004,440.5286,489.61705,552.62547,624.46941,667.1557700000001,743.2735699999998,90.14599000000001,165.644,253.76953,324.99541000000005,396.35777,466.97997000000004,532.73803,575.46092,641.7875300000001,707.85587,668.219,836.544,64.70644000000001,131.173
v,"Vente ciment, Marrakech-Tensift-Haouz, Cumul, Maroc, M",26406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.287,,,,,,618.818,68.33,108.07,,,,329.176,370.812,430.079,482.409,541.901,595.632,643.51,53.387,93.397,149.607,209.096,269.594,325.902,389.442,456.656,514.85,578.877,632.445,683.507,66.903,110.432,180.207,255.897,323.098,389.745,465.947,502.06998000143614,617.202,692.808,745.16,813.544,74.566,126.571,211.93,297.92,371.488,450.9,490.84212846661586,618.2,703.5,785.6,854.1,947,65.7,148.6,254,347.6,455.7,554.3,660.631,771.632,877.024,974.769,1058.066,1165.39,58.062,160,286.834,394.656,513.724,629.607,737.372,852.7869999999999,965.022,1057.619,1155.169,1270.481,100.535,223.133,364.131,488.949,625.162,758.679,865.122,974.43,1090.289,1198.011,1331.814,1419.888,107.948,253.873,389.895,551.248,707.935,853.537,1001.7370000000001,1147.016,1269.8590000000002,1405.489,1550.415,1662.163,,263.124,,,,,,,,,,,,269.08,437.5382,589.4372,736.528,870.004,999.521,1105.567,1204.341,1340.952,1433.573,1558.465,129.546,244.61212,390.3696,537.4958,677.2701999999999,819.54016,962.74672,1069.289321,1204.859641,1361.284701,1455.4859510000001,1595.811251,157.63471999999996,296.576,472.1779199999999,629.0245399999999,793.073,947.12148,1079.4432199999999,1166.30117,1310.81314,1446.3767899999998,1449.922,1701.529,142.07309,280.777
v,"Vente ciment, Oriental, Cumul, Maroc, M",26408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,310.401,,,,,,665.842,59.312,110.921,,,,361.442,418.645,468.629,529.062,601.844,661.715,720.76,71.542,115.399,179.389,256.378,329.691,398.648,471.772,539.87,610.785,690.54,748.205,808.679,68.65,106.055,178.663,261.427,340.195,406.501,476.084,593.5595286241182,613.421,694.163,736.9,816.143,74.635,129.959,213.136,307.003,389.062,466.5,501.52073924480754,607.4,684.3,764.3,822.6,909,40.6,105.4,184.9,274,361.7,442.3,515.943,589.307,672.11776,744.26776,809.66176,897.15376,46.336,123.9,223.065,317.302,417.15472,509.33772,594.728,673.6089999999999,759.94772,821.13272,920.98172,997.47372,70.821,162.053,260.898,344.229,460.48,560.278,660.71,753.726,842.126,909.874,1010.545,1076.573,97.004,200.484,309.12,422.592,538.923,633.064,724.705,807.8589999999999,871.525,948.0109999999999,1048.061,1107.298,,207.88892,,,,,,,,,,,,204.997,324.179,448.466,568.036,680.2,779.79,856.178,933.061,1046.125,1113.272,1213.213,110.41,209.22882,335.08224,467.72818,603.52162,734.74344,849.50337,910.78027,1019.84061,1158.73029,1232.32507,1367.28171,133.87772,262.411,410.59218000000004,546.2156600000001,688.48008,808.08928,903.10706,955.2354600000001,1075.9579199999998,1183.75642,1237.304,1404.94,122.61104,235.039
v,"Vente ciment, Grand Casablanca, Cumul, Maroc, M",26418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,580.126,,,,,,1231.826,106.382,213.913,,,,619.994,751.089,879.598,995.521,1129.216,1239.711,1331.841,118.453,193.072,299.932,429.375,546.545,670.238,808.894,950.988,1073.045,1207.26,1308.356,1407.017,130.778,193.983,321.704,460.935,576.783,708.793,857.83,1045.5628003171003,1137.079,1284.318,1379.49,1513.557,127.194,200.661,340.525,476.823,590.743,729.9,903.6630841329961,1000.9,1138.2,1270.7,1367.8,1518.7,76.5,189.1,342.4,470,617,771.9,929.113,1083.4740000000002,1230.407,1359.588,1472.296,1617.42,65.043,192.9,352.019,484.255,639.3270699999999,788.5250699999999,946.676,1107.1570000000002,1254.33607,1364.83607,1512.09407,1641.69407,107.721,250.663,430.903,574.677,761.79,939.67,1119.347,1312.522,1478.917,1616.7,1805.04,1916.57,169.37,354.952,541.2860000000001,746.874,952.5360000000001,1160.245,1369.135,1557.51,1709.7580000000003,1859.5240000000003,2045.655,2138.1190000000006,,339.98777,,,,,,,,,,,,315.974,504.005,729.026,925.687,1131.962,1345.089,1531.267,1665.312,1887.016,1992.15,2179.015,202.951,358.1064,573.95392,780.7979200000001,982.89841,1200.56404,1431.1808700000001,1622.74737,1830.96545,2108.28638,2223.9093199999998,2467.56944,234.38647,401.798,627.7835600000001,824.0930400000001,1031.8601800000001,1229.87132,1415.70998,1522.9359299999999,1707.48819,1867.9691599999999,2284.999,2161.001,146.13576,304.771
