Ventes de ciment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En 1000 tonnes,1995,,,,,,,,,,,,1996,,,,,,,,,,,,1997,,,,,,,,,,,,1998,,,,,,,,,,,,1999,,,,,,,,,,,,2000,,,,,,,,,,,,2001,,,,,,,,,,,,2002,,,,,,,,,,,,2003,,,,,,,,,,,,2004,,,,,,,,,,,,2005,,,,,,,,,,,,2006,,,,,,,,,,,,2007,,,,,,,,,,,,2008,,,,,,,,,,,,,2009,,,,,,,,,,,2010,,,,,,,,,,,,2011,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,,,,,,2017,,,,,,,,,,,,2018,,,,,,,,,,,,2019,,,,,,,,,,,,2020,,,,,,,,,,,,2021,,,,,,,,,,,,2022,,,,,,,,,,,,2023,,,,,,,,,,,,2024,,,,,,,,,,,,2025,,,,,,,,,,,,2026,,,,
,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00,2007-12-01 00:00:00,2008-01-01 00:00:00,2008-02-01 00:00:00,2008-03-01 00:00:00,2008-04-01 00:00:00,2008-05-01 00:00:00,2008-06-01 00:00:00,2008-07-01 00:00:00,2008-08-01 00:00:00,2008-09-01 00:00:00,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00,2009-01-01 00:00:00,2009-02-01 00:00:00,2009-03-01 00:00:00,2009-04-01 00:00:00,2009-05-01 00:00:00,2009-06-01 00:00:00,2009-07-01 00:00:00,2009-08-01 00:00:00,2009-09-01 00:00:00,2009-10-01 00:00:00,2009-11-01 00:00:00,2009-12-01 00:00:00,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Janvier,Février,Mars,Avril,Mai
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFARGE CIMENTS,,,,,,,,,,,,,,,,,,,,,,,,160.121,178.779,184.005,268.061,194.843,291.667,275.464,257.607,273.369,283.2249999999999,317.487,230.268,,183.215,195.764,267.955,188.538,257.863,276.677,249.878,273.53,281.095,314.379,263.989,225.555,155.319,221.557,191.562,245.356,273.812,243.49099999999999,275.907,309.496,299.667,275.828,265.941,244.686,206.437,274.315,206.634,241.973,279.257,259.609,297.434,299.491,289.49,288.449,257.36,189.103,259.784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIOR,,,,,,,,,,,,,,,,,,,,,,,,105.037,111.849,96.903,139.646,101.939,141.73,133.377,135.579,136.471,144.23700000000008,160.022,126.489,,89.132,112.747,141.926,93.769,130.04,130.62,131.709,135.297,148.486,164.188,148.237,131.804,87.101,128.399,118.1,143.039,146.849,112.0039999999999,135.735,130.707,144.706,153.874,145.761,122.157,105.005,139.757,94.824,129.966,166.071,140.927,141.643,150.701,153.824,156.508,164.683,106.443,133.882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIMAR,,,,,,,,,,,,,,,,,,,,,,,,91.513,81.406,77.365,108.704,75.338,108.314,113.333,115.289,113.997,121.93000000000029,125.002,99.77,,81.086,84.438,109.463,74.698,107.609,113.113,110.185,104.138,107.531,114.397,107.322,107.682,64.007,101.768,90.49,101.016,108.358,106.21600000000001,110.929,110.037,119.431,110.621,112.246,109.611,85.889,189.436,136.486,167.955,199.453,175.668,185.991,184.39,179.799,191.545,187.554,145.362,182.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMAR,,,,,,,,,,,,,,,,,,,,,,,,58.003,53.087,51.75,72.188,53.491,67.222,66.001,66.964,71.175,72.50099999999998,75.46,63.118,,51.159,51.732,68.512,53.512,63.632,64.474,66.036,72.111,73.094,77.079,67.727,60.152,45.725,60.488,58.485,70.6,67.936,57.747000000000014,70.991,75.572,72.04,66.735,67.11,66.918,56.715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASMENT,,,,,,,,,,,,,,,,,,,,,,,,41.682,36.413,44.353,56.366,41.991,46.958,53.389,54.689,54.733,55.096000000000004,58.851,44.695,,41.779,49.032,58.469,37.534,52.066,52.769,54.436,53.51,55.134,59.375,56.917,54.231,35.376,46.852,39.958,47.114,56.787,56.89499999999998,59.511,64.449,62.091,59.557,57.003,52.735,47.591,61.746,42.357,47.398,55.315,50.651,58.989,56.964,60.008,63.804,56.052,52.207,47.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL,544,419,476.4,541.4,401.4,538.9,571.5,556.5,605.853,620.085,556.278,531.336,396.506,386.016,517.641,552.494,496.549,508.321,571.069,634.417,647.879,737.269,622.232,456.35600000000005,461.534,454.37600000000003,644.9649999999999,467.602,655.8909999999998,641.564,630.128,649.7449999999999,676.9890000000003,736.822,564.34,600,446.371,493.713,646.325,448.051,611.21,637.6530000000001,612.244,638.586,665.3400000000001,729.418,644.192,579.4240000000001,387.528,559.064,498.595,607.125,653.7420000000001,576.3529999999998,653.073,690.261,697.935,666.615,648.061,596.1070000000001,501.63700000000006,665.254,480.30099999999993,587.292,700.096,626.8549999999999,684.057,691.546,683.1210000000001,700.188,665.649,493.207,623.892,623.942,505.984,704.219,720.064,657.41,708.414,740.869,693.322,798.038,673.1,608.311,659.375,474.887,639.112,738.333,744.792,724.012,805.814,825.752,777.904,844.432,622.72,628.965,761.873,451.099,786.145,861.44,797.936,788.2,888.216,835.263,880.2,882.5,564.607,780,790.4000000000001,533.3,887.093,909.418,774.848,862.7,862.3,823.2,897.6,861,673.1,921.6,547.2,710.3,925.9,878.6,925.5,930,921.3,950.9,947.2,856.7,742.3,952.8,491.49099999999993,830.8089999999997,1046.7680000000005,961.373,1080.1643499999996,1030.0879999999997,1027.8486500000017,1048.607,1018.4773499999974,804.746000000001,1066.3690000000006,950.6200000000026,812.2119999999999,1005.0060000000002,1189.2049999999997,998.0100000000002,1284.3059999999996,1158.848,1133.2429999999995,1168.4530000000004,1082.7970000000005,950.0589999999993,1185.7000000000007,819.2330000000002,1110.155,1186.461,1225.4730000000004,1327.4119999999998,1358.521999999999,1253.5790000000006,1306.1320000000005,1207.9740000000002,1032.7619999999988,1059.3200000000015,1211.83,767.436,1115.141,1097.784,1223.955,1332,1390.49296,1369.3834179999994,1320.036,1231.805,908.274,1496.836,1109.305,923.9429999999993,1078.492,1003.75525,1282.60307,1482.516,1397.787,1367.6949999999997,1330,1121.3739999999998,991.9570000000003,1445.824999999999,857,1214.12,1262.584,1059,1428.5713,1463.4489800000006,1461.9412499999999,1483.2544699999999,1441.1999999999998,1060,1355.6836010000006,1664.3572099999965,912.6345120000042,1536.947925999999,1578.07048,1345.275,1642.38012,1413.67619,1514.1338799999999,1404.82506,1238.1596760000002,814.8434599999999,1356.76196,1240.3631599999999,976.136,1346.43,1177.87214,1207.2448200000001,1232.11453,1376.329,1414.60935,1369.188,1170.602,889.973,1464.061,1009.225,1266.096,1286.74,1026.694,1142.053,1333.492,1338.475,1351.745,1242.725,788.102,1125.419,1306.20988,1024.178,1086.661,1294.194,1084.332,1136.917,1301.601,1383.361,1266.114,1164.837,822.715,1319.264,1029.736,1213.898,1255.794,1272.914,1215.815,1181.746,1334.050249,1345.8917509999997,1343.9480000000003,1039.5429999999997,846.4939999999997,1368.884,832.9300000000003,1316.2260000000006,1211.2970000000005,1114.27,1166.184,1064.306508,1324.220581,1252.831,1242.293,721.8464620000004,1204.1010250000002,1227.932,867.925,1320.03,1274.165,1125.388,1114.857,1069.926,1124.152,1233.139,1218.857,815.842,1298.479,881.411,1042.686,1207.487,1062.727,1215.765,1174.087,1117.5147,1283.01,1244.137,1063.369,852.956,1415.075,729.90088,1154.10094,1354.7746,1038.25034,1189.13698,1182.198,1173.35,921.70388,552.472,523.848,1130.864,1073.68,864.441,1241.374,1245.064,1102.003,1174.183,1037.006,1079.983,1277.221,1169.122,882.785,1363.579,898.429,1132.9,1395.542,1254.798,1227.983,1255.552,1128.552,1111.35,1188.217,902.513,945.706,1229.937,630.479,1071.99,1174.683,1048.975,1112.013,942.317,1060.582,991.906,1195.305,716.483,1189.112,1052.975,780.954,1153.378,1045.795,1087.867,1114.178,1122.29,1130.187,1076.538,1028.48,867.743,1426.939,746.158,1189.104,1265.105,1088.146,1302.665,1278.746,1292.804,1285.613,1199.867,896.535,1145.241,1526.673,836.365,1398.058,1347.858,1223.924,1516.302,1341.189,1098.99,1044.293,1048.338,919.176,1509.932,1211.635
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source : Association Professionnelle des Cimentiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
