,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Evolution de la consommation régionale du ciment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(cumul),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
En  1000 tonnes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,,,,,,,,,,,,2013,,,,,,,,,,,,2014,,,,,,,,,,,,2015,,,,,,,,,,,,2016,,,,,,,
,2000-06-01 00:00:00,2000-07-01 00:00:00,2000-08-01 00:00:00,2000-09-01 00:00:00,2000-10-01 00:00:00,2000-11-01 00:00:00,2000-12-01 00:00:00,2001-01-01 00:00:00,2001-02-01 00:00:00,2001-03-01 00:00:00,2001-04-01 00:00:00,2001-05-01 00:00:00,2001-06-01 00:00:00,2001-07-01 00:00:00,2001-08-01 00:00:00,2001-09-01 00:00:00,2001-10-01 00:00:00,2001-11-01 00:00:00,2001-12-01 00:00:00,2002-01-01 00:00:00,2002-02-01 00:00:00,2002-03-01 00:00:00,2002-04-01 00:00:00,2002-05-01 00:00:00,2002-06-01 00:00:00,2002-07-01 00:00:00,2002-08-01 00:00:00,2002-09-01 00:00:00,2002-10-01 00:00:00,2002-11-01 00:00:00,2002-12-01 00:00:00,2003-01-01 00:00:00,2003-02-01 00:00:00,2003-03-01 00:00:00,2003-04-01 00:00:00,2003-05-01 00:00:00,2003-06-01 00:00:00,2003-07-01 00:00:00,2003-08-01 00:00:00,2003-09-01 00:00:00,2003-10-01 00:00:00,2003-11-01 00:00:00,2003-12-01 00:00:00,2004-01-01 00:00:00,2004-02-01 00:00:00,2004-03-01 00:00:00,2004-04-01 00:00:00,2004-05-01 00:00:00,2004-06-01 00:00:00,2004-07-01 00:00:00,2004-08-01 00:00:00,2004-09-01 00:00:00,2004-10-01 00:00:00,2004-11-01 00:00:00,2004-12-01 00:00:00,2005-01-01 00:00:00,2005-02-01 00:00:00,2005-03-01 00:00:00,2005-04-01 00:00:00,2005-05-01 00:00:00,2005-06-01 00:00:00,2005-07-01 00:00:00,2005-08-01 00:00:00,2005-09-01 00:00:00,2005-10-01 00:00:00,2005-11-01 00:00:00,2005-12-01 00:00:00,2006-01-01 00:00:00,2006-02-01 00:00:00,2006-03-01 00:00:00,2006-04-01 00:00:00,2006-05-01 00:00:00,2006-06-01 00:00:00,2006-07-01 00:00:00,2006-08-01 00:00:00,2006-09-01 00:00:00,2006-10-01 00:00:00,2006-11-01 00:00:00,2006-12-01 00:00:00,2007-01-01 00:00:00,2007-02-01 00:00:00,2007-03-01 00:00:00,2007-04-01 00:00:00,2007-05-01 00:00:00,2007-06-01 00:00:00,2007-07-01 00:00:00,2007-08-01 00:00:00,2007-09-01 00:00:00,2007-10-01 00:00:00,2007-11-01 00:00:00,2007-12-01 00:00:00,2008-01-01 00:00:00,2008-02-01 00:00:00,2008-03-01 00:00:00,2008-04-01 00:00:00,2008-05-01 00:00:00,2008-06-01 00:00:00,2008-07-01 00:00:00,2008-08-01 00:00:00,2008-09-01 00:00:00,2008-10-01 00:00:00,2008-11-01 00:00:00,2008-12-01 00:00:00,2009-01-01 00:00:00,2009-02-01 00:00:00,2009-03-01,2009-04-01,2009-05-01 00:00:00,2009-06-01,2009-07-01 00:00:00,2009-08-01 00:00:00,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01 00:00:00,2010-02-01 00:00:00,2010-03-01 00:00:00,2010-04-01 00:00:00,2010-05-01 00:00:00,2010-06-01 00:00:00,2010-07-01 00:00:00,2010-08-01 00:00:00,2010-09-01 00:00:00,2010-10-01 00:00:00,2010-11-01 00:00:00,2010-12-01 00:00:00,2011-01-01 00:00:00,2011-02-01 00:00:00,2011-03-01 00:00:00,2011-04-01 00:00:00,2011-05-01 00:00:00,2011-06-01 00:00:00,2011-07-01 00:00:00,2011-08-01 00:00:00,2011-09-01 00:00:00,2011-10-01 00:00:00,2011-11-01 00:00:00,2011-12-01 00:00:00,2012-01-01 00:00:00,2012-02-01 00:00:00,2012-03-01 00:00:00,2012-04-01 00:00:00,2012-05-01 00:00:00,2012-06-01 00:00:00,2012-07-01 00:00:00,2012-08-01 00:00:00,2012-09-01 00:00:00,2012-10-01 00:00:00,2012-11-01 00:00:00,2012-12-01 00:00:00,2013-01-01 00:00:00,2013-02-01 00:00:00,2013-03-01 00:00:00,2013-04-01 00:00:00,2013-05-01 00:00:00,2013-06-01 00:00:00,2013-07-01 00:00:00,2013-08-01 00:00:00,2013-09-01 00:00:00,2013-10-01 00:00:00,2013-11-01 00:00:00,2013-12-01 00:00:00,2014-01-01 00:00:00,2014-02-01 00:00:00,2014-03-01 00:00:00,2014-04-01 00:00:00,2014-05-01 00:00:00,2014-06-01 00:00:00,2014-07-01 00:00:00,2014-08-01 00:00:00,2014-09-01 00:00:00,2014-10-01 00:00:00,2014-11-01 00:00:00,2014-12-01 00:00:00,2015-01-01 00:00:00,2015-02-01 00:00:00,2015-03-01 00:00:00,2015-04-01 00:00:00,2015-05-01 00:00:00,2015-06-01 00:00:00,2015-07-01 00:00:00,2015-08-01 00:00:00,2015-09-01 00:00:00,2015-10-01 00:00:00,2015-11-01 00:00:00,2015-12-01 00:00:00,2016-01-01 00:00:00,2016-02-01 00:00:00,2016-03-01 00:00:00,2016-04-01 00:00:00,2016-05-01 00:00:00,2016-06-01 00:00:00,2016-07-01 00:00:00,2016-08-01 00:00:00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oued Ed-Dahab-Lagouira,,,,,,,35.012,3.125,10.812,,,,19.837,22.628,22.908,23.352,23.901,24.622,25.087,0.295,0.447,0.63,0.738,0.841,0.869,0.869,0.869,0.869,0.869,0.869,0.869,,,,,,,,0.9554211761615921,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.616,2.1,4.268,6.296,8.741,11.271,14.166,16.369,18.749,20.571,23.219,25.112,1.827,4.258,6.949,9.41,12.443,15.027,18.348,21.495,24.324,27.965,31.161,33.282,3.154,6.284,10.588000000000001,15.402000000000001,19.745,23.059,28.37,33.051,37.192,41.696,46.727,50.586,4.656960873521383,8.809,,,26.456,,36.591,42.068,,,,,5.118,11.3,18.681,26.687,34.761,41.252,47.328,52.397,57.532,64.088,67.121,72.486,6.111,12.61782,19.32364,25.246560000000002,31.41226,37.02694,41.5196,46.09124,50.259660000000004,55.124900000000004,57.11016,61.567980000000006,4.7831,9.332,14.315479999999999,18.38882,22.24082,26.30982,30.17982,32.996,36.3649,38.593900000000005,58.262,44.256,3.46332,6.576,9.998439999999999,13.345,16.288,19.84,22.695,24.949,27.557,28.522940000000002,30.499,33.106,2.599,5.215,8.011,10.578,13.273,15.504,17.311,19.277,20.814,21.189,22.325,24.125,1.72,4.016,7.969,11.795,15.22,18.633,21.917,25.932,28.108340000000002,30.362,34.105,38.822,,,,,,,,
Laayoune-Boujdour-S.Elhamra,64.893,,,,,,99.647,8.81,6.292,,,,37.943,40.978,50.817,59.918,70.253,79.057,88.386,9.022,15.115,24.037,36.464,48.768,59.561,72.428,83.465,94.419,107.476,119.233,133.685,12.703,18.415,29.65,42.851,56.075,69.387,82.521,91.76551032028458,103.18,113.854,121.585,131.886,8.506,14.014,24.407,34.809,44.414,55.8,86.93002269183751,77.2,87.9,98.4,107,118.4,5.6,13.1,24.2,34,44.9,56.1,67.008,78.223,88.014,96.786,106.092,117.808,4.705,13.8,25.057,34.364,44.935,55.005,64.873,73.90100000000001,83.113,91.167,101.229,108.922,5.835,14.76,31.827,51.037,70.774,87.271,102.851,118.264,132.473,145.708,158.995,170.886,14.179,29.997,45.04,59.929,76.227,93.225,106.43,120.25200000000001,133.872,150.52700000000002,170.59300000000002,186.35,15.088008800880086,28.857,,,74.40747999999999,,105.459,119.789,,,,,13.715,27.812,44.6434,57.836400000000005,74.624,90.344,104.872,120.332,134.222,152.472,160.8,178.221,20.72,36.1791,57.62302,79.1418,102.75014,125.84052,142.28358,157.67195999999998,175.98870000000002,197.59666,206.98616,227.1263,23.52094,45.065,72.0148,98.10269999999998,127.08877999999999,158.50269999999998,184.85252,205.01646,232.0984,258.61024,197.488,308.761,28.69232,57.473,89.53644,124.969,159.22,187.484,212.718,231.319,259.301,274.57714,297.196,325.943,26.02,52.163,82.605,112.824,143.875,172.858,191.794,217.68,244.10979999999998,261.16,283.209,317.099,30.916,58.307,85.749,108.032,130.994,152.576,169.07,197.816,217.31794,239.9,265.836,293.383,,,,,,,,
Guelmim-Es-Smara,96.03,,,,,,196.632,26.843,37.064,,,,118.212,130.351,151.538,170.736,194.573,214.249,234.48,15.665,28.353,45.465,67.033,88.603,107.401,128.871,150.278,170.643,193.565,212.171,229.091,23.649,36.148,60.428,85.973,108.442,127.67,153.914,165.22299598528392,199.181,224.255,240.952,265.931,24.529,38.832,65.951,91.986,116.4,142.1,162.13748636821506,191.4,214.4,238.4,257.5,283.6,16.1,31.3,54.9,103.8,101,172.4,148.942,170.491,191.365,210.503,229.072,251.659,10.157,28.7,49.468,70.367,93.017,116.683,138.622,160.627,182.491,199.629,223.921,248.312,19.435,44.503,64.735,80.567,100.633,117.369,132.779,157.512,174.034,200.222,214.912,226.478,16.604,31.72,47.682,64.81,82.623,99.64,115.018,131.195,145.269,161.63,175.212,187.322,,32.563,,,76.71776,,107.83,120.427,,,,,16.141,30.947,48.626,72.533,94.437,115.224,134.81,148.876,164.475,189.944,210.313,234.305,25.638,41.33326,62.57638,87.23178,117.82442,153.05668,177.34786,191.01632,211.13472,241.00628,259.53928,282.26313999999996,41.5388,71.387,103.23074000000001,126.83616,152.3647,174.57998,190.50158000000002,201.38714000000002,218.77456,234.81189999999998,259.224,273.382,18.09056,30.376,45.892160000000004,62.584,76.412,90.851,99.601,106.688,120.725,130.29811999999998,143.021,157.195,25.645,42.611,60.427,77.79,97.353,113.654,122.268,137.988,150.77003,159.981,169.091,181.897,17.558,32.44,46.897,62.592,76.868,87.309,94.727,108.716,118.78827,130.51,143.54,156.836,,,,,,,,
Souss-Massa-Draa,384.817,,,,,,783.309,50.46,134.96,,,,395.131,491.7,570.95,642.654,718.038,790.659,858.313,65.82,113.157,178.52,257.232,333.251,405.125,485.745,567.59,641.644,723.666,785.798,843.119,86.012,135.172,217.826,309.48,389.168,468.833,560.268,624.0362547497791,729.41,816.267,872.842,954.068,82.946,136.856,232.158,326.56,402.561,486.4,590.2026145285494,645.7,725,802.6,862.8,952.1,57.2,129.7,234.8,306.5,433.2,485.5,628.299,725.775,819.74,908.685,987.806,1093.896,49.684,149.8,271.971,376.916,492.12,603.245,710.578,822.371,923.666,999.292,1117.292,1213.039,75.94,175.912,290.404,392.374,517.272,631.586,792.702,944.325,1043.024,1128.505,1236.879,1317.141,103.97,212.893,319.477,443.503,569.077,683.735,813.779,927.62,1023.087,1128.077,1234.009,1313.473,,228.50112,,,561.54972,,789.437,887.873,,,,,115.976,223.187,351.224,504.765,645.3,779,901.529,997.729,1084.614,1216.26,1297.532,1413.728,127.97,224.07232000000002,365.3626,520.0293800000001,676.0510400000001,835.5997199999999,969.3903,1063.20874,1178.3947,1333.97166,1419.9772,1558.83518,139.3605,260.901,417.5375,552.87334,690.9695,813.28676,911.8101800000001,976.80214,1095.2417599999999,1196.5841399999997,1438.964,1399.88,98.02667,198.66,307.10426,430.224,558.405,684.743,791.499,871.289,1013.015,1103.8917,1223.277,1350.189,84.998,194.925,317.578,444.919,585.475,696.414,762.002,861.485,979.22882,1064.167,1151.758,1274.311,119.339,241.35,370.97,514.464,637.747,749.011,823.452,959.352,1056.21423,1172.315,1291.112,1414.375,,,,,,,,
Gharb-Cherarda-B.Hssen,132.701,,,,,,305.422,24.248,48.139,,,,157.301,184.586,223.607,257.628,296.546,327.582,356.935,24.299,40.889,66.753,96.524,130.351,163.212,202.005,242.751,285.36,325.951,354.364,384.891,29.239,50.193,80.376,116.32,153.029,190.067,232.044,266.8923428474139,312.565,354.179,380.97,413.47,30.841,52.157,85.934,123.434,155.814,193.6,244.44190188563812,272.9,318.5,361.1,396.8,437.6,23.8,53.5,88,120.6,152.8,188.2,225.406,266.543,307.965,344.457,374.805,414.411,20.418,48.5,85.8,123.319,167.466,207.193,250.831,293.58299999999997,335.76,369.012,406.183,441.032,30.706,65.056,107.77,145.691,193.556,234.335,274.379,322.721,365.631,407.751,454.857,489.748,42.913,82.699,126.20400000000001,172.193,219,257.619,299.629,346.548,387.973,430.967,477.012,508.09,,80.16734,,,244.74345000000002,,363.59,420.541,,,,,46.944,87.619,138.489,199.436,269.878,339.523,405.759,466.087,523.698,593.516,639.425,699.841,55.487,100.828,160.63768,227.93278,298.95804,369.10774,439.70228000000003,494.6753,563.77582,642.84925,694.60277,764.0194500000001,71.34755,130.595,201.65312,266.84292,335.80091999999996,404.8484,468.08089,515.38329,584.05637,649.0750899999999,696.622,769.057,57.36156,114.819,162.61348,229.538,307.236,382.476,442.772,498.876,576.263,638.45764,704.276,767.428,49.716,97.175,152.396,212.456,277.097,338.596,384.004,449.1,515.64506,572.785,631.791,696.799,48.263,99.134,163.379,235.605,304.011,361.651,412.788,474.477,531.8215599999999,596.874,659.965,724.535,,,,,,,,
Chaouia-Ourdigha,140.824,,,,,,278.322,23.701,50.185,,,,154.716,182.183,213.443,241.357,271.518,295.729,319.553,26.151,47.479,74.548,102.048,130.115,158.105,192.478,232.769,271.322,314.694,343.723,372.545,38.314,63.342,102.14,141.071,174.925,209.116,246.893,255.91764298499152,325.536,364.21,389.842,421.415,34.436,62.348,106.21,147.748,182.239,219.4,260.0842705790749,299.3,345.3,387.5,423.8,469.1,31.8,66,108.9,147.2,184.9,225.3,263.853,304.337,348.46238,387.48638,421.84738,458.72038,22.144,56,99.275,137.509,176.0254,217.15439999999998,258.746,304.705,347.16240000000005,382.55240000000003,429.0804,467.4134,37.554,77.372,130.098,170.692,221.574,271.487,327.093,391.955,446.338,495.746,556.743,602.587,66.478,138.552,208.523,279.394,345.511,416.36800000000005,490.1120000000001,558.951,615.5260000000001,670.9830000000001,735.7120000000001,773.5580000000001,,110.72846000000001,,,317.7837,,444.939,506.752,,,,,50.142,95.562,158.911,231.611,290.529,349.257,410.261,463.726,514.568,581.194,623.163,681.421,61.651,117.62971,178.48257,246.43381,305.78416,367.07446000000004,440.5286,489.61705,552.62547,624.46941,667.1557700000001,743.2735699999998,90.14599000000001,165.644,253.76953,324.99541000000005,396.35777,466.97997000000004,532.73803,575.46092,641.7875300000001,707.85587,668.219,836.544,64.70644000000001,131.173,193.73264,267.694,338.65,410.153,469.151,518.145,597.719,655.86581,728.234,799.014,52.897,109.449,179.935,252.734,325.901,393.515,433.625,491.325,558.36101,607.445,659.045,717.424,39.763,91.313,153.746,213.3,265.241,314.074,354.755,418.262,468.72648499999997,532.78,595.185,656.585,,,,,,,,
Marrakech-Tensift-Haouz,285.287,,,,,,618.818,68.33,108.07,,,,329.176,370.812,430.079,482.409,541.901,595.632,643.51,53.387,93.397,149.607,209.096,269.594,325.902,389.442,456.656,514.85,578.877,632.445,683.507,66.903,110.432,180.207,255.897,323.098,389.745,465.947,502.06998000143614,617.202,692.808,745.16,813.544,74.566,126.571,211.93,297.92,371.488,450.9,490.84212846661586,618.2,703.5,785.6,854.1,947,65.7,148.6,254,347.6,455.7,554.3,660.631,771.632,877.024,974.769,1058.066,1165.39,58.062,160,286.834,394.656,513.724,629.607,737.372,852.7869999999999,965.022,1057.619,1155.169,1270.481,100.535,223.133,364.131,488.949,625.162,758.679,865.122,974.43,1090.289,1198.011,1331.814,1419.888,107.948,253.873,389.895,551.248,707.935,853.537,1001.7370000000001,1147.016,1269.8590000000002,1405.489,1550.415,1662.163,,263.124,,,682.0292,,961.235,1096.143,,,,,136.237,269.08,437.5382,589.4372,736.528,870.004,999.521,1105.567,1204.341,1340.952,1433.573,1558.465,129.546,244.61212,390.3696,537.4958,677.2701999999999,819.54016,962.74672,1069.289321,1204.859641,1361.284701,1455.4859510000001,1595.811251,157.63471999999996,296.576,472.1779199999999,629.0245399999999,793.073,947.12148,1079.4432199999999,1166.30117,1310.81314,1446.3767899999998,1449.922,1701.529,142.07309,280.777,425.8115,559.933,690.373,827.821,941.478,1030.47,1177.921,1302.1073099999999,1443.375,1584.004,102.418,219.28,359.758,495.165,626.07,751.314,836.576,956.57,1086.09905,1177.667,1273.821,1387.048,110.919,235.045,367.593,507.615,625.176,735.075,811.498,939.394,1044.0320100000001,1172.05,1295.352,1432.094,,,,,,,,
Oriental,310.401,,,,,,665.842,59.312,110.921,,,,361.442,418.645,468.629,529.062,601.844,661.715,720.76,71.542,115.399,179.389,256.378,329.691,398.648,471.772,539.87,610.785,690.54,748.205,808.679,68.65,106.055,178.663,261.427,340.195,406.501,476.084,593.5595286241182,613.421,694.163,736.9,816.143,74.635,129.959,213.136,307.003,389.062,466.5,501.52073924480754,607.4,684.3,764.3,822.6,909,40.6,105.4,184.9,274,361.7,442.3,515.943,589.307,672.11776,744.26776,809.66176,897.15376,46.336,123.9,223.065,317.302,417.15472,509.33772,594.728,673.6089999999999,759.94772,821.13272,920.98172,997.47372,70.821,162.053,260.898,344.229,460.48,560.278,660.71,753.726,842.126,909.874,1010.545,1076.573,97.004,200.484,309.12,422.592,538.923,633.064,724.705,807.8589999999999,871.525,948.0109999999999,1048.061,1107.298,,207.88892,,,572.0822800000001,,802.023,895.778,,,,,103.474,204.997,324.179,448.466,568.036,680.2,779.79,856.178,933.061,1046.125,1113.272,1213.213,110.41,209.22882,335.08224,467.72818,603.52162,734.74344,849.50337,910.78027,1019.84061,1158.73029,1232.32507,1367.28171,133.87772,262.411,410.59218000000004,546.2156600000001,688.48008,808.08928,903.10706,955.2354600000001,1075.9579199999998,1183.75642,1237.304,1404.94,122.61104,235.039,363.81315,500.38,632.56,758.638,848.735,920.169,1046.35,1133.12645,1246.63,1362.081,117.602,230.205,356.035,493.211,618.631,737.162,790.163,889.808,1007.8764,1091.672,1202.379,1329.079,109.569,209.054,335.47,462.308,581.282,684.294,748.598,861.496,951.8212099999998,1065.058,1184.08,1309.404,,,,,,,,
Grand Casablanca,580.126,,,,,,1231.826,106.382,213.913,,,,619.994,751.089,879.598,995.521,1129.216,1239.711,1331.841,118.453,193.072,299.932,429.375,546.545,670.238,808.894,950.988,1073.045,1207.26,1308.356,1407.017,130.778,193.983,321.704,460.935,576.783,708.793,857.83,1045.5628003171003,1137.079,1284.318,1379.49,1513.557,127.194,200.661,340.525,476.823,590.743,729.9,903.6630841329961,1000.9,1138.2,1270.7,1367.8,1518.7,76.5,189.1,342.4,470,617,771.9,929.113,1083.4740000000002,1230.407,1359.588,1472.296,1617.42,65.043,192.9,352.019,484.255,639.3270699999999,788.5250699999999,946.676,1107.1570000000002,1254.33607,1364.83607,1512.09407,1641.69407,107.721,250.663,430.903,574.677,761.79,939.67,1119.347,1312.522,1478.917,1616.7,1805.04,1916.57,169.37,354.952,541.2860000000001,746.874,952.5360000000001,1160.245,1369.135,1557.51,1709.7580000000003,1859.5240000000003,2045.655,2138.1190000000006,,339.98777,,,939.9069300000001,,1350.009,1537.785,,,,,165.1,315.974,504.005,729.026,925.687,1131.962,1345.089,1531.267,1665.312,1887.016,1992.15,2179.015,202.951,358.1064,573.95392,780.7979200000001,982.89841,1200.56404,1431.1808700000001,1622.74737,1830.96545,2108.28638,2223.9093199999998,2467.56944,234.38647,401.798,627.7835600000001,824.0930400000001,1031.8601800000001,1229.87132,1415.70998,1522.9359299999999,1707.48819,1867.9691599999999,2284.999,2161.001,146.13576,304.771,478.78083999999996,663.224,851.779,1039.398,1225.699,1334.308,1534.639,1637.7670000000003,1793.447,1968.913,119.506,283.576,466.284,652.923,835.469,1005.061,1114.961,1243.564,1398.55513,1540.402,1692.238,1879.241,123.073,283.494,458.735,635.747,798.357,954.37,1052.346,1218.956,1336.3256999999999,1458.833,1614.9,1768.273,,,,,,,,
