Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Nombre de pièces prévues dans les autorisations de construction,
frequence,Annuelle,
Scenario ,Reel,
Source ,Haut Commissariat au Plan,
Période disponible ,1980 - 2020,
Date de dernière mise à jour ,2023-05-09 15:19:48.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Nombre de pièces prévues dans les autorisations de construction,
Unité,Nombre,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
Région/Province,Total des régions,
