Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Production de l'ONE-BE,
frequence,Annuelle,
Scenario ,Reel,
Source ,Office National de l'Eau Potable,
Période disponible ,1980 - 2021,
Date de dernière mise à jour ,2023-05-10 11:49:12.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Production de l'eau potable,
Unité,mètre cube,
Echelle ,Million,
Axes Fixes ,Valeurs prises ,
milieu de résidence,Rural,
Région/Province,Total des régions,
