Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Consommation totale d'énergie (Bilan énergétique),
frequence,Annuelle,
Scenario ,Reel,
Source ,"Ministère de l'Energie, des Mines de l'eau et de l'environnement",MEMEE
Période disponible ,1980 - 2021,
Date de dernière mise à jour ,2023-05-09 10:34:33.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Consommation totale d'énergie (Bilan énergétique),
Unité,T.E.P,Tonne en Equivalent de Pétrole
Echelle ,Mille,
Axes Fixes ,Valeurs prises ,
