Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Entrées de la raffinerie (Mensuel),
frequence,Mensuelle,
Scenario ,Reel,
Source ,"Ministère de l'Energie, des Mines de l'eau et de l'environnement",MEMEE
Période disponible ,2011M01 - 2014M06,
Date de dernière mise à jour ,2015-09-07 00:00:00.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,raffinage de pétrole,
Unité,Tonnes,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
