Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Indice de la Production énergétique base 2010 (Annuelle),
frequence,Annuelle,
Scenario ,Reel,
Source ,Haut Commissariat au Plan,
Période disponible ,2010 - 2018,
Date de dernière mise à jour ,2019-04-11 13:25:51.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Indice de la Production énergétique (Base 2010),Indice de la Production énergétique (Base 2010)
Unité,Sans unité,
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
