Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,production des produits pétroliers,
frequence,Annuelle,
Scenario ,Reel,
Source ,"Ministère de l'Energie, des Mines de l'eau et de l'environnement",MEMEE
Période disponible ,1980 - 2021,
Date de dernière mise à jour ,2023-05-09 12:11:36.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,production des produits pétroliers,
Unité,Sans unité,
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
