;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Energie nette appelée;;;;;;;13942.0;14789.0;15538.0;16779.0;17945.0;19518.0;21105.0;22608.0;24004.0;25016.3;26530.6;28752.0;31055.6;31884.7;33379.8;34273.33;35272.69;37079.96;37295.01;38852.57;38371.52;40511.58;42317.0
    Production Totale ONEE-Branche Électricité;9454.0;9598.0;10843.0;10032.0;6757.0;6468.0;5040.0;3916.0;4536.0;5777.0;6252.0;6440.0;5935.0;6088.0;6689.0;7531.0;10316.0;11346.0;13189.0;13556.0;10381.6;10493.03;10563.01;10917.53;10991.63;9154.28;7889.72;8831.0;10156.0
        Hydraulique;840.0;605.0;1938.0;2062.0;1759.0;817.0;705.0;856.0;842.0;1441.0;1601.0;1412.0;1585.0;1318.0;1360.0;2952.0;3631.0;2139.0;1816.0;2990.0;2032.9;2281.51;1662.23;1564.71;1997.83;1653.78;1290.09;1212.65;679.0
                 dont Turbinage de la STEP;;;;;;;;;;;;;;;;384.0;163.0;133.0;185.0;205.0;395.5;396.22;406.51;379.96;304.39;391.0;422.45;394.35;329.0
        Thermique (y compris ABM);8614.0;8993.0;8906.0;7970.0;4998.0;5651.0;4333.0;3047.0;3680.0;4321.0;4648.0;5509.0;5069.0;5202.0;5758.0;4850.0;6410.0;8853.0;10791.0;9905.0;7754.6;7626.31;8278.53;8737.99;8442.78;6899.98;5980.86;6839.56;8681.0
        Eolienne;;;;;;;2.0;13.0;14.0;15.0;13.0;15.0;9.0;97.0;146.0;110.0;366.0;416.0;582.0;660.0;594.2;583.85;621.01;613.61;549.61;599.15;591.7;606.76;574.0
    STEP Energie absorbée pour le pompage;;;;;;;;;;;;;;;;-505.0;-218.0;-181.0;-248.0;-274.0;-518.9;-423.17;-529.22;-509.85;-405.57;-527.28;-577.22;-541.46;-459.0
    Apport des Tiers Nationaux;109.0;7057.0;208.0;227.0;758.0;1873.0;2402.0;1639.0;1475.0;1483.0;1611.0;899.0;2066.0;3539.0;4301.0;4749.0;4091.0;4824.0;5660.0;5551.0;6138.3;5197.97;5412.46;6316.75;3801.55;265.21;45.6;82.37;328.0
        Autoproducteurs;;;80.0;104.0;42.0;27.0;39.0;75.0;83.0;45.0;76.0;86.0;40.0;33.0;40.0;126.0;152.0;217.0;818.0;151.0;128.1;59.71;123.66;258.94;77.49;;;;
        Importations;;;128.0;124.0;716.0;1846.0;2363.0;1564.0;1392.0;1438.0;1535.0;814.0;2027.0;3507.0;4261.0;4623.0;3940.0;4607.0;4841.0;5400.0;6010.2;5138.27;5288.8;6057.81;3724.06;525.76;855.89;688.04;1868.0
Production concessionnelle;;;;1510.0;4938.0;4924.0;6500.0;9234.0;9526.0;9520.0;10082.0;12222.0;13159.0;13022.0;13043.0;12773.0;12166.0;12620.0;13168.0;12739.0;16815.4;18577.21;19104.97;19571.63;21491.45;28237.69;27994.04;29467.54;28217.0
    Production thermique : JLEC;;;;;;;;;;;;;;;;9772.0;9847.0;10134.0;10191.0;9915.0;13728.8;14930.84;14764.71;15120.63;14772.53;15125.65;15199.44;14990.1;15181.0
    Parc Eolien : CED;;;;;;;;;;;;;;;;158.0;166.0;157.0;146.0;161.0;140.5;141.61;135.95;137.56;124.68;75.54;;;
    Energie Electrique de Tahaddart;;;;;;;;;;;;;;;;2844.0;2153.0;2329.0;2831.0;2663.0;2504.2;2490.76;2609.06;2625.93;2233.98;2103.35;1483.04;1907.47;109.0
    Auxiliaires des centrales pompes du réseau THT-HT;;;;;;;;;;;;;;;;-37.0;-42.0;-38.0;;-41.0;-43.3;-51.36;-50.14;-59.72;-42.16;-40.73;-38.11;-43.56;-41.0
    Parc Eolien de Tarfaya;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
