Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Emploi total des entreprises industrielles,
frequence,Annuelle,
Scenario ,Reel,
Source ,MIICEN,"MIICEN : Ministre de l'Industrie, de l'Investissement, du Commerce et de l'Economie Numérique"
Période disponible ,1990 - 2016,
Date de dernière mise à jour ,2019-01-17 11:26:17.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Emploi industriel,
Unité,Nombre,
Echelle ,Unité,
Axes Fixes ,Valeurs prises ,
Région/Province,Total des régions,
Sexe,Les deux sexes,
Taille d'entreprise,Total,
Type d'emploi,Emploi total,
