;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Tapis;291042.0;310240.0;301166.0;380608.0;398133.0;393385.0;473923.0;541633.0;589324.0;503701.0;430439.0;341890.0;268194.0;283781.0;272839.0;274465.0;239562.0;232244.0;208617.0;201840.0;189532.0;184389.0;135737.0;125103.0;121249.0;116059.0;102033.0;86800.0;68098.0;60211.0;59877.0;53866.0;57615.0;61984.0;71230.0;77004.0;88066.0;112167.0;116677.0;106443.0;75367.0;126037.0
Fer forgé;57.0;98.0;57.0;64.0;123.0;176.0;204.0;354.0;290.0;377.0;79572.0;89980.0;75010.0;62786.0;2426.0;3661.0;13423.0;31997.0;67449.0;96548.0;117762.0;128247.0;147311.0;153168.0;173693.0;169429.0;144454.0;121400.0;85887.0;64801.0;39990.0;35473.0;35482.0;29632.0;33962.0;27415.0;85999.0;108876.0;162530.0;163485.0;148792.0;259181.0
Ouvrages en bois;1278.0;3730.0;1061.0;5064.0;10570.0;2384.0;7082.0;8313.0;8915.0;11246.0;16491.0;21449.0;20432.0;19151.0;32464.0;28952.0;28829.0;39132.0;42513.0;58663.0;56459.0;57465.0;57367.0;61395.0;59801.0;78942.0;78413.0;76600.0;56120.0;37817.0;47786.0;34761.0;35568.0;32639.0;31837.0;29817.0;28597.0;32695.0;42543.0;34797.0;21584.0;42174.0
Poterie;457.0;714.0;1141.0;5087.0;5288.0;1981.0;2958.0;3835.0;5436.0;8718.0;48324.0;37710.0;38583.0;42213.0;44344.0;43466.0;51343.0;88845.0;122532.0;125423.0;124591.0;118559.0;114657.0;111114.0;129729.0;126013.0;123852.0;108600.0;86495.0;64744.0;49210.0;61251.0;67005.0;66101.0;78100.0;81710.0;36712.0;42305.0;55132.0;39293.0;22696.0;34309.0
Vannerie;8915.0;10805.0;12837.0;20968.0;18575.0;22433.0;24282.0;34528.0;33569.0;34489.0;40159.0;33353.0;30585.0;27843.0;27469.0;33703.0;27143.0;27935.0;34051.0;39685.0;43404.0;49307.0;53976.0;46717.0;41845.0;36416.0;37830.0;42200.0;31548.0;28375.0;41386.0;41387.0;33920.0;31197.0;47811.0;58045.0;53607.0;57240.0;73272.0;73071.0;57915.0;110523.0
Vêtements;23982.0;87751.0;36374.0;63383.0;111262.0;145246.0;104507.0;97512.0;102956.0;96464.0;4905.0;3103.0;3874.0;4711.0;57749.0;50958.0;54067.0;57639.0;52067.0;47498.0;42812.0;34153.0;58967.0;34405.0;32717.0;35719.0;33925.0;30700.0;27983.0;24566.0;23347.0;23951.0;35446.0;42953.0;33970.0;36154.0;83202.0;152725.0;124741.0;168267.0;99856.0;94273.0
Maroquinerie;28837.0;30879.0;30375.0;21824.0;19985.0;22423.0;24393.0;27654.0;31419.0;42667.0;12335.0;13291.0;17183.0;17513.0;38995.0;30670.0;49078.0;46062.0;36436.0;30966.0;41023.0;24877.0;48157.0;39176.0;29156.0;61422.0;46970.0;40300.0;28225.0;24580.0;24803.0;27361.0;30965.0;27538.0;28743.0;30671.0;33158.0;36990.0;36711.0;43446.0;36730.0;43099.0
Dinanderie;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11204.0;15300.0;8410.0;10286.0;15692.0;8109.0;11684.0;7012.46;9572.0;15372.0;28273.0;16743.0;6893.0;31064.0
Couvertures;6565.0;6551.0;5975.0;5813.0;4581.0;3047.0;2036.0;4021.0;2377.0;5136.0;11805.0;17003.0;25781.0;30832.0;10555.0;21101.0;14447.0;14804.0;16793.0;20720.0;29406.0;25001.0;24433.0;27241.0;25226.0;27740.0;26999.0;25000.0;15052.0;14001.0;15391.0;11284.0;16124.0;14480.0;23274.0;29046.0;24961.0;28336.0;51913.0;45880.0;46520.0;47142.0
Ouvrages en cuivre;7667.0;19609.0;10653.0;13051.0;17696.0;15881.0;11910.0;12191.0;13593.0;12502.0;1006.0;2063.0;1403.0;2099.0;15536.0;14266.0;14144.0;27562.0;17004.0;20958.0;15390.0;16823.0;16500.0;14774.0;13248.0;12752.0;13276.0;15100.0;11204.0;15300.0;8410.0;10286.0;15692.0;;;;;;;;;
