;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2014;2015
1 Industries Agro-alimentaires;2690.157;2995.904;3007.664;3081.595;3332.274;3568.48;3776.795;4023.315;4346.355;4363.031;4870.025;4954.865;5073.317;5302.005;5475.681;5686.101;6071.993;6221.911;6407.986;6860.56;7034.356;7380.348;7765.197;8397.691;8542.273
    15 Industries alimentaires;2488.357;2756.575;2773.794;2839.595;3065.775;3301.981;3460.962;3733.315;3971.759;3973.12;4423.435;4565.857;4610.176;4857.737;5084.733;5358.409;5661.882;5852.59;6121.244;6487.488;6658.44;7007.68;7381.539;8048.185;8173.318
        151 Industrie des viandes;4.483;4.731;4.631;4.174;3.998;8.491;8.512;10.347;11.997;16.589;24.113;25.089;29.649;42.166;51.022;123.831;120.624;145.166;147.912;182.461;188.764;228.678;250.0;;
        152 Industrie du poisson;294.933;348.59;364.833;363.25;378.023;415.49;456.175;507.258;665.485;661.22;766.013;850.913;832.795;872.415;964.445;976.0;1259.345;1110.051;1152.053;1155.167;1238.948;1379.85;1473.542;;
        153 Industrie des fruits et légumes;216.565;237.153;272.965;202.51;230.137;248.305;262.296;258.299;317.416;252.155;253.475;203.405;223.896;225.453;236.59;238.349;218.479;223.745;264.854;256.471;272.799;323.777;353.127;;
        154 Industrie des corps gras;193.828;199.667;215.934;224.933;257.635;287.976;306.768;319.367;269.964;295.502;480.741;284.211;305.153;331.479;332.756;367.852;400.332;423.464;471.616;534.865;450.793;506.8;523.992;;
        155 Industrie laitière;183.308;209.894;250.486;275.865;298.728;360.149;348.506;343.998;425.149;519.951;538.601;608.664;590.787;689.401;755.387;820.119;909.148;865.792;1091.805;1313.368;1350.087;1477.262;1613.311;;
        156 Transformation des céréales, amidonnerie et fabrication;239.168;271.319;305.543;369.846;380.232;380.017;385.536;416.288;463.595;477.65;448.843;480.568;469.339;464.306;474.812;505.941;501.145;554.29;594.957;598.427;670.858;671.972;722.914;;
        157 Fabrication des farines et gruaux;134.883;154.641;163.02;154.517;169.462;176.498;209.912;239.958;245.176;262.383;250.457;291.759;299.307;330.001;360.399;383.067;398.52;508.446;443.069;498.83;513.111;568.377;614.584;;
        158 Autres industries alimentaires;923.645;1010.605;830.167;863.828;936.425;971.435;1057.646;1150.013;1044.944;954.502;1080.097;1110.554;1148.812;1081.163;1095.403;1088.173;1013.941;1258.04;1105.19;1051.99;1030.431;914.076;885.901;;
        159 Industrie des boissons;297.544;319.975;366.215;380.672;411.135;453.62;425.611;487.787;528.033;533.168;581.095;710.694;710.438;821.353;813.919;855.077;840.348;763.596;849.788;895.909;942.649;936.888;944.168;;
    16 Industrie du tabac;201.8;239.329;233.87;242.0;266.499;266.499;315.833;290.0;374.596;389.911;446.59;389.008;463.141;444.268;390.948;327.692;410.111;369.321;286.742;373.072;375.916;372.668;383.658;349.506;368.955
        160 Industrie du tabac;201.8;239.329;233.87;242.0;266.499;266.499;315.833;290.0;374.596;389.911;446.59;389.008;463.141;444.268;390.948;327.692;410.111;369.321;286.742;373.072;375.916;372.668;383.658;;
2 Industries Textiles;2932.625;3516.496;3917.904;4038.564;4567.616;4873.26;5210.092;5389.386;5985.094;6088.823;6010.15;6142.194;6713.17;6756.925;6842.799;6794.308;6738.969;6987.696;7033.479;6311.593;6193.293;6155.592;6128.046;5951.133;6081.926
    17 Industrie textile;1443.015;1783.213;1913.144;1945.353;2318.428;2484.899;2536.33;2251.766;1748.594;1664.474;1491.616;1544.5;1654.258;1611.03;1566.379;1576.808;1602.249;1681.687;1726.235;1498.564;1441.173;1472.072;1398.002;1314.761;1412.464
        171 Filature;555.09;629.648;727.527;756.824;772.692;953.866;1020.394;959.245;384.652;433.804;330.843;386.125;361.315;394.079;405.018;373.682;297.556;296.26;332.321;296.796;256.982;269.986;228.081;;
        172 Tissage;521.299;578.377;567.504;594.429;962.132;569.6;538.777;631.34;500.709;430.124;394.709;482.913;565.827;467.744;385.419;381.03;413.654;373.213;355.874;347.262;334.141;331.293;316.641;;
        173 Ennoblissement textile;50.77;88.895;150.292;123.934;120.385;164.316;193.451;159.332;150.95;182.681;127.805;130.549;146.366;161.964;201.439;230.548;274.831;291.014;299.618;279.538;235.325;258.754;278.346;;
        174 Fabrication d'articles textiles;65.472;77.941;105.2;96.526;86.057;101.987;107.932;122.005;222.164;127.48;121.625;102.827;120.414;125.195;121.497;143.508;159.432;179.961;192.829;185.233;210.713;214.248;207.292;;
        175 Fabrication de tapis et autres industries textiles;101.973;151.668;151.351;175.261;173.049;483.353;491.037;161.736;216.954;195.043;214.987;155.743;168.157;177.304;195.978;188.101;197.989;279.03;284.24;142.729;137.875;122.358;118.696;;
        176 Fabrication d'étoffes a maille;100.092;196.497;151.467;165.384;171.47;181.767;148.492;200.952;76.104;98.437;62.618;48.37;25.938;27.147;18.197;23.262;25.143;27.39;27.948;29.787;31.837;31.731;29.413;;
        177 Fabrication d'articles à maille;48.319;60.187;59.803;32.995;32.643;30.01;36.247;17.156;197.061;196.905;239.029;237.973;266.241;257.597;238.831;236.677;233.644;234.819;233.405;217.219;234.3;243.702;219.533;;
    18 Industrie de l'habillement et des fourrures;1155.265;1368.153;1604.593;1756.419;1887.675;2037.249;2301.396;2725.264;3756.549;3898.952;4049.915;4128.1;4542.325;4577.362;4687.617;4616.996;4512.762;4669.892;4684.828;4149.745;4029.006;3928.317;4013.513;3937.086;3976.334
        181 Fabrication de vêtements en cuir;31.599;31.552;41.933;48.386;51.464;49.734;49.18;43.658;22.931;22.473;23.574;24.261;22.035;20.563;27.233;19.532;25.296;23.966;19.964;18.202;17.754;20.7;17.601;;
        182 Fabrication de vêtements en textile;1123.666;1336.601;1562.66;1708.033;1836.211;1987.515;2252.216;2681.606;3733.618;3876.479;4026.341;4103.753;4520.236;4556.799;4660.384;4597.464;4487.466;4645.926;4664.864;4131.543;4011.252;3907.617;3995.912;;
        183 Industrie des fourrures;;;;;;;;;;;;0.086;0.054;;;;;;;;;;;;
    19 Industrie du cuir et de la chaussure;334.345;365.13;400.167;336.792;361.513;351.112;372.366;412.356;479.951;525.397;468.619;469.594;516.587;568.533;588.803;600.504;623.958;636.117;622.416;663.284;723.114;755.203;716.531;699.286;693.128
        191 Apprêt et tannage des cuirs;79.944;85.459;90.699;86.973;87.206;79.62;83.697;81.029;85.893;72.397;69.204;50.71;72.754;84.245;73.356;76.768;67.573;66.614;66.049;72.712;69.917;73.319;72.213;;
        192 Articles de voyage et de maroquinerie;61.49;63.601;72.878;38.522;28.242;29.86;30.692;32.615;36.728;35.34;40.415;46.967;46.727;47.682;42.935;46.932;52.788;51.142;44.859;48.421;52.893;54.528;56.282;;
        193 Chaussures;192.911;216.07;236.59;211.297;246.065;241.632;257.977;298.712;357.33;417.66;359.0;371.917;397.106;436.606;472.512;476.804;503.597;518.361;511.508;542.151;600.304;627.356;588.036;;
3 Industrie chimique et parachimique;3642.927;4100.008;4563.475;4787.903;5154.338;5329.731;6137.662;6289.935;6575.774;6660.236;6779.736;6984.615;7581.529;7899.634;8121.509;8483.508;9337.41;9569.254;10500.125;11087.865;12263.892;12952.946;13697.531;14198.752;15241.067
    20 Travail du bois et fabrication d'articles en bois;225.828;233.351;258.646;293.221;304.422;314.368;316.964;340.128;359.817;351.312;363.97;368.018;418.58;391.069;413.683;405.158;386.404;404.773;403.254;407.557;398.404;403.898;427.272;406.6;455.742
        201 Sciages, rabotage, imprégnation du bois;14.669;13.46;14.556;15.638;14.293;21.461;21.462;41.63;48.17;51.894;47.478;74.334;39.23;40.591;44.046;47.489;30.792;35.659;39.759;39.749;38.388;36.192;35.469;;
        202 Fabrication de panneaux de bois;47.769;37.352;40.898;77.392;83.615;86.53;77.375;82.551;83.89;79.048;82.272;66.27;99.332;90.239;91.58;78.07;63.12;80.347;76.497;56.515;64.858;80.058;77.793;;
        203 Fabrication de charpentes et de menuiseries;75.007;91.875;97.697;107.85;109.403;120.598;131.038;127.176;141.299;143.795;133.618;138.089;190.706;165.704;170.953;179.168;182.567;183.634;190.09;208.572;205.672;201.223;209.846;;
        204 Fabrication d'emballages en bois;58.846;59.577;70.532;50.872;55.718;52.452;58.331;56.59;52.147;40.66;57.682;43.211;52.275;55.157;61.531;57.477;63.969;65.149;57.114;57.602;56.332;47.704;63.454;;
        205 Fabrication d'objets divers en bois, liège ou vannerie;29.537;31.087;34.963;41.469;41.393;33.327;28.758;32.181;34.311;35.915;42.92;46.114;37.037;39.378;45.573;42.954;45.956;39.984;39.794;45.119;33.154;38.721;40.71;;
    21 Industrie du papier et du carton;288.916;303.809;329.882;348.44;360.913;400.434;394.622;454.761;458.847;472.268;421.6;554.506;581.526;447.178;428.429;414.514;408.397;405.253;386.862;401.472;393.938;408.965;563.985;581.49;588.756
        211 Pate a Papier, de papier et de carton;131.994;138.935;168.599;177.2;186.339;205.415;187.852;208.271;209.413;251.143;177.109;159.603;159.541;114.987;117.566;94.557;98.503;245.4;86.471;85.884;92.934;95.607;200.332;;
