;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Industries manufacturières;100.0;107.7;114.1;117.9;122.1;125.5;131.5;138.6;145.8;152.4;155.7;156.0;159.1;163.0;165.48
1 Industries Agro-alimentaires;100.0;102.7;110.3;114.3;114.5;118.8;122.7;127.4;131.5;134.8;140.4;144.0;146.4;152.9;158.1
    15 Industries alimentaires;100.0;103.6;111.9;115.8;115.5;120.1;123.6;128.2;132.1;133.7;139.0;141.8;143.8;149.5;154.7
        151 Industrie des viandes;100.0;100.2;85.8;93.9;102.9;123.6;117.2;109.4;106.7;115.6;128.7;134.9;169.3;199.4;
        152 Industrie du poisson;100.0;108.1;110.8;118.6;127.3;120.3;132.3;137.9;146.2;149.0;153.4;164.2;158.5;159.4;
        153 Industrie des fruits et légumes;100.0;116.8;104.5;124.0;122.8;130.2;128.3;141.2;141.3;149.3;156.8;132.7;143.1;150.8;
        154 Industrie des corps gras;100.0;109.3;107.1;103.9;116.9;118.5;122.9;127.5;129.9;134.0;136.8;143.0;144.3;146.8;
        155 Industrie laitière;100.0;108.4;113.2;127.6;143.6;150.4;153.8;159.8;166.2;160.0;159.3;167.3;171.1;179.8;
        156 Transformation des céréales, amidonnerie et fabrication;100.0;88.9;116.2;115.4;98.2;114.3;103.6;98.0;118.5;120.3;125.5;127.1;135.4;150.3;
        157 Fabrication des farines et gruaux;100.0;120.3;117.9;119.2;126.3;128.4;129.0;140.7;133.4;135.3;149.5;158.3;159.4;167.5;
        158 Autres industries alimentaires;100.0;97.7;107.0;104.7;105.0;105.7;111.3;117.5;115.1;113.1;116.2;117.7;116.2;119.1;
        159 Industrie des boissons;100.0;108.6;113.9;118.9;113.6;118.8;129.2;138.1;129.8;134.7;142.6;143.5;145.7;147.5;
    16 Industrie du tabac;100.0;96.1;97.4;102.3;106.3;108.5;115.4;121.2;127.2;143.7;151.8;162.3;167.8;180.7;185.6
        160 Industrie du tabac;100.0;96.1;97.4;102.3;106.3;108.5;115.4;121.2;127.2;143.7;151.8;162.3;167.8;180.7;185.6
2 Industries Textiles;100.0;107.2;120.1;120.5;121.5;120.0;120.6;127.0;127.7;130.5;129.7;129.0;133.5;134.6;137.7
    17 Industrie textile;100.0;101.4;96.8;106.2;109.7;105.3;105.5;109.4;119.4;119.7;116.6;115.5;115.5;117.6;114.4
        171 Filature;100.0;96.8;85.4;94.8;104.0;98.3;102.1;116.5;140.4;141.9;139.2;134.2;134.3;134.2;
        172 Tissage;100.0;98.6;104.9;101.7;119.8;119.1;125.9;119.5;117.6;116.4;120.2;118.4;117.3;117.0;
        173 Ennoblissement textile;100.0;92.0;90.5;114.2;110.9;101.4;85.1;112.2;121.5;121.0;92.7;91.5;94.7;107.5;
        174 Fabrication d'articles textiles;100.0;100.5;95.5;94.1;99.3;101.9;105.1;104.5;105.3;110.0;111.9;105.9;104.0;101.4;
        175 Fabrication de tapis et autres industries textiles;100.0;110.6;101.8;124.3;127.9;128.3;141.9;131.8;148.0;150.6;152.2;155.9;154.9;168.7;
        176 Fabrication d'étoffes a maille;100.0;104.1;107.6;106.1;92.3;101.5;86.2;73.4;71.3;68.2;68.0;68.1;64.8;63.9;
        177 Fabrication d'articles à maille;100.0;106.8;104.7;113.5;105.8;88.3;77.6;83.0;81.6;78.7;75.8;77.0;80.2;73.6;
    18 Industrie de l'habillement et des fourrures;100.0;111.1;135.0;129.8;129.9;129.2;130.5;138.5;134.7;139.7;141.0;141.0;148.2;149.0;156.3
        181 Fabrication de vêtements en cuir;100.0;119.6;130.5;152.2;206.5;217.4;184.8;170.3;155.8;206.5;192.0;213.8;239.1;199.3;
        182 Fabrication de vêtements en textile;100.0;111.0;135.0;129.6;129.1;128.3;129.9;138.2;134.5;138.9;140.3;140.1;147.4;148.5;
    19 Industrie du cuir et de la chaussure;100.0;101.3;98.9;106.0;105.0;108.3;104.8;109.5;108.1;104.8;96.0;91.9;94.5;93.0;89.4
        191 Apprêt et tannage des cuirs;100.0;78.9;78.1;81.3;86.0;86.2;87.0;85.8;83.4;84.7;83.5;85.4;93.4;102.2;
        192 Articles de voyage et de maroquinerie;100.0;84.8;51.3;122.6;105.3;105.2;93.5;50.5;37.5;33.7;28.2;27.6;27.6;27.0;
        193 Chaussures;100.0;110.2;110.4;112.1;110.9;115.6;111.7;123.3;123.3;118.7;107.1;100.7;102.3;97.0;
3 Industrie chimique et parachimique;100.0;104.4;105.5;108.9;116.4;117.9;126.9;132.5;135.8;134.1;138.8;142.3;149.6;151.2;150.5
    20 Travail du bois et fabrication d'articles en bois;100.0;92.4;125.3;114.0;110.7;111.3;121.9;109.9;98.2;114.3;121.1;111.8;115.0;116.9;116.6
        201 Sciages, rabotage, imprégnation du bois;100.0;75.3;98.0;72.1;84.6;94.9;92.2;90.5;92.4;94.1;86.0;72.3;80.1;77.0;
        202 Fabrication de panneaux de bois;100.0;96.2;121.8;169.9;149.1;169.4;190.8;110.0;110.0;126.7;125.1;125.1;122.1;124.7;
        203 Fabrication de charpentes et de menuiseries;100.0;118.5;235.4;135.3;123.6;79.2;83.0;92.4;97.8;98.0;105.9;88.1;104.0;111.6;
        204 Fabrication d'emballages en bois;100.0;105.6;104.7;104.0;104.0;102.4;139.3;162.1;54.6;138.5;162.3;205.7;187.0;188.2;
        205 Fabrication d'objets divers en bois, liège ou vannerie;100.0;104.4;113.1;158.9;129.8;106.0;127.5;163.5;174.2;178.0;179.5;178.5;186.7;206.3;
    21 Industrie du papier et du carton;100.0;100.7;118.1;123.9;129.5;152.4;179.4;188.3;226.4;236.5;229.7;228.8;230.7;229.4;232.1
        211 Pate a Papier, de papier et de carton;100.0;100.2;111.9;105.4;110.4;132.0;143.0;147.2;156.4;164.5;152.6;148.6;156.6;157.0;
        212 Articles en papier ou en carton;100.0;100.9;120.0;129.4;135.2;158.4;190.2;200.4;247.0;257.9;253.0;252.6;252.6;250.8;
    22 Edition, imprimerie, reproduction;100.0;114.6;115.7;112.3;124.7;136.7;132.2;154.8;155.2;163.5;162.6;161.6;161.0;162.8;158.8
        221 Edition;100.0;109.3;97.3;123.7;125.2;140.7;154.9;191.0;175.7;179.4;159.5;170.4;170.5;166.7;
        222 Imprimerie;100.0;115.8;120.0;109.6;124.6;135.8;126.9;146.3;150.4;159.8;163.6;159.5;158.8;161.9;
    23 Cokéfaction, raffinage, industries nucléaires;100.0;116.2;105.9;110.4;106.9;76.8;104.2;113.5;119.0;127.7;129.4;103.8;112.5;122.3;125.8
        232 Raffinage de pétrole;100.0;116.2;105.9;110.4;106.9;76.8;104.2;113.5;119.0;127.7;129.3;103.8;112.5;122.3;
    24 Industrie Chimique;100.0;104.4;105.5;108.9;116.4;117.9;126.9;132.5;135.8;134.1;138.8;142.3;149.6;151.2;150.5
        241 Industrie Chimique de base;100.0;100.0;98.6;86.4;89.6;89.0;99.1;101.2;101.3;99.8;97.5;94.4;107.4;107.6;
        242 Produits Agro-chimiques;100.0;86.4;75.4;103.1;110.8;107.3;106.7;146.9;184.8;146.4;135.0;152.3;147.7;143.0;
        243 Peintures et vernis;100.0;107.7;108.9;143.4;139.9;146.7;180.8;204.5;207.5;206.1;233.2;274.4;291.3;306.8;
        244 Industrie Pharmaceutique;100.0;128.6;140.9;182.8;218.0;223.7;221.8;235.5;246.2;245.6;261.1;256.3;251.7;254.5;
        245 Fabrication de savons, de parfums et de produits d'entretien;100.0;106.2;108.1;114.8;121.5;124.2;121.0;114.7;113.3;116.1;132.2;137.8;132.7;133.4;
        246 Fabrication d'autres produits chimiques;100.0;87.9;100.1;87.4;104.2;110.0;129.8;138.9;161.6;163.7;149.3;138.1;132.9;126.4;
    25 Industrie du caoutchouc et des plastiques;100.0;115.2;137.0;126.8;139.1;131.9;158.3;159.5;179.2;211.5;240.1;236.4;236.6;240.2;240.4
        251 Industrie Du caoutchouc;100.0;101.7;98.2;93.9;111.3;98.3;93.0;46.6;44.8;57.8;57.9;57.7;57.6;57.5;
        252 Transformation des matières plastiques;100.0;119.5;149.4;137.3;148.0;142.6;179.3;195.9;222.4;265.2;296.0;293.9;294.1;299.0;
    26 Fabrication D'autres produits minéraux non métalliques;100.0;102.9;103.2;109.4;119.6;131.8;137.1;144.6;152.9;165.1;173.7;172.9;171.6;184.3;184.3
        261 Fabrication De verre et d'articles en verre;100.0;115.2;102.1;134.8;153.5;146.5;144.2;158.2;164.2;179.0;171.8;165.2;164.3;176.0;
        262 Fabrication De produits céramiques;100.0;100.5;102.4;105.4;107.2;110.5;114.6;111.0;112.0;112.1;114.2;114.0;114.5;115.6;
        263 Fabrication De carreaux en céramiques;100.0;98.8;99.5;103.0;104.9;102.7;101.9;108.1;107.3;108.7;109.5;103.8;103.8;104.9;
        264 Fabrication De tuiles et briques en terre cuite;100.0;98.4;106.7;86.4;116.9;127.1;137.1;149.1;153.3;156.1;155.2;132.7;112.7;110.5;
        265 Fabrication De ciment, chaux et plâtre;100.0;101.1;105.8;114.5;119.4;130.7;138.1;145.0;160.0;180.0;197.8;202.7;201.6;227.3;
        266 Ouvrages en Béton ou en plâtre;100.0;114.5;101.9;103.5;122.4;140.5;146.7;152.7;144.8;148.9;154.2;156.3;155.2;145.2;
        267 Travail de la Pierre;100.0;102.9;111.5;111.1;119.4;132.2;124.2;130.4;132.9;137.2;130.0;184.6;175.4;172.5;
        268 Fabrication De produits minéraux divers;100.0;96.4;87.5;90.0;125.4;182.6;185.8;204.3;218.1;219.7;202.0;166.8;174.4;173.9;
4 Industrie mécanique et métallurgique;100.0;117.4;123.1;130.2;137.6;146.7;151.4;162.2;178.6;193.5;193.3;195.2;195.8;197.1;200.6
    27 Métallurgie;100.0;110.2;120.4;124.6;143.6;171.3;168.6;186.2;195.5;210.0;195.0;201.4;188.7;188.8;185.1
        271 Sidérurgie Et production de ferro-alliages;100.0;102.4;117.0;124.7;148.5;172.3;169.5;193.7;202.9;217.9;196.4;205.5;183.2;176.9;
        272 Fabrication de tubes en fonte ou en acier;100.0;155.2;114.7;108.9;66.3;199.5;211.2;146.8;158.1;180.0;179.4;182.1;211.4;242.5;
        274 Production de métaux non ferreux;100.0;124.4;139.4;131.7;158.7;152.5;143.4;170.3;179.4;187.7;194.1;192.0;203.1;218.6;
    28 Travail des métaux;100.0;121.5;131.6;143.1;143.0;140.9;158.3;168.9;173.9;184.3;189.2;197.2;202.1;205.7;215.0
        281 Fabrication d'éléments en métal pour la construction;100.0;126.9;149.2;169.2;163.3;156.6;177.7;172.6;151.9;150.9;155.2;150.5;142.4;138.2;
        282 Fabrication de réservoirs métalliques et de chaudières;100.0;102.5;105.4;155.6;122.1;90.9;85.8;89.9;101.3;104.2;110.4;113.6;105.8;105.4;
        284 Forge, emboutissage, estampage, métallurgie des poudres;100.0;182.7;184.0;165.0;163.6;136.6;249.0;255.8;253.7;279.7;271.8;342.0;373.9;373.3;
