Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Indice de la production industrielle (base 1998) (données trimestrielles),
frequence,Trimestrielle,
Scenario ,Reel,
Source ,Haut Commissariat au Plan,
Période disponible ,1999T1 - 2013T4,
Date de dernière mise à jour ,2014-04-11 15:53:16.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Indice de la production industrielle (base 1998),
Unité,Sans unité,
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
