;2010;2011;2012;2013;2014;2015;2016
INDUSTRIES MANUFACTURIERES;100.0;103.4;104.5;104.8;106.2;106.6;
    INDUSTRIES MANUFACTURIERES HORS RAFFINAGE DE PETROLE;100.0;102.61;103.87;104.54;106.41;109.2;110.7
        PRODUITS DES INDUSTRIES ALIMENTAIRES;100.0;103.0;105.2;106.8;111.8;116.0;117.4
        TABAC MANUFATURE;100.0;103.9;106.2;109.2;110.3;111.5;111.7
        PRODUITS DE L'INDUSTRIE TEXTILE;100.0;95.8;95.1;93.9;96.6;96.9;95.1
        ARTICLES D'HABILLEMENT ET FOURRURES;100.0;100.6;105.5;101.3;102.9;104.4;108.6
        CUIRS , ARTICLES DE VOYAGE , CHAUSSURES;100.0;97.4;90.6;92.0;94.1;91.0;82.3
        PRODUITS DU TRAVAIL DU BOIS;100.0;90.6;88.9;86.9;87.5;87.4;83.8
        PAPIERS ET CARTONS;100.0;100.4;101.5;97.4;96.0;96.5;95.8
"        PRODUITS DE L'EDITION ; PRODUITS IMPRIMES OU REPRODUITS";100.0;103.6;107.3;108.5;115.9;125.0;124.7
        PRODUITS  CHIMIQUES;100.0;101.7;103.6;107.1;110.1;115.9;121.7
        PRODUITS EN CAOUTCHOUC OU EN PLASTIQUE;100.0;112.5;110.5;111.2;110.0;107.0;106.9
        AUTRES PRODUITS MINERAUX NON METALLIQUES;100.0;104.5;101.3;99.2;96.6;96.7;94.0
        PRODUITS METALLIQUES;100.0;103.4;106.2;104.6;102.5;100.2;99.7
        PRODUITS DU TRAVAIL DES METAUX;100.0;99.6;103.9;110.4;111.4;115.3;111.9
        MACHINES ET EQUIPEMENTS;100.0;98.3;99.5;95.9;98.6;96.1;98.0
        MACHINES ET APPAREILS ELECTRIQUES;100.0;104.0;102.7;91.8;94.5;97.3;95.8
        EQUIPEMENTS DE RADIO,TELEVISION ET COMMUNICATION;100.0;101.0;98.9;112.4;117.5;114.1;114.7
        INSTRUMENTS MEDICAUX,DE PRECISION,D'OPTIQUE,HORLOGERIE;100.0;132.1;140.8;163.7;174.3;172.5;176.2
        PRODUITS DE L'INDUSTRIE AUTOMOBILE;100.0;102.6;100.2;108.4;103.8;113.4;129.4
        AUTRES MATERIELS DE TRANSPORT;100.0;105.7;113.9;118.4;123.5;129.6;138.8
        MEUBLES,INDUSTRIE DIVERSES;100.0;94.4;98.5;93.8;96.8;88.8;87.3
    PDTS DE LA COKEFACTION, DU RAFFINAGE;100.0;117.2;116.3;108.9;101.3;57.8;
