;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
1 Industries Agro-alimentaires;1975.0;1859.0;2078.0;3062.0;2315.0;2055.0;2173.0;2176.0;2176.0;2372.0;3002.0;2774.0;2786.0;3623.0;2715.0;3234.0;3167.0;3721.0;4554.0;4816.0;4651.0;4098.0;4528.0;4253.0;7736.0;4497.0;5654.0;6 028;4 845;9 826
    15 Industries alimentaires;1899.115;1726.362;1889.942;2561.214;2068.86;1809.537;1992.466;2079.929;2040.32;2231.658;2912.686;2587.344;2703.843;3584.157;2614.774;3046.994;2980.371;3544.825;4481.692;4699.763;4475.455;3995.059;4391.2;4110.987;7401.772;4462.764;5639.592;;;
        151 Industrie des viandes;5.041;8.109;3.01;3.137;7.89;3.553;10.865;13.271;6.795;44.632;23.895;42.865;31.77;30.898;34.016;106.985;83.206;42.527;42.402;98.436;102.509;52.13;73.05;53.948;;;;;;
        152 Industrie du poisson;128.767;138.138;114.858;192.911;104.816;160.469;116.218;145.686;195.542;216.648;336.612;448.549;588.685;764.29;333.336;211.556;286.078;376.43;332.364;336.923;456.568;395.634;619.874;539.562;;;;;;
        153 Industrie des fruits et légumes;249.12;199.76;248.467;111.881;121.714;181.673;185.831;196.895;150.898;169.709;178.152;123.988;92.509;190.387;111.959;132.873;130.074;138.851;120.614;141.009;140.808;136.319;174.211;134.056;;;;;;
        154 Industrie des corps gras;163.404;72.745;146.003;697.667;507.798;144.35;128.334;168.59;159.252;292.825;385.527;192.791;309.836;346.723;262.982;233.721;267.747;156.795;184.884;371.002;321.002;248.704;327.746;206.887;;;;;;
        155 Industrie laitière;66.975;48.213;206.59;523.618;219.367;93.418;150.401;192.517;201.933;235.589;376.468;295.475;325.737;464.519;615.209;618.547;587.43;781.153;1121.319;1083.596;1211.72;889.691;877.319;568.58;;;;;;
        156 Transformation des céréales, amidonnerie et fabrication;179.806;196.634;330.683;265.806;261.205;453.391;332.349;417.614;469.583;427.391;307.01;434.574;245.052;167.865;236.411;401.587;546.088;565.554;538.28;573.837;911.633;693.512;512.298;695.68;;;;;;
        157 Fabrication des farines et gruaux;34.762;47.98;74.835;110.255;156.653;119.642;188.629;161.032;155.521;125.814;104.045;105.678;68.769;87.875;68.305;63.654;128.257;129.687;110.04;167.135;180.847;156.131;213.543;231.062;;;;;;
        158 Autres industries alimentaires;681.581;813.103;464.799;416.389;335.688;267.664;360.316;235.809;229.845;253.566;487.614;472.084;502.448;336.857;640.666;734.063;410.649;724.955;979.999;1102.634;623.228;647.619;592.374;712.951;;;;;;
        159 Industrie des boissons;389.659;201.68;300.697;239.55;353.729;385.377;519.523;548.515;470.951;465.484;713.363;471.34;539.037;1194.743;311.89;544.008;550.071;629.379;1062.173;935.116;845.244;775.319;1000.785;968.261;;;;;;
    16 Industrie du tabac;109.983;164.723;192.21;502.902;250.184;250.184;183.054;97.4;135.508;139.887;89.49;186.777;82.397;38.782;100.125;186.647;186.647;176.049;72.755;115.882;175.488;102.512;136.855;142.338;334.494;34.201;14.415;;;
        160 Industrie du tabac;109.983;164.723;192.21;502.902;250.184;250.184;183.054;97.4;135.508;139.887;89.49;186.777;82.397;38.782;100.125;186.647;186.647;176.049;72.755;115.882;175.488;102.512;136.855;142.338;;;;;;
2 Industries Textiles;1654.0;1991.0;1765.0;1336.0;1455.0;1752.0;1965.0;1969.0;2406.0;2420.0;2086.0;2048.0;1664.0;1680.0;1376.0;1620.0;1529.0;1755.0;1783.0;1110.0;940.0;1152.0;1076.0;945.0;729.0;660.0;978.0;1 256;1 025;2 864
    17 Industrie textile;1047.23;1476.567;1161.807;840.272;839.647;1102.71;1184.48;1130.36;1030.302;1189.506;924.191;1051.476;813.41;889.01;633.437;856.786;926.805;1074.723;1034.521;472.387;316.68;407.044;401.169;419.625;263.241;272.927;368.351;;;
        171 Filature;602.215;891.687;592.462;383.558;368.185;492.802;514.469;562.457;290.197;296.131;337.868;412.522;333.346;390.736;235.279;238.352;226.132;197.816;206.974;68.417;51.575;71.406;92.839;79.796;;;;;;
        172 Tissage;226.026;313.468;272.744;235.312;230.614;411.714;337.568;247.934;423.376;535.197;166.016;262.39;230.607;206.03;203.291;256.28;276.509;551.614;481.651;149.704;112.977;157.768;144.593;114.007;;;;;;
