;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
1 Industries Agro-alimentaires;;;;;;;;;;
    15 Industries alimentaires;31467.0;33947.0;32326.0;43109.0;43575.0;41764.0;48138.0;56010.0;57712.0;58770.0
        151 Industrie des viandes;728.0;1083.0;1138.0;1193.0;1418.0;1601.0;1987.0;2328.0;2407.0;2103.0
        152 Industrie du poisson;16708.0;17028.0;16291.0;25564.0;24450.0;21659.0;27914.0;33414.0;31588.0;33102.0
        153 Industrie des fruits et légumes;4437.0;4735.0;3947.0;4555.0;4402.0;5254.0;4491.0;5674.0;7829.0;8676.0
        154 Industrie des corps gras;829.0;984.0;1038.0;1149.0;1236.0;1337.0;1355.0;1282.0;1459.0;1362.0
        155 Industrie laitière;2361.0;3848.0;3188.0;3502.0;4110.0;3725.0;3360.0;3395.0;3423.0;1725.0
        156 Transformation des céréales, amidonnerie et fabrication;838.0;862.0;824.0;841.0;856.0;867.0;1154.0;1087.0;1137.0;1129.0
        157 Fabrication des farines et gruaux;2727.0;2969.0;3487.0;3357.0;3894.0;4360.0;4173.0;5289.0;6222.0;6303.0
        158 Autres industries alimentaires;1461.0;1557.0;1541.0;2110.0;2054.0;2123.0;3297.0;2750.0;3039.0;3830.0
        159 Industrie des boissons;1378.0;881.0;872.0;838.0;1155.0;838.0;407.0;791.0;608.0;540.0
    16 Industrie du tabac;107.0;170.0;170.0;104.0;113.0;99.0;99.0;99.0;182.0;182.0
        160 Industrie du tabac;107.0;170.0;170.0;104.0;113.0;99.0;99.0;99.0;182.0;182.0
2 Industries Textiles;;;;;;;;;;
    17 Industrie textile;18090.0;20003.0;20618.0;20025.0;17524.0;15287.0;16639.0;16142.0;14875.0;14359.0
        171 Filature;4146.0;4031.0;3289.0;3488.0;3109.0;2616.0;2793.0;2653.0;2036.0;2630.0
        172 Tissage;1836.0;1846.0;1980.0;2154.0;1276.0;1299.0;1397.0;1310.0;1307.0;851.0
        173 Ennoblissement textile;1686.0;2462.0;3205.0;2938.0;2811.0;2584.0;3188.0;3053.0;3038.0;3142.0
        174 Fabrication d'articles textiles;1612.0;2417.0;2777.0;2645.0;2631.0;1929.0;2008.0;2314.0;1864.0;1853.0
        175 Fabrication de tapis et autres industries textiles;2491.0;2912.0;3045.0;3162.0;2666.0;1917.0;1835.0;1498.0;1482.0;1394.0
        176 Fabrication d'étoffes a maille;689.0;611.0;682.0;697.0;641.0;625.0;613.0;608.0;635.0;521.0
        177 Fabrication d'articles à maille;5630.0;5724.0;5640.0;4941.0;4390.0;4317.0;4805.0;4706.0;4513.0;3968.0
    18 Industrie de l'habillement et des fourrures;132473.0;129100.0;131389.0;132745.0;122605.0;107319.0;120618.0;113886.0;96091.0;96003.0
        181 Fabrication de vêtements en cuir;488.0;245.0;458.0;331.0;460.0;197.0;169.0;179.0;197.0;147.0
        182 Fabrication de vêtements en textile;131985.0;128855.0;130931.0;132414.0;122145.0;107122.0;120449.0;113707.0;95894.0;95856.0
        183 Industrie des fourrures;;;;;;;;;;
    19 Industrie du cuir et de la chaussure;7529.0;7975.0;8549.0;8139.0;7666.0;7634.0;9708.0;9604.0;8265.0;8941.0
        191 Apprêt et tannage des cuirs;286.0;331.0;171.0;176.0;146.0;151.0;167.0;189.0;183.0;232.0
        192 Articles de voyage et de maroquinerie;510.0;561.0;660.0;631.0;465.0;547.0;781.0;743.0;644.0;551.0
        193 Chaussures;6733.0;7083.0;7718.0;7332.0;7055.0;6936.0;8760.0;8672.0;7438.0;8158.0
3 Industrie chimique et parachimique;;;;;;;;;;
    20 Travail du bois et fabrication d'articles en bois;716.0;643.0;562.0;639.0;701.0;622.0;595.0;622.0;1009.0;623.0
        201 Sciages, rabotage, imprégnation du bois;65.0;72.0;53.0;54.0;58.0;47.0;51.0;69.0;69.0;62.0
        202 Fabrication de panneaux de bois;117.0;26.0;26.0;41.0;52.0;63.0;22.0;70.0;70.0;33.0
        203 Fabrication de charpentes et de menuiseries;262.0;226.0;249.0;255.0;270.0;212.0;223.0;230.0;230.0;253.0
        204 Fabrication d'emballages en bois;34.0;37.0;35.0;45.0;34.0;46.0;63.0;65.0;320.0;52.0
        205 Fabrication d'objets divers en bois, liège ou vannerie;238.0;282.0;199.0;244.0;287.0;254.0;236.0;188.0;320.0;223.0
    21 Industrie du papier et du carton;830.0;913.0;850.0;880.0;754.0;742.0;797.0;769.0;927.0;733.0
        211 Pate a Papier, de papier et de carton;160.0;272.0;251.0;332.0;238.0;254.0;361.0;291.0;338.0;125.0
        212 Articles en papier ou en carton;670.0;641.0;599.0;548.0;516.0;488.0;436.0;478.0;589.0;608.0
    22 Edition, imprimerie, reproduction;1767.0;1827.0;1793.0;1874.0;1936.0;2153.0;2216.0;2093.0;2073.0;1968.0
        221 Edition;330.0;369.0;325.0;316.0;398.0;344.0;362.0;375.0;383.0;352.0
        222 Imprimerie;1437.0;1458.0;1468.0;1558.0;1538.0;1809.0;1854.0;1718.0;1690.0;1616.0
        223 Reproduction d'enregistrements;;;;;;;;;;
    23 Cokéfaction, raffinage, industries nucléaires;187.0;199.0;176.0;180.0;189.0;265.0;228.0;306.0;282.0;277.0
        231 Cokéfaction;5.0;5.0;15.0;17.0;17.0;18.0;3.0;1.0;1.0;1.0
        232 Raffinage de pétrole;182.0;194.0;161.0;163.0;172.0;247.0;225.0;305.0;281.0;276.0
    24 Industrie Chimique;8122.0;8789.0;9594.0;6203.0;6070.0;6569.0;7068.0;7473.0;7770.0;8034.0
        241 Industrie Chimique de base;510.0;519.0;486.0;477.0;480.0;609.0;628.0;676.0;661.0;738.0
        242 Produits Agro-chimiques;43.0;49.0;42.0;27.0;28.0;33.0;20.0;22.0;23.0;22.0
        243 Peintures et vernis;501.0;552.0;565.0;571.0;611.0;678.0;773.0;788.0;516.0;884.0
        244 Industrie Pharmaceutique;2822.0;2858.0;2899.0;3020.0;3312.0;3530.0;3583.0;3730.0;3946.0;4042.0
        245 Fabrication de savons, de parfums et de produits d'entretien;3552.0;3672.0;3880.0;1667.0;1186.0;1347.0;1596.0;1811.0;1964.0;1729.0
        246 Fabrication d'autres produits chimiques;281.0;260.0;1142.0;220.0;268.0;270.0;364.0;424.0;638.0;619.0
        247 Fabrication de fibres artificielles ou synthétique;413.0;879.0;580.0;221.0;185.0;102.0;104.0;22.0;22.0;
    25 Industrie du caoutchouc et des plastiques;3457.0;4198.0;3421.0;3527.0;3502.0;3493.0;3526.0;4175.0;4015.0;3884.0
        251 Industrie Du caoutchouc;106.0;136.0;150.0;92.0;92.0;249.0;222.0;725.0;450.0;449.0
