Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Production des entreprises industrielles par grand secteur,
frequence,Annuelle,
Scenario ,Reel,
Source ,MIICEN,"MIICEN : Ministre de l'Industrie, de l'Investissement, du Commerce et de l'Economie Numérique"
Période disponible ,1990 - 2020,
Date de dernière mise à jour ,2023-10-03 11:37:20.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Production des entreprises industrielles,
Unité,Dirham,
Echelle ,Million,
Axes Fixes ,Valeurs prises ,
Région/Province,Total des régions,
Taille d'entreprise,Total,
