;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
1 Industries Agro-alimentaires;31460.0;34755.0;37059.0;39839.0;42210.0;44576.0;47701.0;50832.0;53010.0;52602.0;57482.0;55998.0;59488.0;61794.0;61979.0;65062.0;70190.0;78937.0;87230.0;87646.0;94977.0;101435.0;106299.0;107145.0;106140.0;103754.0;107179.0;106157.0;105586.0;155081.0;156495.0
    15 Industries alimentaires;27934.15;31419.654;33278.426;36138.222;38076.643;39822.218;43355.863;46152.108;46041.797;47363.414;50149.781;49930.64;53382.16;56874.061;56593.963;60150.624;62835.304;71558.883;81448.791;79365.239;86742.316;90458.697;95152.068;96703.572;95907.251;94510.289;100115.513;;;;
        151 Industrie des viandes;60.636;32.869;32.511;29.386;31.839;54.203;77.837;74.33;82.406;100.78;160.472;193.406;413.782;551.106;856.21;1483.712;1667.425;1832.473;1992.786;2647.315;2865.875;3106.811;3292.364;3250.085;;;;;;;
        152 Industrie du poisson;2029.129;2651.35;2927.648;2968.909;3106.941;3047.69;3133.912;3593.29;4496.413;4630.612;5741.884;6921.262;7367.808;7447.651;7423.494;7377.729;8223.135;9123.138;9761.371;9250.856;9409.309;10004.281;11298.734;11587.581;;;;;;;
        153 Industrie des fruits et légumes;2967.983;3420.281;2615.771;2035.417;2540.609;3026.872;2899.232;2935.032;3202.14;2730.766;2537.979;2201.4;2735.372;2799.718;2691.893;2562.622;2480.378;2952.836;3133.843;2894.819;3189.163;3701.036;3796.95;4341.215;;;;;;;
        154 Industrie des corps gras;3982.652;3912.95;4059.783;4255.101;5103.622;5165.949;5038.06;6859.139;5226.65;5538.621;5394.709;4865.094;5669.17;6949.48;7719.568;7844.876;8152.903;8548.0;10010.456;9781.675;9168.537;10258.88;10188.558;9704.16;;;;;;;
        155 Industrie laitière;2172.415;2191.838;2510.124;3182.418;3385.928;4155.768;4950.581;4505.282;4481.053;5564.945;5781.707;5962.036;6604.768;7319.916;7786.077;8758.628;9074.623;9612.936;11567.362;12807.22;13569.2;14563.318;15513.655;15677.004;;;;;;;
        156 Transformation des céréales, amidonnerie et fabrication;6235.18;7458.217;8332.969;10060.731;9744.206;10887.456;11597.592;12553.417;13836.971;14698.689;14848.653;14246.58;15322.804;14978.724;14478.434;16376.315;16825.918;19861.336;22378.967;20837.254;23831.333;25556.599;27257.291;27654.742;;;;;;;
        157 Fabrication des farines et gruaux;881.323;1028.489;1112.412;1248.074;1416.551;1471.44;2117.091;1965.342;1756.939;1882.244;1852.937;1868.551;1954.875;2233.774;2321.776;2378.921;2471.233;2438.822;3150.348;3619.322;3602.03;3947.582;4244.067;4347.298;;;;;;;
        158 Autres industries alimentaires;7149.493;7755.379;8134.84;8601.89;8759.044;7851.562;9000.577;9130.062;8534.776;7580.891;8321.308;8361.131;7800.719;8577.203;7487.19;7264.096;7788.678;10657.125;12333.59;9828.759;12918.688;10201.452;10219.086;10762.342;;;;;;;
        159 Industrie des boissons;2455.339;2968.281;3545.284;3748.787;3955.208;4126.758;4504.725;4496.666;4381.595;4591.111;5463.835;5261.921;5454.436;5954.176;5762.76;6037.497;6195.947;6695.132;7308.075;7851.675;8784.785;9118.738;9341.363;9379.145;;;;;;;
    16 Industrie du tabac;3525.495;3335.135;3780.393;3700.697;4133.832;4753.907;4345.071;5400.534;6968.233;5238.407;7331.844;6067.234;6105.5;4920.341;5384.869;4911.357;7354.512;7378.326;5781.573;8280.584;8234.851;10976.488;11147.361;10441.161;10232.338;9243.276;7063.098;;;;
        160 Industrie du tabac;3525.495;3335.135;3780.393;3700.697;4133.832;4753.907;4345.071;5400.534;6968.233;5238.407;7331.844;6067.234;6105.5;4920.341;5384.869;4911.357;7354.512;7378.326;5781.573;8280.584;8234.851;10976.488;11147.361;10441.161;;;;;;;
2 Industries Textiles;17700.0;19904.0;20819.0;21088.0;22337.0;23004.0;24218.0;25414.0;26342.0;26087.0;25075.0;25871.0;27148.0;27714.0;26982.0;26523.0;27471.0;29585.0;29565.0;25132.0;25937.0;26529.0;25999.0;24398.0;24086.0;23775.0;25929.0;25880.0;26129.0;55697.0;70442.0
    17 Industrie textile;10326.825;12109.313;12229.554;12354.939;13132.369;13167.647;13307.634;13711.068;10573.736;9781.731;8640.318;9439.874;9905.76;9950.331;9358.165;9186.694;9343.815;10417.695;10825.01;8814.937;8760.348;9065.973;8316.946;8065.831;7827.077;7768.628;8259.734;;;;
        171 Filature;4372.664;4922.649;5302.925;5230.702;5596.631;6401.395;6052.718;5738.862;2808.6;3138.689;2411.404;2659.789;2542.455;2531.167;2682.639;2590.915;2291.232;2421.642;2587.638;2230.108;2313.765;2268.922;1945.638;2072.832;;;;;;;
        172 Tissage;3526.745;3760.002;3683.148;3882.845;4326.003;3639.546;3791.008;4232.417;3326.371;2700.457;2241.694;3087.658;3656.955;3526.305;2765.006;2643.998;2607.48;2651.504;2762.428;2471.994;2226.353;2622.43;2288.938;1959.252;;;;;;;
        173 Ennoblissement textile;322.55;404.682;701.267;638.231;630.378;755.934;1080.337;876.53;752.194;705.798;615.517;680.74;749.175;834.529;990.536;1092.182;1158.586;1386.929;1447.853;1237.576;974.169;1021.877;1072.391;1063.014;;;;;;;
        174 Fabrication d'articles textiles;467.283;566.713;713.272;637.303;575.6;678.133;768.063;838.603;767.642;745.856;738.711;566.987;602.047;751.248;849.336;916.728;1016.904;1221.261;1289.805;1029.736;1355.856;1313.222;1388.509;1361.176;;;;;;;
        175 Fabrication de tapis et autres industries textiles;625.858;808.741;695.211;852.426;832.023;725.446;726.829;792.046;985.343;932.809;975.802;777.456;743.648;750.082;833.599;791.839;1130.126;1535.183;1589.763;851.633;744.52;704.35;647.503;675.217;;;;;;;
        176 Fabrication d'étoffes a maille;798.913;1350.016;845.343;1000.369;1078.864;872.782;779.882;1099.003;674.538;394.884;302.385;291.487;196.695;204.958;121.37;90.813;107.427;120.109;108.0;103.833;129.226;127.865;118.778;123.34;;;;;;;
        177 Fabrication d'articles à maille;212.812;296.51;288.388;113.063;92.87;94.411;108.797;133.607;1259.048;1163.238;1354.805;1375.757;1414.785;1352.042;1108.493;1053.406;1025.381;1074.283;1026.428;876.458;989.308;1007.307;855.189;811.0;;;;;;;
    18 Industrie de l'habillement et des fourrures;5418.493;5780.441;6714.25;6845.386;7170.983;7772.461;8626.938;9396.635;13329.988;14031.945;14215.331;14294.373;14938.951;15339.878;15370.236;15040.034;15722.111;16575.663;16195.865;13633.523;14201.025;14109.047;14569.106;13392.992;13486.092;13354.861;15195.903;;;;
        181 Fabrication de vêtements en cuir;348.443;282.476;326.264;325.31;316.999;292.575;284.438;279.715;160.952;146.936;159.172;188.467;159.652;175.67;171.021;141.367;137.404;111.276;111.691;97.64;110.005;232.066;158.805;104.806;;;;;;;
        182 Fabrication de vêtements en textile;5070.05;5497.965;6387.986;6520.076;6853.984;7479.886;8342.5;9116.042;13168.089;13883.665;14054.744;14104.336;14777.738;15162.696;15177.217;14876.741;15563.246;16441.951;16055.07;13507.457;14019.564;13876.981;14410.301;13288.186;;;;;;;
        183 Industrie des fourrures;;;;;;;;;;;;0.136;0.108;;;;;;;;;;;;;;;;;;
    19 Industrie du cuir et de la chaussure;1954.989;2014.037;1875.409;1887.437;2033.229;2063.775;2283.454;2385.692;2438.241;2273.478;2219.199;2136.285;2303.766;2423.864;2253.718;2296.091;2405.288;2591.42;2543.842;2683.387;2975.936;3353.983;3113.408;2939.219;2772.624;2651.967;2473.078;;;;
        191 Apprêt et tannage des cuirs;714.566;632.16;593.001;596.102;687.33;663.005;936.97;810.072;653.856;527.562;718.826;459.599;538.579;553.995;372.881;397.589;387.833;378.688;373.467;413.079;447.609;624.833;599.64;521.632;;;;;;;
        192 Articles de voyage et de maroquinerie;146.502;138.584;177.781;154.203;137.895;155.116;126.525;156.885;170.78;154.631;162.222;189.553;174.961;164.616;147.607;148.171;178.316;173.611;146.726;145.357;160.993;143.8;154.875;166.476;;;;;;;
        193 Chaussures;1093.921;1243.293;1104.627;1137.132;1208.004;1245.654;1219.959;1418.735;1613.605;1591.285;1338.151;1487.133;1590.226;1705.253;1733.23;1750.331;1839.139;2039.121;2023.099;2123.438;2364.022;2585.35;2358.893;2251.111;;;;;;;
3 Industrie chimique et parachimique;45682.0;47354.0;50041.0;52192.0;53809.0;55922.0;57133.0;62256.0;61400.0;62445.0;62032.0;64169.0;67271.0;64087.0;71706.0;86461.0;101063.0;110733.0;137078.0;102868.0;139832.0;174134.0;175974.0;164931.0;159020.0;132065.0;115719.0;118860.0;136583.0;189031.0;163724.0
    20 Travail du bois et fabrication d'articles en bois;2316.038;1963.022;2066.019;2177.504;2382.554;1878.827;2112.83;2305.435;2419.589;2395.619;2837.629;2986.458;3172.694;3220.782;3303.844;3416.283;3406.553;3700.058;3600.048;3109.27;3201.111;3248.273;2998.096;2649.837;2793.611;2501.447;2896.527;;;;
        201 Sciages, rabotage, imprégnation du bois;407.848;254.916;314.617;329.933;329.378;192.466;200.399;339.735;369.466;396.661;681.398;810.532;801.371;899.031;839.881;920.291;539.591;583.592;625.374;515.152;454.827;426.374;322.851;328.147;;;;;;;
        202 Fabrication de panneaux de bois;567.814;434.01;454.818;687.788;832.327;670.366;721.03;742.184;693.553;670.878;666.489;765.652;755.158;709.847;799.777;738.84;793.336;907.558;845.909;502.04;654.172;857.351;707.304;323.616;;;;;;;
        203 Fabrication de charpentes et de menuiseries;593.895;440.681;429.228;476.969;501.732;509.083;580.847;597.411;636.037;647.379;638.814;652.76;890.602;850.711;867.467;975.85;1141.109;1231.874;1245.83;1194.525;1230.216;1245.002;1134.602;1245.449;;;;;;;
