Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Taux d’utilisation des capacités (mensuel),
frequence,Mensuelle,
Scenario ,Reel,
Source ,BKAM,BKAM : Bank  Al- Maghrib (Banque centrale du Maroc)
Période disponible ,2024M01 - 2025M08,
Date de dernière mise à jour ,2025-10-14 16:11:03.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Taux d'utilisation des capacités (TUC),Taux d'utilisation des capacités industrielles
Unité,Pourcentage,
Echelle ,Sans échelle,
Axes Fixes ,Valeurs prises ,
