Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Exportation des phosphates et des produits dérivés en valeur,
frequence,Annuelle,
Scenario ,Reel,
Source ,Office Chérifien des Phosphates,
Période disponible ,1998 - 2021,
Date de dernière mise à jour ,2023-05-09 13:47:20.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Exportation des phosphates et des produits dérivés en valeur,
Unité,Dirham,
Echelle ,Million,
Axes Fixes ,Valeurs prises ,
Pays,Monde,
