Déscription du Tableau ,,
Paramètre ,Libellé du paramètre ,Déscription 
Tableau ,Exportation des phosphates et des produits dérivés en volume (Mensuelle),
frequence,Mensuelle,
Scenario ,Reel,
Source ,Office Chérifien des Phosphates,
Période disponible ,1995M12 - 2016M12,
Date de dernière mise à jour ,2017-04-04 15:06:24.0,
Description du tableau ,,
,,
,,
Déscription de(s) l'indicateur(s) associé(s) ,,
Indicateur ,Exportation des phosphates et des produits dérivés en volume,
Unité,Tonnes,
Echelle ,Mille,
Axes Fixes ,Valeurs prises ,
Pays,Monde,
